open,high,low,close,volume,datetime
162.73,163.64,162.0,163.64,38010,20220518
163.78,164.15,163.14,163.82,7063,20220518
163.68,164.38,162.89,163.57,15531,20220518
163.56,163.63,163.14,163.25,5503,20220518
163.265,163.8554,163.265,163.6122,6343,20220518
163.6042,163.9,162.92,163.9,5467,20220518
163.983,164.3736,163.735,163.88,5931,20220518
163.9446,164.274,163.825,163.99,6199,20220518
164.002,164.2232,163.34,163.35,5700,20220518
163.53,163.55,162.16,162.575,5119,20220518
162.38,162.48,162.2402,162.35,1900,20220518
162.75,163.06,162.61,162.78,2389,20220518
162.59,162.59,162.25,162.53,2997,20220518
162.525,162.525,162.07,162.4,6796,20220518
162.56,162.93,162.53,162.73,3419,20220518
162.59,162.91,162.59,162.78,3500,20220518
162.7,163.0,162.575,162.78,6463,20220518
162.78,163.52,162.78,163.52,14470,20220518
163.44,163.46,162.89,162.89,7120,20220518
163.02,163.02,162.8,162.86,1295,20220518
162.88,162.89,162.01,162.01,4114,20220518
162.0,162.29,161.91,162.1325,1447,20220518
162.07,162.66,162.07,162.66,1530,20220518
162.785,163.15,162.59,162.82,3600,20220518
162.96,162.965,162.75,162.775,400,20220518
162.51,162.54,162.11,162.11,3671,20220518
161.91,161.91,161.61,161.66,6133,20220518
161.51,161.57,161.31,161.345,4868,20220518
161.325,161.47,161.19,161.38,5080,20220518
161.4,161.56,161.3,161.52,3128,20220518
161.53,161.9,161.48,161.86,4272,20220518
161.78,162.185,161.78,162.185,1902,20220518
162.3,162.37,162.225,162.31,1854,20220518
162.39,162.52,162.35,162.46,2600,20220518
162.38,162.52,162.185,162.26,1600,20220518
162.27,162.65,162.27,162.65,938,20220518
162.68,162.725,162.64,162.64,1700,20220518
162.59,162.75,162.59,162.74,1547,20220518
162.79,162.94,162.675,162.92,5250,20220518
162.69,162.805,162.69,162.805,754,20220518
162.75,162.91,162.75,162.87,1200,20220518
162.885,162.885,162.59,162.87,3090,20220518
162.93,163.25,162.9075,163.25,4859,20220518
163.215,163.36,163.1,163.1375,2512,20220518
163.23,163.6,163.145,163.45,5037,20220518
163.39,163.39,163.16,163.345,1520,20220518
163.13,163.21,163.1,163.175,1211,20220518
163.27,163.52,163.26,163.51,1900,20220518
163.48,163.67,163.36,163.39,2300,20220518
163.22,163.51,163.12,163.42,1300,20220518
163.42,163.695,163.22,163.63,27079,20220518
163.68,163.69,163.38,163.38,700,20220518
163.5,163.51,163.31,163.31,1618,20220518
163.23,163.31,162.97,162.97,2900,20220518
162.84,163.17,162.84,163.14,1500,20220518
163.04,163.07,162.862,162.862,700,20220518
163.04,163.11,162.92,163.05,1150,20220518
162.73,162.83,162.73,162.83,1200,20220518
162.77,163.03,162.74,162.74,3744,20220518
162.73,162.73,162.395,162.395,2800,20220518
162.29,162.45,162.05,162.45,2384,20220518
162.51,162.51,162.36,162.36,1843,20220518
162.25,162.46,162.225,162.46,600,20220518
162.44,162.71,162.44,162.62,700,20220518
162.52,162.62,162.52,162.6,417,20220518
162.45,162.49,162.1075,162.11,22200,20220518
162.3,162.393,162.22,162.22,1300,20220518
162.34,162.34,162.085,162.085,884,20220518
161.97,162.2899,161.9,162.0567,2300,20220518
162.12,162.135,161.85,162.025,2849,20220518
162.05,162.0578,161.75,161.89,900,20220518
161.7551,162.0,161.745,162.0,1433,20220518
162.01,162.14,161.87,162.12,1400,20220518
162.15,162.15,162.15,162.15,100,20220518
162.14,162.16,162.115,162.115,595,20220518
162.155,162.18,162.04,162.04,800,20220518
162.16,162.41,162.16,162.26,1500,20220518
162.15,162.255,162.12,162.21,1100,20220518
162.18,162.57,162.17,162.57,1800,20220518
162.4,162.46,162.38,162.415,800,20220518
162.38,162.38,162.23,162.265,600,20220518
162.28,162.28,162.14,162.14,200,20220518
162.15,162.15,162.15,162.15,100,20220518
162.11,162.18,161.79,161.83,5399,20220518
161.85,161.88,161.755,161.755,5482,20220518
161.69,161.69,161.53,161.59,1605,20220518
161.485,161.64,161.485,161.57,857,20220518
161.68,161.83,161.61,161.61,4461,20220518
161.5775,161.86,161.51,161.86,3300,20220518
161.77,161.8309,161.64,161.678,900,20220518
161.77,161.8566,161.7,161.77,4352,20220518
161.69,161.71,161.59,161.65,2365,20220518
161.63,161.64,161.36,161.36,2738,20220518
161.36,161.43,161.29,161.3325,3200,20220518
161.43,161.56,161.43,161.5,2576,20220518
161.455,161.5,161.455,161.48,800,20220518
161.415,161.415,161.07,161.07,4580,20220518
161.11,161.17,160.95,161.17,2062,20220518
161.2,161.2,161.04,161.04,1625,20220518
160.96,161.0376,160.91,161.0,1429,20220518
161.0,161.0,160.8575,160.97,1181,20220518
160.97,161.0,160.96,160.965,1492,20220518
160.94,160.98,160.91,160.95,500,20220518
160.93,160.93,160.93,160.93,300,20220518
160.925,160.93,160.9083,160.9083,900,20220518
160.91,160.92,160.91,160.9175,769,20220518
160.99,160.99,160.48,160.48,2524,20220518
160.585,160.64,160.56,160.56,400,20220518
160.58,160.68,160.48,160.48,700,20220518
160.48,160.54,160.38,160.38,3011,20220518
160.4691,160.48,160.34,160.425,1000,20220518
160.33,160.39,160.3,160.3,827,20220518
160.28,160.28,160.2289,160.28,550,20220518
160.18,160.28,160.12,160.12,1500,20220518
160.095,160.14,160.095,160.14,400,20220518
160.17,160.35,160.02,160.35,3908,20220518
160.31,160.35,160.26,160.26,3000,20220518
160.33,160.33,160.26,160.26,502,20220518
160.26,160.3499,160.18,160.3499,500,20220518
160.2878,160.2878,160.17,160.17,592,20220518
160.16,160.16,159.67,159.76,5188,20220518
159.68,160.1,159.65,160.1,2357,20220518
160.16,160.16,160.0,160.07,600,20220518
160.09,160.23,160.09,160.215,1000,20220518
160.215,160.215,160.0,160.0,5313,20220518
160.11,160.1725,160.05,160.1725,5589,20220518
160.105,160.22,160.04,160.095,2802,20220518
160.095,160.095,159.96,160.04,800,20220518
160.06,160.15,159.91,160.0,6228,20220518
159.99,160.0,159.82,159.855,1300,20220518
159.79,160.0,159.79,159.88,3301,20220518
159.87,160.1,159.87,159.935,5690,20220518
159.85,160.1,159.775,159.95,6556,20220518
159.95,160.02,159.875,159.875,2469,20220518
159.86,160.05,159.86,159.99,3819,20220518
159.95,159.95,159.68,159.75,4087,20220518
159.76,159.9,159.72,159.9,1949,20220518
159.83,159.83,159.67,159.68,1200,20220518
159.69,159.69,159.54,159.54,3072,20220518
159.66,159.81,159.615,159.79,1900,20220518
159.73,159.81,159.68,159.74,1240,20220518
159.82,159.88,159.72,159.805,1482,20220518
159.8,159.8,159.71,159.71,1100,20220518
159.72,159.74,159.35,159.35,3041,20220518
159.39,159.44,159.15,159.15,2852,20220518
159.175,159.32,159.17,159.32,1200,20220518
159.33,159.46,159.245,159.245,11904,20220518
159.145,159.28,159.06,159.28,6990,20220518
159.33,159.33,159.175,159.175,1222,20220518
159.19,159.22,159.12,159.12,505,20220518
159.125,159.125,159.0,159.11,1449,20220518
159.09,159.17,159.055,159.11,4198,20220518
159.21,159.22,159.03,159.11,2204,20220518
159.01,159.09,158.7679,158.8775,8047,20220518
158.83,158.87,158.68,158.68,8410,20220518
158.69,158.73,158.53,158.56,3756,20220518
158.565,158.62,158.42,158.42,7867,20220518
158.29,158.5799,158.29,158.45,2847,20220518
158.4962,158.52,158.36,158.36,1253,20220518
158.35,158.35,158.03,158.09,13960,20220518
158.08,158.3,158.06,158.3,3400,20220518
158.38,158.48,158.3201,158.3201,1400,20220518
158.45,158.637,158.39,158.637,759,20220518
158.76,158.852,158.76,158.852,900,20220518
158.74,158.805,158.61,158.64,2334,20220518
158.59,158.67,158.44,158.44,1452,20220518
158.5,158.81,158.44,158.81,2204,20220518
158.745,158.85,158.6,158.67,2578,20220518
158.71,158.77,158.47,158.47,2427,20220518
158.44,158.46,158.36,158.375,1748,20220518
158.31,158.4,158.2,158.2,2098,20220518
158.205,158.24,157.98,157.98,3428,20220518
157.98,157.98,157.82,157.84,4569,20220518
157.84,157.88,157.67,157.67,4084,20220518
157.75,157.83,157.38,157.453,13497,20220518
157.54,157.7,157.54,157.57,4780,20220518
157.59,157.59,157.51,157.54,500,20220518
157.62,157.62,157.48,157.485,1605,20220518
157.42,157.59,157.42,157.55,2500,20220518
157.44,157.44,157.254,157.4,1750,20220518
157.44,157.44,157.16,157.16,1128,20220518
157.135,157.46,157.09,157.37,2412,20220518
157.35,157.4,157.28,157.4,1442,20220518
157.36,157.36,157.07,157.15,4162,20220518
157.125,157.19,156.94,156.97,20779,20220518
157.01,157.02,156.63,156.77,9896,20220518
156.74,157.27,156.74,157.27,5246,20220518
157.36,157.55,157.27,157.52,3638,20220518
157.455,157.48,157.21,157.34,1306,20220518
157.37,157.4799,157.32,157.4,3485,20220518
157.4,157.42,157.28,157.42,2438,20220518
157.365,157.37,157.23,157.28,7433,20220518
157.275,157.275,157.16,157.24,2287,20220518
157.32,157.4621,157.21,157.255,3185,20220518
157.2,157.2,156.9557,156.9557,2934,20220518
156.955,157.15,156.955,157.1,1600,20220518
157.13,157.38,157.13,157.38,900,20220518
157.49,157.66,157.46,157.66,1300,20220518
157.6843,157.6843,157.6843,157.6843,1000,20220518
157.575,157.68,157.54,157.54,813,20220518
157.62,157.78,157.56,157.64,13882,20220518
157.7,157.73,157.64,157.7187,1110,20220518
157.725,157.785,157.69,157.785,2136,20220518
157.785,157.785,157.67,157.76,1587,20220518
157.745,157.88,157.705,157.88,2404,20220518
157.83,157.994,157.81,157.994,2733,20220518
158.01,158.01,157.74,157.96,1018,20220518
157.92,157.9512,157.71,157.74,3652,20220518
157.72,157.7896,157.66,157.78,1344,20220518
157.73,157.7999,157.64,157.76,1329,20220518
157.66,157.66,157.45,157.45,1000,20220518
157.515,157.515,157.24,157.24,2054,20220518
157.3,157.345,157.13,157.345,2385,20220518
157.34,157.41,157.13,157.13,6143,20220518
157.11,157.17,157.0716,157.0716,600,20220518
157.17,157.22,157.045,157.045,3500,20220518
157.09,157.23,157.03,157.11,2069,20220518
157.01,157.02,156.94,156.97,1234,20220518
156.96,156.96,156.79,156.87,3227,20220518
156.78,156.83,156.67,156.81,1831,20220518
156.75,156.87,156.65,156.71,3500,20220518
156.68,156.68,156.43,156.46,3454,20220518
156.45,156.75,156.45,156.68,3300,20220518
156.59,156.77,156.58,156.76,2520,20220518
156.73,156.73,156.4291,156.68,3798,20220518
156.49,156.55,156.45,156.55,1600,20220518
156.555,156.68,156.53,156.53,2096,20220518
156.53,156.53,156.33,156.47,2441,20220518
156.5,156.67,156.42,156.42,2106,20220518
156.44,156.61,156.38,156.58,2811,20220518
156.535,156.62,156.44,156.525,751,20220518
156.68,156.68,156.605,156.67,400,20220518
156.75,156.75,156.58,156.58,830,20220518
156.45,156.6,156.395,156.47,2062,20220518
156.39,156.41,156.27,156.315,2964,20220518
156.29,156.45,156.29,156.32,2700,20220518
156.3,156.3,156.13,156.23,3720,20220518
156.22,156.28,156.18,156.28,500,20220518
156.31,156.42,156.28,156.32,3499,20220518
156.3799,156.48,156.345,156.48,2334,20220518
156.475,156.55,156.39,156.51,3352,20220518
156.595,156.81,156.595,156.775,900,20220518
156.775,156.775,156.62,156.62,1706,20220518
156.58,156.61,156.44,156.54,1275,20220518
156.55,156.6,156.48,156.56,824,20220518
156.61,156.77,156.61,156.765,1406,20220518
156.82,156.87,156.525,156.6,1911,20220518
156.56,156.69,156.56,156.57,2812,20220518
156.64,156.65,156.53,156.64,625,20220518
156.58,156.7999,156.58,156.715,1744,20220518
156.65,156.66,156.47,156.47,2800,20220518
156.55,156.56,156.12,156.13,4505,20220518
156.09,156.16,155.8,155.8,6796,20220518
155.84,155.88,155.77,155.77,2722,20220518
155.69,155.75,155.59,155.75,2051,20220518
155.685,155.71,155.59,155.59,1354,20220518
155.71,155.71,155.53,155.59,2325,20220518
155.6,155.67,155.58,155.6268,1000,20220518
155.59,155.69,155.56,155.59,3485,20220518
155.57,155.6,155.48,155.565,1333,20220518
155.485,155.49,155.38,155.445,2342,20220518
155.445,155.5,155.3514,155.5,1119,20220518
155.49,155.54,155.39,155.5,2900,20220518
155.45,155.45,155.18,155.26,3365,20220518
155.31,155.51,155.27,155.51,1842,20220518
155.47,155.47,155.3,155.32,1940,20220518
155.22,155.34,155.22,155.33,2855,20220518
155.295,155.295,155.17,155.21,800,20220518
155.34,155.34,155.195,155.235,1808,20220518
155.0919,155.21,155.0919,155.21,620,20220518
155.34,155.34,155.05,155.125,6129,20220518
155.1,155.14,154.95,155.02,8069,20220518
154.99,155.05,154.9,154.975,1828,20220518
154.99,155.1,154.96,155.01,1757,20220518
155.12,155.54,155.06,155.415,2237,20220518
155.55,155.55,155.365,155.4,5850,20220518
155.4,155.41,155.25,155.25,500,20220518
155.225,155.225,155.02,155.085,5368,20220518
155.07,155.207,155.02,155.2,1710,20220518
155.3,155.37,155.29,155.37,1000,20220518
155.42,155.42,155.03,155.15,2422,20220518
155.145,155.22,155.085,155.085,1000,20220518
155.14,155.16,155.14,155.16,200,20220518
155.07,155.09,154.99,155.0288,1650,20220518
154.95,154.95,154.655,154.79,8357,20220518
154.825,155.09,154.6,154.74,10824,20220518
154.77,155.22,154.61,155.215,9751,20220518
155.14,155.15,154.5637,154.755,44890,20220518
154.83,155.1,154.83,154.975,3073,20220518
154.97,155.05,154.97,155.05,2620,20220518
154.975,155.11,154.975,155.0,1109,20220518
154.9,154.97,154.75,154.97,3457,20220518
155.11,155.35,154.815,154.815,7226,20220518
154.89,155.39,154.815,155.365,15108,20220518
155.29,155.29,154.955,155.005,2000,20220518
155.0,155.1,154.93,155.0,5937,20220518
155.1,155.14,154.92,154.92,6564,20220518
154.91,155.19,154.82,154.825,30094,20220518
154.795,154.91,154.795,154.91,2727,20220518
154.84,154.84,154.74,154.82,2770,20220518
154.795,154.95,154.69,154.79,5137,20220518
154.725,154.79,154.5,154.65,11578,20220518
154.63,154.67,154.56,154.61,6000,20220518
154.5,154.69,154.43,154.68,8643,20220518
154.59,154.67,154.53,154.56,1200,20220518
154.52,154.62,154.45,154.48,1109,20220518
154.4,154.42,154.2,154.2,1505,20220518
154.24,154.28,154.1001,154.2149,3528,20220518
154.23,154.495,154.19,154.495,3821,20220518
154.53,154.54,154.4114,154.47,2167,20220518
154.54,154.99,154.54,154.67,7511,20220518
154.74,154.91,154.67,154.695,6440,20220518
154.7,154.76,154.61,154.62,2155,20220518
154.66,154.76,154.66,154.76,1700,20220518
154.72,154.72,154.605,154.71,1018,20220518
154.75,154.8,154.68,154.8,4138,20220518
154.76,154.84,154.75,154.84,3050,20220518
154.83,154.92,154.55,154.55,8101,20220518
154.505,154.82,154.25,154.74,11564,20220518
154.675,154.795,154.51,154.565,42567,20220518
154.56,154.83,154.545,154.595,3670,20220518
154.565,154.565,154.505,154.505,300,20220518
154.505,154.505,154.29,154.32,3738,20220518
