open,high,low,close,volume,datetime
288.86,288.99,287.4,288.23,12725,20220518
287.49,288.19,287.38,288.13,1033,20220518
288.25,288.745,287.91,288.23,1476,20220518
288.13,288.13,288.13,288.13,100,20220518
287.84,288.59,287.53,288.59,4477,20220518
288.64,288.64,288.6,288.6,300,20220518
288.665,288.665,288.665,288.665,100,20220518
288.16,288.35,288.11,288.11,489,20220518
287.9,287.925,287.06,287.42,1703,20220518
287.04,287.5305,287.01,287.055,571,20220518
287.22,287.32,286.86,287.08,1432,20220518
286.18,286.18,286.18,286.18,100,20220518
285.88,286.89,285.88,286.66,1308,20220518
286.62,286.66,286.47,286.47,505,20220518
286.33,286.59,286.21,286.21,514,20220518
286.56,286.56,286.21,286.325,1040,20220518
286.19,286.386,285.46,285.805,5232,20220518
285.805,286.04,285.61,286.04,965,20220518
286.19,286.605,286.19,286.3313,861,20220518
286.86,286.86,286.86,286.86,100,20220518
286.95,286.95,286.91,286.91,355,20220518
286.64,286.64,286.64,286.64,100,20220518
286.49,286.505,285.875,285.875,803,20220518
285.66,285.66,285.66,285.66,100,20220518
286.08,286.09,286.01,286.02,906,20220518
286.09,286.385,286.09,286.385,300,20220518
286.57,286.57,286.57,286.57,100,20220518
286.665,286.87,286.625,286.625,520,20220518
286.87,287.03,286.44,287.03,2391,20220518
287.36,287.36,286.67,286.67,902,20220518
286.67,286.77,286.38,286.4,1969,20220518
286.18,286.8,286.12,286.55,2660,20220518
286.74,286.84,286.74,286.84,200,20220518
286.54,286.865,286.54,286.58,600,20220518
286.685,286.98,286.36,286.75,940,20220518
286.53,286.59,285.86,285.86,1133,20220518
285.99,285.99,285.58,285.72,792,20220518
285.63,285.63,285.26,285.295,701,20220518
285.53,285.53,285.22,285.44,1219,20220518
285.21,285.61,285.21,285.61,1110,20220518
285.76,286.285,285.76,285.99,500,20220518
285.98,285.98,285.91,285.91,200,20220518
286.135,286.135,285.91,285.91,200,20220518
285.91,286.09,285.65,285.9,700,20220518
285.895,285.895,285.63,285.76,500,20220518
285.63,285.7,285.595,285.595,2099,20220518
285.7,285.86,285.65,285.725,1200,20220518
285.84,285.93,285.46,285.5,2021,20220518
285.26,285.265,285.2,285.2,300,20220518
285.02,285.09,284.8,285.09,1500,20220518
284.605,284.969,284.605,284.969,200,20220518
284.87,284.91,284.87,284.91,303,20220518
285.36,285.75,285.2575,285.75,704,20220518
285.63,285.75,285.55,285.59,447,20220518
285.55,285.55,285.1,285.1,1427,20220518
285.195,285.195,284.72,284.72,1702,20220518
284.59,284.67,284.12,284.39,952,20220518
284.48,284.48,283.86,283.86,700,20220518
283.79,283.915,283.78,283.78,300,20220518
283.7,284.2,283.665,284.105,2072,20220518
284.03,284.11,283.79,283.91,751,20220518
283.89,283.89,283.62,283.62,302,20220518
283.59,283.59,283.31,283.58,1259,20220518
283.58,283.62,283.51,283.612,1938,20220518
283.51,283.97,283.51,283.89,1200,20220518
283.91,284.15,283.91,284.15,400,20220518
