open,high,low,close,volume,datetime
64.58,64.6,64.24,64.24,44862,20220518
64.19,64.21,64.04,64.11,8479,20220518
64.15,64.28,64.01,64.17,6267,20220518
64.13,64.24,64.13,64.2,3836,20220518
64.21,64.32,64.185,64.32,7665,20220518
64.28,64.44,64.26,64.44,5635,20220518
64.44,64.47,64.35,64.42,4705,20220518
64.47,64.5,64.35,64.42,5734,20220518
64.4,64.42,64.32,64.3224,3184,20220518
64.32,64.36,64.26,64.28,14143,20220518
64.26,64.27,64.16,64.17,4178,20220518
64.18,64.265,64.02,64.065,21906,20220518
64.05,64.05,63.95,63.97,9515,20220518
63.975,63.99,63.9,63.945,4508,20220518
63.97,64.01,63.93,63.995,16363,20220518
63.96,64.04,63.93,64.04,22605,20220518
64.01,64.18,63.98,64.18,17936,20220518
64.21,64.31,64.17,64.27,8980,20220518
64.26,64.34,64.22,64.32,3875,20220518
64.33,64.43,64.29,64.42,9385,20220518
64.38,64.38,64.17,64.17,23666,20220518
64.16,64.34,64.145,64.18,4400,20220518
64.17,64.23,64.13,64.21,9108,20220518
64.19,64.24,64.14,64.235,6410,20220518
64.24,64.24,64.2,64.2,4730,20220518
64.2,64.26,64.17,64.2,11235,20220518
64.18,64.18,64.13,64.13,9446,20220518
64.1,64.13,64.04,64.11,4931,20220518
64.11,64.12,64.05,64.07,6094,20220518
64.09,64.16,64.065,64.16,4588,20220518
64.16,64.18,64.1,64.15,8069,20220518
64.15,64.169,64.09,64.1,8288,20220518
64.11,64.11,64.035,64.09,3873,20220518
64.09,64.15,64.09,64.12,5427,20220518
64.12,64.1367,64.09,64.1,3876,20220518
64.08,64.14,64.06,64.12,4951,20220518
64.15,64.16,64.08,64.08,2280,20220518
64.06,64.07,64.04,64.06,14340,20220518
64.065,64.07,64.03,64.05,10516,20220518
64.06,64.1166,63.99,64.11,5547,20220518
64.1,64.17,64.1,64.16,7760,20220518
64.16,64.21,64.09,64.13,16029,20220518
64.15,64.16,64.07,64.08,7123,20220518
64.08,64.195,64.075,64.16,8322,20220518
64.125,64.27,64.125,64.26,5973,20220518
64.27,64.27,64.17,64.25,12004,20220518
64.25,64.28,64.22,64.27,4278,20220518
64.27,64.35,64.24,64.34,9318,20220518
64.34,64.36,64.285,64.3,6499,20220518
64.3,64.3,64.25,64.25,3458,20220518
64.24,64.319,64.23,64.28,13925,20220518
64.29,64.31,64.27,64.27,4035,20220518
64.29,64.33,64.26,64.26,4955,20220518
64.24,64.25,64.19,64.19,3734,20220518
64.16,64.2,64.14,64.15,4838,20220518
64.16,64.2,64.15,64.17,5436,20220518
64.19,64.22,64.18,64.2,2170,20220518
64.19,64.19,64.12,64.12,2853,20220518
64.14,64.15,64.1,64.11,7370,20220518
64.065,64.08,64.005,64.02,5063,20220518
64.01,64.06,63.97,64.0,6258,20220518
64.0,64.01,63.96,64.0,4636,20220518
64.0,64.0235,63.91,63.91,2488,20220518
63.91,64.03,63.91,64.01,5748,20220518
64.0,64.02,63.97,63.99,3317,20220518
63.98,64.01,63.96,63.99,2656,20220518
63.97,64.02,63.97,63.975,3964,20220518
63.98,64.01,63.97,63.97,4515,20220518
63.96,64.01,63.95,63.95,4046,20220518
63.945,64.05,63.93,64.05,5120,20220518
64.035,64.05,64.0,64.03,2700,20220518
64.02,64.08,64.02,64.08,4449,20220518
64.07,64.09,64.05,64.08,2353,20220518
64.1,64.16,64.1,64.14,3758,20220518
64.13,64.17,64.1,64.17,6081,20220518
64.14,64.14,64.08,64.11,11794,20220518
64.12,64.23,64.12,64.2,2802,20220518
64.2,64.2,64.15,64.16,3804,20220518
64.17,64.27,64.17,64.21,4064,20220518
64.19,64.255,64.19,64.24,2531,20220518
64.27,64.28,64.2,64.21,4684,20220518
64.22,64.23,64.19,64.21,3311,20220518
64.21,64.21,64.11,64.14,8269,20220518
64.14,64.17,64.12,64.12,3879,20220518
64.13,64.16,64.09,64.09,5437,20220518
64.085,64.085,63.98,63.995,7312,20220518
64.0,64.08,63.98,64.07,14814,20220518
64.08,64.23,64.08,64.17,11615,20220518
64.19,64.21,64.16,64.21,3714,20220518
64.2,64.2,64.18,64.18,2933,20220518
64.18,64.18,64.14,64.15,6567,20220518
64.155,64.19,64.0985,64.1,4226,20220518
64.1,64.14,64.1,64.1,3109,20220518
64.05,64.09,64.044,64.044,4790,20220518
64.06,64.08,64.04,64.08,4053,20220518
64.05,64.08,64.05,64.08,2096,20220518
64.07,64.08,63.97,63.97,5779,20220518
63.97,64.02,63.9583,64.02,5591,20220518
64.02,64.04,63.99,64.025,3192,20220518
64.01,64.02,63.99,63.99,5852,20220518
63.98,63.98,63.88,63.88,5168,20220518
63.87,63.92,63.87,63.92,3867,20220518
63.915,63.919,63.9,63.9,700,20220518
63.885,63.885,63.87,63.88,600,20220518
63.88,63.89,63.88,63.88,1619,20220518
63.88,63.889,63.87,63.87,1426,20220518
63.87,63.91,63.76,63.76,9133,20220518
63.75,63.75,63.71,63.71,2045,20220518
63.6943,63.6943,63.67,63.67,2836,20220518
63.67,63.73,63.6564,63.73,6144,20220518
63.745,63.75,63.7,63.73,3208,20220518
63.74,63.74,63.71,63.72,3955,20220518
63.71,63.725,63.7,63.71,3590,20220518
63.69,63.71,63.645,63.69,5259,20220518
63.69,63.7,63.65,63.65,3580,20220518
63.65,63.73,63.63,63.71,4045,20220518
63.71,63.71,63.69,63.71,2220,20220518
63.72,63.7252,63.67,63.67,2288,20220518
63.68,63.69,63.63,63.64,2977,20220518
63.64,63.64,63.56,63.62,3100,20220518
63.645,63.69,63.625,63.625,3886,20220518
63.63,63.75,63.62,63.75,3724,20220518
63.74,63.7714,63.67,63.7,8844,20220518
63.71,63.79,63.71,63.73,2701,20220518
63.74,63.76,63.72,63.75,5871,20220518
63.77,63.83,63.76,63.825,2922,20220518
63.81,63.89,63.79,63.89,2973,20220518
63.86,63.93,63.84,63.93,2320,20220518
63.93,63.96,63.89,63.895,2666,20220518
63.909,63.91,63.86,63.86,4730,20220518
63.86,63.87,63.83,63.85,3251,20220518
63.89,63.94,63.87,63.92,1436,20220518
63.94,63.94,63.89,63.935,2341,20220518
63.94,63.94,63.855,63.86,2331,20220518
63.87,63.9,63.85,63.9,5205,20220518
63.93,63.93,63.81,63.81,5808,20220518
63.815,63.87,63.815,63.85,3500,20220518
63.83,63.83,63.78,63.78,2378,20220518
63.79,63.81,63.75,63.75,9548,20220518
63.77,63.82,63.77,63.81,1949,20220518
63.82,63.84,63.79,63.83,3071,20220518
63.845,63.86,63.805,63.82,2557,20220518
63.82,63.83,63.78,63.79,2737,20220518
63.77,63.77,63.68,63.7,7721,20220518
63.689,63.7,63.61,63.6321,4953,20220518
63.64,63.675,63.6,63.67,4071,20220518
63.67,63.69,63.6,63.61,3599,20220518
63.62,63.6761,63.62,63.6761,2989,20220518
63.67,63.7,63.65,63.655,2633,20220518
63.64,63.65,63.63,63.64,2413,20220518
63.65,63.65,63.61,63.62,3679,20220518
63.6127,63.62,63.56,63.59,6281,20220518
63.59,63.59,63.56,63.58,3061,20220518
63.58,63.615,63.56,63.58,3000,20220518
63.59,63.64,63.59,63.61,2950,20220518
63.61,63.61,63.53,63.53,4164,20220518
63.54,63.59,63.54,63.57,4316,20220518
63.56,63.57,63.53,63.55,5034,20220518
63.55,63.57,63.525,63.53,4647,20220518
63.525,63.55,63.44,63.55,21392,20220518
63.54,63.56,63.5,63.53,3630,20220518
63.53,63.59,63.52,63.59,3535,20220518
63.59,63.62,63.54,63.62,3077,20220518
63.64,63.67,63.6301,63.6301,9222,20220518
63.62,63.64,63.61,63.62,12527,20220518
63.63,63.67,63.61,63.64,7500,20220518
63.67,63.74,63.66,63.73,4971,20220518
63.7479,63.8,63.7479,63.79,5474,20220518
63.78,63.795,63.74,63.75,15672,20220518
63.75,63.75,63.69,63.725,6898,20220518
63.73,63.746,63.695,63.695,8681,20220518
63.695,63.695,63.63,63.63,6466,20220518
63.615,63.63,63.6,63.6,4284,20220518
63.6,63.6,63.5,63.5,5034,20220518
63.51,63.539,63.485,63.485,4060,20220518
63.45,63.5,63.44,63.46,4890,20220518
63.44,63.46,63.41,63.41,4940,20220518
63.41,63.44,63.4,63.44,7370,20220518
63.44,63.53,63.43,63.52,8324,20220518
63.51,63.51,63.47,63.48,3355,20220518
63.4736,63.48,63.38,63.38,6280,20220518
63.38,63.42,63.38,63.41,13556,20220518
63.41,63.42,63.395,63.41,2732,20220518
63.4,63.43,63.385,63.43,5393,20220518
63.415,63.5,63.41,63.5,3436,20220518
63.5,63.5,63.47,63.5,5754,20220518
63.5,63.54,63.5,63.52,6001,20220518
63.5276,63.54,63.5101,63.53,4790,20220518
63.53,63.54,63.46,63.48,4946,20220518
63.48,63.57,63.48,63.57,4935,20220518
63.579,63.6,63.564,63.6,5290,20220518
63.6,63.63,63.585,63.63,4274,20220518
63.63,63.63,63.585,63.6,6602,20220518
63.609,63.66,63.609,63.65,5333,20220518
63.64,63.64,63.57,63.59,6353,20220518
63.58,63.6,63.55,63.59,4763,20220518
63.6,63.67,63.6,63.67,4933,20220518
63.68,63.75,63.68,63.75,2919,20220518
63.75,63.75,63.74,63.74,3074,20220518
63.735,63.8,63.73,63.8,3634,20220518
63.8,63.87,63.8,63.8455,4144,20220518
63.86,63.899,63.86,63.89,2633,20220518
63.89,63.92,63.89,63.915,4849,20220518
63.91,63.92,63.9,63.9,4353,20220518
63.89,63.92,63.89,63.92,2787,20220518
63.91,63.92,63.9,63.91,2115,20220518
63.9,63.9,63.84,63.85,5386,20220518
63.86,63.86,63.84,63.86,2890,20220518
63.87,63.895,63.87,63.885,2464,20220518
63.89,63.89,63.85,63.865,2800,20220518
63.84,63.84,63.79,63.79,3885,20220518
63.79,63.79,63.76,63.76,2200,20220518
63.77,63.79,63.76,63.76,3521,20220518
63.76,63.76,63.72,63.72,7536,20220518
63.72,63.72,63.67,63.68,16032,20220518
63.675,63.675,63.6,63.6,6747,20220518
63.62,63.65,63.615,63.64,5200,20220518
63.64,63.645,63.6,63.61,2557,20220518
63.6,63.6,63.57,63.57,1251,20220518
63.57,63.57,63.51,63.53,2568,20220518
63.52,63.53,63.49,63.49,3033,20220518
63.48,63.49,63.47,63.4701,2979,20220518
63.48,63.53,63.48,63.48,5905,20220518
