open,high,low,close,volume,datetime
138.1,138.28,137.01,137.51,8903,20220518
136.98,136.98,136.65,136.65,300,20220518
136.79,136.86,136.43,136.86,400,20220518
136.52,136.99,136.52,136.96,300,20220518
137.3,137.54,136.69,136.69,2600,20220518
136.465,136.77,135.95,136.77,1400,20220518
136.58,137.24,136.58,137.24,2400,20220518
137.28,137.29,137.28,137.29,300,20220518
137.32,137.32,136.6,136.86,700,20220518
136.93,137.21,136.812,137.2,600,20220518
137.38,137.61,137.38,137.61,300,20220518
137.33,137.33,137.33,137.33,100,20220518
137.32,137.32,136.88,137.23,1150,20220518
137.18,137.18,137.17,137.17,200,20220518
137.65,138.04,137.65,138.04,400,20220518
138.1,138.1,137.92,137.92,1180,20220518
138.1,138.56,138.065,138.56,700,20220518
138.39,138.5,138.39,138.5,600,20220518
138.28,138.73,138.28,138.73,500,20220518
138.59,138.59,138.35,138.535,600,20220518
138.55,138.765,138.55,138.765,1100,20220518
138.56,138.56,138.15,138.3,2994,20220518
138.285,138.46,138.21,138.21,877,20220518
138.53,138.53,138.53,138.53,100,20220518
138.06,138.11,138.06,138.11,1100,20220518
138.115,138.705,138.115,138.705,500,20220518
138.66,138.66,138.36,138.36,680,20220518
138.65,138.73,138.5,138.73,800,20220518
138.99,139.26,138.99,139.02,400,20220518
138.97,139.105,138.75,139.105,3093,20220518
139.195,139.195,139.1,139.135,700,20220518
139.16,139.31,139.16,139.31,200,20220518
139.43,139.4813,139.4,139.4813,700,20220518
139.37,139.37,138.9,138.9,1451,20220518
139.085,139.36,138.82,139.36,700,20220518
139.26,139.26,139.26,139.26,100,20220518
139.295,139.5,139.295,139.482,1485,20220518
139.5,139.5,139.17,139.17,922,20220518
139.47,139.47,139.14,139.14,407,20220518
139.14,139.32,139.14,139.32,200,20220518
139.18,139.2,138.95,138.95,1543,20220518
138.81,138.97,138.748,138.748,900,20220518
139.07,139.17,139.07,139.16,406,20220518
138.77,138.8,138.77,138.78,900,20220518
138.995,138.995,138.84,138.84,450,20220518
139.1,139.1,138.98,138.98,800,20220518
139.08,139.21,138.82,138.82,1000,20220518
138.67,138.795,138.67,138.795,200,20220518
138.44,138.44,138.44,138.44,100,20220518
138.555,138.565,138.555,138.565,660,20220518
138.52,138.52,138.31,138.31,1103,20220518
138.18,138.39,138.18,138.39,691,20220518
138.385,138.395,138.16,138.285,2115,20220518
138.43,138.43,137.84,137.995,900,20220518
137.88,137.9,137.855,137.855,300,20220518
138.0,138.01,137.81,137.915,600,20220518
137.83,137.92,137.775,137.81,800,20220518
137.98,137.98,137.98,137.98,100,20220518
137.84,137.84,137.84,137.84,100,20220518
137.835,137.835,137.835,137.835,100,20220518
137.83,137.85,137.83,137.85,300,20220518
137.7,137.885,137.7,137.885,601,20220518
137.755,137.755,137.755,137.755,100,20220518
137.93,138.01,137.93,138.01,600,20220518
137.99,138.06,137.81,138.05,1400,20220518
138.12,138.23,138.12,138.23,200,20220518
138.37,138.37,138.08,138.08,628,20220518
137.831,137.831,137.831,137.831,100,20220518
137.88,138.02,137.65,138.02,414,20220518
138.05,138.05,138.05,138.05,203,20220518
138.12,138.54,138.12,138.42,923,20220518
138.45,138.45,138.45,138.45,200,20220518
138.26,138.26,138.21,138.21,202,20220518
137.975,137.975,137.87,137.87,500,20220518
137.62,137.77,137.62,137.77,970,20220518
137.465,137.465,137.465,137.465,117,20220518
137.58,138.01,137.39,138.01,4281,20220518
137.915,138.11,137.915,138.09,400,20220518
137.98,138.19,137.98,138.18,700,20220518
138.21,138.24,138.21,138.24,200,20220518
137.88,137.88,137.88,137.88,100,20220518
137.92,137.92,137.92,137.92,100,20220518
137.67,137.67,137.52,137.52,370,20220518
137.5,137.5,137.48,137.48,670,20220518
137.13,137.13,137.03,137.03,984,20220518
137.14,137.18,137.14,137.18,243,20220518
137.085,137.085,137.085,137.085,200,20220518
137.25,137.32,137.25,137.32,201,20220518
137.25,137.25,137.16,137.16,400,20220518
136.82,136.82,136.8,136.8,200,20220518
136.67,136.67,136.59,136.59,200,20220518
136.51,136.595,136.51,136.595,200,20220518
136.71,136.79,136.71,136.79,1161,20220518
136.755,136.755,136.65,136.65,302,20220518
136.57,136.66,136.56,136.565,2443,20220518
136.485,136.485,136.39,136.39,600,20220518
136.39,136.39,136.11,136.11,1216,20220518
135.65,135.65,135.65,135.65,165,20220518
135.75,135.81,135.74,135.81,1301,20220518
136.02,136.02,136.02,136.02,100,20220518
136.33,136.33,136.33,136.33,100,20220518
136.28,136.3,136.09,136.3,653,20220518
136.54,136.78,136.54,136.77,800,20220518
136.63,136.63,136.5,136.5,539,20220518
136.24,136.24,136.155,136.155,300,20220518
136.32,136.33,136.32,136.33,385,20220518
136.55,136.55,136.55,136.55,100,20220518
136.88,136.88,136.88,136.88,100,20220518
136.74,136.89,136.74,136.89,600,20220518
136.78,136.9,136.66,136.66,800,20220518
136.81,136.81,136.81,136.81,600,20220518
136.785,136.785,136.785,136.785,100,20220518
136.895,136.895,136.895,136.895,100,20220518
136.83,136.98,136.83,136.98,1041,20220518
136.84,136.84,136.84,136.84,100,20220518
136.85,136.85,136.85,136.85,100,20220518
136.76,136.76,136.41,136.41,815,20220518
136.49,136.57,136.49,136.57,750,20220518
136.61,136.61,136.61,136.61,100,20220518
136.27,136.39,136.27,136.31,300,20220518
136.44,136.44,136.29,136.29,819,20220518
136.33,136.33,136.18,136.18,200,20220518
135.99,135.99,135.99,135.99,129,20220518
136.09,136.09,136.08,136.09,500,20220518
136.21,136.21,136.21,136.21,100,20220518
136.105,136.105,136.105,136.105,100,20220518
135.97,136.04,135.97,136.04,200,20220518
135.81,135.81,135.81,135.81,100,20220518
135.8,135.8,135.8,135.8,101,20220518
135.98,135.98,135.98,135.98,200,20220518
135.92,135.985,135.92,135.985,300,20220518
136.08,136.09,136.01,136.01,600,20220518
136.18,136.18,136.18,136.18,100,20220518
136.11,136.195,136.11,136.195,200,20220518
136.26,136.39,136.25,136.305,844,20220518
136.42,136.74,136.42,136.72,501,20220518
136.57,136.57,136.46,136.46,515,20220518
136.41,136.41,136.405,136.405,200,20220518
136.47,136.51,136.28,136.28,400,20220518
136.22,136.22,136.11,136.11,384,20220518
135.95,135.99,135.95,135.99,424,20220518
135.75,135.9,135.7,135.775,2713,20220518
135.84,135.94,135.62,135.87,5371,20220518
135.87,135.905,135.87,135.905,2200,20220518
135.57,135.57,135.57,135.57,215,20220518
135.643,135.73,135.575,135.72,1028,20220518
135.49,135.57,135.49,135.57,1406,20220518
135.49,135.64,135.49,135.64,338,20220518
135.49,135.49,135.38,135.385,2010,20220518
135.435,135.435,135.435,135.435,1500,20220518
135.645,135.645,135.645,135.645,100,20220518
135.74,135.74,135.73,135.73,500,20220518
135.58,135.67,135.58,135.655,309,20220518
135.65,135.73,135.65,135.73,300,20220518
135.81,135.88,135.81,135.88,205,20220518
136.03,136.48,136.03,136.385,4883,20220518
136.24,136.27,136.24,136.27,300,20220518
136.14,136.23,136.07,136.23,2135,20220518
136.37,136.4,136.29,136.4,301,20220518
136.35,136.35,136.35,136.35,200,20220518
136.27,136.355,136.27,136.285,300,20220518
