open,high,low,close,volume,datetime
100.12,100.12,100.12,100.12,9007,20220518
100.415,100.415,99.935,99.935,700,20220518
99.585,99.585,99.585,99.585,100,20220518
99.58,99.6209,99.51,99.59,1300,20220518
99.74,99.74,99.3,99.43,1660,20220518
99.47,99.575,99.47,99.57,809,20220518
99.545,99.665,99.465,99.465,1500,20220518
99.465,99.54,99.3,99.5,1300,20220518
99.34,99.36,99.3253,99.3253,450,20220518
99.22,99.24,99.16,99.24,492,20220518
99.115,99.33,99.105,99.13,1230,20220518
99.04,99.23,99.0,99.2,1598,20220518
99.05,99.14,98.905,98.905,1492,20220518
98.98,99.14,98.98,99.12,1900,20220518
99.075,99.13,98.94,99.11,1760,20220518
98.99,99.08,98.87,99.07,7156,20220518
98.97,98.985,98.7812,98.87,1250,20220518
98.67,98.67,98.5,98.55,400,20220518
98.51,98.71,98.49,98.605,2517,20220518
98.52,98.67,98.5,98.53,1300,20220518
98.4704,98.63,98.4704,98.61,600,20220518
98.535,98.535,98.17,98.2,2905,20220518
98.18,98.21,98.09,98.21,2375,20220518
98.16,98.16,98.01,98.02,5560,20220518
98.05,98.05,97.935,97.99,1695,20220518
98.0,98.41,98.0,98.41,2729,20220518
98.45,98.65,98.41,98.535,503,20220518
98.4,98.51,98.28,98.44,6728,20220518
98.345,98.395,98.275,98.275,700,20220518
98.275,98.45,98.15,98.34,5201,20220518
98.36,98.43,98.1,98.32,13665,20220518
98.2,98.27,98.11,98.17,5607,20220518
98.065,98.16,97.88,97.88,10078,20220518
97.72,97.8,97.59,97.59,1100,20220518
97.61,97.72,97.61,97.63,1454,20220518
97.565,97.565,97.33,97.43,2300,20220518
97.3,97.355,97.23,97.28,1996,20220518
97.28,97.39,97.275,97.34,900,20220518
97.2653,97.325,96.9821,97.055,4813,20220518
97.0,97.17,97.0,97.09,1762,20220518
97.14,97.175,97.1152,97.175,994,20220518
97.06,97.12,96.98,97.1,1996,20220518
97.065,97.114,96.92,96.92,800,20220518
96.895,96.98,96.875,96.97,2050,20220518
96.985,97.019,96.96,97.019,500,20220518
97.0,97.18,97.0,97.18,700,20220518
97.19,97.19,97.04,97.1,2202,20220518
97.06,97.06,97.04,97.04,802,20220518
97.005,97.039,96.96,96.985,400,20220518
96.95,97.08,96.95,97.065,900,20220518
96.94,96.95,96.84,96.84,300,20220518
96.9,96.99,96.85,96.85,1450,20220518
96.81,96.81,96.66,96.73,3760,20220518
96.735,96.85,96.735,96.7675,904,20220518
96.74,96.975,96.74,96.975,1200,20220518
96.95,96.98,96.81,96.81,3714,20220518
96.695,96.84,96.67,96.81,2588,20220518
96.82,96.85,96.75,96.76,698,20220518
96.73,96.84,96.66,96.81,4919,20220518
96.81,96.93,96.74,96.93,1078,20220518
96.84,96.84,96.66,96.7379,1430,20220518
96.715,96.74,96.65,96.65,942,20220518
96.64,96.71,96.635,96.71,2594,20220518
96.73,96.88,96.7,96.88,4508,20220518
96.92,96.96,96.9,96.925,1712,20220518
96.91,96.91,96.73,96.745,2745,20220518
96.745,96.77,96.71,96.77,400,20220518
96.83,96.884,96.825,96.83,1293,20220518
96.825,96.91,96.77,96.91,2508,20220518
96.88,96.95,96.83,96.95,2226,20220518
96.915,96.95,96.82,96.84,1550,20220518
96.84,96.84,96.65,96.68,1400,20220518
96.675,96.73,96.595,96.73,8003,20220518
96.7,96.7,96.58,96.62,2002,20220518
96.56,96.56,96.44,96.465,4536,20220518
96.43,96.47,96.305,96.305,2305,20220518
96.38,96.58,96.38,96.5,1474,20220518
96.535,96.535,96.405,96.405,722,20220518
96.39,96.42,96.37,96.37,792,20220518
96.4,96.47,96.4,96.47,1409,20220518
96.47,96.52,96.405,96.515,1100,20220518
96.49,96.49,96.39,96.39,700,20220518
96.44,96.44,96.34,96.34,482,20220518
96.365,96.38,96.145,96.145,34375,20220518
96.15,96.25,96.15,96.225,1315,20220518
96.16,96.2,96.135,96.175,1374,20220518
96.21,96.21,95.86,95.935,5531,20220518
95.9,96.11,95.8,96.11,12064,20220518
96.01,96.03,95.955,95.96,1279,20220518
95.98,95.98,95.75,95.75,1005,20220518
95.8269,96.005,95.8269,95.96,1514,20220518
95.99,96.12,95.985,95.985,1300,20220518
96.0,96.0,95.86,95.895,1814,20220518
95.93,95.93,95.81,95.885,900,20220518
95.95,95.98,95.84,95.93,800,20220518
95.85,95.92,95.85,95.905,996,20220518
95.91,95.91,95.7975,95.81,2000,20220518
