open,high,low,close,volume,datetime
158.3,158.335,158.12,158.16,34527,20220518
158.19,158.325,158.19,158.19,1499,20220518
157.94,158.06,157.79,158.045,2098,20220518
157.95,157.96,157.835,157.8775,2223,20220518
158.02,158.02,157.71,157.71,1495,20220518
157.835,157.95,157.825,157.88,3970,20220518
157.935,158.11,157.86,157.86,2700,20220518
157.87,157.87,157.51,157.51,1702,20220518
157.66,157.665,157.2,157.2,3777,20220518
157.165,157.165,156.995,157.05,3010,20220518
157.075,157.075,157.0,157.01,800,20220518
157.02,157.04,156.98,157.02,1200,20220518
156.96,156.96,156.81,156.81,747,20220518
156.78,156.89,156.69,156.69,1834,20220518
156.7,156.71,156.57,156.71,1000,20220518
156.58,156.62,156.54,156.55,2563,20220518
156.6,156.6,156.36,156.53,2680,20220518
156.49,156.49,156.365,156.365,300,20220518
156.475,156.605,156.46,156.465,1043,20220518
156.51,156.52,156.25,156.25,1719,20220518
156.4,156.46,156.2846,156.31,1655,20220518
156.09,156.12,156.05,156.05,300,20220518
156.0,156.0,155.75,155.75,1100,20220518
155.76,155.76,155.51,155.73,2751,20220518
155.74,155.74,155.51,155.645,3197,20220518
155.61,155.7,155.52,155.63,4137,20220518
155.62,155.62,155.37,155.43,3097,20220518
155.42,155.54,155.27,155.51,3857,20220518
155.63,155.75,155.58,155.68,3444,20220518
155.7,155.92,155.57,155.83,3785,20220518
155.84,155.84,155.65,155.78,3284,20220518
155.77,155.82,155.67,155.71,1608,20220518
155.62,155.73,155.615,155.725,1219,20220518
155.725,155.89,155.725,155.88,894,20220518
155.9,155.94,155.785,155.785,2336,20220518
155.73,155.93,155.68,155.68,2182,20220518
155.785,155.785,155.68,155.68,600,20220518
155.66,155.66,155.55,155.65,636,20220518
155.57,155.62,155.51,155.62,957,20220518
155.51,155.545,155.32,155.32,1861,20220518
155.25,155.3,155.1,155.1,4537,20220518
155.135,155.21,155.04,155.085,1042,20220518
155.0,155.04,154.905,155.0077,4264,20220518
155.0,155.1,155.0,155.09,1000,20220518
155.08,155.16,155.06,155.145,2445,20220518
155.12,155.21,155.08,155.175,9945,20220518
155.26,155.3,155.09,155.09,2723,20220518
155.12,155.14,155.085,155.13,500,20220518
155.13,155.24,155.13,155.16,1008,20220518
155.15,155.18,155.07,155.07,1687,20220518
155.07,155.28,155.07,155.22,2222,20220518
155.31,155.31,155.13,155.13,850,20220518
155.145,155.21,155.08,155.08,910,20220518
155.07,155.15,155.01,155.02,2771,20220518
154.98,155.13,154.96,155.05,1592,20220518
155.115,155.24,155.115,155.2,1012,20220518
155.25,155.25,155.25,155.25,200,20220518
155.31,155.46,155.31,155.42,880,20220518
155.465,155.465,155.26,155.26,3139,20220518
155.21,155.21,155.09,155.09,500,20220518
154.9,155.06,154.89,155.06,900,20220518
155.01,155.02,155.01,155.02,220,20220518
155.01,155.015,154.82,154.82,1305,20220518
154.8,154.87,154.8,154.81,1068,20220518
154.805,154.9,154.75,154.885,1924,20220518
154.8596,154.97,154.8596,154.9,2774,20220518
154.86,154.96,154.85,154.85,1175,20220518
154.8,154.86,154.78,154.84,2207,20220518
154.86,155.08,154.86,155.08,2672,20220518
155.145,155.145,155.11,155.14,1100,20220518
155.1,155.16,154.94,155.0,3574,20220518
155.05,155.12,155.05,155.085,600,20220518
155.15,155.255,155.145,155.19,2064,20220518
155.17,155.21,155.17,155.21,500,20220518
155.17,155.2,155.16,155.16,1200,20220518
155.13,155.13,155.11,155.11,500,20220518
155.085,155.185,155.085,155.185,1748,20220518
155.15,155.15,155.1,155.13,737,20220518
155.2,155.36,155.2,155.32,2674,20220518
155.31,155.31,155.25,155.25,444,20220518
155.18,155.2,155.06,155.06,801,20220518
155.1,155.1,154.96,154.96,300,20220518
154.99,154.992,154.965,154.965,1008,20220518
154.955,155.0,154.92,154.92,1670,20220518
154.99,155.035,154.99,155.01,942,20220518
154.96,155.11,154.96,155.01,750,20220518
155.09,155.09,155.03,155.055,525,20220518
155.03,155.15,155.03,155.04,2477,20220518
155.04,155.09,155.04,155.055,900,20220518
155.07,155.07,155.0,155.0,1000,20220518
155.04,155.04,154.99,155.04,1351,20220518
155.05,155.15,155.05,155.06,1479,20220518
155.15,155.15,154.97,154.97,1847,20220518
154.95,154.98,154.95,154.98,770,20220518
154.98,155.08,154.97,155.08,2473,20220518
155.16,155.27,155.16,155.27,570,20220518
155.25,155.3,155.09,155.09,2348,20220518
155.0706,155.2,155.06,155.2,1044,20220518
155.15,155.15,155.11,155.11,947,20220518
155.06,155.12,154.94,154.94,2950,20220518
154.91,154.91,154.82,154.82,500,20220518
154.76,154.94,154.76,154.895,1088,20220518
154.935,154.935,154.935,154.935,100,20220518
154.91,154.91,154.9,154.9,300,20220518
154.91,154.94,154.91,154.9263,732,20220518
154.97,154.98,154.81,154.81,4904,20220518
154.81,154.89,154.81,154.84,853,20220518
154.83,154.83,154.73,154.73,1519,20220518
154.78,154.79,154.73,154.755,1712,20220518
154.75,154.76,154.72,154.73,631,20220518
154.73,154.73,154.67,154.7,400,20220518
154.68,154.68,154.68,154.68,100,20220518
154.62,154.62,154.47,154.47,1997,20220518
154.4,154.4,154.4,154.4,100,20220518
154.36,154.47,154.36,154.45,1686,20220518
154.5,154.5,154.465,154.465,370,20220518
154.58,154.58,154.48,154.48,570,20220518
154.46,154.475,154.46,154.475,762,20220518
154.38,154.435,154.28,154.37,2531,20220518
154.41,154.43,154.35,154.43,810,20220518
154.32,154.515,154.32,154.515,600,20220518
154.66,154.67,154.66,154.67,300,20220518
154.57,154.77,154.57,154.735,1218,20220518
154.68,154.76,154.66,154.75,654,20220518
154.89,155.19,154.8,155.08,682,20220518
155.04,155.04,154.91,154.93,1076,20220518
154.93,155.0307,154.93,154.98,600,20220518
154.91,154.955,154.88,154.89,1108,20220518
154.93,154.93,154.77,154.77,825,20220518
154.785,154.86,154.785,154.81,1304,20220518
154.825,155.015,154.825,154.99,1143,20220518
155.0007,155.06,154.93,155.05,1036,20220518
155.06,155.06,154.89,154.91,1537,20220518
154.89,155.03,154.89,155.03,801,20220518
155.14,155.14,155.0,155.03,636,20220518
154.96,155.02,154.96,155.02,400,20220518
155.06,155.06,154.97,154.97,1244,20220518
155.03,155.03,154.86,154.86,1642,20220518
154.825,154.96,154.825,154.96,600,20220518
154.9,155.03,154.9,155.03,609,20220518
155.01,155.03,154.99,154.99,548,20220518
154.98,155.02,154.91,154.98,1629,20220518
154.94,154.94,154.77,154.77,1500,20220518
154.77,154.78,154.69,154.69,468,20220518
154.73,154.74,154.73,154.74,238,20220518
154.77,154.77,154.69,154.69,1124,20220518
154.69,154.69,154.69,154.69,190,20220518
154.7,154.7,154.7,154.7,100,20220518
154.75,154.75,154.75,154.75,100,20220518
154.68,154.685,154.64,154.685,664,20220518
154.65,154.69,154.61,154.69,1977,20220518
154.64,154.64,154.525,154.525,600,20220518
154.525,154.57,154.525,154.535,608,20220518
154.56,154.585,154.52,154.52,1919,20220518
154.51,154.6,154.51,154.58,769,20220518
154.52,154.53,154.495,154.495,901,20220518
154.52,154.625,154.52,154.625,836,20220518
154.57,154.66,154.57,154.59,2251,20220518
154.63,154.68,154.5667,154.67,1924,20220518
154.72,154.75,154.705,154.75,768,20220518
154.82,154.9,154.815,154.9,1780,20220518
154.85,154.93,154.82,154.82,1452,20220518
154.815,154.98,154.815,154.98,869,20220518
154.95,154.99,154.95,154.99,201,20220518
154.95,154.95,154.95,154.95,225,20220518
154.91,154.91,154.835,154.835,701,20220518
154.87,154.89,154.83,154.83,620,20220518
154.81,154.84,154.74,154.785,2058,20220518
154.74,154.74,154.74,154.74,100,20220518
154.72,154.72,154.645,154.645,576,20220518
154.635,154.635,154.54,154.54,800,20220518
154.53,154.61,154.53,154.57,988,20220518
154.46,154.48,154.43,154.43,1100,20220518
154.375,154.38,154.375,154.38,200,20220518
154.4,154.54,154.39,154.52,1651,20220518
154.48,154.525,154.446,154.525,595,20220518
154.46,154.495,154.425,154.47,1460,20220518
154.46,154.5,154.45,154.5,1558,20220518
154.53,154.53,154.52,154.52,300,20220518
154.58,154.585,154.58,154.585,1159,20220518
154.605,154.64,154.605,154.61,941,20220518
154.58,154.65,154.555,154.65,1143,20220518
154.69,154.7,154.6,154.6285,2231,20220518
154.645,154.645,154.6,154.61,944,20220518
154.58,154.58,154.495,154.495,523,20220518
154.545,154.74,154.545,154.74,3671,20220518
154.68,154.68,154.68,154.68,100,20220518
154.59,154.64,154.575,154.585,1400,20220518
154.62,154.62,154.62,154.62,100,20220518
154.6,154.6,154.54,154.54,300,20220518
154.53,154.54,154.53,154.54,354,20220518
154.565,154.61,154.53,154.53,4009,20220518
154.55,154.59,154.55,154.59,1281,20220518
154.52,154.52,154.48,154.48,700,20220518
154.49,154.5704,154.45,154.5704,2006,20220518
154.59,154.65,154.59,154.65,800,20220518
154.65,154.65,154.61,154.61,501,20220518
154.7,154.75,154.7,154.7,601,20220518
154.73,154.76,154.73,154.735,1121,20220518
