open,high,low,close,volume,datetime
41.1,41.1,41.1,41.1,1728,20220518
40.98,41.4,40.98,40.98,400,20220518
40.91,41.15,40.91,41.14,1300,20220518
41.23,41.23,41.23,41.23,100,20220518
41.28,41.28,41.28,41.28,100,20220518
41.24,41.28,41.21,41.21,607,20220518
41.29,41.29,41.29,41.29,100,20220518
41.25,41.25,41.25,41.25,100,20220518
41.18,41.18,41.18,41.18,100,20220518
41.2,41.2,41.13,41.13,200,20220518
41.1,41.1,41.1,41.1,100,20220518
41.1,41.1,41.1,41.1,100,20220518
41.15,41.17,41.15,41.17,200,20220518
41.175,41.175,41.175,41.175,100,20220518
41.205,41.205,41.205,41.205,100,20220518
41.155,41.155,41.04,41.04,700,20220518
41.03,41.03,40.91,40.91,800,20220518
40.84,40.84,40.7301,40.7301,652,20220518
40.83,40.83,40.8,40.82,400,20220518
40.8412,40.8412,40.8412,40.8412,500,20220518
40.75,40.75,40.75,40.75,400,20220518
40.79,40.79,40.72,40.72,315,20220518
40.6501,40.6501,40.6501,40.6501,100,20220518
40.69,40.69,40.69,40.69,100,20220518
40.63,40.63,40.59,40.59,400,20220518
40.53,40.53,40.53,40.53,100,20220518
40.58,40.63,40.58,40.59,925,20220518
40.59,40.65,40.59,40.65,200,20220518
40.57,40.57,40.42,40.42,1221,20220518
40.38,40.43,40.37,40.43,904,20220518
40.41,40.41,40.41,40.41,100,20220518
40.4,40.41,40.4,40.41,200,20220518
40.44,40.44,40.44,40.44,100,20220518
40.27,40.27,40.27,40.27,100,20220518
40.21,40.22,40.14,40.14,570,20220518
40.22,40.22,40.22,40.22,100,20220518
40.195,40.195,40.195,40.195,100,20220518
40.19,40.19,40.19,40.19,100,20220518
40.13,40.13,40.13,40.13,120,20220518
40.19,40.24,40.19,40.19,1397,20220518
40.31,40.31,40.31,40.31,200,20220518
40.25,40.25,40.25,40.25,100,20220518
40.31,40.31,40.25,40.25,300,20220518
40.14,40.14,40.14,40.14,400,20220518
40.12,40.155,40.12,40.155,200,20220518
40.1,40.1,40.1,40.1,215,20220518
40.04,40.06,39.93,40.05,1113,20220518
39.995,39.995,39.995,39.995,100,20220518
39.995,39.995,39.995,39.995,100,20220518
40.01,40.11,40.0,40.11,2500,20220518
40.11,40.11,40.11,40.11,100,20220518
40.1,40.1,40.1,40.1,100,20220518
40.055,40.055,40.03,40.03,300,20220518
40.02,40.02,40.02,40.02,100,20220518
40.0064,40.0064,39.95,40.0064,300,20220518
39.95,39.95,39.95,39.95,100,20220518
39.95,39.95,39.91,39.91,901,20220518
39.94,39.97,39.94,39.97,306,20220518
39.97,39.97,39.97,39.97,100,20220518
39.95,39.99,39.95,39.98,506,20220518
39.9,39.9,39.9,39.9,816,20220518
39.96,39.96,39.96,39.96,300,20220518
39.81,39.81,39.81,39.81,100,20220518
39.855,39.855,39.855,39.855,100,20220518
39.815,39.815,39.815,39.815,100,20220518
39.76,39.8,39.76,39.8,530,20220518
39.87,39.91,39.87,39.91,865,20220518
39.9,39.9,39.9,39.9,100,20220518
39.85,39.85,39.85,39.85,100,20220518
39.72,39.72,39.72,39.72,500,20220518
39.73,39.73,39.73,39.73,100,20220518
39.77,39.77,39.77,39.77,100,20220518
39.75,39.75,39.75,39.75,100,20220518
39.755,39.755,39.755,39.755,100,20220518
39.75,39.75,39.46,39.59,25848,20220518
39.56,39.56,39.56,39.56,100,20220518
39.55,39.55,39.55,39.55,100,20220518
39.61,39.61,39.61,39.61,100,20220518
39.62,39.685,39.62,39.685,500,20220518
39.64,39.7008,39.64,39.7008,572,20220518
39.57,39.57,39.57,39.57,100,20220518
39.5,39.5,39.5,39.5,239,20220518
39.41,39.41,39.32,39.32,1417,20220518
39.295,39.295,39.295,39.295,544,20220518
39.3605,39.3605,39.25,39.25,1103,20220518
39.26,39.26,39.2,39.2,300,20220518
39.2,39.2,39.2,39.2,200,20220518
39.27,39.28,39.25,39.255,500,20220518
39.26,39.28,39.26,39.28,200,20220518
39.24,39.24,39.24,39.24,463,20220518
39.23,39.23,39.23,39.23,200,20220518
39.16,39.18,39.16,39.18,400,20220518
39.25,39.25,39.25,39.25,500,20220518
39.22,39.22,39.22,39.22,100,20220518
