open,high,low,close,volume,datetime
151.99,152.5,151.64,151.64,69410,20220517
151.8,151.89,151.75,151.84,1966,20220517
151.96,152.025,151.585,151.585,3344,20220517
151.63,151.66,151.36,151.445,2400,20220517
151.44,151.66,151.27,151.66,2707,20220517
151.63,151.87,151.62,151.67,6207,20220517
151.63,152.0,151.59,151.93,3297,20220517
152.18,152.18,151.92,152.1345,2765,20220517
152.03,152.03,151.76,151.78,1699,20220517
151.815,151.87,151.51,151.69,8217,20220517
151.74,151.75,151.6,151.6394,1527,20220517
151.52,151.54,151.38,151.3859,3349,20220517
151.3459,151.59,151.3459,151.4344,2450,20220517
151.34,151.6,151.26,151.39,5447,20220517
151.46,151.46,151.2571,151.33,3242,20220517
151.345,151.345,151.09,151.16,2047,20220517
151.22,151.22,151.03,151.065,3397,20220517
151.01,151.01,150.845,150.95,7329,20220517
150.84,150.84,150.6,150.66,7142,20220517
150.66,150.73,150.55,150.55,11831,20220517
150.52,150.91,150.52,150.8814,4841,20220517
150.9092,150.99,150.87,150.884,4569,20220517
150.8944,150.8944,150.72,150.81,1461,20220517
150.76,150.97,150.76,150.77,2325,20220517
150.77,150.895,150.76,150.83,9716,20220517
150.86,150.9,150.7,150.7,7844,20220517
150.676,150.676,150.58,150.65,1956,20220517
150.74,150.74,150.65,150.65,300,20220517
150.82,150.87,150.7961,150.8484,916,20220517
150.88,150.9999,150.87,150.9999,1148,20220517
151.0,151.38,151.0,151.38,2668,20220517
151.46,151.56,151.46,151.46,1200,20220517
151.31,151.33,151.24,151.24,1219,20220517
151.2,151.2,151.04,151.04,3645,20220517
150.985,151.04,150.95,150.95,1316,20220517
150.92,151.3387,150.92,151.3077,2610,20220517
151.32,151.32,151.17,151.17,2257,20220517
151.12,151.13,150.96,151.01,1971,20220517
151.02,151.02,150.85,150.85,1212,20220517
150.86,150.86,150.74,150.85,1100,20220517
150.85,150.98,150.85,150.98,1510,20220517
150.96,151.12,150.96,151.08,1254,20220517
151.11,151.32,151.11,151.2579,1449,20220517
151.25,151.32,151.13,151.1546,1865,20220517
151.22,151.28,151.15,151.16,2028,20220517
151.18,151.19,151.05,151.05,1494,20220517
151.06,151.1305,150.971,150.971,3751,20220517
150.995,151.01,150.94,151.0083,2215,20220517
151.01,151.01,150.954,150.98,1919,20220517
150.96,150.96,150.83,150.84,3150,20220517
150.87,150.91,150.85,150.87,2704,20220517
150.89,151.04,150.89,150.995,6385,20220517
150.97,151.0083,150.95,151.0083,1656,20220517
151.0,151.12,151.0,151.0311,1975,20220517
151.05,151.05,150.91,150.92,3686,20220517
150.979,150.979,150.86,150.8803,906,20220517
150.89,150.89,150.8004,150.8004,851,20220517
150.8,150.85,150.77,150.85,600,20220517
150.8248,150.86,150.8248,150.825,1659,20220517
150.8,150.89,150.78,150.79,1645,20220517
150.92,150.99,150.86,150.9597,2105,20220517
150.94,151.08,150.94,150.99,2450,20220517
150.8606,151.06,150.8606,151.06,1743,20220517
151.0784,151.0784,150.9901,150.9901,1160,20220517
151.01,151.0199,150.865,150.865,600,20220517
150.89,150.9,150.88,150.9,400,20220517
150.91,150.92,150.77,150.79,2316,20220517
150.76,150.79,150.7,150.79,2061,20220517
150.73,150.77,150.71,150.71,727,20220517
150.78,150.78,150.78,150.78,200,20220517
150.765,150.765,150.68,150.72,1637,20220517
150.67,150.8011,150.67,150.8011,1672,20220517
150.855,150.88,150.734,150.7417,3024,20220517
150.73,150.73,150.67,150.7,900,20220517
150.64,150.74,150.635,150.74,2394,20220517
150.73,150.73,150.6,150.62,1800,20220517
150.6,150.65,150.5511,150.65,5570,20220517
150.68,150.71,150.66,150.66,2554,20220517
150.76,150.76,150.727,150.74,605,20220517
150.7,150.81,150.7,150.81,2291,20220517
150.76,150.76,150.73,150.73,315,20220517
150.68,150.705,150.64,150.665,732,20220517
150.69,150.88,150.68,150.85,2571,20220517
150.83,150.8541,150.8,150.82,2767,20220517
150.875,150.875,150.795,150.81,4677,20220517
150.87,150.91,150.8301,150.855,1263,20220517
150.87,150.905,150.82,150.86,2623,20220517
150.87,150.89,150.87,150.89,740,20220517
150.905,150.97,150.8632,150.97,2328,20220517
150.9741,151.005,150.95,151.0,1730,20220517
151.03,151.11,151.03,151.045,1895,20220517
151.1,151.15,151.05,151.055,1584,20220517
151.15,151.15,150.96,151.01,2884,20220517
151.055,151.11,151.04,151.11,2082,20220517
151.1162,151.16,151.1,151.14,2869,20220517
151.15,151.2,151.1,151.14,3930,20220517
151.11,151.11,151.045,151.08,976,20220517
151.06,151.11,151.04,151.1,1614,20220517
151.14,151.15,151.095,151.13,1265,20220517
151.115,151.12,151.04,151.08,2608,20220517
151.04,151.04,150.91,150.91,4131,20220517
150.94,150.95,150.875,150.915,4383,20220517
150.93,151.01,150.92,150.93,3747,20220517
150.94,150.9677,150.925,150.94,3850,20220517
150.93,150.94,150.88,150.92,1661,20220517
150.92,150.955,150.89,150.93,7257,20220517
150.94,150.95,150.8,150.8,1553,20220517
150.79,151.02,150.79,151.02,1435,20220517
151.05,151.22,151.05,151.22,1295,20220517
151.25,151.25,151.15,151.21,1000,20220517
151.2,151.2,151.1501,151.19,730,20220517
151.1995,151.21,151.125,151.21,1366,20220517
151.2,151.2,151.0924,151.17,2151,20220517
151.22,151.26,151.15,151.26,1679,20220517
151.23,151.24,151.18,151.225,3403,20220517
151.19,151.26,151.16,151.16,7494,20220517
151.15,151.15,151.15,151.15,100,20220517
151.24,151.24,151.1217,151.1217,1542,20220517
151.13,151.23,151.13,151.2091,4295,20220517
151.15,151.24,151.13,151.13,1834,20220517
151.13,151.19,151.12,151.19,1626,20220517
151.2,151.22,151.19,151.22,1148,20220517
151.18,151.18,151.18,151.18,300,20220517
151.19,151.245,151.16,151.22,1483,20220517
151.24,151.2976,151.24,151.26,1700,20220517
151.2499,151.2499,151.14,151.2,1006,20220517
151.35,151.46,151.35,151.46,2473,20220517
151.4,151.426,151.34,151.426,3403,20220517
151.4,151.4,151.24,151.24,838,20220517
151.26,151.28,151.24,151.28,1157,20220517
151.34,151.34,151.3,151.334,7289,20220517
151.35,151.405,151.35,151.4,1204,20220517
151.41,151.41,151.2947,151.2947,1049,20220517
151.31,151.35,151.305,151.31,1221,20220517
151.295,151.35,151.28,151.35,2057,20220517
151.35,151.35,151.32,151.32,755,20220517
151.26,151.315,151.26,151.29,1023,20220517
151.27,151.3,151.16,151.16,2434,20220517
151.13,151.18,151.09,151.18,3550,20220517
151.16,151.22,151.14,151.14,1750,20220517
151.18,151.18,151.12,151.13,700,20220517
151.16,151.19,151.12,151.16,1897,20220517
151.16,151.16,151.09,151.13,4369,20220517
151.189,151.23,151.189,151.215,2530,20220517
151.26,151.31,151.26,151.26,889,20220517
151.25,151.29,151.24,151.27,1452,20220517
151.25,151.33,151.24,151.24,3441,20220517
151.23,151.25,151.215,151.25,600,20220517
151.23,151.2796,151.23,151.25,1436,20220517
151.26,151.26,151.21,151.235,1268,20220517
151.25,151.25,151.18,151.195,4455,20220517
151.19,151.2,151.16,151.16,1194,20220517
151.17,151.21,151.11,151.17,2450,20220517
151.2,151.22,151.135,151.15,2116,20220517
151.16,151.16,151.12,151.12,1607,20220517
151.12,151.12,150.97,150.97,2271,20220517
150.98,151.01,150.89,150.89,1603,20220517
150.855,150.94,150.855,150.94,2811,20220517
150.95,151.03,150.95,151.02,2790,20220517
151.03,151.05,151.02,151.05,1200,20220517
151.01,151.03,150.97,150.98,1300,20220517
150.99,151.1054,150.99,151.06,1764,20220517
151.06,151.18,151.06,151.18,1500,20220517
151.175,151.2,151.1093,151.1093,2032,20220517
151.14,151.207,151.14,151.17,994,20220517
151.17,151.25,151.17,151.24,1394,20220517
151.23,151.36,151.22,151.33,2622,20220517
151.34,151.4,151.34,151.38,1215,20220517
151.409,151.47,151.409,151.47,850,20220517
151.464,151.5,151.45,151.4901,742,20220517
151.53,151.5353,151.4861,151.4861,1174,20220517
151.5,151.56,151.457,151.5599,964,20220517
151.535,151.594,151.535,151.594,396,20220517
151.6,151.64,151.6,151.62,1659,20220517
151.635,151.65,151.62,151.64,406,20220517
151.62,151.73,151.62,151.645,1456,20220517
151.675,151.7242,151.675,151.7242,500,20220517
151.75,151.75,151.75,151.75,100,20220517
151.74,151.74,151.72,151.72,456,20220517
151.69,151.73,151.67,151.7,700,20220517
151.6867,151.72,151.66,151.66,1157,20220517
151.71,151.72,151.6608,151.6608,1327,20220517
151.6628,151.74,151.6628,151.72,3375,20220517
151.74,151.77,151.74,151.77,547,20220517
151.7835,151.86,151.7835,151.83,1959,20220517
151.86,151.86,151.8,151.8,950,20220517
151.81,151.88,151.81,151.88,1168,20220517
151.86,151.87,151.81,151.81,1732,20220517
151.79,151.865,151.79,151.865,1721,20220517
151.83,151.83,151.775,151.775,1092,20220517
151.7579,151.84,151.75,151.83,2426,20220517
151.84,151.8899,151.84,151.8899,217,20220517
