open,high,low,close,volume,datetime
54.02,54.21,53.96,53.96,160728,20220517
53.955,54.08,53.95,54.07,18202,20220517
54.05,54.06,53.89,53.89,19725,20220517
53.91,53.91,53.69,53.69,16586,20220517
53.68,53.72,53.62,53.65,21781,20220517
53.64,53.8,53.64,53.73,27951,20220517
53.74,53.89,53.7,53.8525,15888,20220517
53.85,53.99,53.83,53.97,26403,20220517
53.96,53.97,53.89,53.945,17680,20220517
53.94,53.94,53.82,53.84,20433,20220517
53.86,53.88,53.77,53.81,9843,20220517
53.81,53.82,53.76,53.76,8787,20220517
53.75,53.85,53.75,53.81,9601,20220517
53.82,53.96,53.81,53.95,20513,20220517
53.965,53.98,53.835,53.85,32098,20220517
53.86,53.925,53.86,53.89,17059,20220517
53.89,53.96,53.88,53.89,24609,20220517
53.895,53.95,53.84,53.84,125993,20220517
53.84,53.85,53.76,53.76,20878,20220517
53.75,53.79,53.73,53.77,13025,20220517
53.765,53.82,53.765,53.778,28298,20220517
53.77,53.79,53.735,53.745,16509,20220517
53.74,53.7402,53.68,53.74,26236,20220517
53.74,53.8,53.74,53.775,14735,20220517
53.78,53.82,53.763,53.8,13399,20220517
53.8,53.803,53.755,53.77,19389,20220517
53.77,53.78,53.735,53.77,21857,20220517
53.77,53.81,53.77,53.78,12325,20220517
53.77,53.88,53.75,53.88,20675,20220517
53.8791,53.98,53.8791,53.97,20270,20220517
53.975,53.98,53.875,53.94,28507,20220517
53.95,54.005,53.94,53.9739,12229,20220517
53.97,53.97,53.935,53.965,7816,20220517
53.965,53.97,53.89,53.91,9767,20220517
53.91,53.9159,53.88,53.89,8433,20220517
53.8969,53.8969,53.86,53.865,13861,20220517
53.86,53.86,53.78,53.78,12685,20220517
53.785,53.82,53.78,53.81,6893,20220517
53.815,53.82,53.775,53.8175,12220,20220517
53.815,53.86,53.815,53.855,18296,20220517
53.8575,53.88,53.8433,53.88,9187,20220517
53.875,54.0,53.875,53.995,17911,20220517
53.99,54.02,53.9707,54.0027,13696,20220517
54.005,54.02,53.985,54.02,4634,20220517
54.01,54.0188,53.995,54.015,11949,20220517
54.0121,54.05,54.0121,54.035,9421,20220517
54.035,54.0466,54.005,54.03,10233,20220517
54.03,54.055,54.01,54.05,12581,20220517
