open,high,low,close,volume,datetime
429.63,435.55,429.63,433.895,6319,20220518
435.12,436.05,435.04,436.05,400,20220518
437.0,438.0,437.0,438.0,200,20220518
437.27,439.0,436.325,439.0,800,20220518
440.18,440.325,439.73,440.31,1500,20220518
440.99,441.04,440.99,441.04,459,20220518
440.88,440.9,438.97,438.97,300,20220518
438.93,439.37,437.7,439.37,300,20220518
434.82,436.89,434.82,436.28,1400,20220518
437.76,437.88,437.25,437.25,700,20220518
437.15,437.15,435.21,435.21,200,20220518
438.57,438.57,438.57,438.57,100,20220518
437.9008,439.54,437.9008,439.54,808,20220518
440.52,440.55,440.52,440.53,300,20220518
439.505,439.54,439.505,439.54,200,20220518
440.135,440.135,439.55,439.55,800,20220518
440.4,440.4,440.4,440.4,100,20220518
441.0,441.0,440.5,440.5,388,20220518
440.55,440.97,440.19,440.97,1100,20220518
442.94,443.09,442.94,443.09,582,20220518
444.545,444.545,444.545,444.545,120,20220518
445.6,446.21,445.29,446.21,636,20220518
446.83,446.995,445.95,446.67,500,20220518
447.355,447.475,447.31,447.31,600,20220518
446.49,446.49,446.49,446.49,100,20220518
445.3452,446.77,445.3452,446.2,1050,20220518
445.72,445.77,445.72,445.77,300,20220518
445.67,445.67,444.7597,445.155,300,20220518
446.04,446.04,446.04,446.04,100,20220518
445.205,445.205,445.205,445.205,100,20220518
446.36,446.36,446.36,446.36,100,20220518
446.35,446.35,446.175,446.255,304,20220518
444.25,444.265,444.19,444.265,830,20220518
441.47,441.47,441.47,441.47,100,20220518
443.62,443.62,443.62,443.62,100,20220518
443.74,444.23,443.74,444.23,200,20220518
442.95,442.95,442.95,442.95,102,20220518
440.87,441.75,440.87,441.75,200,20220518
441.105,441.105,441.105,441.105,100,20220518
440.775,440.775,440.67,440.76,500,20220518
440.63,441.12,440.42,440.62,2300,20220518
440.745,440.805,440.42,440.715,700,20220518
440.72,440.72,440.72,440.72,201,20220518
440.62,440.62,440.62,440.62,100,20220518
442.195,442.195,442.195,442.195,100,20220518
441.755,441.755,441.18,441.21,527,20220518
441.96,441.96,441.7557,441.7557,237,20220518
441.66,441.66,441.66,441.66,100,20220518
442.515,442.515,442.515,442.515,100,20220518
442.835,442.835,442.835,442.835,200,20220518
441.7,441.7,441.3001,441.3001,200,20220518
441.3,441.36,440.875,441.36,1100,20220518
441.775,441.775,441.775,441.775,100,20220518
442.0,442.0,442.0,442.0,100,20220518
441.5,441.5,441.5,441.5,100,20220518
441.935,442.39,441.935,442.165,600,20220518
441.87,442.375,441.2,441.79,500,20220518
442.0,442.44,442.0,442.44,200,20220518
442.21,442.21,442.21,442.21,100,20220518
441.5,441.5,441.5,441.5,100,20220518
441.445,441.45,440.989,440.989,500,20220518
440.86,440.86,440.86,440.86,130,20220518
441.635,441.635,440.83,440.915,895,20220518
440.9,441.34,440.9,441.0,2400,20220518
440.85,441.0,440.74,440.79,400,20220518
440.325,440.6445,440.0015,440.6445,345,20220518
439.91,439.91,439.91,439.91,100,20220518
437.715,437.715,437.715,437.715,199,20220518
437.23,437.23,437.23,437.23,200,20220518
436.27,436.4,435.43,435.43,599,20220518
435.805,435.805,435.805,435.805,100,20220518
435.8,435.8,435.8,435.8,100,20220518
435.185,435.185,435.185,435.185,101,20220518
434.625,434.625,434.625,434.625,100,20220518
434.02,434.02,430.59,430.64,1400,20220518
430.64,430.98,430.07,430.57,7611,20220518
430.07,431.06,429.85,429.94,7629,20220518
429.54,429.54,429.06,429.495,400,20220518
