open,high,low,close,volume,datetime
92.56,92.93,92.55,92.58,457085,20220518
92.56,92.89,92.51,92.775,54673,20220518
92.756,93.0,92.756,93.0,46451,20220518
93.0,93.16,92.94,92.97,44530,20220518
92.95,92.97,92.73,92.97,33317,20220518
92.95,93.02,92.89,92.96,25519,20220518
92.92,93.04,92.88,92.96,26944,20220518
93.0032,93.0556,92.87,93.015,23376,20220518
93.0,93.02,92.92,92.93,26012,20220518
92.9115,92.95,92.86,92.88,28373,20220518
92.9,92.99,92.82,92.82,29239,20220518
92.83,92.89,92.78,92.79,20549,20220518
92.79,92.9,92.77,92.78,33840,20220518
92.77,92.875,92.77,92.81,18809,20220518
92.81,92.81,92.66,92.67,29369,20220518
92.68,92.915,92.64,92.915,34236,20220518
92.915,93.11,92.87,93.06,30288,20220518
93.05,93.05,92.895,92.97,37429,20220518
93.0,93.055,92.94,92.9915,23386,20220518
92.99,93.005,92.84,92.86,17530,20220518
92.87,92.9044,92.725,92.8,23857,20220518
92.81,92.81,92.59,92.6,22445,20220518
92.6,92.6,92.49,92.52,18285,20220518
92.53,92.68,92.53,92.68,28119,20220518
92.69,92.73,92.68,92.73,17057,20220518
92.74,92.75,92.68,92.68,20599,20220518
92.68,92.711,92.63,92.64,20989,20220518
92.63,92.66,92.49,92.54,82213,20220518
92.535,92.57,92.48,92.54,28151,20220518
92.55,92.67,92.54,92.67,10877,20220518
92.68,92.74,92.56,92.72,55963,20220518
92.72,92.73,92.51,92.54,21588,20220518
92.54,92.56,92.5,92.515,13439,20220518
92.51,92.6,92.5,92.6,31123,20220518
92.61,92.65,92.56,92.6,27745,20220518
92.6,92.6,92.37,92.37,17761,20220518
92.36,92.425,92.35,92.42,25136,20220518
92.41,92.42,92.221,92.24,22822,20220518
92.25,92.28,92.22,92.27,21469,20220518
92.27,92.34,92.22,92.23,24227,20220518
92.22,92.225,92.16,92.2,28100,20220518
92.19,92.33,92.18,92.31,22776,20220518
92.3199,92.38,92.3,92.35,18034,20220518
92.34,92.49,92.34,92.47,25798,20220518
92.47,92.6,92.46,92.6,24916,20220518
92.6,92.72,92.6,92.68,28509,20220518
92.685,92.685,92.58,92.58,25827,20220518
92.57,92.7,92.57,92.69,24386,20220518
92.69,92.7,92.64,92.7,22363,20220518
92.695,92.75,92.65,92.72,51429,20220518
92.7299,92.765,92.69,92.71,21159,20220518
92.71,92.72,92.68,92.7,81359,20220518
92.699,92.73,92.68,92.71,12923,20220518
92.7,92.715,92.68,92.7,12529,20220518
92.68,92.74,92.67,92.695,20765,20220518
92.69,92.72,92.62,92.62,22920,20220518
92.63,92.63,92.56,92.57,17070,20220518
92.56,92.6,92.53,92.58,16335,20220518
92.57,92.64,92.57,92.59,35297,20220518
92.6,92.625,92.525,92.57,23937,20220518
92.58,92.6,92.527,92.6,14742,20220518
92.61,92.61,92.55,92.57,15885,20220518
92.57,92.585,92.38,92.42,38932,20220518
92.42,92.49,92.39,92.45,30646,20220518
92.46,92.46,92.4,92.435,22389,20220518
92.43,92.57,92.42,92.49,10355,20220518
92.4935,92.59,92.46,92.46,20233,20220518
92.45,92.51,92.45,92.475,20644,20220518
92.475,92.49,92.45,92.4801,11354,20220518
92.49,92.51,92.42,92.4377,34687,20220518
92.43,92.49,92.395,92.4701,24059,20220518
92.48,92.51,92.43,92.495,17579,20220518
92.4982,92.51,92.47,92.48,14025,20220518
92.48,92.51,92.48,92.49,12853,20220518
92.49,92.5,92.39,92.39,14203,20220518
92.385,92.43,92.36,92.395,27193,20220518
92.395,92.41,92.355,92.36,21154,20220518
92.37,92.43,92.35,92.41,14788,20220518
92.42,92.51,92.42,92.46,13995,20220518
92.45,92.45,92.31,92.31,20607,20220518
92.31,92.31,92.16,92.175,20353,20220518
92.175,92.2,92.1,92.11,38912,20220518
92.11,92.15,92.06,92.135,21915,20220518
92.13,92.23,92.13,92.2,19264,20220518
92.205,92.26,92.13,92.15,23452,20220518
92.14,92.17,92.105,92.12,19862,20220518
92.11,92.27,92.05,92.205,24276,20220518
92.21,92.266,92.135,92.135,16184,20220518
92.11,92.19,92.11,92.18,27007,20220518
92.18,92.31,92.175,92.29,31312,20220518
92.285,92.295,92.21,92.23,19982,20220518
92.24,92.36,92.24,92.35,22904,20220518
92.36,92.43,92.355,92.355,26678,20220518
92.35,92.4,92.32,92.365,12702,20220518
92.365,92.385,92.27,92.27,26950,20220518
92.3,92.33,92.2999,92.325,11517,20220518
92.325,92.325,92.255,92.26,21347,20220518
92.24,92.2925,92.2,92.29,13600,20220518
92.295,92.335,92.295,92.32,16634,20220518
92.31,92.32,92.24,92.255,18642,20220518
92.26,92.26,92.1508,92.21,15726,20220518
92.205,92.26,92.2,92.25,12639,20220518
92.25,92.26,92.23,92.26,3659,20220518
92.26,92.28,92.23,92.26,10533,20220518
92.2501,92.26,92.25,92.2507,2376,20220518
92.26,92.27,92.25,92.255,5896,20220518
92.25,92.32,92.22,92.29,54367,20220518
92.29,92.32,92.28,92.31,10025,20220518
92.3,92.388,92.2901,92.388,33595,20220518
92.39,92.525,92.39,92.525,14932,20220518
92.52,92.525,92.49,92.491,14836,20220518
92.4888,92.49,92.44,92.455,13342,20220518
92.4517,92.48,92.42,92.42,11802,20220518
92.4,92.475,92.4,92.42,10117,20220518
92.415,92.43,92.4,92.42,37898,20220518
92.425,92.5,92.41,92.445,33900,20220518
92.44,92.46,92.4,92.46,11674,20220518
92.48,92.48,92.43,92.43,16994,20220518
92.42,92.53,92.3646,92.48,20204,20220518
92.48,92.48,92.36,92.425,16510,20220518
92.43,92.44,92.38,92.41,16514,20220518
92.39,92.44,92.33,92.43,12316,20220518
92.435,92.4499,92.32,92.335,10076,20220518
92.335,92.4,92.335,92.4,17116,20220518
92.39,92.48,92.39,92.4662,11565,20220518
92.48,92.49,92.455,92.47,9660,20220518
92.46,92.56,92.46,92.54,25331,20220518
92.54,92.545,92.4498,92.52,48285,20220518
92.555,92.56,92.52,92.56,12252,20220518
92.5614,92.57,92.505,92.53,19471,20220518
92.525,92.55,92.49,92.505,42013,20220518
92.505,92.59,92.49,92.58,14079,20220518
92.5779,92.6,92.49,92.56,15165,20220518
92.54,92.59,92.52,92.59,15179,20220518
92.59,92.64,92.58,92.585,27644,20220518
92.59,92.59,92.505,92.505,28395,20220518
92.5,92.59,92.5,92.555,21783,20220518
92.55,92.575,92.49,92.5,8531,20220518
92.4976,92.52,92.44,92.48,17311,20220518
92.49,92.52,92.46,92.46,25654,20220518
92.46,92.51,92.42,92.5,20817,20220518
92.5,92.51,92.49,92.5,7448,20220518
92.5,92.55,92.49,92.5071,14164,20220518
92.5,92.54,92.44,92.4434,9725,20220518
92.45,92.47,92.44,92.46,11200,20220518
92.445,92.5,92.43,92.5,11516,20220518
92.51,92.62,92.5,92.5,18381,20220518
92.51,92.55,92.51,92.52,6995,20220518
92.53,92.64,92.53,92.605,10110,20220518
92.6,92.67,92.6,92.62,18814,20220518
92.62,92.66,92.6062,92.66,6023,20220518
92.65,92.795,92.65,92.795,16823,20220518
92.795,92.797,92.74,92.76,8796,20220518
92.75,92.77,92.72,92.73,12662,20220518
92.72,92.7298,92.67,92.69,10069,20220518
92.685,92.685,92.57,92.57,11656,20220518
92.57,92.69,92.57,92.67,16378,20220518
92.68,92.7025,92.66,92.7,8984,20220518
92.69,92.7,92.67,92.69,6727,20220518
92.68,92.68,92.51,92.56,26597,20220518
92.55,92.64,92.55,92.63,13843,20220518
92.63,92.6885,92.61,92.6885,6419,20220518
92.6875,92.72,92.682,92.682,9972,20220518
92.69,92.7753,92.69,92.765,8615,20220518
92.77,92.84,92.77,92.835,12552,20220518
92.83,92.915,92.82,92.91,9783,20220518
92.905,92.96,92.9,92.94,14289,20220518
92.93,92.93,92.89,92.9,11501,20220518
92.89,92.89,92.836,92.875,9085,20220518
92.8732,92.875,92.79,92.83,20330,20220518
92.8239,92.87,92.82,92.87,8307,20220518
92.875,92.91,92.855,92.87,21514,20220518
92.87,92.93,92.87,92.92,12855,20220518
92.91,92.91,92.805,92.82,17671,20220518
92.82,92.85,92.76,92.765,10357,20220518
92.77,92.87,92.77,92.865,10230,20220518
92.8605,92.87,92.83,92.86,8838,20220518
92.87,92.91,92.8645,92.895,6853,20220518
92.89,92.9594,92.86,92.9594,10531,20220518
92.95,92.95,92.8807,92.9243,12916,20220518
92.93,92.94,92.909,92.915,18029,20220518
92.92,92.98,92.91,92.98,15128,20220518
92.9725,92.9725,92.9442,92.945,6772,20220518
92.94,92.95,92.8947,92.8947,10464,20220518
92.89,92.915,92.86,92.915,20951,20220518
92.915,92.92,92.85,92.89,15760,20220518
92.89,92.925,92.87,92.905,12655,20220518
92.909,92.909,92.86,92.86,9418,20220518
92.8534,92.855,92.7947,92.7947,16279,20220518
92.79,92.855,92.76,92.85,27669,20220518
92.85,92.85,92.77,92.79,15105,20220518
92.7927,92.81,92.7927,92.805,6988,20220518
92.805,92.83,92.8,92.815,14598,20220518
92.81,92.83,92.8,92.83,12543,20220518
92.825,92.83,92.715,92.715,17896,20220518
92.715,92.81,92.7,92.8064,15893,20220518
92.79,92.84,92.785,92.84,10759,20220518
92.8353,92.84,92.8,92.825,10149,20220518
92.82,92.82,92.75,92.7896,12530,20220518
92.79,92.81,92.78,92.81,6482,20220518
92.82,92.85,92.82,92.85,7387,20220518
92.85,92.85,92.81,92.85,7859,20220518
92.855,92.855,92.825,92.835,11027,20220518
92.835,92.84,92.7345,92.7345,9252,20220518
92.74,92.77,92.725,92.755,21009,20220518
92.755,92.78,92.73,92.78,14521,20220518
92.77,92.82,92.765,92.81,15051,20220518
92.815,92.89,92.815,92.89,4732,20220518
92.89,92.955,92.89,92.945,7439,20220518
92.94,92.96,92.92,92.92,49175,20220518
92.92,92.92,92.845,92.845,30486,20220518
92.84,92.84,92.76,92.765,7308,20220518
92.76,92.78,92.745,92.745,12097,20220518
92.74,92.74,92.68,92.69,10672,20220518
92.6901,92.76,92.6901,92.76,6996,20220518
92.75,92.75,92.68,92.68,15630,20220518
92.685,92.71,92.61,92.61,13199,20220518
92.5974,92.6266,92.59,92.605,5569,20220518
92.6,92.62,92.6,92.615,9324,20220518
92.62,92.625,92.57,92.6,22515,20220518
92.61,92.67,92.61,92.66,7791,20220518
92.65,92.685,92.63,92.635,20699,20220518
92.635,92.66,92.58,92.615,71173,20220518
92.61,92.64,92.585,92.63,44437,20220518
92.64,92.655,92.62,92.62,11162,20220518
92.61,92.66,92.605,92.66,11191,20220518
92.655,92.655,92.62,92.62,13261,20220518
92.615,92.655,92.605,92.64,22314,20220518
92.645,92.675,92.63,92.635,10504,20220518
92.64,92.67,92.595,92.595,14994,20220518
92.6,92.67,92.595,92.66,15704,20220518
92.66,92.68,92.64,92.66,12920,20220518
92.65,92.65,92.565,92.565,13525,20220518
