open,high,low,close,volume,datetime
28.52,28.57,28.25,28.27,494226,20220518
28.27,28.42,28.25,28.39,130673,20220518
28.38,28.46,28.2,28.21,79089,20220518
28.23,28.23,28.02,28.03,152877,20220518
28.03,28.05,27.91,27.96,112435,20220518
27.94,28.08,27.94,27.97,111336,20220518
27.99,28.15,27.99,28.11,84391,20220518
28.11,28.18,28.1092,28.18,52241,20220518
28.18,28.21,28.02,28.045,40688,20220518
28.04,28.04,27.92,27.94,54699,20220518
27.93,27.96,27.86,27.9,106437,20220518
27.9,27.93,27.86,27.92,45711,20220518
27.9,28.0,27.885,27.99,36913,20220518
27.99,28.03,27.92,27.93,41103,20220518
27.9387,28.06,27.9387,28.06,44223,20220518
28.05,28.11,28.01,28.1,68413,20220518
28.09,28.17,28.07,28.14,69005,20220518
28.14,28.235,28.14,28.21,52008,20220518
28.21,28.23,28.14,28.18,27613,20220518
28.1707,28.185,28.13,28.14,28960,20220518
28.134,28.134,28.005,28.0122,24528,20220518
28.01,28.12,27.995,28.0299,52252,20220518
28.02,28.11,28.02,28.0694,37219,20220518
28.06,28.12,28.05,28.1001,42552,20220518
28.105,28.12,28.0349,28.0886,47166,20220518
28.07,28.09,28.03,28.04,27717,20220518
28.05,28.07,27.94,27.95,55263,20220518
27.97,27.99,27.92,27.96,55573,20220518
27.95,27.955,27.905,27.925,24190,20220518
27.93,27.95,27.9,27.92,32142,20220518
27.92,28.04,27.91,28.01,49707,20220518
28.0,28.035,27.97,27.99,36456,20220518
27.98,28.0,27.97,27.99,20324,20220518
27.98,28.03,27.96,28.01,31712,20220518
28.005,28.04,27.994,28.0,39970,20220518
28.0,28.09,27.9978,28.08,40547,20220518
28.08,28.13,28.07,28.11,16130,20220518
28.12,28.12,28.0,28.09,30006,20220518
28.1,28.1,28.02,28.045,18680,20220518
28.04,28.06,27.9801,27.985,26868,20220518
27.98,27.99,27.945,27.97,12499,20220518
27.97,27.98,27.91,27.95,12902,20220518
27.95,27.97,27.91,27.915,15231,20220518
27.91,27.98,27.903,27.95,21406,20220518
27.95,28.03,27.95,27.99,32004,20220518
27.9937,28.0,27.94,27.94,30672,20220518
27.9402,27.98,27.9029,27.975,14469,20220518
27.97,28.02,27.95,27.98,15589,20220518
27.99,28.0,27.97,27.97,12823,20220518
27.955,27.975,27.93,27.96,32628,20220518
27.96,28.035,27.94,28.02,30366,20220518
28.0351,28.0351,28.0,28.01,9380,20220518
28.0101,28.04,28.0101,28.02,12480,20220518
28.02,28.02,27.93,27.94,12974,20220518
27.94,27.9497,27.9114,27.94,23750,20220518
27.94,27.96,27.925,27.928,41051,20220518
27.925,27.98,27.925,27.97,30908,20220518
27.94,27.945,27.9,27.925,103522,20220518
27.93,27.9331,27.85,27.86,38618,20220518
27.855,27.88,27.81,27.855,52994,20220518
27.86,27.95,27.84,27.94,46075,20220518
27.94,27.9586,27.8495,27.86,14442,20220518
27.87,27.87,27.7887,27.81,29739,20220518
27.82,27.9194,27.82,27.9,19632,20220518
27.89,27.91,27.84,27.84,12192,20220518
27.845,27.86,27.8043,27.81,30510,20220518
27.8,27.83,27.7419,27.745,32675,20220518
27.74,27.76,27.7,27.7,48531,20220518
27.71,27.8012,27.69,27.7625,42797,20220518
27.78,27.815,27.75,27.8083,27512,20220518
27.8,27.86,27.7988,27.845,22032,20220518
27.85,27.8969,27.82,27.895,29772,20220518
27.8889,27.9,27.86,27.89,23808,20220518
27.9,27.91,27.85,27.86,31644,20220518
27.86,27.86,27.8001,27.8003,15110,20220518
27.8,27.84,27.78,27.84,24510,20220518
27.845,27.925,27.84,27.89,23535,20220518
27.885,27.885,27.84,27.87,50121,20220518
27.87,27.9,27.86,27.87,17113,20220518
27.87,27.88,27.81,27.84,16607,20220518
27.845,27.845,27.76,27.79,23378,20220518
27.79,27.8,27.74,27.7416,15948,20220518
27.745,27.785,27.7349,27.7349,17717,20220518
27.75,27.82,27.75,27.79,22812,20220518
27.78,27.84,27.78,27.805,19793,20220518
27.805,27.815,27.789,27.789,17059,20220518
27.78,27.819,27.78,27.793,14069,20220518
27.7999,27.8645,27.7999,27.86,18478,20220518
27.85,27.88,27.835,27.85,19420,20220518
27.85,27.8805,27.84,27.86,17064,20220518
27.855,27.87,27.83,27.84,12947,20220518
27.83,27.84,27.81,27.83,7705,20220518
27.83,27.84,27.77,27.77,7360,20220518
27.78,27.8,27.733,27.733,18435,20220518
27.74,27.76,27.7,27.71,40241,20220518
27.7,27.7,27.66,27.681,58064,20220518
27.6846,27.6846,27.59,27.6185,59406,20220518
27.62,27.66,27.5977,27.6599,23546,20220518
27.65,27.655,27.6172,27.63,20730,20220518
27.625,27.65,27.61,27.61,20473,20220518
27.605,27.62,27.54,27.55,48719,20220518
27.54,27.56,27.535,27.5493,13465,20220518
27.55,27.55,27.54,27.55,14090,20220518
27.545,27.55,27.54,27.545,16413,20220518
27.5457,27.55,27.54,27.5432,7618,20220518
27.54,27.55,27.49,27.51,60007,20220518
27.52,27.55,27.3701,27.38,94308,20220518
27.38,27.385,27.3186,27.32,28166,20220518
27.3201,27.3201,27.24,27.24,120102,20220518
27.25,27.265,27.23,27.25,35910,20220518
27.255,27.26,27.2245,27.23,34169,20220518
27.235,27.24,27.19,27.235,36839,20220518
27.235,27.3,27.235,27.27,31211,20220518
27.265,27.32,27.23,27.285,29303,20220518
27.28,27.3064,27.28,27.29,24506,20220518
27.29,27.35,27.24,27.3,32666,20220518
27.3,27.3,27.245,27.2922,32529,20220518
27.29,27.29,27.23,27.2854,29369,20220518
27.28,27.29,27.2628,27.27,30271,20220518
27.265,27.29,27.258,27.28,21934,20220518
27.28,27.29,27.2537,27.255,42685,20220518
27.2595,27.35,27.255,27.335,33293,20220518
27.3301,27.3301,27.27,27.2715,25615,20220518
27.2776,27.375,27.2776,27.325,31340,20220518
27.32,27.32,27.28,27.28,18685,20220518
27.2706,27.3161,27.26,27.295,29481,20220518
27.3,27.305,27.25,27.25,33330,20220518
27.2501,27.3343,27.225,27.33,37024,20220518
27.33,27.3401,27.28,27.33,29185,20220518
27.33,27.3399,27.28,27.325,32348,20220518
27.305,27.325,27.27,27.28,21021,20220518
27.28,27.36,27.275,27.349,34102,20220518
27.35,27.355,27.31,27.34,33832,20220518
27.33,27.33,27.225,27.23,47595,20220518
27.225,27.31,27.225,27.2795,42555,20220518
27.27,27.285,27.21,27.22,37815,20220518
27.2193,27.265,27.205,27.26,15159,20220518
27.265,27.265,27.2,27.23,22422,20220518
27.22,27.24,27.15,27.15,34408,20220518
27.16,27.2,27.155,27.19,30216,20220518
27.1849,27.2,27.16,27.2,21995,20220518
27.195,27.235,27.185,27.1967,20266,20220518
27.2,27.22,27.19,27.19,16899,20220518
27.18,27.185,27.115,27.14,33288,20220518
27.14,27.155,27.07,27.09,27813,20220518
27.08,27.15,27.07,27.15,72519,20220518
27.16,27.24,27.16,27.19,14827,20220518
27.2,27.22,27.17,27.19,19283,20220518
27.2,27.215,27.18,27.2,13512,20220518
27.195,27.25,27.19,27.21,15342,20220518
27.21,27.215,27.185,27.195,12147,20220518
27.19,27.2191,27.17,27.2,18920,20220518
27.2,27.22,27.18,27.2,19892,20220518
27.2,27.205,27.18,27.18,13054,20220518
27.18,27.195,27.155,27.155,15630,20220518
27.15,27.15,27.0407,27.0407,23808,20220518
27.05,27.065,27.03,27.04,36085,20220518
27.03,27.045,27.01,27.025,25990,20220518
27.025,27.04,26.97,26.999,89047,20220518
26.99,27.04,26.9785,27.0286,23323,20220518
27.02,27.05,26.98,27.05,18439,20220518
27.05,27.07,27.02,27.07,27053,20220518
27.07,27.09,27.01,27.065,23408,20220518
27.07,27.1,27.05,27.06,32523,20220518
27.06,27.11,27.0593,27.1,18068,20220518
27.105,27.175,27.0899,27.1734,29498,20220518
27.18,27.31,27.18,27.26,58926,20220518
27.255,27.28,27.22,27.23,30097,20220518
27.225,27.225,27.155,27.21,98622,20220518
27.21,27.21,27.175,27.18,15710,20220518
27.1816,27.1999,27.11,27.1101,28256,20220518
27.11,27.11,27.03,27.03,28883,20220518
27.04,27.09,27.02,27.025,24406,20220518
27.0262,27.05,26.99,27.01,38409,20220518
27.01,27.02,26.93,26.935,20322,20220518
26.93,27.02,26.93,27.02,16306,20220518
27.02,27.02,26.96,26.995,22403,20220518
26.995,27.03,26.98,27.01,18779,20220518
27.0,27.02,26.97,26.98,31019,20220518
26.98,26.98,26.93,26.93,60534,20220518
26.93,26.94,26.885,26.89,61226,20220518
26.885,26.94,26.87,26.93,70454,20220518
26.93,26.9599,26.92,26.94,27934,20220518
26.93,26.96,26.91,26.96,28156,20220518
26.955,26.98,26.935,26.9744,42733,20220518
26.98,27.02,26.97,27.0,342836,20220518
26.995,27.04,26.985,27.025,30378,20220518
27.025,27.045,26.995,27.01,33960,20220518
27.01,27.01,26.935,26.95,28170,20220518
26.9488,27.005,26.94,26.98,38366,20220518
26.985,26.99,26.965,26.97,13887,20220518
26.97,26.995,26.96,26.98,19777,20220518
26.98,27.005,26.955,26.98,19582,20220518
26.985,27.045,26.985,26.99,19029,20220518
26.995,27.01,26.965,26.98,11147,20220518
26.975,27.005,26.97,26.985,15304,20220518
26.9893,27.05,26.9893,27.04,24948,20220518
27.05,27.06,27.02,27.055,29118,20220518
27.05,27.055,27.0201,27.0456,20755,20220518
27.04,27.08,27.04,27.07,23606,20220518
27.08,27.15,27.07,27.13,28239,20220518
27.13,27.14,27.1,27.11,32603,20220518
27.11,27.15,27.1064,27.15,27635,20220518
27.145,27.15,27.1,27.1,34233,20220518
27.1,27.1059,27.08,27.1059,15076,20220518
27.1,27.105,27.0842,27.09,13257,20220518
27.09,27.09,27.06,27.07,17201,20220518
27.07,27.1199,27.07,27.105,17973,20220518
27.105,27.16,27.105,27.145,24357,20220518
27.14,27.145,27.11,27.11,27271,20220518
27.115,27.125,27.08,27.08,17923,20220518
27.081,27.1,27.055,27.06,35201,20220518
27.06,27.0766,27.045,27.05,15743,20220518
27.06,27.065,27.01,27.01,30866,20220518
27.015,27.025,26.99,27.015,20205,20220518
27.01,27.02,26.995,27.015,25018,20220518
27.02,27.04,26.965,26.9661,23368,20220518
26.96,26.9609,26.9103,26.9342,25103,20220518
26.9331,26.935,26.9149,26.9149,22808,20220518
26.915,26.92,26.89,26.895,35915,20220518
26.8971,26.9,26.845,26.8457,46608,20220518
26.843,26.86,26.83,26.84,24527,20220518
26.84,26.845,26.8125,26.815,29498,20220518
26.8102,26.83,26.79,26.81,26884,20220518
26.81,26.835,26.765,26.77,37124,20220518
26.76,26.785,26.75,26.785,34038,20220518
26.7818,26.7899,26.7328,26.7399,30429,20220518
26.7339,26.7399,26.71,26.71,30426,20220518
26.715,26.79,26.71,26.735,28643,20220518
26.735,26.75,26.71,26.71,21908,20220518
26.72,26.77,26.7,26.73,20220,20220518
26.725,26.8219,26.71,26.8,24208,20220518
26.7952,26.7952,26.745,26.75,31056,20220518
26.74,26.765,26.71,26.73,30134,20220518
26.74,26.74,26.6915,26.695,13624,20220518
26.695,26.72,26.69,26.7,20274,20220518
26.695,26.7399,26.685,26.705,23955,20220518
26.7,26.75,26.69,26.75,31946,20220518
26.75,26.77,26.73,26.76,19049,20220518
26.76,26.79,26.735,26.785,35463,20220518
26.785,26.835,26.7812,26.825,49520,20220518
26.825,26.88,26.825,26.8742,47333,20220518
26.87,26.87,26.85,26.86,14506,20220518
26.85,26.85,26.785,26.8,49938,20220518
26.805,26.85,26.795,26.795,72728,20220518
26.79,26.845,26.78,26.78,24628,20220518
26.7815,26.82,26.76,26.8,24071,20220518
26.8,26.81,26.7755,26.79,16841,20220518
26.78,26.8,26.76,26.79,44087,20220518
26.78,26.82,26.77,26.82,39402,20220518
26.82,26.8232,26.74,26.75,34861,20220518
26.745,26.745,26.6906,26.6906,35740,20220518
26.695,26.705,26.665,26.67,26970,20220518
26.67,26.675,26.635,26.6741,29488,20220518
26.665,26.67,26.6006,26.61,28738,20220518
26.62,26.62,26.58,26.61,50988,20220518
26.61,26.62,26.555,26.555,31875,20220518
26.55,26.59,26.545,26.565,40818,20220518
26.57,26.58,26.545,26.55,25598,20220518
26.55,26.575,26.52,26.55,22472,20220518
26.545,26.6112,26.5306,26.565,30092,20220518
