open,high,low,close,volume,datetime
36.66,36.77,36.39,36.39,24996,20220518
36.3575,36.45,36.25,36.45,2122,20220518
36.445,36.5,36.3,36.345,3103,20220518
36.26,36.3399,36.08,36.08,1386,20220518
36.05,36.15,36.05,36.11,1578,20220518
36.16,36.27,36.12,36.19,4043,20220518
36.27,36.29,36.18,36.18,1439,20220518
36.3,36.3145,36.3,36.3145,319,20220518
36.28,36.29,36.24,36.24,900,20220518
36.12,36.15,35.95,35.995,3465,20220518
36.01,36.01,35.89,35.89,700,20220518
35.89,35.94,35.88,35.94,940,20220518
35.96,35.96,35.96,35.96,200,20220518
36.05,36.07,35.99,36.0,1530,20220518
35.99,36.08,35.99,36.08,425,20220518
36.02,36.13,36.02,36.13,456,20220518
36.1362,36.19,36.11,36.19,2454,20220518
36.21,36.24,36.19,36.24,779,20220518
36.27,36.27,36.16,36.18,1946,20220518
36.22,36.22,36.14,36.14,1272,20220518
36.18,36.18,35.99,35.99,3622,20220518
35.96,36.07,35.95,36.05,3275,20220518
35.95,36.07,35.95,36.07,1278,20220518
36.13,36.13,36.08,36.08,525,20220518
36.16,36.16,36.05,36.06,900,20220518
36.07,36.075,36.02,36.03,1500,20220518
36.0,36.03,35.93,35.93,4611,20220518
35.96,35.96,35.91,35.91,600,20220518
35.91,35.91,35.85,35.9,2894,20220518
35.88,35.89,35.83,35.89,800,20220518
35.89,35.99,35.89,35.99,326,20220518
35.99,36.08,35.98,35.98,1600,20220518
36.0,36.0,36.0,36.0,100,20220518
35.9981,36.1293,35.9981,36.08,1193,20220518
36.15,36.15,36.1,36.1,2600,20220518
36.09,36.19,36.09,36.19,1505,20220518
36.2,36.2,36.155,36.16,712,20220518
36.175,36.175,36.02,36.14,2246,20220518
36.1163,36.1163,36.09,36.09,4200,20220518
36.04,36.04,35.98,36.0,3208,20220518
35.96,36.0,35.95,35.98,2669,20220518
35.96,35.97,35.91,35.97,4323,20220518
35.96,36.0,35.945,35.945,930,20220518
35.9404,36.03,35.9404,36.03,814,20220518
36.025,36.06,36.025,36.035,1847,20220518
36.03,36.03,35.97,35.99,1802,20220518
35.95,35.97,35.94,35.965,1175,20220518
36.02,36.07,36.02,36.04,1100,20220518
35.99,36.055,35.99,36.02,1148,20220518
36.02,36.03,35.99,36.03,1218,20220518
36.08,36.11,36.08,36.1,3400,20220518
36.115,36.13,36.09,36.13,932,20220518
36.12,36.16,36.12,36.16,1499,20220518
36.15,36.15,36.12,36.12,200,20220518
36.05,36.1,36.02,36.1,1100,20220518
36.06,36.09,35.99,36.0,2950,20220518
36.01,36.07,36.01,36.05,1600,20220518
36.03,36.03,35.96,35.96,6138,20220518
35.95,35.95,35.85,35.85,3600,20220518
35.87,35.88,35.78,35.84,4517,20220518
35.85,35.94,35.8301,35.93,1373,20220518
35.96,35.96,35.9,35.9,602,20220518
35.9,35.9,35.855,35.86,1263,20220518
35.9444,35.99,35.92,35.99,2295,20220518
35.96,35.96,35.92,35.92,2031,20220518
35.91,35.91,35.86,35.86,800,20220518
35.885,35.885,35.8,35.8,2586,20220518
35.81,35.83,35.77,35.79,1634,20220518
35.81,35.88,35.81,35.869,1700,20220518
35.86,35.91,35.86,35.89,1092,20220518
35.96,35.97,35.91,35.94,1200,20220518
35.96,36.06,35.96,36.06,2590,20220518
36.06,36.0663,36.0,36.0,1910,20220518
36.03,36.03,35.98,35.98,627,20220518
35.96,35.98,35.96,35.97,850,20220518
35.94,36.0,35.91,35.98,1096,20220518
36.06,36.095,36.05,36.05,3500,20220518
35.98,36.0299,35.98,36.01,1317,20220518
36.07,36.07,36.01,36.01,1443,20220518
36.02,36.02,35.95,35.96,400,20220518
36.0,36.0,35.92,35.92,1625,20220518
35.91,35.95,35.89,35.9,885,20220518
35.9,35.9,35.85,35.85,3300,20220518
35.88,35.94,35.88,35.94,900,20220518
35.88,35.97,35.88,35.93,400,20220518
35.92,35.92,35.9,35.9,610,20220518
35.87,35.87,35.85,35.86,1453,20220518
35.93,35.95,35.92,35.93,850,20220518
35.95,35.95,35.91,35.93,1177,20220518
35.93,36.0,35.92,35.96,2500,20220518
35.96,35.96,35.94,35.94,959,20220518
35.92,35.95,35.89,35.9,1996,20220518
35.92,35.93,35.82,35.82,2367,20220518
35.82,35.86,35.77,35.77,800,20220518
35.78,35.79,35.7,35.7,5614,20220518
35.7,35.7,35.63,35.7,2789,20220518
35.68,35.68,35.61,35.61,3085,20220518
35.59,35.66,35.59,35.66,555,20220518
35.65,35.66,35.604,35.604,848,20220518
35.62,35.64,35.62,35.64,3700,20220518
35.57,35.58,35.51,35.52,2480,20220518
35.51,35.52,35.51,35.51,478,20220518
35.4904,35.51,35.4904,35.51,2100,20220518
35.52,35.52,35.49,35.49,959,20220518
35.505,35.505,35.505,35.505,100,20220518
35.49,35.5,35.35,35.35,3317,20220518
35.31,35.325,35.3,35.325,852,20220518
35.26,35.26,35.21,35.21,1180,20220518
35.21,35.23,35.21,35.2202,900,20220518
35.215,35.215,35.14,35.14,2171,20220518
35.11,35.11,35.05,35.095,4564,20220518
35.11,35.155,35.11,35.12,1826,20220518
35.1,35.1,35.06,35.07,949,20220518
35.05,35.05,35.05,35.05,536,20220518
35.02,35.06,34.99,35.02,1618,20220518
34.99,34.99,34.98,34.99,700,20220518
35.0,35.0244,35.0,35.0244,499,20220518
35.02,35.03,35.01,35.03,1374,20220518
35.015,35.04,34.99,35.04,1925,20220518
35.05,35.06,34.97,35.02,3101,20220518
35.0334,35.11,34.99,35.11,1225,20220518
35.11,35.11,35.05,35.075,1867,20220518
35.075,35.145,35.075,35.145,502,20220518
35.11,35.12,35.1,35.12,3145,20220518
35.15,35.16,35.09,35.11,6199,20220518
35.1,35.1,35.1,35.1,1425,20220518
35.1,35.11,35.06,35.11,1100,20220518
35.17,35.18,35.1119,35.18,1350,20220518
35.15,35.17,35.13,35.17,1001,20220518
35.18,35.18,35.15,35.15,1667,20220518
35.16,35.2,35.16,35.2,2889,20220518
35.25,35.25,35.19,35.21,1035,20220518
35.25,35.25,35.16,35.16,400,20220518
35.17,35.22,35.17,35.22,3504,20220518
35.2,35.22,35.09,35.105,1671,20220518
35.09,35.14,35.09,35.1,948,20220518
35.13,35.13,35.07,35.07,1100,20220518
35.08,35.09,35.04,35.06,3033,20220518
35.075,35.12,35.06,35.1,3517,20220518
