open,high,low,close,volume,datetime
65.36,65.59,65.26,65.26,45404,20220518
65.27,65.4,65.21,65.36,11206,20220518
65.33,65.43,65.15,65.15,7872,20220518
65.1767,65.27,65.06,65.06,8944,20220518
65.06,65.11,64.93,65.11,8924,20220518
65.18,65.3,65.06,65.06,5782,20220518
65.0799,65.13,65.02,65.02,10288,20220518
65.035,65.1199,65.0,65.1,8900,20220518
65.085,65.085,64.9,64.91,9904,20220518
64.96,65.03,64.94,64.98,17305,20220518
64.99,65.0252,64.94,64.99,4285,20220518
65.015,65.06,64.98,65.06,4383,20220518
65.078,65.26,65.078,65.19,11468,20220518
65.19,65.19,65.02,65.07,6546,20220518
65.05,65.08,64.98,64.99,5739,20220518
64.95,65.04,64.91,64.97,13400,20220518
64.97,65.025,64.93,64.96,8113,20220518
65.025,65.08,64.96,64.96,3339,20220518
64.98,65.06,64.96,65.05,6454,20220518
65.02,65.02,64.92,64.94,5564,20220518
64.96,64.99,64.93,64.95,5965,20220518
64.95,64.98,64.89,64.89,5516,20220518
64.86,64.86,64.73,64.73,3249,20220518
64.73,64.74,64.62,64.68,9368,20220518
64.682,64.682,64.61,64.64,3606,20220518
64.64,64.66,64.62,64.66,7799,20220518
64.66,64.674,64.59,64.59,8173,20220518
64.59,64.67,64.57,64.67,13247,20220518
64.68,64.7,64.63,64.66,8387,20220518
64.65,64.7,64.6,64.65,32962,20220518
64.64,64.655,64.54,64.6,13919,20220518
64.5907,64.62,64.5,64.525,6629,20220518
64.51,64.565,64.48,64.5,3686,20220518
64.49,64.517,64.46,64.517,5937,20220518
64.52,64.56,64.45,64.47,6301,20220518
64.46,64.59,64.46,64.55,5902,20220518
64.56,64.575,64.545,64.56,2300,20220518
64.54,64.545,64.42,64.47,5680,20220518
64.47,64.47,64.37,64.44,6356,20220518
64.43,64.48,64.42,64.425,5502,20220518
64.4,64.4,64.33,64.362,5032,20220518
64.36,64.38,64.34,64.36,9451,20220518
64.33,64.37,64.32,64.33,3391,20220518
64.3191,64.41,64.31,64.385,2417,20220518
64.35,64.37,64.3,64.315,3004,20220518
64.32,64.35,64.286,64.3,8141,20220518
64.3,64.3073,64.21,64.3,6809,20220518
64.29,64.299,64.25,64.26,5081,20220518
64.26,64.286,64.22,64.22,5701,20220518
64.23,64.23,64.17,64.22,6483,20220518
64.23,64.25,64.21,64.25,5877,20220518
64.26,64.405,64.26,64.37,3617,20220518
64.3731,64.42,64.33,64.4179,6126,20220518
64.41,64.42,64.3317,64.3317,4394,20220518
64.33,64.34,64.28,64.335,3682,20220518
