open,high,low,close,volume,datetime
30.89,30.89,30.83,30.83,55775,20220518
30.81,30.81,30.76,30.786,7736,20220518
30.77,30.77,30.68,30.7,6647,20220518
30.69,30.69,30.65,30.65,9420,20220518
30.63,30.72,30.62,30.71,8942,20220518
30.7,30.77,30.7,30.7033,14251,20220518
30.7,30.76,30.7,30.76,2880,20220518
30.755,30.76,30.725,30.755,4129,20220518
30.75,30.75,30.71,30.71,2884,20220518
30.705,30.705,30.65,30.66,4832,20220518
30.66,30.665,30.63,30.63,5395,20220518
30.615,30.66,30.615,30.63,4774,20220518
30.62,30.65,30.62,30.65,6791,20220518
30.655,30.68,30.65,30.67,3979,20220518
30.66,30.69,30.66,30.69,4949,20220518
30.7,30.73,30.69,30.73,10272,20220518
30.73,30.76,30.72,30.75,10751,20220518
30.745,30.805,30.745,30.78,5708,20220518
30.78,30.78,30.745,30.76,6397,20220518
30.76,30.77,30.745,30.76,8250,20220518
30.77,30.78,30.725,30.73,10440,20220518
30.73,30.73,30.7,30.7,13805,20220518
30.7,30.72,30.685,30.705,5488,20220518
30.705,30.705,30.67,30.7,5551,20220518
30.7,30.725,30.69,30.72,6190,20220518
30.72,30.72,30.69,30.69,5215,20220518
30.69,30.695,30.68,30.69,3668,20220518
30.685,30.685,30.66,30.665,6379,20220518
30.66,30.66,30.63,30.65,6517,20220518
30.64,30.68,30.64,30.68,8628,20220518
30.68,30.71,30.665,30.695,14613,20220518
30.69,30.695,30.66,30.67,6228,20220518
30.67,30.695,30.665,30.6801,5391,20220518
30.685,30.73,30.68,30.73,7235,20220518
30.72,30.77,30.72,30.74,10431,20220518
30.74,30.755,30.725,30.73,6500,20220518
30.73,30.755,30.725,30.73,5421,20220518
30.73,30.735,30.71,30.73,11295,20220518
30.735,30.745,30.72,30.74,3807,20220518
30.75,30.775,30.75,30.775,5996,20220518
30.77,30.8,30.77,30.795,7550,20220518
30.795,30.8,30.77,30.79,8977,20220518
30.79,30.81,30.79,30.79,7398,20220518
30.79,30.805,30.78,30.8,2510,20220518
30.79,30.8,30.78,30.8,2220,20220518
30.81,30.82,30.7917,30.8,11666,20220518
30.79,30.8,30.79,30.8,7598,20220518
30.79,30.82,30.78,30.81,4974,20220518
30.81,30.845,30.81,30.84,5505,20220518
30.85,30.89,30.84,30.885,14385,20220518
