open,high,low,close,volume,datetime
3.83,3.86,3.82,3.82,24897,20220518
3.835,3.84,3.83,3.84,1300,20220518
3.84,3.85,3.83,3.85,8945,20220518
3.84,3.86,3.84,3.86,300,20220518
3.88,3.92,3.88,3.88,7101,20220518
3.88,3.88,3.85,3.86,2577,20220518
3.87,3.88,3.86,3.86,1500,20220518
3.86,3.89,3.86,3.89,4986,20220518
3.895,3.91,3.89,3.9,5966,20220518
3.905,3.905,3.865,3.88,6929,20220518
3.895,3.895,3.88,3.885,13566,20220518
3.89,3.89,3.88,3.88,1409,20220518
3.88,3.9,3.875,3.9,28298,20220518
3.905,3.905,3.885,3.895,16500,20220518
3.895,3.9,3.84,3.84,11985,20220518
3.85,3.86,3.84,3.845,7419,20220518
3.84,3.84,3.82,3.83,5400,20220518
3.835,3.85,3.835,3.85,5000,20220518
3.84,3.84,3.805,3.81,4687,20220518
3.805,3.805,3.78,3.79,17745,20220518
3.795,3.805,3.7801,3.7801,15935,20220518
3.79,3.795,3.78,3.78,4407,20220518
3.78,3.79,3.775,3.79,4614,20220518
3.795,3.8,3.79,3.795,4900,20220518
3.795,3.81,3.79,3.8,11196,20220518
3.805,3.8278,3.8,3.8278,4262,20220518
3.82,3.835,3.82,3.83,22367,20220518
3.835,3.855,3.83,3.845,29601,20220518
3.85,3.85,3.84,3.8422,12798,20220518
3.85,3.8699,3.85,3.8691,11359,20220518
3.865,3.875,3.865,3.875,3488,20220518
3.885,3.9,3.885,3.9,12244,20220518
3.9,3.92,3.9,3.92,16170,20220518
3.915,3.925,3.915,3.925,200,20220518
3.925,3.925,3.92,3.92,1825,20220518
3.93,3.945,3.93,3.945,18005,20220518
3.94,3.96,3.935,3.96,19544,20220518
3.96,3.975,3.96,3.975,2500,20220518
3.97,3.98,3.97,3.98,1587,20220518
3.98,3.98,3.93,3.93,22862,20220518
3.94,3.94,3.935,3.935,200,20220518
3.935,3.935,3.93,3.93,3278,20220518
3.93,3.93,3.925,3.925,700,20220518
3.925,3.935,3.925,3.935,1425,20220518
3.93,3.93,3.92,3.92,3651,20220518
3.915,3.94,3.915,3.94,3700,20220518
3.94,3.94,3.915,3.915,3352,20220518
3.91,3.92,3.91,3.91,1500,20220518
3.9188,3.935,3.9188,3.925,7997,20220518
3.925,3.93,3.925,3.93,500,20220518
3.925,3.935,3.925,3.935,1100,20220518
3.935,3.935,3.93,3.93,400,20220518
3.935,3.935,3.935,3.935,300,20220518
3.935,3.935,3.925,3.925,10653,20220518
3.92,3.9289,3.915,3.9289,3000,20220518
3.925,3.935,3.92,3.925,11309,20220518
3.93,3.935,3.93,3.935,1483,20220518
3.93,3.93,3.91,3.91,1425,20220518
3.92,3.925,3.91,3.91,3100,20220518
3.91,3.92,3.9,3.905,5000,20220518
3.905,3.905,3.9,3.9,700,20220518
3.9,3.9094,3.895,3.895,7795,20220518
3.9,3.9,3.89,3.89,1070,20220518
3.895,3.905,3.895,3.905,1583,20220518
3.905,3.905,3.9,3.9,1735,20220518
3.895,3.895,3.885,3.885,3894,20220518
3.88,3.895,3.88,3.89,1489,20220518
3.89,3.9,3.89,3.89,2688,20220518
3.885,3.895,3.885,3.895,1963,20220518
3.895,3.895,3.885,3.885,18752,20220518
3.885,3.89,3.885,3.885,20000,20220518
3.89,3.895,3.89,3.895,13365,20220518
3.895,3.895,3.895,3.895,100,20220518
3.89,3.89,3.89,3.89,4600,20220518
3.895,3.9,3.89,3.89,900,20220518
3.895,3.895,3.89,3.89,700,20220518
3.89,3.9,3.89,3.8925,24902,20220518
3.89,3.895,3.88,3.8899,3400,20220518
3.89,3.9,3.89,3.89,38238,20220518
3.895,3.895,3.885,3.895,19762,20220518
3.89,3.895,3.89,3.89,500,20220518
3.895,3.895,3.885,3.885,2280,20220518
3.885,3.89,3.885,3.89,300,20220518
3.89,3.895,3.89,3.895,1597,20220518
3.9,3.9,3.89,3.89,25675,20220518
3.89,3.89,3.89,3.89,2327,20220518
3.885,3.885,3.885,3.885,1200,20220518
3.89,3.895,3.89,3.895,1310,20220518
3.895,3.9,3.895,3.9,200,20220518
3.895,3.9,3.89,3.9,1300,20220518
3.895,3.9,3.89,3.895,4700,20220518
3.8918,3.907,3.89,3.9,19758,20220518
3.905,3.91,3.895,3.895,5739,20220518
3.895,3.8965,3.895,3.8965,611,20220518
3.9,3.9,3.885,3.89,8280,20220518
3.8825,3.885,3.8825,3.885,200,20220518
3.885,3.885,3.88,3.88,600,20220518
3.885,3.885,3.885,3.885,200,20220518
3.88,3.88,3.87,3.87,2698,20220518
3.865,3.87,3.865,3.865,725,20220518
3.86,3.86,3.855,3.86,1600,20220518
3.855,3.855,3.855,3.855,200,20220518
3.855,3.86,3.85,3.85,400,20220518
3.85,3.855,3.85,3.855,400,20220518
3.85,3.86,3.85,3.85,1300,20220518
3.85,3.855,3.85,3.85,1200,20220518
3.85,3.85,3.845,3.845,4973,20220518
3.8482,3.8482,3.84,3.84,1185,20220518
3.84,3.845,3.84,3.845,1100,20220518
3.84,3.845,3.84,3.84,500,20220518
3.84,3.845,3.84,3.845,1400,20220518
3.845,3.845,3.83,3.835,21509,20220518
3.84,3.84,3.83,3.835,5799,20220518
3.84,3.84,3.83,3.84,3868,20220518
3.83,3.84,3.83,3.84,500,20220518
3.83,3.835,3.83,3.83,1197,20220518
3.84,3.85,3.84,3.85,4938,20220518
3.85,3.85,3.845,3.845,300,20220518
3.85,3.85,3.84,3.85,38800,20220518
3.85,3.85,3.835,3.835,5349,20220518
3.84,3.845,3.84,3.845,14942,20220518
3.845,3.85,3.84,3.85,600,20220518
3.84,3.85,3.84,3.845,500,20220518
3.85,3.85,3.84,3.85,29150,20220518
3.84,3.85,3.84,3.84,6600,20220518
3.84,3.845,3.84,3.845,1170,20220518
3.845,3.855,3.84,3.855,19521,20220518
3.86,3.86,3.85,3.86,20239,20220518
3.86,3.86,3.85,3.855,930,20220518
3.85,3.85,3.84,3.85,4823,20220518
3.845,3.855,3.8425,3.855,6917,20220518
3.86,3.86,3.85,3.85,1700,20220518
3.86,3.86,3.845,3.845,6290,20220518
3.845,3.85,3.845,3.85,1307,20220518
3.85,3.85,3.84,3.84,500,20220518
3.84,3.85,3.84,3.85,300,20220518
3.845,3.85,3.84,3.84,3091,20220518
3.845,3.85,3.845,3.85,300,20220518
3.85,3.855,3.84,3.855,8593,20220518
3.855,3.855,3.85,3.85,1100,20220518
3.85,3.86,3.85,3.86,500,20220518
3.855,3.855,3.85,3.855,801,20220518
3.855,3.855,3.84,3.84,3936,20220518
3.84,3.85,3.835,3.835,3784,20220518
3.835,3.84,3.835,3.84,400,20220518
3.83,3.835,3.825,3.825,5600,20220518
3.825,3.825,3.825,3.825,200,20220518
3.825,3.825,3.825,3.825,200,20220518
3.82,3.825,3.81,3.81,3638,20220518
3.82,3.82,3.815,3.815,330,20220518
3.815,3.82,3.81,3.82,700,20220518
3.815,3.815,3.81,3.815,500,20220518
3.815,3.815,3.815,3.815,300,20220518
3.82,3.82,3.815,3.815,500,20220518
3.815,3.82,3.81,3.815,700,20220518
3.815,3.815,3.79,3.79,11728,20220518
3.79,3.795,3.79,3.795,600,20220518
3.79,3.79,3.78,3.78,1236,20220518
3.785,3.785,3.785,3.785,100,20220518
3.785,3.795,3.7808,3.785,14041,20220518
3.785,3.785,3.785,3.785,100,20220518
3.79,3.79,3.785,3.79,910,20220518
3.79,3.8,3.79,3.8,2485,20220518
3.8,3.81,3.7925,3.81,2000,20220518
3.8,3.805,3.8,3.805,1000,20220518
3.81,3.81,3.805,3.81,1200,20220518
3.81,3.81,3.81,3.81,300,20220518
3.805,3.81,3.8,3.81,1648,20220518
3.805,3.81,3.805,3.805,600,20220518
3.81,3.81,3.805,3.81,300,20220518
3.805,3.81,3.795,3.795,6069,20220518
3.795,3.795,3.79,3.795,412,20220518
3.795,3.795,3.78,3.78,1200,20220518
3.79,3.79,3.785,3.785,350,20220518
3.7881,3.79,3.785,3.79,963,20220518
3.785,3.785,3.785,3.785,100,20220518
3.79,3.8,3.79,3.8,4173,20220518
3.795,3.81,3.795,3.81,1190,20220518
3.805,3.805,3.805,3.805,500,20220518
3.81,3.81,3.795,3.795,3712,20220518
3.8,3.8,3.795,3.8,500,20220518
3.795,3.795,3.795,3.795,200,20220518
3.797,3.797,3.793,3.793,2356,20220518
3.795,3.81,3.795,3.795,5596,20220518
3.8,3.8,3.8,3.8,300,20220518
3.8,3.805,3.8,3.8,10200,20220518
3.805,3.805,3.8,3.805,301,20220518
3.81,3.81,3.8015,3.805,1400,20220518
3.805,3.805,3.805,3.805,800,20220518
3.81,3.81,3.8,3.805,600,20220518
3.805,3.81,3.805,3.805,700,20220518
3.81,3.81,3.805,3.805,500,20220518
3.81,3.81,3.795,3.805,13010,20220518
3.805,3.81,3.805,3.81,3967,20220518
3.815,3.82,3.815,3.82,600,20220518
3.82,3.825,3.81,3.815,13680,20220518
3.82,3.82,3.82,3.82,1100,20220518
3.8149,3.83,3.8149,3.825,4143,20220518
3.82,3.825,3.82,3.825,900,20220518
3.82,3.82,3.82,3.82,100,20220518
3.825,3.83,3.82,3.83,1000,20220518
3.83,3.83,3.825,3.83,700,20220518
3.83,3.83,3.825,3.83,400,20220518
3.83,3.83,3.83,3.83,400,20220518
3.825,3.83,3.825,3.825,300,20220518
3.83,3.84,3.83,3.84,4156,20220518
3.84,3.84,3.84,3.84,700,20220518
3.84,3.84,3.825,3.825,6783,20220518
3.825,3.825,3.82,3.825,1000,20220518
3.82,3.825,3.82,3.825,600,20220518
3.82,3.82,3.815,3.815,2854,20220518
3.815,3.815,3.81,3.81,300,20220518
3.81,3.815,3.81,3.815,1025,20220518
3.815,3.815,3.805,3.8069,3250,20220518
3.8,3.8,3.795,3.8,2300,20220518
3.795,3.795,3.795,3.795,200,20220518
3.7986,3.8,3.785,3.785,4051,20220518
3.785,3.785,3.785,3.785,300,20220518
3.7899,3.7899,3.775,3.7899,9922,20220518
3.78,3.785,3.78,3.785,800,20220518
3.78,3.785,3.78,3.785,961,20220518
3.785,3.79,3.7809,3.785,6375,20220518
3.785,3.785,3.785,3.785,500,20220518
3.785,3.79,3.78,3.785,800,20220518
3.78,3.785,3.775,3.78,4057,20220518
3.78,3.79,3.78,3.785,2610,20220518
3.785,3.785,3.775,3.785,5648,20220518
3.785,3.7878,3.785,3.7878,300,20220518
3.785,3.785,3.785,3.785,200,20220518
3.79,3.79,3.785,3.785,400,20220518
3.79,3.79,3.785,3.785,1000,20220518
3.79,3.79,3.7825,3.7825,900,20220518
3.79,3.79,3.79,3.79,200,20220518
3.785,3.79,3.785,3.79,700,20220518
3.79,3.79,3.79,3.79,100,20220518
3.79,3.8,3.79,3.795,5964,20220518
3.8,3.8,3.8,3.8,100,20220518
3.8,3.8,3.79,3.79,2527,20220518
3.79,3.8,3.78,3.78,14948,20220518
3.78,3.785,3.775,3.78,3044,20220518
3.77,3.775,3.77,3.775,400,20220518
3.78,3.78,3.78,3.78,295,20220518
3.78,3.785,3.775,3.78,4466,20220518
3.775,3.775,3.77,3.77,2650,20220518
3.77,3.77,3.77,3.77,1180,20220518
3.77,3.77,3.77,3.77,180,20220518
3.77,3.77,3.77,3.77,100,20220518
3.765,3.765,3.76,3.765,990,20220518
3.76,3.76,3.76,3.76,4350,20220518
3.76,3.7681,3.76,3.76,4423,20220518
3.76,3.76,3.745,3.76,11006,20220518
3.75,3.755,3.75,3.755,200,20220518
3.755,3.76,3.75,3.755,1700,20220518
3.755,3.755,3.75,3.75,2440,20220518
3.755,3.755,3.74,3.74,2920,20220518
3.74,3.75,3.74,3.745,2168,20220518
3.74,3.74,3.74,3.74,200,20220518
3.745,3.745,3.74,3.745,690,20220518
3.74,3.745,3.74,3.745,1367,20220518
3.74,3.745,3.735,3.735,2000,20220518
3.74,3.74,3.735,3.74,900,20220518
3.74,3.745,3.74,3.745,2000,20220518
3.745,3.745,3.73,3.73,2200,20220518
3.7391,3.74,3.7391,3.74,2500,20220518
3.74,3.75,3.74,3.7401,5009,20220518
3.75,3.75,3.745,3.745,600,20220518
3.7425,3.76,3.7425,3.76,1200,20220518
3.76,3.76,3.75,3.755,800,20220518
3.76,3.76,3.745,3.745,5484,20220518
3.75,3.755,3.75,3.755,2958,20220518
3.755,3.76,3.755,3.76,633,20220518
3.755,3.76,3.755,3.76,300,20220518
3.755,3.76,3.75,3.755,1300,20220518
3.755,3.755,3.75,3.755,500,20220518
3.755,3.755,3.75,3.755,1600,20220518
3.76,3.76,3.7515,3.76,1900,20220518
3.76,3.765,3.75,3.75,9526,20220518
3.76,3.76,3.76,3.76,200,20220518
3.755,3.755,3.75,3.75,1151,20220518
3.76,3.76,3.755,3.755,700,20220518
3.755,3.76,3.755,3.76,1605,20220518
3.755,3.76,3.75,3.76,900,20220518
3.76,3.78,3.76,3.78,3100,20220518
3.77,3.78,3.765,3.765,6655,20220518
3.77,3.775,3.77,3.77,1501,20220518
3.78,3.78,3.77,3.775,700,20220518
3.775,3.78,3.77,3.775,700,20220518
3.77,3.775,3.76,3.775,6200,20220518
3.78,3.78,3.775,3.775,300,20220518
3.775,3.78,3.775,3.78,500,20220518
3.775,3.78,3.77,3.78,1600,20220518
3.78,3.78,3.775,3.78,500,20220518
3.775,3.78,3.775,3.78,1000,20220518
3.78,3.79,3.775,3.785,2300,20220518
3.78,3.79,3.78,3.785,800,20220518
3.785,3.785,3.78,3.78,2019,20220518
3.78,3.79,3.78,3.78,1496,20220518
3.785,3.785,3.78,3.78,3701,20220518
3.78,3.78,3.77,3.77,6535,20220518
3.77,3.775,3.77,3.77,2374,20220518
3.77,3.77,3.76,3.76,3828,20220518
3.76,3.765,3.76,3.765,1000,20220518
3.76,3.765,3.76,3.76,1612,20220518
3.76,3.76,3.75,3.755,5279,20220518
3.76,3.77,3.76,3.77,4939,20220518
3.765,3.775,3.76,3.765,8331,20220518
3.765,3.775,3.765,3.775,794,20220518
3.775,3.775,3.76,3.76,13299,20220518
3.765,3.765,3.765,3.765,200,20220518
3.765,3.765,3.76,3.765,1791,20220518
3.765,3.765,3.75,3.755,5902,20220518
3.755,3.76,3.75,3.755,700,20220518
3.755,3.76,3.755,3.755,800,20220518
3.76,3.76,3.75,3.75,4106,20220518
3.75,3.76,3.74,3.76,7348,20220518
3.755,3.765,3.755,3.765,1800,20220518
3.765,3.765,3.76,3.76,1560,20220518
3.76,3.765,3.76,3.765,1294,20220518
3.765,3.77,3.76,3.765,1798,20220518
3.765,3.765,3.76,3.765,900,20220518
3.765,3.765,3.755,3.76,6241,20220518
3.76,3.765,3.7525,3.765,5467,20220518
3.765,3.77,3.76,3.76,6880,20220518
3.755,3.765,3.755,3.765,4418,20220518
3.765,3.77,3.76,3.765,1886,20220518
3.765,3.765,3.755,3.76,7933,20220518
3.765,3.785,3.765,3.785,5155,20220519
3.785,3.785,3.7706,3.775,5891,20220519
3.77,3.775,3.765,3.77,5507,20220519
3.77,3.77,3.765,3.77,1500,20220519
3.77,3.77,3.765,3.77,1700,20220519
3.77,3.785,3.77,3.785,4501,20220519
3.785,3.785,3.775,3.785,6975,20220519
3.785,3.8,3.785,3.8,22726,20220519
3.795,3.795,3.78,3.785,54377,20220519
3.785,3.79,3.78,3.78,952,20220519
3.79,3.8,3.785,3.795,8661,20220519
3.795,3.795,3.78,3.79,10725,20220519
3.785,3.8,3.78,3.795,8186,20220519
3.8,3.8,3.79,3.79,1750,20220519
3.795,3.795,3.79,3.795,1300,20220519
3.795,3.8,3.795,3.795,7900,20220519
3.795,3.8,3.79,3.795,2790,20220519
3.795,3.8,3.79,3.795,3110,20220519
3.795,3.8,3.78,3.78,12502,20220519
3.78,3.79,3.78,3.79,3200,20220519
3.785,3.8,3.785,3.7964,12895,20220519
3.795,3.795,3.78,3.785,11324,20220519
3.78,3.785,3.77,3.78,5400,20220519
3.78,3.78,3.775,3.775,968,20220519
3.77,3.775,3.77,3.775,4149,20220519
3.77,3.775,3.76,3.76,12161,20220519
3.76,3.77,3.76,3.765,2400,20220519
3.77,3.77,3.76,3.77,1400,20220519
3.765,3.775,3.76,3.77,23353,20220519
3.77,3.775,3.77,3.775,2333,20220519
3.775,3.78,3.77,3.77,2900,20220519
3.775,3.78,3.77,3.775,8409,20220519
3.77,3.78,3.77,3.775,22857,20220519
3.775,3.78,3.775,3.78,1225,20220519
3.78,3.79,3.78,3.785,11629,20220519
3.78,3.795,3.78,3.795,13674,20220519
3.795,3.8,3.795,3.795,7701,20220519
3.795,3.8075,3.795,3.8,27458,20220519
3.8,3.805,3.79,3.8,21372,20220519
3.795,3.815,3.795,3.81,31055,20220519
3.81,3.81,3.805,3.805,1379,20220519
3.81,3.815,3.805,3.805,20494,20220519
3.805,3.8071,3.795,3.8,10632,20220519
3.795,3.7975,3.79,3.795,2612,20220519
3.795,3.8,3.79,3.795,7815,20220519
3.795,3.81,3.795,3.81,23383,20220519
3.805,3.81,3.805,3.81,6697,20220519
3.81,3.8199,3.805,3.805,28351,20220519
3.81,3.81,3.805,3.81,2022,20220519
3.81,3.82,3.8,3.82,26919,20220519
3.81,3.815,3.8,3.805,20150,20220519
3.805,3.8073,3.79,3.795,20447,20220519
3.795,3.8,3.79,3.795,33926,20220519
3.795,3.8,3.79,3.7971,9390,20220519
3.795,3.81,3.78,3.81,104430,20220519
3.81,3.8172,3.8,3.81,31490,20220519
3.805,3.82,3.8,3.815,28048,20220519
3.815,3.83,3.81,3.825,44486,20220519
3.83,3.83,3.82,3.825,49479,20220519
3.825,3.825,3.8,3.805,74280,20220519
3.8,3.83,3.8,3.81,14513,20220519
3.81,3.81,3.78,3.79,6079,20220519
3.795,3.825,3.795,3.82,9002,20220519
3.84,3.86,3.84,3.845,4255,20220519
3.85,3.85,3.85,3.85,3187,20220519
3.84,3.87,3.84,3.87,11566,20220519
3.865,3.88,3.86,3.865,3176,20220519
3.865,3.87,3.865,3.87,3000,20220519
3.875,3.905,3.855,3.9,11100,20220519
3.895,3.91,3.88,3.91,4001,20220519
3.91,3.91,3.89,3.91,15108,20220519
3.91,3.92,3.9,3.92,9229,20220519
3.92,3.93,3.9,3.93,12338,20220519
3.925,3.93,3.91,3.92,5382,20220519
3.915,3.95,3.915,3.92,11027,20220519
3.925,3.93,3.91,3.91,11109,20220519
3.9,3.9005,3.89,3.89,4345,20220519
3.88,3.885,3.87,3.88,5969,20220519
3.885,3.885,3.855,3.86,9608,20220519
3.855,3.855,3.84,3.845,1800,20220519
3.85,3.85,3.825,3.83,13517,20220519
3.83,3.845,3.83,3.835,6036,20220519
3.83,3.83,3.82,3.82,200,20220519
3.82,3.82,3.82,3.82,622,20220519
3.82,3.83,3.81,3.815,21280,20220519
3.81,3.815,3.795,3.8,10600,20220519
3.805,3.805,3.77,3.785,2750,20220519
3.79,3.795,3.765,3.77,5887,20220519
3.77,3.77,3.75,3.75,1600,20220519
3.75,3.765,3.75,3.765,2300,20220519
3.765,3.79,3.76,3.79,12378,20220519
3.79,3.79,3.78,3.785,6777,20220519
3.785,3.785,3.77,3.785,5100,20220519
3.785,3.805,3.785,3.805,2300,20220519
3.81,3.81,3.8,3.805,7776,20220519
3.81,3.825,3.81,3.825,3088,20220519
3.825,3.825,3.81,3.82,10611,20220519
3.815,3.835,3.815,3.825,6238,20220519
3.825,3.825,3.815,3.815,11246,20220519
3.815,3.815,3.8,3.81,5696,20220519
3.81,3.815,3.8,3.815,2600,20220519
3.82,3.83,3.82,3.825,6208,20220519
3.825,3.83,3.815,3.83,4216,20220519
3.825,3.825,3.815,3.815,4236,20220519
3.82,3.82,3.82,3.82,484,20220519
3.82,3.83,3.815,3.83,5386,20220519
3.83,3.845,3.825,3.84,8410,20220519
3.84,3.84,3.835,3.84,2168,20220519
3.84,3.845,3.84,3.845,5592,20220519
3.845,3.85,3.835,3.835,1855,20220519
3.84,3.85,3.84,3.85,945,20220519
3.86,3.86,3.85,3.855,6850,20220519
3.855,3.855,3.85,3.855,500,20220519
3.855,3.855,3.855,3.855,300,20220519
3.855,3.86,3.855,3.8575,800,20220519
3.8575,3.8575,3.84,3.85,4900,20220519
3.84,3.84,3.84,3.84,1500,20220519
3.83,3.83,3.81,3.82,2767,20220519
3.81,3.82,3.81,3.815,3200,20220519
3.82,3.82,3.82,3.82,500,20220519
3.82,3.825,3.81,3.81,2837,20220519
3.81,3.825,3.81,3.815,3300,20220519
3.815,3.84,3.815,3.84,3386,20220519
3.835,3.845,3.835,3.845,6370,20220519
3.85,3.85,3.845,3.85,300,20220519
3.85,3.85,3.835,3.835,3350,20220519
3.84,3.84,3.835,3.84,3800,20220519
3.835,3.835,3.83,3.83,1401,20220519
3.825,3.825,3.81,3.82,5072,20220519
3.82,3.82,3.82,3.82,800,20220519
3.81,3.815,3.805,3.805,2741,20220519
3.81,3.82,3.81,3.82,2094,20220519
3.815,3.815,3.81,3.815,450,20220519
3.82,3.82,3.82,3.82,900,20220519
3.83,3.84,3.83,3.84,4700,20220519
3.84,3.85,3.84,3.85,1400,20220519
3.845,3.85,3.845,3.85,500,20220519
3.85,3.85,3.84,3.84,15024,20220519
3.835,3.835,3.835,3.835,800,20220519
3.835,3.84,3.825,3.825,4059,20220519
3.825,3.825,3.82,3.82,1900,20220519
3.82,3.845,3.82,3.845,14395,20220519
3.85,3.85,3.835,3.84,5111,20220519
3.84,3.855,3.84,3.855,2470,20220519
3.85,3.86,3.85,3.86,10422,20220519
3.86,3.86,3.85,3.855,4477,20220519
3.8575,3.8575,3.845,3.85,4843,20220519
3.845,3.85,3.845,3.85,5457,20220519
3.845,3.855,3.84,3.85,6022,20220519
3.855,3.855,3.85,3.855,2500,20220519
3.855,3.865,3.855,3.865,11703,20220519
3.86,3.8675,3.86,3.865,400,20220519
3.865,3.87,3.86,3.865,1600,20220519
3.8675,3.8675,3.865,3.865,400,20220519
3.865,3.8675,3.85,3.85,8233,20220519
3.845,3.85,3.845,3.845,400,20220519
3.845,3.86,3.845,3.855,6921,20220519
3.855,3.855,3.855,3.855,1000,20220519
3.855,3.86,3.855,3.855,14059,20220519
3.855,3.8675,3.855,3.865,4698,20220519
3.8675,3.8675,3.865,3.865,800,20220519
3.8675,3.8675,3.865,3.865,600,20220519
3.86,3.865,3.86,3.865,5302,20220519
3.8675,3.8675,3.855,3.865,14541,20220519
3.8675,3.8675,3.85,3.85,4526,20220519
3.85,3.855,3.845,3.855,8260,20220519
3.85,3.85,3.84,3.845,2646,20220519
3.845,3.85,3.845,3.845,500,20220519
3.85,3.855,3.85,3.855,1244,20220519
3.855,3.855,3.845,3.845,1700,20220519
3.85,3.85,3.85,3.85,1000,20220519
3.855,3.86,3.855,3.855,1490,20220519
3.855,3.8575,3.855,3.8575,300,20220519
3.855,3.86,3.855,3.8575,23106,20220519
3.855,3.855,3.855,3.855,200,20220519
3.86,3.86,3.855,3.855,800,20220519
3.85,3.8575,3.845,3.85,9979,20220519
3.855,3.8575,3.855,3.855,300,20220519
3.855,3.8575,3.855,3.8575,592,20220519
3.855,3.8575,3.855,3.8575,2091,20220519
3.855,3.8675,3.855,3.865,8864,20220519
3.86,3.8675,3.86,3.865,400,20220519
3.8675,3.8675,3.865,3.865,2514,20220519
3.865,3.8675,3.86,3.86,700,20220519
3.86,3.87,3.86,3.865,12444,20220519
3.865,3.8675,3.865,3.865,600,20220519
3.8675,3.87,3.865,3.8675,3300,20220519
3.865,3.8675,3.865,3.865,800,20220519
3.87,3.87,3.865,3.865,1200,20220519
3.865,3.88,3.865,3.875,7287,20220519
3.88,3.9,3.875,3.895,7244,20220519
3.9,3.91,3.895,3.905,2413,20220519
3.91,3.92,3.91,3.915,4213,20220519
3.915,3.915,3.9,3.9,7213,20220519
3.9,3.905,3.895,3.9,9238,20220519
3.9,3.905,3.9,3.905,279,20220519
3.9,3.91,3.9,3.91,1733,20220519
3.905,3.905,3.905,3.905,100,20220519
3.91,3.92,3.91,3.91,7427,20220519
3.9083,3.91,3.89,3.89,5294,20220519
3.89,3.89,3.89,3.89,1800,20220519
3.89,3.89,3.885,3.885,600,20220519
3.89,3.89,3.885,3.885,900,20220519
3.89,3.89,3.885,3.885,6241,20220519
3.885,3.89,3.885,3.89,200,20220519
3.885,3.885,3.885,3.885,200,20220519
3.89,3.895,3.8801,3.8801,13154,20220519
3.89,3.89,3.885,3.89,2521,20220519
3.895,3.9,3.89,3.89,2759,20220519
3.89,3.895,3.88,3.89,6753,20220519
3.89,3.895,3.89,3.89,1487,20220519
3.89,3.9,3.89,3.895,1698,20220519
3.895,3.895,3.89,3.89,317,20220519
3.89,3.895,3.89,3.895,769,20220519
3.895,3.895,3.89,3.895,2414,20220519
3.89,3.905,3.89,3.905,8392,20220519
3.9,3.9,3.895,3.895,7652,20220519
3.9,3.91,3.895,3.91,12366,20220519
3.91,3.915,3.91,3.91,790,20220519
3.915,3.92,3.915,3.92,1600,20220519
3.92,3.925,3.915,3.92,4746,20220519
3.92,3.92,3.915,3.915,600,20220519
3.92,3.925,3.92,3.925,2600,20220519
3.92,3.925,3.91,3.91,22168,20220519
3.91,3.915,3.905,3.905,3929,20220519
3.9,3.9044,3.895,3.895,925,20220519
3.89,3.895,3.885,3.885,1750,20220519
3.88,3.88,3.855,3.855,5446,20220519
3.855,3.855,3.85,3.855,500,20220519
3.85,3.85,3.84,3.85,10392,20220519
3.86,3.86,3.86,3.86,700,20220519
3.85,3.85,3.85,3.85,600,20220519
3.86,3.86,3.85,3.855,1000,20220519
3.855,3.855,3.84,3.845,3285,20220519
3.85,3.85,3.84,3.84,500,20220519
3.85,3.86,3.85,3.86,4887,20220519
3.86,3.86,3.86,3.86,1100,20220519
3.865,3.865,3.86,3.86,4725,20220519
3.855,3.865,3.855,3.865,2240,20220519
3.865,3.865,3.855,3.855,2827,20220519
3.855,3.855,3.855,3.855,100,20220519
3.855,3.855,3.85,3.85,1300,20220519
3.85,3.85,3.85,3.85,100,20220519
