open,high,low,close,volume,datetime
19.1,19.16,18.93,19.03,46735,20220518
19.03,19.12,19.03,19.12,5054,20220518
19.11,19.15,18.98,18.98,6132,20220518
18.96,18.97,18.91,18.92,5202,20220518
18.88,18.89,18.86,18.89,1870,20220518
18.9,18.92,18.89,18.89,3001,20220518
18.91,18.95,18.9,18.9,4664,20220518
18.92,18.96,18.92,18.96,4948,20220518
18.98,18.98,18.89,18.9,5111,20220518
18.905,18.94,18.88,18.88,15046,20220518
18.86,18.87,18.83,18.83,2745,20220518
18.83,18.87,18.81,18.87,5976,20220518
18.86,18.94,18.86,18.92,6743,20220518
18.95,18.97,18.93,18.93,2301,20220518
18.97,18.99,18.96,18.98,2634,20220518
18.97,19.03,18.95,19.02,7356,20220518
19.02,19.07,19.0,19.07,3605,20220518
19.04,19.08,19.04,19.07,2748,20220518
19.08,19.09,19.05,19.06,2020,20220518
19.06,19.08,19.04,19.05,4613,20220518
19.04,19.04,18.98,18.98,2572,20220518
18.93,18.99,18.93,18.95,3800,20220518
18.95,18.99,18.94,18.955,2499,20220518
18.99,18.99,18.9559,18.99,1625,20220518
19.01,19.01,18.96,18.98,2364,20220518
18.97,18.98,18.94,18.95,2014,20220518
18.95,18.96,18.91,18.91,4348,20220518
18.91,18.91,18.86,18.88,4100,20220518
18.88,18.88,18.83,18.85,4689,20220518
18.88,18.88,18.85,18.87,2240,20220518
18.87,18.94,18.86,18.918,4100,20220518
18.91,18.91,18.85,18.85,3740,20220518
18.84,18.88,18.84,18.875,2877,20220518
18.87,18.93,18.86,18.93,1798,20220518
18.94,18.94,18.89,18.89,1996,20220518
18.91,18.925,18.9,18.91,2586,20220518
18.895,18.91,18.89,18.91,4797,20220518
18.91,18.91,18.84,18.87,2340,20220518
18.895,18.9,18.88,18.88,6519,20220518
18.9,18.905,18.86,18.86,2741,20220518
18.86,18.905,18.85,18.89,6327,20220518
18.89,18.9,18.865,18.89,1915,20220518
18.895,18.895,18.87,18.87,1600,20220518
18.878,18.9,18.878,18.89,3300,20220518
18.89,18.9,18.88,18.88,3168,20220518
18.89,18.895,18.86,18.87,1538,20220518
18.865,18.87,18.83,18.87,5412,20220518
18.86,18.895,18.86,18.87,3667,20220518
18.88,18.88,18.87,18.88,2248,20220518
18.87,18.9,18.87,18.885,2043,20220518
18.87,18.89,18.865,18.89,1600,20220518
18.895,18.91,18.89,18.91,2017,20220518
18.91,18.93,18.91,18.92,2300,20220518
18.925,18.925,18.89,18.89,4947,20220518
18.89,18.9,18.87,18.88,2672,20220518
18.89,18.905,18.87,18.87,2568,20220518
18.86,18.89,18.86,18.86,2400,20220518
18.85,18.85,18.81,18.81,1256,20220518
18.81,18.81,18.77,18.77,2300,20220518
18.77,18.8,18.77,18.8,1440,20220518
18.8,18.86,18.8,18.83,2060,20220518
18.845,18.85,18.83,18.83,800,20220518
18.82,18.83,18.76,18.83,8120,20220518
18.83,18.87,18.82,18.86,11734,20220518
18.86,18.86,18.83,18.84,3296,20220518
18.84,18.87,18.83,18.83,11176,20220518
18.83,18.85,18.795,18.795,7532,20220518
18.7905,18.825,18.7905,18.805,4700,20220518
18.81,18.85,18.81,18.835,3258,20220518
18.855,18.88,18.84,18.88,2324,20220518
18.88,18.9,18.87,18.89,3220,20220518
18.905,18.96,18.9,18.96,6702,20220518
18.95,18.965,18.93,18.93,5834,20220518
18.94,18.96,18.91,18.95,7402,20220518
18.945,18.95,18.92,18.92,2977,20220518
18.91,18.93,18.91,18.92,2314,20220518
18.94,18.97,18.94,18.9499,3572,20220518
18.94,18.94,18.91,18.91,1000,20220518
18.92,18.94,18.905,18.91,3211,20220518
18.905,18.92,18.86,18.87,3499,20220518
18.89,18.89,18.83,18.83,6899,20220518
18.84,18.865,18.83,18.84,5675,20220518
18.84,18.84,18.82,18.83,2817,20220518
18.83,18.87,18.83,18.845,3150,20220518
18.84,18.85,18.83,18.85,2000,20220518
18.84,18.85,18.84,18.85,1000,20220518
18.83,18.84,18.82,18.835,3694,20220518
18.84,18.87,18.84,18.87,2116,20220518
18.87,18.89,18.86,18.87,4506,20220518
18.86,18.89,18.86,18.86,6602,20220518
18.86,18.87,18.845,18.85,2900,20220518
18.85,18.88,18.85,18.875,2447,20220518
18.895,18.895,18.84,18.845,3030,20220518
18.845,18.87,18.83,18.83,5138,20220518
18.84,18.84,18.8,18.8,5517,20220518
18.79,18.795,18.78,18.78,3567,20220518
18.78,18.78,18.73,18.755,6826,20220518
18.77,18.795,18.755,18.795,3904,20220518
18.79,18.79,18.765,18.77,2757,20220518
18.77,18.77,18.75,18.75,2426,20220518
18.74,18.75,18.71,18.725,7126,20220518
18.71,18.74,18.71,18.73,1715,20220518
18.73,18.73,18.73,18.73,500,20220518
18.72,18.72,18.72,18.72,383,20220518
18.73,18.73,18.725,18.725,400,20220518
18.72,18.73,18.71,18.73,1900,20220518
18.725,18.73,18.67,18.675,11851,20220518
18.67,18.675,18.66,18.66,1500,20220518
18.65,18.65,18.62,18.635,7687,20220518
18.63,18.64,18.625,18.64,2459,20220518
18.63,18.64,18.54,18.55,16542,20220518
18.54,18.54,18.51,18.53,4381,20220518
18.53,18.54,18.52,18.52,1146,20220518
18.51,18.51,18.47,18.47,3365,20220518
18.47,18.49,18.47,18.49,1300,20220518
18.48,18.49,18.46,18.485,2936,20220518
18.49,18.51,18.45,18.51,7688,20220518
18.51,18.51,18.47,18.49,6557,20220518
18.48,18.515,18.47,18.515,3677,20220518
18.51,18.515,18.48,18.49,5235,20220518
18.51,18.51,18.49,18.49,1857,20220518
18.485,18.535,18.485,18.535,2037,20220518
18.53,18.535,18.49,18.515,4048,20220518
18.515,18.555,18.51,18.53,6543,20220518
18.53,18.53,18.51,18.53,877,20220518
18.53,18.54,18.51,18.53,3695,20220518
18.53,18.54,18.53,18.54,1104,20220518
18.53,18.54,18.51,18.54,1200,20220518
18.55,18.55,18.52,18.52,4623,20220518
18.545,18.59,18.5293,18.57,9821,20220518
18.56,18.56,18.51,18.52,3807,20220518
18.52,18.575,18.52,18.57,2267,20220518
18.58,18.58,18.54,18.57,4977,20220518
18.56,18.565,18.48,18.48,3987,20220518
18.48,18.56,18.48,18.55,6590,20220518
18.54,18.54,18.46,18.48,6510,20220518
18.48,18.515,18.48,18.49,1793,20220518
18.49,18.49,18.44,18.44,5976,20220518
18.44,18.45,18.38,18.4,6844,20220518
18.3935,18.46,18.3935,18.45,3283,20220518
18.44,18.45,18.43,18.45,1818,20220518
18.46,18.47,18.445,18.445,700,20220518
18.47,18.5,18.44,18.45,10441,20220518
18.44,18.44,18.41,18.415,5516,20220518
18.44,18.44,18.38,18.4,6800,20220518
18.395,18.43,18.395,18.43,1718,20220518
18.44,18.46,18.42,18.44,3518,20220518
18.45,18.47,18.425,18.46,5384,20220518
18.47,18.49,18.44,18.45,5961,20220518
18.455,18.49,18.455,18.49,1841,20220518
18.47,18.47,18.44,18.4501,2800,20220518
18.45,18.45,18.43,18.44,2702,20220518
18.445,18.465,18.445,18.465,9587,20220518
18.46,18.475,18.45,18.45,14212,20220518
18.45,18.46,18.42,18.42,3057,20220518
18.42,18.42,18.37,18.37,5900,20220518
18.37,18.38,18.35,18.37,1600,20220518
18.35,18.38,18.34,18.38,2800,20220518
18.37,18.37,18.35,18.36,1459,20220518
18.37,18.38,18.35,18.36,3133,20220518
18.36,18.38,18.35,18.375,1200,20220518
18.38,18.41,18.38,18.4,1707,20220518
18.43,18.43,18.38,18.395,16015,20220518
18.41,18.43,18.4,18.42,3100,20220518
18.43,18.455,18.425,18.45,4294,20220518
18.45,18.48,18.435,18.48,2170,20220518
18.49,18.56,18.49,18.54,8370,20220518
18.55,18.56,18.525,18.54,3612,20220518
18.52,18.53,18.49,18.505,3609,20220518
18.49,18.5,18.485,18.485,300,20220518
