open,high,low,close,volume,datetime
22.71,22.74,22.5,22.521,29472,20220518
22.53,22.53,22.4261,22.4261,2850,20220518
22.43,22.43,22.23,22.33,12852,20220518
22.3,22.3,22.25,22.27,3600,20220518
22.27,22.3,22.22,22.26,7840,20220518
22.24,22.32,22.17,22.32,76287,20220518
22.31,22.31,22.21,22.28,8850,20220518
22.28,22.28,22.22,22.22,52326,20220518
22.225,22.26,22.22,22.25,11762,20220518
22.26,22.28,22.24,22.26,8199,20220518
22.25,22.25,22.1648,22.1648,10317,20220518
22.19,22.27,22.19,22.23,10525,20220518
22.22,22.22,22.15,22.17,10476,20220518
22.18,22.18,22.115,22.14,11782,20220518
22.14,22.15,22.12,22.13,7030,20220518
22.135,22.15,22.105,22.12,6108,20220518
22.13,22.15,22.09,22.13,8909,20220518
22.13,22.14,22.1,22.1399,3800,20220518
22.14,22.145,22.11,22.11,700,20220518
22.1,22.18,22.1,22.18,6253,20220518
22.18,22.18,22.135,22.14,2600,20220518
22.13,22.1588,22.13,22.14,7243,20220518
22.121,22.19,22.121,22.174,5283,20220518
22.17,22.18,22.12,22.12,18423,20220518
22.115,22.13,22.09,22.11,10771,20220518
22.11,22.16,22.11,22.135,4283,20220518
22.14,22.16,22.13,22.16,7738,20220518
22.15,22.15,22.12,22.13,3513,20220518
22.115,22.12,22.1,22.11,7005,20220518
22.1099,22.1099,22.085,22.09,1773,20220518
22.095,22.11,22.06,22.1,19398,20220518
22.09,22.09,22.02,22.0401,27591,20220518
22.05,22.06,22.01,22.0201,18688,20220518
22.02,22.02,21.985,22.01,7945,20220518
22.02,22.03,22.0,22.0,2900,20220518
22.0,22.0,21.95,21.96,7707,20220518
21.95,21.95,21.91,21.92,4999,20220518
21.9,21.93,21.88,21.881,13172,20220518
21.88,21.88,21.82,21.825,4540,20220518
21.81,21.82,21.78,21.82,6563,20220518
21.82,21.87,21.82,21.85,9887,20220518
21.845,21.9,21.845,21.9,12729,20220518
21.92,21.93,21.865,21.885,10364,20220518
21.88,21.89,21.86,21.86,5935,20220518
21.85,21.85,21.8,21.81,4689,20220518
21.81,21.84,21.8,21.84,4696,20220518
21.83,21.86,21.82,21.8543,26373,20220518
21.86,21.87,21.855,21.87,5366,20220518
21.87,21.87,21.81,21.84,12850,20220518
21.83,21.83,21.8,21.8,13627,20220518
21.79,21.815,21.79,21.8,9542,20220518
21.795,21.795,21.76,21.762,12467,20220518
21.76,21.761,21.74,21.74,7041,20220518
21.73,21.735,21.63,21.64,46410,20220518
21.63,21.67,21.62,21.62,29183,20220518
21.62,21.635,21.59,21.62,77708,20220518
21.615,21.62,21.55,21.55,10011,20220518
21.55,21.57,21.52,21.52,8513,20220518
21.525,21.53,21.51,21.525,6321,20220518
21.51,21.515,21.475,21.5,12368,20220518
21.49,21.5,21.48,21.49,9908,20220518
21.495,21.535,21.49,21.51,15817,20220518
21.51,21.55,21.51,21.51,10724,20220518
21.505,21.545,21.505,21.52,7169,20220518
21.525,21.56,21.525,21.545,7094,20220518
21.55,21.55,21.52,21.525,8099,20220518
21.53,21.64,21.525,21.639,15322,20220518
21.64,21.68,21.625,21.625,14307,20220518
21.62,21.65,21.605,21.6105,4063,20220518
21.615,21.64,21.605,21.63,5537,20220518
21.635,21.635,21.575,21.61,3600,20220518
21.61,21.615,21.59,21.61,5196,20220518
21.6131,21.6131,21.58,21.58,2312,20220518
21.57,21.585,21.565,21.57,6558,20220518
21.56,21.5727,21.545,21.5709,8390,20220518
21.57,21.58,21.55,21.565,20162,20220518
21.565,21.64,21.565,21.63,17907,20220518
21.63,21.64,21.595,21.6,10687,20220518
21.605,21.64,21.605,21.62,6844,20220518
21.615,21.64,21.61,21.61,7131,20220518
21.61,21.63,21.6,21.61,5228,20220518
21.61,21.61,21.595,21.6,6273,20220518
21.6,21.605,21.57,21.5742,3623,20220518
21.55,21.55,21.52,21.52,5155,20220518
21.52,21.52,21.5,21.51,2174,20220518
21.515,21.515,21.5,21.5,3560,20220518
21.505,21.535,21.495,21.53,13855,20220518
21.535,21.56,21.535,21.55,5383,20220518
21.57,21.59,21.57,21.59,3114,20220518
21.585,21.6,21.575,21.58,2973,20220518
21.58,21.59,21.57,21.58,2503,20220518
21.585,21.585,21.555,21.555,1900,20220518
21.56,21.57,21.555,21.56,6087,20220518
21.555,21.555,21.52,21.52,1900,20220518
21.515,21.518,21.505,21.515,2709,20220518
21.51,21.515,21.49,21.49,5165,20220518
21.49,21.49,21.44,21.445,13575,20220518
21.44,21.47,21.43,21.4699,15993,20220518
21.465,21.52,21.46,21.515,7130,20220518
21.51,21.51,21.48,21.4816,4757,20220518
21.48,21.48,21.46,21.48,17579,20220518
21.48,21.485,21.46,21.475,2131,20220518
21.48,21.48,21.475,21.475,1345,20220518
21.47,21.47,21.47,21.47,2301,20220518
21.48,21.48,21.47,21.47,400,20220518
21.47,21.47,21.46,21.46,700,20220518
21.47,21.5,21.45,21.45,28774,20220518
21.455,21.46,21.45,21.455,3072,20220518
21.46,21.47,21.46,21.465,3082,20220518
21.47,21.49,21.47,21.49,4500,20220518
21.485,21.49,21.47,21.48,5465,20220518
21.49,21.4919,21.48,21.48,948,20220518
21.48,21.48,21.46,21.47,1608,20220518
21.46,21.47,21.45,21.46,3237,20220518
21.46,21.4613,21.431,21.445,9983,20220518
21.445,21.45,21.44,21.44,5069,20220518
21.44,21.44,21.38,21.405,16511,20220518
21.4,21.4,21.39,21.395,1559,20220518
21.395,21.395,21.375,21.38,2411,20220518
21.38,21.38,21.37,21.375,1423,20220518
21.38,21.381,21.37,21.37,3466,20220518
21.3725,21.38,21.37,21.37,11785,20220518
21.37,21.38,21.36,21.36,6280,20220518
21.37,21.38,21.37,21.37,2400,20220518
