open,high,low,close,volume,datetime
18.02,18.02,17.94,17.95,29511,20220518
17.94,17.95,17.9,17.93,6061,20220518
17.95,17.97,17.88,17.89,1300,20220518
17.9,17.906,17.88,17.906,838,20220518
17.9,17.94,17.9,17.94,3715,20220518
17.89,17.94,17.89,17.94,3100,20220518
17.98,17.99,17.95,17.97,6600,20220518
17.98,17.985,17.98,17.98,1000,20220518
17.98,17.99,17.96,17.96,1100,20220518
17.96,17.96,17.885,17.9,3272,20220518
17.9,17.9,17.88,17.88,1510,20220518
17.9,17.9,17.89,17.89,1100,20220518
17.885,17.89,17.87,17.87,1078,20220518
17.88,17.94,17.88,17.93,2698,20220518
17.94,17.96,17.93,17.96,9271,20220518
17.96,17.98,17.96,17.98,1715,20220518
17.99,18.0,17.975,18.0,1300,20220518
18.0,18.01,17.99,18.0,6300,20220518
17.99,18.005,17.98,17.98,4878,20220518
17.975,17.99,17.975,17.985,3275,20220518
17.98,17.98,17.96,17.965,5200,20220518
17.97,18.0,17.97,17.985,2800,20220518
17.98,17.99,17.97,17.98,2450,20220518
17.99,18.0,17.97,17.97,1400,20220518
17.97,17.97,17.95,17.95,770,20220518
17.94,17.94,17.93,17.93,3756,20220518
17.92,17.92,17.9,17.9,3005,20220518
17.89,17.89,17.89,17.89,400,20220518
17.875,17.881,17.875,17.881,638,20220518
17.88,17.9,17.88,17.9,1820,20220518
17.9,17.92,17.9,17.92,5497,20220518
17.915,17.95,17.915,17.94,4212,20220518
17.93,17.935,17.93,17.935,302,20220518
17.93,17.93,17.93,17.93,577,20220518
17.935,17.935,17.915,17.92,1411,20220518
17.92,17.96,17.92,17.96,3700,20220518
17.95,17.95,17.95,17.95,882,20220518
17.95,17.95,17.95,17.95,1300,20220518
17.95,17.95,17.94,17.94,2911,20220518
17.93,17.935,17.915,17.92,2128,20220518
17.92,17.94,17.92,17.94,4577,20220518
17.94,17.94,17.91,17.91,1545,20220518
17.91,17.91,17.89,17.89,300,20220518
17.89,17.915,17.89,17.9,7175,20220518
17.895,17.925,17.895,17.925,2900,20220518
17.92,17.92,17.9,17.9,2062,20220518
17.89,17.9,17.88,17.9,2100,20220518
17.9,17.92,17.9,17.92,4974,20220518
17.9,17.9,17.89,17.9,14259,20220518
17.9,17.91,17.89,17.91,11282,20220518
17.92,17.92,17.91,17.91,2037,20220518
17.92,17.93,17.92,17.92,1400,20220518
17.91,17.92,17.91,17.91,4560,20220518
17.9,17.905,17.89,17.905,2551,20220518
17.9,17.9,17.9,17.9,353,20220518
17.9,17.945,17.9,17.94,3060,20220518
17.94,17.94,17.925,17.93,1474,20220518
17.93,17.93,17.93,17.93,200,20220518
17.935,17.935,17.88,17.88,4148,20220518
17.87,17.87,17.865,17.87,2379,20220518
17.87,17.88,17.87,17.88,3991,20220518
17.88,17.885,17.88,17.885,1900,20220518
17.88,17.89,17.88,17.89,1554,20220518
17.885,17.895,17.88,17.88,2203,20220518
17.86,17.86,17.835,17.845,1902,20220518
17.84,17.855,17.84,17.84,1200,20220518
17.85,17.855,17.84,17.845,2980,20220518
17.845,17.9,17.84,17.88,40482,20220518
17.88,17.88,17.855,17.88,8361,20220518
17.88,17.91,17.88,17.89,26614,20220518
17.89,17.895,17.865,17.89,7555,20220518
17.89,17.91,17.885,17.885,10210,20220518
17.885,17.89,17.885,17.89,1200,20220518
17.89,17.945,17.89,17.92,85648,20220518
17.91,17.915,17.9,17.9,2810,20220518
17.9,17.955,17.9,17.95,18120,20220518
17.955,17.955,17.94,17.94,6483,20220518
17.95,17.97,17.95,17.965,3625,20220518
17.965,17.975,17.965,17.975,2995,20220518
17.975,17.995,17.975,17.995,1500,20220518
18.0,18.02,18.0,18.01,4166,20220518
18.02,18.02,18.01,18.01,1927,20220518
18.01,18.01,18.0,18.0,1291,20220518
18.0,18.0,18.0,18.0,1783,20220518
17.99,17.99,17.98,17.98,500,20220518
17.97,17.98,17.97,17.98,2900,20220518
17.99,18.005,17.99,17.995,2091,20220518
18.0,18.09,18.0,18.065,48749,20220518
18.065,18.11,18.065,18.085,48163,20220518
18.08,18.08,18.05,18.055,1826,20220518
18.05,18.065,18.05,18.06,19549,20220518
18.055,18.055,18.035,18.035,6672,20220518
18.035,18.04,18.01,18.01,9783,20220518
18.01,18.015,17.97,17.97,2078,20220518
17.965,18.07,17.965,18.03,45865,20220518
18.035,18.035,18.0,18.0,2700,20220518
17.99,17.99,17.96,17.96,7255,20220518
17.95,18.4,17.95,17.995,103029,20220518
17.995,17.995,17.98,17.98,800,20220518
17.975,17.975,17.96,17.96,4415,20220518
17.97,17.97,17.97,17.97,1316,20220518
17.97,17.97,17.97,17.97,500,20220518
17.965,17.97,17.965,17.97,300,20220518
17.97,17.98,17.96,17.97,9974,20220518
17.965,17.965,17.96,17.96,655,20220518
17.955,17.955,17.95,17.955,1992,20220518
17.96,17.965,17.96,17.96,1300,20220518
17.945,17.95,17.945,17.95,667,20220518
17.955,17.955,17.94,17.94,3083,20220518
17.92,17.925,17.92,17.92,900,20220518
17.92,17.94,17.91,17.94,5648,20220518
17.935,17.935,17.915,17.915,4931,20220518
17.915,17.955,17.915,17.95,5739,20220518
17.94,17.94,17.925,17.925,5400,20220518
17.91,17.91,17.88,17.88,1119,20220518
17.88,17.88,17.86,17.86,1584,20220518
17.84,17.84,17.79,17.82,7916,20220518
17.82,17.82,17.8031,17.8031,1958,20220518
17.81,17.83,17.81,17.83,3725,20220518
17.83,17.84,17.83,17.835,3520,20220518
17.84,17.86,17.84,17.86,2916,20220518
17.85,17.865,17.85,17.865,669,20220518
17.87,17.87,17.865,17.87,3037,20220518
17.86,17.875,17.86,17.87,4940,20220518
17.875,17.89,17.87,17.88,4360,20220518
17.89,17.905,17.885,17.9,4693,20220518
17.91,17.91,17.9,17.9,1825,20220518
17.905,17.91,17.905,17.91,3886,20220518
17.915,17.935,17.915,17.935,1300,20220518
17.94,17.975,17.94,17.975,1957,20220518
17.97,17.98,17.95,17.95,4460,20220518
17.95,17.96,17.95,17.96,3601,20220518
17.96,17.96,17.945,17.95,2900,20220518
17.945,17.945,17.94,17.94,3210,20220518
17.935,17.955,17.93,17.93,21079,20220518
17.93,17.95,17.93,17.93,8025,20220518
17.93,17.94,17.93,17.94,3313,20220518
17.94,17.94,17.93,17.94,1995,20220518
17.945,17.98,17.94,17.94,17245,20220518
17.94,17.94,17.93,17.93,1137,20220518
17.915,17.915,17.89,17.89,2000,20220518
17.89,17.92,17.89,17.91,10551,20220518
17.89,17.9,17.88,17.9,5014,20220518
17.9,17.91,17.9,17.9,2100,20220518
17.9,17.9,17.9,17.9,300,20220518
17.9,17.9,17.89,17.89,1700,20220518
17.89,17.89,17.8865,17.89,4409,20220518
17.89,17.925,17.885,17.925,14985,20220518
17.92,17.92,17.89,17.895,6690,20220518
17.895,17.895,17.87,17.8825,5100,20220518
17.87,17.9,17.865,17.89,9377,20220518
17.89,17.89,17.875,17.885,4758,20220518
17.885,17.885,17.87,17.87,5740,20220518
17.87,17.875,17.85,17.85,5097,20220518
17.83,17.865,17.83,17.865,6804,20220518
17.85,17.855,17.83,17.84,6582,20220518
17.84,17.8425,17.84,17.8425,5436,20220518
17.84,17.84,17.83,17.84,6554,20220518
17.84,17.85,17.84,17.85,5796,20220518
17.85,17.86,17.85,17.858,3143,20220518
17.86,17.87,17.86,17.87,2662,20220518
17.87,17.89,17.87,17.89,1400,20220518
17.89,17.89,17.875,17.89,4473,20220518
17.89,17.91,17.89,17.91,1000,20220518
17.91,17.925,17.91,17.925,1251,20220518
17.925,17.96,17.92,17.92,15299,20220518
17.91,17.91,17.905,17.905,300,20220518
17.9,17.905,17.9,17.905,437,20220518
17.9,17.9,17.875,17.88,4643,20220518
17.88,17.88,17.87,17.87,2217,20220518
17.86,17.86,17.835,17.835,3181,20220518
17.845,17.845,17.84,17.84,500,20220518
17.85,17.86,17.845,17.855,8379,20220518
17.86,17.86,17.85,17.85,1200,20220518
17.85,17.85,17.85,17.85,299,20220518
17.845,17.85,17.83,17.85,32263,20220518
17.85,17.855,17.85,17.85,824,20220518
17.84,17.84,17.815,17.815,2334,20220518
17.815,17.84,17.815,17.84,13907,20220518
17.835,17.835,17.835,17.835,300,20220518
17.835,17.8372,17.8336,17.8336,504,20220518
