open,high,low,close,volume,datetime
182.5784,182.5784,181.97,182.01,22078,20220518
182.5283,182.5283,181.8,182.03,1777,20220518
182.58,182.71,182.25,182.25,1000,20220518
183.02,183.2,183.02,183.2,200,20220518
182.8,182.8,182.31,182.31,600,20220518
182.73,182.91,182.15,182.91,2100,20220518
183.44,183.6549,182.97,183.25,850,20220518
183.51,183.525,183.01,183.26,1650,20220518
183.59,183.59,183.09,183.09,600,20220518
182.92,183.08,182.63,182.87,1655,20220518
183.0,183.05,182.88,182.89,601,20220518
183.0,183.03,182.63,182.63,550,20220518
182.64,182.94,182.59,182.94,1850,20220518
182.97,183.27,182.96,183.27,500,20220518
183.38,183.465,183.18,183.46,1200,20220518
183.59,183.92,183.38,183.92,3450,20220518
183.905,184.08,183.55,183.55,1050,20220518
183.855,183.865,183.63,183.63,15985,20220518
183.71,183.77,183.625,183.625,1127,20220518
183.64,183.91,183.615,183.86,800,20220518
183.6949,183.84,183.66,183.77,2545,20220518
183.89,184.4,183.86,184.1574,1915,20220518
184.41,184.75,184.41,184.585,1130,20220518
184.595,184.88,184.595,184.61,1500,20220518
184.5125,184.73,184.4,184.4925,1782,20220518
184.52,184.61,184.36,184.55,950,20220518
184.6013,184.6013,184.17,184.17,1532,20220518
184.02,184.09,183.67,183.77,2290,20220518
183.86,184.17,183.8208,184.17,600,20220518
184.135,184.225,183.3,184.1275,4422,20220518
184.13,184.49,184.01,184.49,2171,20220518
184.645,184.805,184.645,184.805,600,20220518
184.83,184.91,184.8,184.85,1600,20220518
184.975,185.025,184.83,184.83,538,20220518
184.99,185.0,184.59,184.795,1150,20220518
184.89,184.9,184.6,184.64,1406,20220518
184.76,184.85,184.7,184.785,800,20220518
184.62,184.72,184.62,184.72,400,20220518
184.5,184.66,184.36,184.64,1096,20220518
184.655,184.665,184.53,184.635,1425,20220518
184.81,184.935,184.69,184.69,2100,20220518
184.7,184.83,184.59,184.755,4329,20220518
184.81,184.81,184.43,184.53,2700,20220518
184.38,184.59,184.275,184.59,7191,20220518
184.55,184.7377,184.5,184.71,2333,20220518
184.665,184.805,184.455,184.805,4072,20220518
184.8,185.249,184.79,184.9,6629,20220518
184.99,185.265,184.97,185.245,6032,20220518
185.31,185.31,185.2,185.2,300,20220518
184.91,184.99,184.76,184.78,1100,20220518
184.96,185.185,184.96,185.18,587,20220518
185.165,185.165,185.13,185.13,200,20220518
184.98,184.98,184.725,184.725,911,20220518
184.54,184.54,184.33,184.33,2730,20220518
184.26,184.44,184.26,184.44,1337,20220518
184.47,184.6,184.47,184.57,400,20220518
184.42,184.445,184.42,184.43,639,20220518
184.33,184.33,184.18,184.18,1082,20220518
184.12,184.245,183.985,183.985,1300,20220518
183.54,183.91,183.54,183.805,1962,20220518
183.91,184.06,183.565,183.565,3134,20220518
183.65,183.68,183.53,183.53,1345,20220518
183.525,183.935,183.525,183.61,3067,20220518
183.665,183.665,183.44,183.475,1494,20220518
183.36,183.42,182.91,183.08,6422,20220518
183.12,183.31,183.07,183.18,2229,20220518
183.21,183.21,183.015,183.015,300,20220518
182.96,183.0825,182.95,183.07,1873,20220518
183.05,183.05,182.9,183.01,900,20220518
183.14,183.17,182.95,183.07,600,20220518
183.075,183.25,183.065,183.25,1141,20220518
183.26,183.29,183.14,183.29,500,20220518
183.2675,183.3725,183.2675,183.33,300,20220518
183.35,183.35,183.26,183.275,800,20220518
183.34,183.34,183.14,183.15,528,20220518
183.29,183.54,183.29,183.54,800,20220518
183.575,183.65,183.45,183.63,500,20220518
183.68,183.9375,183.66,183.9375,2600,20220518
183.835,183.835,183.63,183.63,400,20220518
183.67,183.78,183.55,183.59,1908,20220518
183.56,183.58,183.56,183.58,200,20220518
183.6,183.6,183.25,183.25,1818,20220518
183.42,183.535,183.36,183.535,800,20220518
183.58,183.68,183.44,183.44,1000,20220518
183.555,183.695,183.49,183.695,782,20220518
183.605,183.78,183.6,183.78,1234,20220518
183.88,184.11,183.88,184.075,4900,20220518
184.19,184.27,184.1,184.16,2603,20220518
184.05,184.15,183.95,183.9875,700,20220518
184.0,184.13,183.89,184.13,500,20220518
183.9,183.9,183.595,183.595,887,20220518
183.71,183.71,183.36,183.36,600,20220518
183.42,183.57,183.42,183.465,1300,20220518
183.535,183.535,183.535,183.535,100,20220518
183.16,183.39,183.16,183.39,600,20220518
183.46,183.545,183.37,183.37,1400,20220518
183.155,183.26,183.155,183.26,816,20220518
183.2,183.235,182.99,183.08,1100,20220518
183.04,183.08,182.96,183.05,903,20220518
183.11,183.11,182.9405,182.9405,750,20220518
182.97,183.025,182.97,183.025,200,20220518
183.025,183.025,183.025,183.025,762,20220518
182.995,182.995,182.99,182.9924,365,20220518
183.0118,183.0118,182.8,182.805,2151,20220518
182.67,182.67,182.64,182.64,400,20220518
182.49,182.5366,182.475,182.5366,413,20220518
182.55,182.55,182.41,182.41,2400,20220518
182.41,182.41,182.41,182.41,1184,20220518
182.4441,182.4441,182.1,182.1,773,20220518
182.0844,182.1547,182.04,182.04,1320,20220518
182.0409,182.0409,181.945,181.945,6660,20220518
181.75,181.75,181.42,181.42,600,20220518
181.65,181.7342,181.605,181.7342,2217,20220518
181.7,181.7,181.66,181.66,200,20220518
181.46,181.4999,181.44,181.4999,1186,20220518
181.27,181.34,181.13,181.34,1532,20220518
181.28,181.28,180.97,180.98,1636,20220518
180.905,181.2075,180.905,181.2075,1804,20220518
181.31,181.32,181.18,181.18,900,20220518
181.34,181.361,181.2,181.275,800,20220518
181.32,181.42,181.19,181.42,1377,20220518
181.36,181.45,181.35,181.35,310,20220518
181.27,181.31,181.23,181.3,500,20220518
181.185,181.41,181.185,181.41,1201,20220518
181.34,181.345,181.34,181.345,200,20220518
181.5,181.5,181.41,181.41,300,20220518
181.3139,181.35,181.3139,181.35,200,20220518
181.4,181.49,181.375,181.49,950,20220518
181.39,181.615,181.39,181.59,900,20220518
181.66,181.66,181.53,181.57,400,20220518
181.55,181.66,181.55,181.66,1646,20220518
181.47,181.535,181.24,181.35,1000,20220518
181.12,181.1225,181.12,181.1225,200,20220518
181.1217,181.3,181.08,181.09,3171,20220518
181.21,181.24,181.21,181.225,400,20220518
181.11,181.26,181.1,181.26,300,20220518
181.29,181.3,181.29,181.3,300,20220518
181.06,181.09,180.9903,180.9903,1386,20220518
180.93,180.93,180.73,180.73,1312,20220518
180.58,180.58,180.5,180.5,307,20220518
180.43,180.72,180.42,180.72,2600,20220518
180.6625,180.76,180.62,180.74,1100,20220518
180.77,180.89,180.77,180.89,1300,20220518
180.72,180.72,180.5,180.5,500,20220518
180.545,180.58,180.5,180.5,387,20220518
