open,high,low,close,volume,datetime
68.34,68.46,68.3,68.34,91311,20220518
68.3283,68.44,68.3033,68.43,20160,20220518
68.44,68.5,68.33,68.34,18911,20220518
68.32,68.32,68.15,68.19,8729,20220518
68.21,68.21,68.17,68.19,12147,20220518
68.21,68.21,68.05,68.05,15817,20220518
68.05,68.12,68.04,68.12,13578,20220518
68.1389,68.15,68.0346,68.11,4892,20220518
68.105,68.11,68.02,68.04,9021,20220518
68.0,68.0,67.8417,67.89,10027,20220518
67.87,68.03,67.855,67.975,6655,20220518
67.97,67.97,67.815,67.815,5965,20220518
67.82,67.88,67.76,67.84,16514,20220518
67.8433,67.8433,67.8,67.81,13331,20220518
67.815,67.9,67.815,67.88,12213,20220518
67.86,68.005,67.84,67.99,4549,20220518
67.94,67.95,67.86,67.91,7337,20220518
67.92,67.92,67.86,67.87,10387,20220518
67.9,67.91,67.85,67.87,4277,20220518
67.86,67.86,67.78,67.78,13221,20220518
67.79,67.79,67.65,67.65,10809,20220518
67.64,67.7,67.605,67.61,7183,20220518
67.6,67.62,67.54,67.62,5196,20220518
67.6,67.65,67.5702,67.65,4735,20220518
67.6313,67.64,67.59,67.62,3685,20220518
67.61,67.63,67.575,67.59,8157,20220518
67.59,67.63,67.54,67.54,9921,20220518
67.54,67.57,67.51,67.55,9787,20220518
67.54,67.56,67.49,67.54,10279,20220518
67.52,67.6,67.5,67.55,19499,20220518
67.56,67.62,67.51,67.62,8287,20220518
67.62,67.62,67.52,67.54,6060,20220518
67.54,67.59,67.53,67.59,2426,20220518
67.59,67.7,67.59,67.7,5775,20220518
67.7,67.73,67.65,67.65,4438,20220518
67.66,67.76,67.66,67.725,8948,20220518
67.73,67.8,67.73,67.76,4726,20220518
67.75,67.77,67.73,67.74,4427,20220518
67.74,67.8667,67.74,67.8667,12028,20220518
67.85,67.9,67.85,67.88,6942,20220518
67.87,67.9,67.83,67.87,5396,20220518
67.88,67.9,67.85,67.89,6254,20220518
