open,high,low,close,volume,datetime
41.28,41.3,41.07,41.07,4900,20220518
40.82,40.82,40.48,40.48,3031,20220518
40.28,40.4233,40.06,40.4233,1700,20220518
40.42,40.42,40.38,40.38,1289,20220518
40.34,40.516,40.34,40.34,300,20220518
40.51,40.61,40.51,40.61,600,20220518
40.665,40.665,40.47,40.55,2100,20220518
40.73,40.73,40.73,40.73,100,20220518
40.71,40.71,40.71,40.71,100,20220518
40.74,40.75,40.74,40.74,401,20220518
40.61,40.61,40.5,40.5,499,20220518
40.65,40.66,40.63,40.63,1400,20220518
40.48,40.48,40.48,40.48,800,20220518
40.63,40.63,40.63,40.63,100,20220518
40.61,40.675,40.61,40.675,300,20220518
40.67,40.75,40.67,40.75,500,20220518
40.71,40.71,40.71,40.71,100,20220518
40.75,40.75,40.57,40.57,300,20220518
40.5,40.5,40.5,40.5,1314,20220518
40.46,40.58,40.46,40.46,400,20220518
40.57,40.58,40.57,40.58,200,20220518
40.57,40.57,40.57,40.57,192,20220518
40.53,40.53,40.53,40.53,100,20220518
40.45,40.58,40.45,40.58,700,20220518
40.51,40.51,40.5,40.5,305,20220518
40.57,40.74,40.57,40.74,500,20220518
40.89,40.89,40.86,40.86,200,20220518
40.87,40.88,40.87,40.88,208,20220518
40.81,40.81,40.71,40.71,969,20220518
40.88,40.88,40.73,40.73,500,20220518
40.77,40.77,40.77,40.77,100,20220518
40.75,40.75,40.61,40.73,600,20220518
40.61,40.638,40.57,40.63,1700,20220518
40.76,40.76,40.76,40.76,100,20220518
40.71,40.75,40.59,40.59,948,20220518
40.75,40.76,40.75,40.76,398,20220518
40.75,40.75,40.75,40.75,100,20220518
40.68,40.68,40.61,40.61,940,20220518
40.71,40.78,40.71,40.78,700,20220518
40.77,40.83,40.77,40.83,400,20220518
40.87,40.87,40.87,40.87,100,20220518
40.9,40.9,40.9,40.9,100,20220518
40.9,40.9,40.9,40.9,100,20220518
40.91,40.91,40.91,40.91,200,20220518
40.79,40.91,40.79,40.8,2745,20220518
40.81,40.81,40.81,40.81,100,20220518
40.84,40.91,40.84,40.91,300,20220518
40.88,40.896,40.8,40.8,1500,20220518
40.775,40.775,40.775,40.775,100,20220518
40.71,40.74,40.67,40.72,900,20220518
40.77,40.77,40.77,40.77,300,20220518
40.81,40.81,40.78,40.78,200,20220518
40.77,40.8,40.74,40.795,1300,20220518
40.79,40.79,40.79,40.79,100,20220518
40.78,40.85,40.78,40.85,500,20220518
40.85,40.85,40.85,40.85,100,20220518
40.88,40.92,40.88,40.92,300,20220518
40.92,40.92,40.85,40.88,1100,20220518
40.989,40.989,40.95,40.95,260,20220518
40.92,40.97,40.92,40.97,200,20220518
40.98,40.98,40.98,40.98,100,20220518
40.97,40.97,40.97,40.97,100,20220518
40.92,40.92,40.92,40.92,100,20220518
40.94,40.94,40.94,40.94,100,20220518
40.93,40.95,40.93,40.95,500,20220518
41.0,41.05,41.0,41.02,700,20220518
41.04,41.04,41.04,41.04,100,20220518
41.07,41.12,41.06,41.075,800,20220518
41.05,41.05,41.05,41.05,100,20220518
41.0,41.01,41.0,41.01,1378,20220518
40.99,40.99,40.99,40.99,100,20220518
40.94,40.94,40.94,40.94,400,20220518
40.88,40.88,40.88,40.88,300,20220518
40.875,40.875,40.875,40.875,100,20220518
40.89,40.925,40.83,40.83,1530,20220518
40.68,40.68,40.68,40.68,100,20220518
40.67,40.67,40.67,40.67,100,20220518
40.76,40.76,40.74,40.74,300,20220518
40.7109,40.75,40.7109,40.75,307,20220518
40.755,40.755,40.71,40.755,300,20220518
40.755,40.755,40.71,40.71,300,20220518
40.69,40.72,40.68,40.68,300,20220518
40.67,40.67,40.67,40.67,200,20220518
40.66,40.66,40.66,40.66,100,20220518
40.66,40.66,40.65,40.65,600,20220518
40.67,40.68,40.67,40.68,300,20220518
40.63,40.63,40.63,40.63,104,20220518
40.61,40.61,40.6,40.6,300,20220518
40.67,40.67,40.67,40.67,100,20220518
40.66,40.67,40.61,40.61,890,20220518
40.61,40.61,40.58,40.58,480,20220518
40.59,40.65,40.59,40.61,400,20220518
40.645,40.645,40.645,40.645,200,20220518
40.62,40.62,40.6,40.6,583,20220518
40.59,40.59,40.58,40.58,300,20220518
40.65,40.65,40.65,40.65,500,20220518
40.69,40.71,40.69,40.71,343,20220518
40.65,40.65,40.58,40.58,952,20220518
40.68,40.68,40.65,40.65,200,20220518
40.73,40.73,40.68,40.68,300,20220518
40.72,40.72,40.69,40.69,700,20220518
40.69,40.69,40.65,40.65,500,20220518
40.6,40.6,40.6,40.6,100,20220518
40.57,40.57,40.57,40.57,100,20220518
40.61,40.61,40.61,40.61,200,20220518
40.61,40.61,40.53,40.53,700,20220518
40.61,40.61,40.54,40.54,300,20220518
40.53,40.53,40.47,40.47,400,20220518
40.47,40.47,40.47,40.47,100,20220518
40.44,40.5,40.44,40.5,1401,20220518
40.58,40.59,40.58,40.59,200,20220518
40.62,40.62,40.55,40.55,1029,20220518
40.51,40.51,40.46,40.5,600,20220518
40.48,40.5,40.48,40.49,1900,20220518
40.48,40.49,40.48,40.49,700,20220518
40.55,40.55,40.55,40.55,100,20220518
40.52,40.52,40.52,40.52,100,20220518
40.56,40.56,40.48,40.48,500,20220518
40.5,40.53,40.5,40.5,1200,20220518
40.5,40.53,40.49,40.49,471,20220518
40.43,40.485,40.43,40.485,1400,20220518
40.53,40.53,40.53,40.53,200,20220518
40.525,40.525,40.525,40.525,200,20220518
40.57,40.57,40.56,40.56,422,20220518
40.64,40.68,40.64,40.68,300,20220518
40.71,40.71,40.71,40.71,100,20220518
40.69,40.69,40.65,40.65,615,20220518
