open,high,low,close,volume,datetime
78.66,79.11,78.29,78.31,16270,20220518
78.12,78.44,78.0694,78.44,2472,20220518
78.29,78.36,78.24,78.35,1915,20220518
78.335,78.64,78.335,78.57,2504,20220518
78.53,78.76,78.435,78.76,2192,20220518
78.8,78.8,78.62,78.75,700,20220518
78.83,78.83,78.71,78.75,1700,20220518
78.74,78.85,78.74,78.75,1532,20220518
78.695,78.7,78.14,78.15,11614,20220518
78.2,78.28,78.13,78.23,2649,20220518
78.23,78.41,78.23,78.4,2640,20220518
78.18,78.18,77.92,77.94,4615,20220518
77.98,78.05,77.98,78.035,5348,20220518
78.08,78.28,78.0,78.28,4744,20220518
78.19,78.3,78.18,78.28,2729,20220518
78.28,78.34,78.28,78.34,847,20220518
78.35,78.5,78.35,78.5,1302,20220518
78.43,78.49,78.42,78.42,1253,20220518
78.395,78.45,78.395,78.43,760,20220518
78.4382,78.47,78.35,78.36,2113,20220518
78.335,78.47,78.335,78.47,500,20220518
78.41,78.41,78.29,78.315,1407,20220518
78.28,78.28,78.2113,78.2113,280,20220518
78.23,78.28,78.18,78.25,889,20220518
78.21,78.22,78.2,78.22,925,20220518
78.18,78.185,78.13,78.155,1154,20220518
78.14,78.14,78.1,78.12,1036,20220518
78.09,78.09,78.07,78.07,410,20220518
78.045,78.08,78.025,78.08,600,20220518
78.07,78.12,78.05,78.05,901,20220518
78.16,78.25,78.16,78.25,998,20220518
78.22,78.28,78.22,78.27,600,20220518
78.25,78.34,78.25,78.34,1006,20220518
78.32,78.355,78.32,78.33,312,20220518
78.315,78.34,78.255,78.34,800,20220518
78.36,78.3649,78.35,78.35,305,20220518
78.33,78.38,78.31,78.31,2102,20220518
78.25,78.25,78.225,78.25,400,20220518
78.05,78.05,78.03,78.05,998,20220518
78.08,78.17,78.08,78.14,1220,20220518
78.105,78.23,78.085,78.22,3652,20220518
78.21,78.28,78.2,78.23,2006,20220518
78.17,78.185,78.17,78.185,200,20220518
78.11,78.21,78.11,78.21,1155,20220518
78.18,78.2002,78.18,78.2002,325,20220518
78.22,78.24,78.21,78.24,634,20220518
78.235,78.26,78.18,78.26,1800,20220518
78.29,78.29,78.23,78.23,403,20220518
78.21,78.23,78.18,78.21,2500,20220518
78.18,78.37,78.18,78.37,3304,20220518
78.37,78.42,78.33,78.33,1003,20220518
78.33,78.35,78.29,78.29,1442,20220518
78.27,78.315,78.26,78.315,1070,20220518
78.29,78.35,78.255,78.32,3640,20220518
78.29,78.38,78.285,78.35,1980,20220518
78.32,78.41,78.32,78.38,2329,20220518
78.36,78.39,78.34,78.39,1959,20220518
78.435,78.435,78.34,78.34,1100,20220518
78.31,78.315,78.21,78.21,2600,20220518
78.21,78.259,78.17,78.259,3640,20220518
78.26,78.28,78.2,78.2,2303,20220518
78.23,78.24,78.165,78.235,2345,20220518
78.2,78.31,78.2,78.31,3314,20220518
78.29,78.32,78.29,78.32,1474,20220518
78.3,78.315,78.28,78.28,2647,20220518
78.3,78.3,78.3,78.3,301,20220518
78.34,78.34,78.34,78.34,201,20220518
78.33,78.37,78.3,78.31,4411,20220518
78.33,78.4,78.29,78.395,3217,20220518
78.37,78.42,78.37,78.42,3188,20220518
78.44,78.6,78.44,78.6,1025,20220518
78.62,78.645,78.59,78.594,3030,20220518
78.62,78.68,78.615,78.68,909,20220518
78.66,78.78,78.65,78.78,2944,20220518
78.76,78.775,78.69,78.71,2150,20220518
78.75,78.82,78.75,78.78,2389,20220518
78.77,78.77,78.71,78.71,916,20220518
78.71,78.78,78.71,78.72,5443,20220518
78.7,78.73,78.7,78.73,1489,20220518
78.73,78.73,78.655,78.715,2170,20220518
78.74,78.74,78.7,78.74,2479,20220518
78.75,78.83,78.74,78.81,2839,20220518
78.82,78.82,78.69,78.705,3620,20220518
78.71,78.76,78.71,78.76,3606,20220518
78.74,78.75,78.705,78.705,2212,20220518
78.7,78.75,78.66,78.75,4309,20220518
78.78,78.84,78.775,78.83,2285,20220518
78.84,78.94,78.84,78.94,1688,20220518
78.94,79.07,78.91,79.02,6030,20220518
79.0,79.0,78.89,78.89,2566,20220518
78.88,78.88,78.8,78.805,1080,20220518
78.83,78.93,78.825,78.83,5735,20220518
78.85,78.87,78.81,78.87,2980,20220518
78.85,78.85,78.75,78.75,2280,20220518
78.72,78.72,78.56,78.58,6032,20220518
78.52,78.52,78.34,78.34,600,20220518
78.34,78.34,78.32,78.32,600,20220518
78.26,78.33,78.19,78.2103,4098,20220518
78.2,78.22,78.15,78.15,2157,20220518
78.1,78.1,78.02,78.02,401,20220518
77.961,77.965,77.9459,77.965,571,20220518
77.97,78.01,77.93,77.98,2049,20220518
78.01,78.01,78.01,78.01,164,20220518
77.985,78.0,77.975,77.975,1100,20220518
77.97,77.99,77.97,77.97,722,20220518
77.97,77.97,77.89,77.89,1474,20220518
77.85,77.865,77.825,77.825,853,20220518
77.815,77.86,77.815,77.82,900,20220518
77.86,78.03,77.86,78.03,1736,20220518
78.005,78.005,78.005,78.005,100,20220518
78.0,78.0,77.97,77.99,1493,20220518
77.99,77.99,77.95,77.95,500,20220518
77.95,77.95,77.89,77.89,2380,20220518
77.91,77.91,77.87,77.87,200,20220518
77.87,77.99,77.87,77.96,711,20220518
77.96,77.96,77.92,77.92,900,20220518
77.945,77.945,77.91,77.91,1000,20220518
77.9,77.9,77.8,77.8,1109,20220518
77.78,77.78,77.65,77.65,593,20220518
77.705,77.76,77.705,77.76,700,20220518
77.78,77.84,77.78,77.795,2242,20220518
77.86,77.87,77.74,77.74,1077,20220518
77.78,77.8,77.76,77.8,509,20220518
77.74,77.81,77.72,77.79,1573,20220518
77.82,77.865,77.81,77.83,1700,20220518
77.79,77.875,77.79,77.875,1851,20220518
77.88,77.88,77.88,77.88,400,20220518
77.91,77.91,77.91,77.91,280,20220518
77.86,77.93,77.84,77.87,2776,20220518
77.87,77.94,77.87,77.94,724,20220518
77.95,78.0,77.95,77.95,1000,20220518
77.98,77.98,77.91,77.925,1918,20220518
77.93,77.93,77.89,77.925,700,20220518
77.96,77.965,77.9,77.94,2702,20220518
77.9,77.9,77.9,77.9,400,20220518
77.89,77.89,77.84,77.85,602,20220518
77.84,77.88,77.84,77.88,522,20220518
77.87,77.905,77.87,77.89,1141,20220518
77.845,77.97,77.84,77.97,1400,20220518
77.94,77.96,77.89,77.89,801,20220518
77.86,77.86,77.82,77.82,606,20220518
77.765,77.78,77.73,77.73,1687,20220518
77.7044,77.71,77.645,77.645,600,20220518
77.65,77.66,77.65,77.66,600,20220518
77.68,77.71,77.66,77.66,712,20220518
77.64,77.67,77.64,77.67,702,20220518
77.67,77.67,77.65,77.65,800,20220518
77.63,77.64,77.6,77.6,800,20220518
77.59,77.6,77.58,77.58,1803,20220518
77.55,77.605,77.55,77.605,500,20220518
77.59,77.59,77.55,77.55,345,20220518
77.55,77.57,77.52,77.55,801,20220518
77.52,77.52,77.52,77.52,300,20220518
77.5,77.5168,77.435,77.435,1142,20220518
77.43,77.489,77.4,77.489,741,20220518
77.45,77.49,77.45,77.49,1101,20220518
77.505,77.505,77.505,77.505,100,20220518
77.49,77.49,77.455,77.49,1965,20220518
77.44,77.48,77.44,77.48,400,20220518
77.48,77.55,77.48,77.5,1700,20220518
77.51,77.555,77.5,77.555,991,20220518
77.57,77.58,77.56,77.568,888,20220518
77.57,77.63,77.5624,77.63,1835,20220518
77.65,77.71,77.65,77.69,790,20220518
77.68,77.78,77.66,77.78,1117,20220518
77.82,77.82,77.82,77.82,100,20220518
77.81,77.81,77.76,77.81,2487,20220518
77.83,77.83,77.8,77.8,704,20220518
77.8,77.81,77.75,77.77,2200,20220518
77.75,77.75,77.73,77.73,650,20220518
77.73,77.76,77.73,77.75,1662,20220518
