open,high,low,close,volume,datetime
57.34,57.94,57.2,57.74,125098,20220518
57.79,57.9,57.48,57.7,25590,20220518
57.75,58.0,57.69,57.98,14445,20220518
57.94,58.02,57.859,57.93,28493,20220518
57.89,57.89,57.51,57.79,15967,20220518
57.82,57.89,57.67,57.88,17946,20220518
58.0,58.04,57.82,57.97,22608,20220518
57.99,58.01,57.84,57.98,9640,20220518
57.96,58.07,57.92,57.95,7194,20220518
57.94,57.94,57.67,57.805,5317,20220518
57.805,57.87,57.69,57.705,8856,20220518
57.72,57.73,57.45,57.53,13190,20220518
57.55,57.59,57.4,57.57,11925,20220518
57.625,57.75,57.55,57.75,5650,20220518
57.75,57.88,57.69,57.88,7172,20220518
57.86,58.005,57.84,57.98,9468,20220518
57.97,58.07,57.9,57.92,13572,20220518
57.97,58.13,57.96,58.06,18288,20220518
58.06,58.13,57.94,58.0,11326,20220518
58.01,58.1759,57.995,58.1742,9762,20220518
58.18,58.2,58.0,58.025,4244,20220518
58.0259,58.29,58.0259,58.21,10122,20220518
58.19,58.38,58.175,58.3422,3158,20220518
58.35,58.45,58.32,58.425,16203,20220518
58.43,58.4651,58.32,58.32,25385,20220518
58.3,58.53,58.3,58.5,11442,20220518
58.485,58.485,58.15,58.18,6334,20220518
58.156,58.2,58.11,58.11,6772,20220518
58.1,58.27,58.06,58.255,5724,20220518
58.24,58.35,58.17,58.22,7053,20220518
58.23,58.47,58.21,58.42,10774,20220518
58.46,58.67,58.46,58.6,22612,20220518
58.6,58.65,58.575,58.6,5399,20220518
58.63,58.8,58.6292,58.6794,15442,20220518
58.67,58.71,58.59,58.65,6598,20220518
58.64,58.8,58.64,58.785,10594,20220518
58.78,58.87,58.76,58.78,10768,20220518
58.77,58.81,58.72,58.77,10458,20220518
58.76,58.86,58.73,58.75,5749,20220518
58.77,58.78,58.68,58.68,5676,20220518
58.67,58.8,58.66,58.76,11089,20220518
58.78,58.79,58.65,58.69,6188,20220518
58.73,58.75,58.51,58.51,8755,20220518
58.6,58.76,58.6,58.73,3900,20220518
58.73,58.87,58.73,58.8387,10258,20220518
58.81,58.93,58.74,58.911,9464,20220518
58.92,58.96,58.85,58.91,14507,20220518
58.94,59.0295,58.94,58.98,57517,20220518
58.971,59.0749,58.97,59.0,20951,20220518
59.0,59.0,58.85,58.85,18740,20220518
58.83,59.03,58.8,58.97,12151,20220518
58.99,59.015,58.8976,58.92,22811,20220518
58.94,59.001,58.9,58.905,8176,20220518
58.89,58.97,58.85,58.9,14462,20220518
58.86,58.87,58.75,58.78,7776,20220518
58.75,58.81,58.7021,58.7021,6238,20220518
58.6925,58.86,58.6925,58.77,6270,20220518
58.72,58.75,58.65,58.75,7528,20220518
58.81,58.84,58.72,58.725,5514,20220518
58.7,58.71,58.45,58.4506,10330,20220518
58.44,58.57,58.4,58.54,10700,20220518
58.53,58.57,58.45,58.45,9887,20220518
58.47,58.47,58.36,58.38,5351,20220518
58.37,58.45,58.33,58.44,7190,20220518
58.37,58.37,58.29,58.29,5862,20220518
58.29,58.29,58.085,58.1,8966,20220518
58.11,58.16,58.075,58.075,5781,20220518
58.09,58.1,58.0,58.01,12987,20220518
58.02,58.06,58.0,58.03,3133,20220518
58.03,58.14,58.01,58.11,9772,20220518
58.13,58.17,58.07,58.09,22089,20220518
58.09,58.1534,58.07,58.15,5720,20220518
58.14,58.2,58.05,58.2,5443,20220518
58.1921,58.22,58.17,58.215,8072,20220518
58.205,58.24,58.165,58.23,3119,20220518
58.22,58.2298,58.13,58.22,6048,20220518
58.28,58.42,58.2701,58.4,14418,20220518
58.405,58.47,58.32,58.46,5480,20220518
58.46,58.58,58.45,58.55,7291,20220518
58.54,58.55,58.49,58.55,2100,20220518
58.52,58.52,58.41,58.43,5111,20220518
58.43,58.46,58.4,58.42,1870,20220518
58.42,58.42,58.26,58.26,3665,20220518
58.29,58.388,58.29,58.37,5396,20220518
58.38,58.45,58.36,58.36,2307,20220518
58.355,58.44,58.32,58.41,5850,20220518
58.46,58.5056,58.38,58.5056,6496,20220518
58.505,58.515,58.42,58.49,4658,20220518
58.49,58.51,58.44,58.44,2214,20220518
58.43,58.53,58.425,58.52,21012,20220518
58.5,58.52,58.46,58.49,4282,20220518
58.46,58.47,58.34,58.36,11057,20220518
58.37,58.43,58.25,58.25,4234,20220518
58.28,58.37,58.28,58.34,9793,20220518
58.35,58.35,58.2566,58.29,2236,20220518
58.29,58.31,58.22,58.2703,6055,20220518
58.285,58.35,58.16,58.16,6734,20220518
58.17,58.2,58.116,58.2,4327,20220518
58.1745,58.1745,58.04,58.04,31766,20220518
58.03,58.05,58.0,58.05,13763,20220518
58.06,58.06,57.94,57.99,6469,20220518
57.99,58.0346,57.99,58.025,2410,20220518
58.03,58.04,58.02,58.04,3570,20220518
58.04,58.04,57.98,58.005,4481,20220518
58.005,58.04,58.005,58.04,901,20220518
58.04,58.06,58.0233,58.06,9041,20220518
58.0325,58.045,57.87,57.87,18335,20220518
57.87,57.95,57.87,57.92,7930,20220518
57.91,57.91,57.837,57.837,9770,20220518
57.8397,57.86,57.83,57.85,2697,20220518
57.83,57.85,57.78,57.7921,2810,20220518
57.8,57.83,57.72,57.75,6000,20220518
57.72,57.72,57.63,57.65,3911,20220518
57.62,57.65,57.61,57.62,2935,20220518
57.645,57.645,57.56,57.58,7910,20220518
57.585,57.7,57.585,57.69,7525,20220518
57.67,57.69,57.58,57.58,9760,20220518
57.61,57.67,57.595,57.665,3600,20220518
57.71,57.71,57.51,57.52,4140,20220518
57.52,57.525,57.44,57.46,3234,20220518
57.45,57.465,57.355,57.355,1824,20220518
57.315,57.445,57.315,57.435,6321,20220518
57.46,57.51,57.45,57.49,5678,20220518
57.49,57.52,57.45,57.45,5703,20220518
57.445,57.5,57.43,57.5,8548,20220518
57.5,57.69,57.5,57.615,14267,20220518
57.6,57.64,57.555,57.575,7767,20220518
57.56,57.64,57.47,57.6,12543,20220518
57.64,57.72,57.615,57.72,11041,20220518
57.72,57.725,57.62,57.69,4180,20220518
57.64,57.7,57.6305,57.7,2700,20220518
57.68,57.81,57.68,57.77,9188,20220518
57.77,57.85,57.73,57.83,8861,20220518
57.84,57.8495,57.74,57.74,9441,20220518
57.76,57.89,57.76,57.86,8144,20220518
57.86,57.865,57.64,57.67,8044,20220518
57.63,57.71,57.62,57.64,3200,20220518
57.61,57.61,57.55,57.55,2384,20220518
57.59,57.65,57.55,57.56,5549,20220518
57.55,57.63,57.53,57.63,1719,20220518
57.62,57.65,57.58,57.65,3971,20220518
57.65,57.65,57.56,57.56,5886,20220518
57.56,57.56,57.445,57.445,125798,20220518
57.43,57.45,57.25,57.25,10003,20220518
57.27,57.28,57.12,57.13,8598,20220518
57.145,57.17,57.05,57.12,15089,20220518
57.12,57.13,57.07,57.12,17347,20220518
57.11,57.19,57.11,57.16,16018,20220518
57.15,57.15,56.98,56.98,13163,20220518
57.0,57.03,56.9899,57.0,12328,20220518
57.0,57.015,56.965,56.975,6733,20220518
56.96,57.06,56.93,57.05,6984,20220518
57.035,57.035,56.935,56.94,8438,20220518
56.93,57.02,56.93,56.96,5641,20220518
56.98,56.98,56.87,56.96,9819,20220518
56.95,56.96,56.88,56.88,2845,20220518
56.88,56.92,56.83,56.85,3795,20220518
56.83,56.88,56.82,56.875,5943,20220518
56.89,56.89,56.8,56.8,8261,20220518
56.78,56.88,56.75,56.865,8058,20220518
56.845,56.86,56.775,56.81,6333,20220518
56.82,56.87,56.814,56.83,4968,20220518
56.85,56.85,56.78,56.833,5884,20220518
56.85,56.87,56.8001,56.8001,3832,20220518
56.81,56.91,56.81,56.88,7750,20220518
56.87,56.89,56.8,56.8122,9367,20220518
56.795,56.82,56.77,56.82,10901,20220518
56.81,56.84,56.79,56.84,5576,20220518
56.82,56.82,56.75,56.77,4996,20220518
56.76,56.76,56.73,56.75,3061,20220518
56.76,56.79,56.71,56.71,7835,20220518
56.7,56.7,56.582,56.59,5428,20220518
56.59,56.64,56.57,56.57,6352,20220518
56.54,56.55,56.41,56.41,10532,20220518
56.44,56.47,56.44,56.44,3166,20220518
56.43,56.47,56.425,56.43,4653,20220518
56.4,56.41,56.37,56.4,3979,20220518
56.38,56.44,56.38,56.42,3528,20220518
56.41,56.54,56.41,56.51,3760,20220518
56.54,56.54,56.49,56.51,3420,20220518
56.49,56.5,56.42,56.42,6768,20220518
56.415,56.55,56.38,56.55,5882,20220518
56.51,56.51,56.465,56.5,3950,20220518
56.5,56.57,56.49,56.53,5256,20220518
56.51,56.65,56.51,56.65,1800,20220518
56.65,56.72,56.6499,56.72,7466,20220518
56.71,56.805,56.7,56.8,9504,20220518
56.83,56.84,56.7672,56.77,8272,20220518
56.75,56.75,56.6,56.61,12268,20220518
56.63,56.725,56.59,56.725,2541,20220518
56.7,56.72,56.64,56.64,3310,20220518
56.64,56.64,56.59,56.595,1900,20220518
56.57,56.6,56.525,56.58,3610,20220518
56.57,56.63,56.57,56.58,2422,20220518
56.59,56.59,56.545,56.56,9449,20220518
56.53,56.56,56.45,56.5,14501,20220518
56.49,56.665,56.49,56.65,5100,20220518
56.659,56.77,56.63,56.77,2650,20220518
56.78,56.79,56.705,56.71,4200,20220518
56.7,56.77,56.7,56.77,4597,20220518
56.75,56.8,56.75,56.79,2200,20220518
56.81,56.89,56.79,56.84,3846,20220518
56.85,56.87,56.84,56.8596,2900,20220518
56.84,56.84,56.77,56.78,5938,20220518
56.77,56.77,56.7444,56.77,3273,20220518
56.76,56.79,56.75,56.75,4200,20220518
56.74,56.74,56.68,56.68,3070,20220518
56.685,56.71,56.675,56.71,4900,20220518
56.72,56.79,56.71,56.76,5377,20220518
56.77,56.85,56.77,56.835,13511,20220518
56.835,56.84,56.75,56.75,4405,20220518
56.76,56.76,56.695,56.695,3700,20220518
56.68,56.8,56.68,56.77,2800,20220518
56.76,56.77,56.71,56.73,1975,20220518
56.73,56.73,56.685,56.685,3200,20220518
56.67,56.67,56.55,56.56,4431,20220518
56.6,56.61,56.43,56.44,17632,20220518
56.45,56.47,56.395,56.395,3100,20220518
56.3745,56.4,56.37,56.37,4347,20220518
56.37,56.384,56.275,56.29,8365,20220518
56.27,56.3,56.21,56.25,24394,20220518
56.245,56.245,56.175,56.175,797,20220518
56.2,56.2,56.1207,56.1535,19655,20220518
56.155,56.22,56.145,56.19,12660,20220518
56.185,56.22,56.17,56.21,18130,20220518
56.19,56.24,56.18,56.235,14048,20220518
56.235,56.25,56.155,56.155,3950,20220518
56.145,56.15,56.11,56.135,4617,20220518
56.14,56.18,56.0712,56.105,13410,20220518
56.11,56.12,56.05,56.11,5749,20220518
56.095,56.19,56.095,56.13,4164,20220518
56.14,56.19,56.14,56.18,9996,20220518
56.18,56.23,56.16,56.23,8507,20220518
56.23,56.27,56.2,56.205,4524,20220518
56.18,56.18,56.11,56.1199,4642,20220518
56.11,56.14,56.09,56.1,7736,20220518
56.07,56.09,56.05,56.06,2299,20220518
56.05,56.12,56.0407,56.12,3250,20220518
56.16,56.25,56.16,56.25,3055,20220518
56.24,56.26,56.205,56.22,4700,20220518
56.21,56.21,56.15,56.165,5276,20220518
56.17,56.33,56.17,56.295,6082,20220518
56.3,56.3,56.25,56.27,6380,20220518
56.25,56.335,56.25,56.33,2651,20220518
56.3405,56.4,56.3405,56.395,3828,20220518
56.41,56.5,56.39,56.42,6517,20220518
56.39,56.405,56.34,56.36,3670,20220518
56.34,56.37,56.32,56.33,5062,20220518
56.31,56.39,56.31,56.39,2584,20220518
56.365,56.43,56.36,56.405,2300,20220518
56.39,56.39,56.33,56.33,2867,20220518
56.35,56.35,56.23,56.23,1800,20220518
56.1621,56.26,56.1621,56.24,3737,20220518
