open,high,low,close,volume,datetime
70.8,70.8,70.74,70.74,2716,20220518
70.76,70.87,70.6926,70.77,90631,20220518
70.78,70.88,70.67,70.73,25674,20220518
70.73,70.94,70.73,70.895,12434,20220518
70.89,70.91,70.62,70.6412,10646,20220518
70.645,70.66,70.55,70.62,11348,20220518
70.6403,70.785,70.62,70.77,14382,20220518
70.79,70.84,70.71,70.72,8923,20220518
70.71,70.865,70.71,70.8,9863,20220518
70.81,70.84,70.7,70.76,22849,20220518
70.75,70.75,70.61,70.61,6156,20220518
70.61,70.7,70.56,70.56,13620,20220518
70.6,70.61,70.4,70.4,18584,20220518
70.395,70.65,70.39,70.635,8161,20220518
70.66,70.7,70.575,70.64,8285,20220518
70.64,70.8459,70.59,70.81,9275,20220518
70.8,70.81,70.73,70.74,3891,20220518
70.735,70.775,70.71,70.775,4400,20220518
70.76,70.78,70.68,70.71,4442,20220518
70.71,70.71,70.65,70.71,3621,20220518
70.71,70.73,70.67,70.7,5043,20220518
70.68,70.72,70.68,70.705,2358,20220518
70.71,70.74,70.6611,70.74,3480,20220518
70.74,70.75,70.705,70.705,3132,20220518
70.705,70.705,70.62,70.6786,8504,20220518
70.65,70.67,70.59,70.595,4053,20220518
70.58,70.58,70.5,70.51,4721,20220518
70.5075,70.51,70.47,70.475,7033,20220518
70.48,70.49,70.455,70.48,2961,20220518
70.4702,70.475,70.43,70.46,2861,20220518
70.46,70.595,70.45,70.595,5786,20220518
70.58,70.68,70.55,70.62,5401,20220518
70.63,70.672,70.615,70.66,8049,20220518
70.65,70.67,70.62,70.65,6635,20220518
70.64,70.64,70.57,70.57,6100,20220518
70.59,70.62,70.56,70.57,8078,20220518
70.57,70.59,70.52,70.54,5092,20220518
70.52,70.53,70.48,70.48,3745,20220518
70.48,70.49,70.42,70.47,4455,20220518
70.455,70.46,70.39,70.395,2915,20220518
70.39,70.47,70.39,70.46,6830,20220518
70.46,70.48,70.42,70.46,16073,20220518
70.435,70.46,70.4,70.4,6132,20220518
70.4,70.44,70.385,70.395,4610,20220518
70.43,70.4867,70.4238,70.455,6203,20220518
70.45,70.49,70.39,70.49,3815,20220518
70.49,70.53,70.45,70.52,4679,20220518
70.51,70.52,70.47,70.5,4046,20220518
70.5,70.57,70.5,70.52,6837,20220518
