open,high,low,close,volume,datetime
74.41,74.87,74.41,74.86,18986,20220518
74.725,74.83,74.71,74.71,400,20220518
74.71,74.755,74.39,74.54,4189,20220518
74.64,74.75,74.56,74.56,1678,20220518
74.71,74.73,74.43,74.515,2024,20220518
74.31,74.45,74.31,74.45,3278,20220518
74.43,74.495,74.315,74.495,2577,20220518
74.45,74.45,74.28,74.28,1110,20220518
74.3,74.37,74.29,74.35,1179,20220518
74.16,74.17,74.12,74.15,1400,20220518
74.18,74.18,74.15,74.16,1974,20220518
74.21,74.25,74.15,74.21,2050,20220518
74.07,74.08,74.03,74.03,1000,20220518
74.06,74.14,74.05,74.14,1865,20220518
74.08,74.08,74.02,74.02,500,20220518
74.07,74.115,74.02,74.115,2450,20220518
74.08,74.08,73.96,73.97,1618,20220518
73.96,73.98,73.96,73.98,913,20220518
74.03,74.07,74.01,74.04,3324,20220518
73.98,73.99,73.91,73.99,1852,20220518
74.01,74.09,74.01,74.09,606,20220518
74.05,74.23,74.04,74.16,3004,20220518
74.14,74.14,74.14,74.14,200,20220518
74.19,74.19,74.02,74.021,1903,20220518
74.025,74.06,74.025,74.05,1200,20220518
74.08,74.14,74.06,74.11,2114,20220518
74.15,74.16,73.94,73.94,2941,20220518
73.96,74.05,73.951,74.03,3538,20220518
74.03,74.17,74.02,74.17,3314,20220518
74.13,74.29,74.1,74.27,5074,20220518
74.25,74.25,74.19,74.24,1921,20220518
74.28,74.34,74.28,74.33,1377,20220518
74.3,74.3,74.26,74.26,600,20220518
74.2,74.2,74.16,74.16,900,20220518
74.18,74.18,74.15,74.15,1803,20220518
74.08,74.1,74.02,74.1,4976,20220518
74.09,74.09,74.03,74.07,805,20220518
74.08,74.18,74.08,74.18,2863,20220518
74.13,74.18,74.09,74.15,2711,20220518
74.15,74.15,74.08,74.14,2631,20220518
74.1,74.18,74.08,74.11,2813,20220518
74.11,74.12,74.06,74.08,1675,20220518
74.07,74.09,74.03,74.03,558,20220518
74.02,74.02,73.97,74.0,677,20220518
73.97,74.08,73.97,74.08,923,20220518
74.03,74.12,74.015,74.12,600,20220518
74.17,74.175,74.1,74.1,832,20220518
74.05,74.05,74.034,74.034,302,20220518
74.001,74.09,74.001,74.02,1222,20220518
73.981,73.981,73.921,73.955,800,20220518
73.94,74.0,73.94,73.98,701,20220518
74.01,74.02,73.91,73.91,2351,20220518
73.93,73.97,73.86,73.86,1935,20220518
73.845,73.85,73.785,73.785,3060,20220518
73.75,73.755,73.71,73.755,2311,20220518
73.76,73.77,73.75,73.7525,2130,20220518
73.73,73.84,73.73,73.83,3813,20220518
73.84,73.86,73.755,73.755,3070,20220518
73.755,73.76,73.7,73.75,2772,20220518
73.73,73.735,73.58,73.605,2175,20220518
73.58,73.67,73.57,73.66,4254,20220518
73.67,73.73,73.66,73.66,4407,20220518
73.67,73.68,73.66,73.665,1033,20220518
73.69,73.7,73.68,73.68,1176,20220518
73.695,73.73,73.67,73.67,1000,20220518
73.68,73.68,73.62,73.65,1853,20220518
73.66,73.73,73.66,73.73,1600,20220518
73.72,73.85,73.72,73.85,1900,20220518
73.84,73.86,73.821,73.821,1304,20220518
73.855,73.875,73.855,73.865,800,20220518
73.92,73.92,73.78,73.8,3003,20220518
73.815,73.815,73.75,73.77,4418,20220518
73.78,73.8,73.731,73.75,3423,20220518
73.735,73.79,73.735,73.79,1766,20220518
73.785,73.84,73.78,73.84,500,20220518
73.8,73.82,73.75,73.77,3100,20220518
73.76,73.85,73.76,73.85,2406,20220518
73.87,73.97,73.87,73.97,2866,20220518
73.92,73.94,73.87,73.9,5511,20220518
73.895,73.9,73.88,73.88,789,20220518
73.87,73.92,73.87,73.92,1236,20220518
73.9,73.91,73.872,73.89,1879,20220518
73.89,73.91,73.89,73.91,913,20220518
73.915,73.915,73.85,73.85,2518,20220518
73.84,73.84,73.76,73.8,1599,20220518
73.79,73.85,73.79,73.85,1402,20220518
73.9,73.9,73.89,73.89,400,20220518
73.89,73.94,73.89,73.92,700,20220518
73.92,73.92,73.86,73.9,2100,20220518
73.905,73.905,73.834,73.85,1786,20220518
73.84,73.85,73.78,73.79,2060,20220518
73.785,73.85,73.735,73.735,7927,20220518
73.715,73.76,73.715,73.7493,1164,20220518
73.74,73.747,73.68,73.72,2337,20220518
73.73,73.77,73.73,73.73,1600,20220518
73.7258,73.77,73.68,73.68,3062,20220518
73.67,73.73,73.64,73.7196,2350,20220518
73.71,73.72,73.69,73.7,2205,20220518
73.69,73.69,73.65,73.66,1303,20220518
73.67,73.67,73.58,73.62,5804,20220518
73.64,73.67,73.628,73.66,800,20220518
73.64,73.64,73.63,73.63,1149,20220518
73.64,73.645,73.63,73.63,2705,20220518
73.635,73.64,73.61,73.61,4312,20220518
73.64,73.64,73.54,73.56,4456,20220518
73.53,73.56,73.53,73.55,2303,20220518
73.4945,73.58,73.4945,73.58,2438,20220518
73.59,73.6,73.58,73.58,500,20220518
73.52,73.52,73.46,73.46,430,20220518
73.47,73.47,73.445,73.46,700,20220518
73.42,73.44,73.39,73.42,2492,20220518
73.37,73.37,73.32,73.325,612,20220518
73.34,73.41,73.34,73.41,1770,20220518
73.42,73.42,73.35,73.39,1278,20220518
73.38,73.38,73.3,73.31,2401,20220518
73.33,73.34,73.3,73.34,960,20220518
73.37,73.37,73.25,73.28,2783,20220518
73.28,73.4,73.28,73.4,1200,20220518
73.43,73.43,73.39,73.42,962,20220518
73.405,73.405,73.381,73.405,400,20220518
73.43,73.46,73.43,73.45,1024,20220518
73.42,73.43,73.36,73.43,2343,20220518
73.39,73.51,73.39,73.5,888,20220518
73.49,73.49,73.44,73.44,700,20220518
73.47,73.47,73.354,73.354,500,20220518
73.331,73.35,73.2907,73.35,2569,20220518
73.33,73.42,73.31,73.42,1809,20220518
73.41,73.45,73.39,73.45,2156,20220518
73.41,73.49,73.41,73.44,977,20220518
73.45,73.48,73.45,73.47,400,20220518
73.48,73.51,73.42,73.42,1311,20220518
73.39,73.45,73.39,73.425,2394,20220518
73.42,73.43,73.405,73.405,300,20220518
73.43,73.46,73.43,73.46,799,20220518
73.47,73.475,73.47,73.475,200,20220518
73.48,73.51,73.48,73.51,866,20220518
73.53,73.55,73.46,73.49,3812,20220518
73.461,73.5,73.461,73.49,600,20220518
73.49,73.49,73.395,73.41,1494,20220518
73.42,73.42,73.37,73.37,500,20220518
73.3,73.31,73.24,73.27,14186,20220518
73.28,73.28,73.24,73.24,2028,20220518
73.25,73.275,73.24,73.275,3961,20220518
73.3,73.3,73.245,73.245,1969,20220518
73.23,73.26,73.2,73.22,3934,20220518
73.18,73.23,73.18,73.2,3111,20220518
73.2,73.23,73.18,73.23,1812,20220518
73.22,73.22,73.194,73.194,350,20220518
73.2,73.2,73.17,73.18,1010,20220518
73.19,73.23,73.19,73.195,2603,20220518
73.18,73.18,73.16,73.16,340,20220518
73.16,73.18,73.16,73.18,408,20220518
73.14,73.18,73.14,73.18,896,20220518
73.165,73.19,73.15,73.17,3136,20220518
73.165,73.24,73.15,73.24,5686,20220518
73.22,73.23,73.18,73.21,5471,20220518
73.215,73.34,73.215,73.31,5960,20220518
73.33,73.36,73.32,73.36,2239,20220518
73.38,73.41,73.34,73.34,3304,20220518
73.36,73.46,73.36,73.38,6736,20220518
73.4,73.4,73.35,73.35,400,20220518
