open,high,low,close,volume,datetime
68.5,68.7,67.62,67.73,465792,20220518
67.78,68.33,67.7,68.23,272643,20220518
68.22,68.4471,68.0007,68.1101,146599,20220518
68.08,68.15,67.77,67.84,130171,20220518
67.81,67.88,67.55,67.6418,100363,20220518
67.655,67.8288,67.6,67.6094,88245,20220518
67.6,68.028,67.6,67.85,128827,20220518
67.845,67.98,67.8,67.98,84895,20220518
67.98,68.19,67.5325,67.59,152301,20220518
67.55,67.58,67.35,67.4121,130367,20220518
67.39,67.55,67.33,67.48,72492,20220518
67.46,67.5,67.295,67.445,72859,20220518
67.4599,67.68,67.4101,67.6601,94752,20220518
67.7,67.7,67.5,67.5,45371,20220518
67.5236,67.65,67.4,67.64,51895,20220518
67.6198,67.79,67.54,67.775,93231,20220518
67.735,67.9488,67.671,67.915,120379,20220518
67.93,68.07,67.92,68.055,100917,20220518
68.06,68.14,67.9,67.94,94580,20220518
67.88,68.0599,67.87,67.93,72148,20220518
67.9116,67.94,67.65,67.665,97409,20220518
67.64,67.9,67.59,67.74,52602,20220518
67.73,67.875,67.65,67.86,62631,20220518
67.85,67.98,67.82,67.975,56427,20220518
67.99,68.07,67.84,67.95,49103,20220518
67.94,68.005,67.765,67.765,55241,20220518
67.77,67.8,67.61,67.6361,41552,20220518
67.63,67.67,67.41,67.55,65995,20220518
67.52,67.5657,67.41,67.53,65582,20220518
67.51,67.59,67.45,67.53,49656,20220518
67.5441,67.86,67.516,67.81,61514,20220518
67.815,67.9,67.7173,67.75,54846,20220518
67.76,67.86,67.7361,67.7963,41918,20220518
67.7835,67.96,67.74,67.96,39614,20220518
67.95,68.12,67.9409,67.99,105490,20220518
67.9767,68.19,67.96,68.145,69109,20220518
68.15,68.18,68.07,68.12,59249,20220518
68.11,68.14,67.79,67.92,188291,20220518
67.935,68.0,67.79,67.865,56644,20220518
67.87,67.88,67.7214,67.75,41512,20220518
67.74,67.74,67.6,67.6827,54135,20220518
67.67,67.7,67.56,67.66,46972,20220518
67.655,67.715,67.56,67.56,35825,20220518
67.55,67.8484,67.55,67.77,40808,20220518
67.755,67.9,67.75,67.84,31056,20220518
67.836,67.84,67.69,67.73,26133,20220518
67.72,67.74,67.6,67.74,33558,20220518
67.73,67.84,67.66,67.74,38082,20220518
67.7,67.7995,67.68,67.71,21357,20220518
67.68,67.69,67.59,67.66,27655,20220518
67.63,67.8,67.61,67.79,41698,20220518
67.8,67.836,67.7669,67.8,29573,20220518
67.81,67.84,67.74,67.75,24087,20220518
67.76,67.77,67.55,67.55,58582,20220518
67.53,67.56,67.49,67.54,53825,20220518
67.53,67.57,67.33,67.33,59749,20220518
67.34,67.48,67.34,67.36,34085,20220518
67.35,67.36,67.16,67.24,88404,20220518
67.24,67.25,67.01,67.05,95060,20220518
67.0499,67.13,67.02,67.092,69248,20220518
67.13,67.44,67.13,67.355,142959,20220518
67.36,67.425,67.14,67.1501,49837,20220518
67.15,67.15,66.92,66.99,139601,20220518
66.98,67.31,66.94,67.27,102926,20220518
67.25,67.275,67.11,67.115,39771,20220518
67.12,67.1283,66.95,67.0,64672,20220518
66.99,67.045,66.8701,66.8701,71744,20220518
66.8759,66.95,66.83,66.855,88511,20220518
66.87,67.09,66.83,66.9989,95895,20220518
66.98,67.08,66.9137,67.03,61523,20220518
67.04,67.165,67.0201,67.11,55806,20220518
67.11,67.2011,67.06,67.19,64986,20220518
67.17,67.23,67.11,67.2,52497,20220518
67.19,67.22,67.0523,67.07,61175,20220518
67.08,67.1,66.93,66.96,44907,20220518
66.9413,67.11,66.885,67.095,40381,20220518
67.1,67.22,67.0532,67.12,72165,20220518
67.1,67.12,66.98,67.11,48552,20220518
67.12,67.2201,67.1,67.14,78459,20220518
67.14,67.17,67.015,67.09,44549,20220518
67.07,67.07,66.9423,67.0,51376,20220518
66.99,67.03,66.9,66.907,21121,20220518
66.9113,66.96,66.67,66.71,134880,20220518
66.7099,66.95,66.69,66.78,66877,20220518
66.77,66.86,66.73,66.7485,101788,20220518
66.76,66.76,66.69,66.73,46394,20220518
66.72,66.77,66.6699,66.68,53755,20220518
66.69,66.9101,66.69,66.82,72242,20220518
66.82,66.82,66.67,66.67,49355,20220518
66.67,66.8,66.6231,66.75,56406,20220518
66.74,66.8,66.7,66.72,53875,20220518
66.72,66.8,66.719,66.79,44676,20220518
66.79,66.8,66.69,66.69,41916,20220518
66.7,66.75,66.52,66.52,93053,20220518
66.52,66.5999,66.4132,66.42,100170,20220518
66.4399,66.5164,66.33,66.46,74764,20220518
66.46,66.47,66.06,66.17,119866,20220518
66.17,66.265,66.06,66.2648,79650,20220518
66.26,66.33,66.215,66.2491,43452,20220518
66.23,66.33,66.18,66.18,37473,20220518
66.19,66.19,66.0551,66.1001,46326,20220518
66.1,66.21,66.08,66.15,34618,20220518
66.1614,66.19,66.14,66.175,36097,20220518
