open,high,low,close,volume,datetime
31.87,32.22,31.84,31.85,147831,20220518
31.87,32.07,31.84,32.06,46467,20220518
32.04,32.11,31.76,31.89,135503,20220518
31.8732,32.14,31.8732,32.09,28797,20220518
32.1,32.4184,32.0962,32.41,53357,20220518
32.4,32.61,32.31,32.6,66694,20220518
32.61,32.8,32.58,32.6397,313035,20220518
32.62,32.79,32.485,32.695,92759,20220518
32.69,32.88,32.57,32.7401,316864,20220518
32.78,32.84,32.45,32.57,194558,20220518
32.57,32.71,32.57,32.615,63091,20220518
32.63,32.85,32.63,32.75,54537,20220518
32.74,32.84,32.71,32.805,69930,20220518
32.81,33.11,32.81,33.09,125661,20220518
33.11,33.11,32.97,33.03,112044,20220518
33.04,33.25,32.95,33.25,186040,20220518
33.25,33.39,33.16,33.33,187906,20220518
33.35,33.37,32.99,32.99,171131,20220518
32.98,33.03,32.8,32.86,100580,20220518
32.85,32.8999,32.68,32.68,88713,20220518
32.675,32.7,32.44,32.45,98335,20220518
32.45,32.6,32.39,32.5585,73864,20220518
32.52,32.52,32.335,32.355,58780,20220518
32.355,32.37,32.29,32.3404,36310,20220518
32.37,32.43,32.27,32.355,27639,20220518
32.34,32.55,32.29,32.41,22951,20220518
32.425,32.43,32.28,32.296,50445,20220518
32.29,32.3,32.1795,32.19,17257,20220518
32.19,32.32,32.12,32.161,85868,20220518
32.16,32.3,32.12,32.3,22634,20220518
32.31,32.33,32.23,32.285,70019,20220518
32.29,32.42,32.26,32.2782,93655,20220518
32.27,32.35,32.235,32.33,72368,20220518
32.32,32.41,32.32,32.33,26431,20220518
32.32,32.32,32.21,32.21,14134,20220518
32.215,32.3,32.13,32.3,37071,20220518
32.28,32.3,32.185,32.21,16018,20220518
32.21,32.29,32.17,32.26,19211,20220518
32.26,32.26,32.11,32.24,19830,20220518
32.26,32.26,32.13,32.18,19493,20220518
32.18,32.25,32.18,32.2,22530,20220518
32.21,32.26,32.12,32.23,18654,20220518
32.24,32.26,32.11,32.165,20106,20220518
