open,high,low,close,volume,datetime
12.1,12.17,12.04,12.13,62622,20220518
12.135,12.14,12.11,12.13,16361,20220518
12.135,12.1597,12.129,12.14,13869,20220518
12.15,12.189,12.15,12.189,12493,20220518
12.19,12.195,12.18,12.195,36159,20220518
12.1999,12.21,12.175,12.19,58745,20220518
12.195,12.205,12.19,12.2,2432,20220518
12.205,12.21,12.175,12.175,13300,20220518
12.17,12.17,12.16,12.165,1413,20220518
12.16,12.16,12.13,12.13,32056,20220518
12.135,12.135,12.12,12.12,30291,20220518
12.11,12.12,12.105,12.11,8010,20220518
12.105,12.11,12.1,12.11,17400,20220518
12.105,12.115,12.1046,12.11,33913,20220518
12.105,12.16,12.105,12.16,43270,20220518
12.155,12.18,12.15,12.18,27023,20220518
12.18,12.19,12.1701,12.18,21904,20220518
12.185,12.21,12.185,12.21,28872,20220518
12.21,12.21,12.2001,12.205,3900,20220518
12.21,12.21,12.2,12.21,18346,20220518
12.21,12.21,12.155,12.155,53445,20220518
12.155,12.1799,12.14,12.165,29501,20220518
12.16,12.18,12.155,12.175,18357,20220518
12.17,12.185,12.165,12.185,29305,20220518
12.185,12.185,12.18,12.185,8135,20220518
12.185,12.1899,12.165,12.17,38526,20220518
12.175,12.175,12.15,12.155,22313,20220518
12.155,12.155,12.145,12.155,81398,20220518
12.155,12.155,12.14,12.155,9926,20220518
12.15,12.165,12.15,12.165,27722,20220518
12.16,12.1792,12.16,12.175,16219,20220518
12.1754,12.19,12.17,12.19,26936,20220518
12.19,12.205,12.18,12.2,30004,20220518
12.205,12.21,12.195,12.205,26553,20220518
12.2,12.21,12.19,12.19,91508,20220518
12.195,12.21,12.19,12.21,12907,20220518
12.2099,12.22,12.2099,12.21,9097,20220518
12.215,12.22,12.2,12.21,46906,20220518
12.21,12.21,12.205,12.21,3979,20220518
12.205,12.22,12.2,12.2164,25749,20220518
12.21,12.22,12.21,12.215,20836,20220518
12.215,12.22,12.205,12.21,21356,20220518
12.215,12.22,12.2,12.205,83602,20220518
12.205,12.225,12.2,12.225,101010,20220518
12.225,12.24,12.225,12.24,34038,20220518
12.235,12.2359,12.221,12.23,56296,20220518
12.23,12.24,12.225,12.24,9115,20220518
12.235,12.24,12.225,12.24,15041,20220518
12.24,12.25,12.24,12.25,28614,20220518
12.24,12.25,12.24,12.25,2900,20220518
12.25,12.25,12.23,12.24,196878,20220518
12.245,12.245,12.235,12.235,32183,20220518
12.235,12.24,12.23,12.235,17508,20220518
12.235,12.24,12.23,12.235,2518,20220518
12.235,12.235,12.21,12.215,33675,20220518
12.215,12.235,12.215,12.225,135762,20220518
12.225,12.225,12.21,12.2199,147726,20220518
12.21,12.215,12.2,12.2101,25764,20220518
12.215,12.22,12.2,12.205,17906,20220518
12.2,12.21,12.19,12.205,71484,20220518
12.205,12.22,12.205,12.215,26701,20220518
12.22,12.22,12.195,12.195,126750,20220518
12.2,12.2,12.1838,12.185,23800,20220518
12.185,12.2,12.185,12.1901,39818,20220518
12.195,12.2,12.18,12.185,54222,20220518
12.1809,12.1809,12.16,12.16,18896,20220518
12.165,12.175,12.16,12.1632,19526,20220518
12.165,12.18,12.165,12.1701,11701,20220518
12.18,12.2,12.175,12.195,41006,20220518
12.2,12.2,12.185,12.185,36397,20220518
12.19,12.19,12.17,12.1709,15018,20220518
12.175,12.19,12.17,12.19,16745,20220518
12.19,12.2,12.19,12.2,11802,20220518
12.1989,12.2,12.175,12.175,40549,20220518
12.175,12.18,12.17,12.18,8416,20220518
12.175,12.175,12.15,12.17,29272,20220518
12.17,12.185,12.17,12.18,14323,20220518
12.18,12.19,12.17,12.175,44095,20220518
12.18,12.19,12.175,12.18,72966,20220518
12.175,12.18,12.17,12.175,6207,20220518
12.1769,12.18,12.165,12.165,13730,20220518
12.17,12.18,12.165,12.175,28248,20220518
12.17,12.175,12.1501,12.155,30295,20220518
12.155,12.16,12.1501,12.16,9170,20220518
12.16,12.17,12.16,12.165,14752,20220518
12.17,12.18,12.165,12.175,22176,20220518
12.17,12.17,12.155,12.155,20720,20220518
12.16,12.18,12.155,12.175,23018,20220518
12.18,12.19,12.175,12.175,58859,20220518
12.175,12.175,12.165,12.17,3440,20220518
12.165,12.165,12.155,12.16,14138,20220518
12.16,12.1699,12.15,12.1508,25212,20220518
12.15,12.16,12.14,12.145,14346,20220518
12.145,12.15,12.135,12.14,35301,20220518
12.145,12.145,12.12,12.13,79054,20220518
12.13,12.13,12.125,12.13,4500,20220518
12.13,12.13,12.12,12.125,9046,20220518
12.13,12.135,12.125,12.135,12662,20220518
12.14,12.14,12.13,12.135,13429,20220518
12.135,12.135,12.12,12.12,16209,20220518
12.125,12.125,12.1001,12.105,46220,20220518
12.105,12.11,12.09,12.095,25835,20220518
12.095,12.1,12.095,12.1,500,20220518
12.095,12.095,12.095,12.095,844,20220518
12.1,12.1,12.095,12.095,1503,20220518
12.095,12.1,12.095,12.1,1200,20220518
12.095,12.1,12.09,12.095,7445,20220518
12.09,12.1,12.045,12.045,60186,20220518
12.045,12.055,12.04,12.055,46013,20220518
12.055,12.06,12.04,12.0445,18904,20220518
12.05,12.05,12.01,12.01,143281,20220518
12.015,12.02,12.0,12.0186,149907,20220518
12.02,12.02,12.0101,12.015,8762,20220518
12.015,12.015,11.9901,12.005,46725,20220518
12.0001,12.005,11.99,11.9904,24902,20220518
11.99,12.0,11.99,12.0,36504,20220518
11.9901,12.01,11.99,12.01,17425,20220518
12.005,12.01,11.995,11.995,16518,20220518
12.0,12.0088,11.995,12.005,10810,20220518
12.0,12.005,11.98,12.0,31665,20220518
12.0,12.0,11.975,11.985,79081,20220518
11.985,12.0,11.985,12.0,35282,20220518
11.995,12.0,11.99,11.995,9646,20220518
11.995,12.01,11.9908,11.9908,51445,20220518
11.99,12.0,11.985,12.0,16036,20220518
11.995,12.005,11.99,12.005,11516,20220518
12.0,12.005,11.995,12.005,21910,20220518
12.005,12.03,12.0,12.025,12569,20220518
12.025,12.04,12.025,12.04,33497,20220518
12.04,12.05,12.04,12.05,15388,20220518
12.05,12.055,12.04,12.045,27508,20220518
12.045,12.055,12.045,12.055,13534,20220518
12.05,12.055,12.04,12.045,12200,20220518
12.045,12.05,12.035,12.035,5851,20220518
12.035,12.045,12.035,12.045,5564,20220518
12.05,12.05,12.03,12.036,10826,20220518
12.035,12.035,12.03,12.035,3150,20220518
12.03,12.035,12.02,12.025,5041,20220518
12.025,12.025,12.015,12.015,4400,20220518
12.015,12.03,12.015,12.03,10326,20220518
12.03,12.045,12.03,12.035,36200,20220518
12.035,12.035,12.02,12.02,8898,20220518
12.025,12.03,12.025,12.025,1597,20220518
12.02,12.03,12.01,12.015,8135,20220518
12.015,12.02,12.015,12.015,1219,20220518
12.015,12.025,12.01,12.025,7222,20220518
12.03,12.04,12.03,12.035,13348,20220518
12.035,12.04,12.03,12.035,1349,20220518
12.04,12.045,12.03,12.03,19036,20220518
12.03,12.03,12.01,12.02,13796,20220518
12.02,12.02,12.01,12.015,6005,20220518
12.015,12.02,12.0,12.015,13411,20220518
12.015,12.0163,12.01,12.015,2044,20220518
12.015,12.02,11.995,12.0,52217,20220518
12.0,12.0,11.995,11.995,1932,20220518
11.996,11.996,11.99,11.99,3326,20220518
11.99,11.995,11.99,11.995,13400,20220518
11.99,11.995,11.98,11.995,25507,20220518
11.995,12.0,11.995,12.0,700,20220518
12.0,12.0,11.99,11.99,5490,20220518
11.99,11.995,11.965,11.965,38432,20220518
11.965,11.975,11.965,11.975,10388,20220518
11.97,11.98,11.97,11.97,2336,20220518
11.975,11.975,11.97,11.975,900,20220518
11.97,11.985,11.97,11.975,33565,20220518
11.975,11.985,11.97,11.985,23523,20220518
11.98,11.99,11.98,11.9837,11983,20220518
11.985,11.985,11.98,11.985,4453,20220518
11.98,11.985,11.965,11.975,74362,20220518
11.972,11.972,11.965,11.965,23212,20220518
11.97,11.97,11.96,11.97,1544,20220518
11.965,11.97,11.95,11.95,33586,20220518
11.95,11.955,11.945,11.95,14838,20220518
11.95,11.95,11.92,11.93,58759,20220518
11.925,11.9357,11.925,11.925,16796,20220518
11.925,11.935,11.925,11.935,7839,20220518
11.935,11.94,11.935,11.935,1177,20220518
11.935,11.945,11.935,11.94,20611,20220518
11.945,11.95,11.94,11.95,7022,20220518
11.945,11.95,11.94,11.95,19470,20220518
11.945,11.95,11.94,11.94,5926,20220518
11.94,11.955,11.94,11.9475,50139,20220518
11.94,11.95,11.94,11.945,5379,20220518
11.94,11.9475,11.94,11.94,6591,20220518
11.945,11.95,11.94,11.94,7868,20220518
11.94,11.955,11.94,11.95,19599,20220518
11.955,11.97,11.953,11.96,14052,20220518
11.965,11.97,11.96,11.965,6308,20220518
11.965,11.965,11.95,11.955,12426,20220518
11.955,11.965,11.955,11.965,20872,20220518
11.96,11.965,11.95,11.95,15064,20220518
11.95,11.96,11.945,11.955,31812,20220518
11.95,11.965,11.95,11.965,39616,20220518
11.955,11.97,11.955,11.965,8010,20220518
11.965,11.97,11.96,11.965,8709,20220518
