open,high,low,close,volume,datetime
111.09,111.09,109.77,110.81,38573,20220518
110.76,111.46,110.76,111.22,24974,20220518
111.195,111.37,110.89,111.37,8624,20220518
111.345,111.63,111.25,111.63,7184,20220518
111.63,112.01,111.56,112.0,7494,20220518
111.905,111.97,111.63,111.78,15612,20220518
111.715,111.745,111.44,111.525,6943,20220518
111.63,111.66,111.24,111.39,4738,20220518
111.46,111.5,111.16,111.275,11959,20220518
111.265,111.47,111.25,111.39,7726,20220518
111.39,111.48,111.27,111.385,5572,20220518
111.42,111.42,111.285,111.295,5533,20220518
111.3,111.43,111.27,111.35,9827,20220518
111.3812,111.44,111.28,111.28,7206,20220518
111.255,111.28,110.73,110.73,14673,20220518
110.73,110.91,110.68,110.91,5665,20220518
110.99,111.08,110.84,110.84,8007,20220518
110.845,111.12,110.79,111.08,10715,20220518
111.08,111.43,111.02,111.43,8377,20220518
111.395,111.5,111.37,111.48,2103,20220518
111.465,111.61,111.34,111.4,4149,20220518
111.33,111.47,111.24,111.345,5048,20220518
111.27,111.32,111.16,111.17,1221,20220518
111.19,111.32,111.03,111.25,14017,20220518
111.25,111.41,111.17,111.38,3710,20220518
111.46,111.66,111.42,111.63,3967,20220518
111.72,111.8,111.66,111.7664,4393,20220518
111.79,112.04,111.72,112.04,3555,20220518
112.05,112.2,111.98,111.98,7000,20220518
112.005,112.18,111.97,112.14,5428,20220518
112.18,112.18,111.96,111.99,2526,20220518
112.06,112.07,111.9,111.96,6933,20220518
111.94,112.3,111.89,112.08,20478,20220518
112.12,112.47,112.12,112.38,6617,20220518
112.37,112.53,112.31,112.5,6341,20220518
112.49,112.67,112.47,112.62,8373,20220518
112.62,112.8579,112.62,112.7,5889,20220518
112.65,112.73,112.62,112.7027,3146,20220518
112.725,112.725,112.57,112.58,4869,20220518
112.6,112.63,112.46,112.5,3676,20220518
112.515,112.55,112.32,112.38,6325,20220518
112.35,112.46,112.35,112.43,3694,20220518
112.49,112.52,112.41,112.485,3420,20220518
112.49,112.66,112.49,112.61,4031,20220518
112.6,112.65,112.57,112.65,1900,20220518
112.63,112.76,112.62,112.715,3557,20220518
112.715,112.715,112.35,112.35,3978,20220518
112.37,112.37,112.19,112.27,2740,20220518
112.22,112.22,112.14,112.14,1200,20220518
112.17,112.25,112.13,112.225,3552,20220518
112.18,112.22,112.0,112.09,4895,20220518
112.09,112.09,111.83,111.87,4214,20220518
111.875,112.0,111.83,111.865,4781,20220518
111.82,111.82,111.7,111.82,3406,20220518
111.77,111.85,111.65,111.695,8843,20220518
111.71,111.79,111.65,111.75,4295,20220518
111.73,111.79,111.71,111.76,2250,20220518
111.72,111.72,111.47,111.575,7830,20220518
111.56,111.64,111.48,111.56,4220,20220518
111.57,111.57,111.49,111.545,4414,20220518
111.57,111.7,111.46,111.5,13635,20220518
111.485,111.66,111.485,111.63,5188,20220518
111.645,111.645,111.495,111.54,6705,20220518
111.51,111.59,111.485,111.51,4810,20220518
111.5,111.56,111.36,111.38,12245,20220518
111.375,111.44,111.375,111.4,4267,20220518
111.37,111.38,111.2,111.2,1815,20220518
111.16,111.16,111.05,111.085,4019,20220518
111.08,111.4,111.06,111.4,44909,20220518
111.45,111.535,111.45,111.535,3841,20220518
