open,high,low,close,volume,datetime
269.23,269.355,268.69,268.74,6766,20220518
268.3,268.3,268.3,268.3,100,20220518
268.84,268.84,268.84,268.84,100,20220518
268.725,268.73,267.32,267.32,5784,20220518
267.39,267.69,266.84,267.69,811,20220518
267.69,267.69,267.04,267.04,200,20220518
267.62,267.665,267.62,267.665,200,20220518
266.505,266.505,266.505,266.505,100,20220518
266.73,266.73,266.73,266.73,100,20220518
266.02,266.02,265.995,265.995,200,20220518
266.16,266.4,265.99,266.04,700,20220518
265.88,266.1,265.88,265.935,800,20220518
266.16,266.56,266.16,266.28,600,20220518
265.7,266.34,265.7,265.73,2006,20220518
265.5,265.675,265.44,265.44,400,20220518
265.77,265.81,265.695,265.695,523,20220518
265.665,266.235,265.665,265.76,400,20220518
265.96,266.49,265.81,266.16,2363,20220518
266.075,266.1152,265.97,266.1152,2067,20220518
266.11,266.186,265.91,265.91,400,20220518
266.49,266.64,266.49,266.64,200,20220518
267.32,267.32,267.28,267.28,200,20220518
266.935,267.185,266.935,267.185,227,20220518
266.93,267.26,266.88,267.26,600,20220518
267.09,267.86,267.09,267.85,1300,20220518
269.09,269.458,269.09,269.458,249,20220518
269.415,269.54,269.15,269.3075,1173,20220518
269.465,270.02,269.465,270.02,937,20220518
270.08,270.18,269.82,269.95,1604,20220518
269.82,270.02,269.415,270.02,1029,20220518
269.56,269.6,269.27,269.57,500,20220518
269.71,269.71,269.71,269.71,100,20220518
269.72,269.72,269.72,269.72,100,20220518
269.8493,269.8493,269.835,269.835,250,20220518
269.545,269.7296,269.46,269.7296,575,20220518
270.0,270.0,270.0,270.0,100,20220518
269.99,270.1,269.5951,270.1,732,20220518
269.77,270.11,269.76,270.05,1713,20220518
270.11,270.11,270.11,270.11,100,20220518
270.08,270.21,270.08,270.21,200,20220518
270.215,270.815,270.03,270.815,1499,20220518
270.94,270.94,270.7,270.805,2067,20220518
270.53,270.65,270.53,270.65,200,20220518
270.65,270.65,270.65,270.65,217,20220518
270.61,270.648,270.415,270.415,1046,20220518
270.25,270.25,270.25,270.25,100,20220518
270.0,270.23,270.0,270.0,4775,20220518
269.12,269.84,269.12,269.84,350,20220518
269.24,269.24,269.24,269.24,100,20220518
269.76,269.76,269.52,269.52,200,20220518
269.185,269.185,269.185,269.185,100,20220518
268.92,269.45,268.92,269.2744,543,20220518
268.935,269.28,268.935,269.28,400,20220518
269.3,269.3,269.3,269.3,100,20220518
269.184,269.51,269.184,269.38,1116,20220518
269.19,269.19,268.74,268.74,352,20220518
268.66,268.66,268.62,268.63,300,20220518
268.3,268.3,268.3,268.3,100,20220518
269.01,269.01,269.01,269.01,100,20220518
268.875,269.07,268.875,269.07,507,20220518
268.795,268.795,268.58,268.58,200,20220518
268.71,268.71,268.71,268.71,110,20220518
268.555,268.555,268.555,268.555,100,20220518
268.965,268.965,268.79,268.79,200,20220518
269.27,269.27,269.27,269.27,100,20220518
269.01,269.01,269.01,269.01,200,20220518
269.05,269.35,269.05,269.35,502,20220518
269.48,269.48,269.14,269.14,200,20220518
268.91,268.91,268.91,268.91,100,20220518
269.13,269.13,268.98,268.98,216,20220518
268.99,268.99,268.99,268.99,200,20220518
268.8916,268.8916,268.7749,268.7749,431,20220518
269.48,269.48,269.48,269.48,100,20220518
269.44,269.44,269.31,269.31,301,20220518
269.26,269.27,269.25,269.25,300,20220518
