open,high,low,close,volume,datetime
43.26,43.61,43.05,43.24,60888,20220518
43.23,43.23,42.8,42.8,5036,20220518
42.79,42.95,42.5844,42.95,8786,20220518
42.89,42.89,42.69,42.77,3300,20220518
42.77,42.9,42.58,42.67,11092,20220518
42.53,42.86,42.53,42.86,8060,20220518
42.79,43.04,42.6,43.015,8560,20220518
43.02,43.13,42.82,42.83,7567,20220518
42.855,42.89,42.76,42.81,48086,20220518
42.769,42.8,42.54,42.66,23173,20220518
42.66,42.71,42.5001,42.69,41672,20220518
42.67,42.9,42.67,42.74,5597,20220518
42.74,42.77,42.68,42.71,10727,20220518
42.7,42.74,42.59,42.73,9208,20220518
42.73,42.77,42.63,42.7587,5785,20220518
42.76,42.82,42.76,42.78,1518,20220518
42.7977,42.81,42.72,42.78,600,20220518
42.76,42.91,42.75,42.84,2225,20220518
42.82,42.82,42.6,42.6,11053,20220518
42.62,42.68,42.55,42.68,9990,20220518
42.66,42.66,42.56,42.58,2886,20220518
42.57,42.69,42.55,42.63,2459,20220518
42.62,42.64,42.565,42.565,3226,20220518
42.55,42.615,42.51,42.54,3180,20220518
42.55,42.57,42.5,42.52,2040,20220518
42.54,42.59,42.5201,42.56,4055,20220518
42.57,42.57,42.45,42.45,2312,20220518
42.43,42.43,42.34,42.41,23285,20220518
42.35,42.4,42.2901,42.38,10574,20220518
42.4,42.4,42.3,42.366,5117,20220518
42.4099,42.4099,42.29,42.36,18583,20220518
42.4,42.5313,42.4,42.48,2879,20220518
42.54,42.56,42.52,42.56,3668,20220518
42.56,42.58,42.49,42.565,3595,20220518
42.54,42.6,42.51,42.6,2515,20220518
42.62,42.7,42.58,42.7,2404,20220518
42.7002,42.78,42.7,42.7788,7136,20220518
42.78,42.83,42.75,42.8,6963,20220518
42.78,42.82,42.76,42.805,6232,20220518
42.76,42.86,42.7,42.84,7131,20220518
42.83,42.88,42.8,42.825,6497,20220518
42.795,42.83,42.77,42.83,4448,20220518
42.849,42.849,42.68,42.706,2699,20220518
42.73,42.786,42.72,42.74,2853,20220518
42.727,42.75,42.69,42.75,2815,20220518
42.72,42.79,42.69,42.79,4180,20220518
42.76,42.79,42.715,42.74,3303,20220518
42.745,42.78,42.7,42.78,4793,20220518
42.759,42.805,42.68,42.69,6726,20220518
42.63,42.72,42.61,42.7,4020,20220518
42.67,42.8,42.67,42.75,2562,20220518
42.77,42.77,42.68,42.68,7210,20220518
42.67,42.69,42.62,42.62,1450,20220518
42.57,42.599,42.52,42.52,3629,20220518
42.5,42.54,42.47,42.47,2668,20220518
42.46,42.49,42.44,42.48,3486,20220518
42.49,42.53,42.47,42.485,1856,20220518
42.5,42.53,42.48,42.49,2584,20220518
42.5,42.54,42.47,42.47,1525,20220518
42.44,42.44,42.39,42.4,3151,20220518
42.375,42.397,42.3582,42.397,2712,20220518
42.42,42.44,42.36,42.36,854,20220518
42.38,42.49,42.38,42.49,14698,20220518
42.48,42.58,42.48,42.53,15695,20220518
42.51,42.51,42.43,42.5,4900,20220518
42.48,42.49,42.42,42.44,2367,20220518
42.45,42.5295,42.44,42.52,2745,20220518
42.555,42.555,42.48,42.5,4853,20220518
42.48,42.515,42.469,42.51,9843,20220518
42.51,42.57,42.51,42.565,1020,20220518
42.56,42.56,42.51,42.51,919,20220518
42.5074,42.62,42.5074,42.62,3000,20220518
42.61,42.61,42.57,42.58,1353,20220518
42.55,42.55,42.5,42.52,2908,20220518
42.52,42.5999,42.46,42.59,10041,20220518
42.6,42.6,42.56,42.59,697,20220518
42.61,42.74,42.61,42.72,1802,20220518
42.7,42.7,42.64,42.67,2799,20220518
42.68,42.76,42.68,42.73,1556,20220518
42.69,42.69,42.67,42.69,1011,20220518
42.69,42.72,42.67,42.69,900,20220518
42.7,42.7,42.67,42.67,912,20220518
42.68,42.75,42.65,42.65,2686,20220518
42.64,42.64,42.58,42.58,572,20220518
42.57,42.57,42.5,42.53,2213,20220518
42.5228,42.54,42.5,42.54,4101,20220518
42.525,42.5575,42.5,42.5575,4857,20220518
42.58,42.68,42.575,42.63,11263,20220518
42.669,42.714,42.669,42.69,1500,20220518
42.7,42.73,42.7,42.71,5198,20220518
42.7,42.71,42.68,42.68,815,20220518
42.67,42.705,42.635,42.65,4350,20220518
42.64,42.655,42.6,42.615,3400,20220518
42.62,42.62,42.55,42.565,6429,20220518
42.57,42.57,42.51,42.51,2760,20220518
42.46,42.46,42.43,42.46,2150,20220518
42.46,42.515,42.45,42.46,9127,20220518
42.43,42.49,42.41,42.49,6400,20220518
42.48,42.5,42.47,42.5,3600,20220518
42.49,42.54,42.48,42.5293,3174,20220518
42.52,42.52,42.48,42.48,2603,20220518
42.47,42.48,42.46,42.47,3450,20220518
42.46,42.465,42.46,42.46,1300,20220518
42.46,42.5,42.46,42.5,4340,20220518
42.5,42.5,42.48,42.48,1408,20220518
42.46,42.47,42.46,42.47,2098,20220518
42.46,42.48,42.34,42.34,10988,20220518
42.37,42.41,42.34,42.35,8709,20220518
42.33,42.34,42.28,42.28,7615,20220518
42.3,42.355,42.3,42.355,2708,20220518
42.35,42.35,42.28,42.35,14288,20220518
42.36,42.36,42.315,42.315,4328,20220518
42.285,42.33,42.285,42.325,1601,20220518
42.29,42.29,42.21,42.23,4912,20220518
42.22,42.2399,42.188,42.2,5000,20220518
42.18,42.26,42.18,42.245,2917,20220518
42.23,42.23,42.15,42.16,2521,20220518
42.155,42.17,42.12,42.14,6156,20220518
42.125,42.13,42.06,42.125,8151,20220518
42.11,42.15,42.09,42.12,3627,20220518
42.12,42.13,42.01,42.03,4163,20220518
42.01,42.17,42.0,42.14,6032,20220518
42.11,42.11,42.04,42.08,300,20220518
42.11,42.13,42.11,42.1292,3161,20220518
42.13,42.14,42.12,42.14,2000,20220518
42.135,42.19,42.13,42.19,1509,20220518
42.15,42.2,42.15,42.2,3901,20220518
42.22,42.335,42.22,42.335,3131,20220518
42.32,42.32,42.205,42.26,5126,20220518
42.24,42.255,42.19,42.19,1192,20220518
42.15,42.16,42.13,42.13,700,20220518
42.16,42.24,42.16,42.24,2094,20220518
42.22,42.24,42.16,42.22,3185,20220518
42.28,42.29,42.26,42.28,1232,20220518
42.26,42.32,42.26,42.31,2889,20220518
42.33,42.33,42.26,42.27,1805,20220518
42.24,42.28,42.24,42.27,1000,20220518
42.26,42.28,42.23,42.25,4059,20220518
42.245,42.28,42.22,42.23,1908,20220518
42.24,42.25,42.24,42.25,200,20220518
42.25,42.3,42.23,42.3,2629,20220518
42.29,42.29,42.29,42.29,400,20220518
42.24,42.24,42.21,42.21,1508,20220518
42.18,42.19,42.12,42.165,4090,20220518
42.17,42.185,42.11,42.11,1404,20220518
42.095,42.11,42.08,42.11,4252,20220518
42.13,42.13,42.1172,42.125,1101,20220518
42.14,42.15,42.1227,42.145,1260,20220518
42.15,42.15,42.1,42.1,924,20220518
