open,high,low,close,volume,datetime
55.52,56.025,55.33,55.33,5670,20220518
55.33,56.03,55.28,55.46,2100,20220518
55.795,56.55,55.74,56.13,2326,20220518
56.1132,56.39,56.1132,56.1177,430,20220518
55.9,56.21,55.89,55.89,729,20220518
55.89,56.4,55.35,56.4,780,20220518
56.03,56.03,56.03,56.03,100,20220518
55.69,56.115,55.69,56.02,300,20220518
56.01,56.01,56.01,56.01,200,20220518
55.975,55.975,55.27,55.29,1028,20220518
55.92,55.92,55.465,55.465,500,20220518
55.94,55.94,55.94,55.94,500,20220518
55.95,56.1257,55.78,55.78,700,20220518
56.24,56.58,55.8549,56.2455,1869,20220518
56.98,56.99,56.98,56.99,200,20220518
56.84,56.89,56.3,56.3,1007,20220518
56.09,56.09,56.09,56.09,100,20220518
56.62,57.09,56.62,57.08,600,20220518
57.01,57.55,57.01,57.55,736,20220518
57.56,57.66,57.53,57.62,1500,20220518
57.66,57.66,57.66,57.66,200,20220518
57.0,57.0,56.75,56.8429,1694,20220518
56.7044,56.7044,56.7044,56.7044,100,20220518
56.61,56.61,56.61,56.61,100,20220518
56.31,56.53,56.09,56.09,1300,20220518
56.545,56.545,56.545,56.545,100,20220518
56.69,57.0,56.63,57.0,1400,20220518
56.93,56.93,56.82,56.82,376,20220518
57.14,57.14,57.14,57.14,200,20220518
57.08,57.65,57.08,57.65,1100,20220518
57.95,57.96,57.725,57.96,300,20220518
57.5,57.6487,57.5,57.6487,200,20220518
57.96,57.96,57.43,57.43,1161,20220518
57.43,57.43,57.41,57.41,700,20220518
57.14,57.14,56.62,56.765,1350,20220518
56.48,56.48,56.48,56.48,100,20220518
56.9,56.9,56.52,56.53,912,20220518
56.711,56.711,56.711,56.711,100,20220518
56.7,56.7,56.41,56.51,300,20220518
56.75,56.76,56.75,56.76,400,20220518
56.88,56.9651,56.77,56.9651,600,20220518
56.725,56.725,56.725,56.725,100,20220518
56.96,56.98,56.96,56.98,200,20220518
56.59,56.59,56.59,56.59,100,20220518
56.59,56.59,56.59,56.59,100,20220518
56.44,56.44,56.44,56.44,100,20220518
56.48,56.64,56.48,56.64,200,20220518
56.56,56.56,56.46,56.56,542,20220518
56.19,56.7334,56.1,56.7334,1020,20220518
56.26,56.26,56.26,56.26,300,20220518
56.01,56.5,56.01,56.44,2879,20220518
56.29,56.29,56.29,56.29,100,20220518
56.285,56.285,56.285,56.285,200,20220518
56.44,56.44,56.44,56.44,100,20220518
56.28,56.28,56.19,56.19,300,20220518
56.52,56.52,56.52,56.52,100,20220518
56.5,56.74,56.5,56.74,600,20220518
56.75,56.75,56.57,56.75,1702,20220518
56.66,56.88,56.53,56.88,2693,20220518
56.72,56.805,56.71,56.74,500,20220518
56.75,56.8452,56.65,56.65,2700,20220518
56.8,57.25,56.8,57.199,1120,20220518
57.065,57.32,57.0,57.225,1677,20220518
56.97,57.2,56.97,57.2,1109,20220518
