open,high,low,close,volume,datetime
49.74,50.005,49.74,50.005,12529,20220518
49.885,49.885,49.74,49.745,322,20220518
49.73,49.76,49.63,49.74,1000,20220518
49.64,49.64,49.46,49.57,2384,20220518
49.54,49.54,49.54,49.54,100,20220518
49.46,49.46,49.44,49.44,221,20220518
49.39,49.39,49.19,49.19,5300,20220518
49.26,49.26,49.185,49.24,1300,20220518
49.25,49.27,49.24,49.27,1000,20220518
49.21,49.21,49.14,49.14,429,20220518
49.11,49.18,49.11,49.18,1300,20220518
49.26,49.26,49.22,49.22,300,20220518
49.2,49.23,49.165,49.23,315,20220518
49.14,49.18,49.11,49.16,1482,20220518
49.18,49.275,49.18,49.26,811,20220518
49.28,49.3,49.2,49.2,828,20220518
49.225,49.32,49.225,49.27,1250,20220518
49.275,49.32,49.25,49.32,921,20220518
49.26,49.35,49.26,49.31,3500,20220518
49.31,49.39,49.25,49.36,2141,20220518
49.33,49.3301,49.31,49.31,300,20220518
49.275,49.275,49.23,49.25,1423,20220518
49.24,49.27,49.24,49.24,1237,20220518
49.275,49.275,49.24,49.27,858,20220518
49.23,49.28,49.2,49.28,2000,20220518
49.32,49.32,49.31,49.31,265,20220518
49.43,49.46,49.4,49.4,361,20220518
49.45,49.55,49.45,49.55,602,20220518
49.57,49.57,49.55,49.55,800,20220518
49.53,49.53,49.445,49.445,1255,20220518
49.44,49.49,49.4,49.4,1804,20220518
49.4,49.46,49.38,49.43,1652,20220518
49.44,49.44,49.39,49.41,7507,20220518
49.425,49.425,49.35,49.35,800,20220518
49.31,49.34,49.23,49.34,2415,20220518
49.34,49.38,49.33,49.38,5120,20220518
49.35,49.39,49.32,49.36,3000,20220518
49.35,49.35,49.305,49.33,5667,20220518
49.275,49.32,49.26,49.28,7166,20220518
49.26,49.27,49.23,49.25,4551,20220518
49.27,49.36,49.24,49.34,12644,20220518
49.32,49.34,49.29,49.29,3930,20220518
49.29,49.315,49.26,49.315,1600,20220518
49.315,49.315,49.28,49.28,300,20220518
49.31,49.31,49.23,49.28,800,20220518
49.28,49.29,49.28,49.29,393,20220518
49.265,49.29,49.26,49.28,1200,20220518
49.28,49.295,49.26,49.26,1600,20220518
49.24,49.25,49.24,49.25,400,20220518
49.23,49.23,49.135,49.205,1606,20220518
49.18,49.18,49.08,49.08,6527,20220518
49.07,49.175,49.055,49.175,1139,20220518
49.155,49.19,49.06,49.06,4809,20220518
49.1,49.105,49.05,49.05,6125,20220518
49.02,49.02,48.89,48.89,4789,20220518
48.86,48.92,48.82,48.92,7430,20220518
48.92,48.94,48.855,48.88,4118,20220518
48.86,48.89,48.855,48.86,2090,20220518
48.86,48.92,48.83,48.92,1278,20220518
48.91,48.91,48.83,48.83,1512,20220518
48.85,48.87,48.8,48.81,2306,20220518
48.825,48.825,48.78,48.805,3333,20220518
48.83,48.9,48.83,48.89,1507,20220518
48.93,48.965,48.93,48.965,300,20220518
48.98,49.04,48.96,49.0171,1100,20220518
48.98,48.98,48.93,48.93,1508,20220518
48.96,49.07,48.96,49.05,3135,20220518
49.01,49.01,49.005,49.01,511,20220518
49.03,49.03,49.015,49.015,400,20220518
49.0333,49.0425,49.0,49.0425,7759,20220518
49.0,49.0,48.91,48.91,550,20220518
48.98,49.03,48.9725,49.03,1300,20220518
48.99,49.0,48.98,48.99,800,20220518
48.98,49.09,48.98,49.03,5940,20220518
49.0,49.0,48.995,48.995,200,20220518
48.97,48.98,48.93,48.96,1303,20220518
48.96,48.96,48.9,48.9,910,20220518
48.94,48.95,48.91,48.91,1374,20220518
48.91,48.91,48.85,48.85,654,20220518
48.86,48.86,48.81,48.81,600,20220518
48.84,48.85,48.84,48.85,571,20220518
48.94,48.945,48.925,48.945,1400,20220518
48.9,48.9,48.9,48.9,200,20220518
48.915,48.96,48.915,48.96,2500,20220518
48.925,48.925,48.92,48.92,200,20220518
48.89,48.89,48.845,48.88,1100,20220518
48.855,48.855,48.855,48.855,100,20220518
48.84,48.88,48.83,48.83,1225,20220518
48.84,48.84,48.84,48.84,219,20220518
48.8,48.815,48.8,48.81,508,20220518
48.835,48.835,48.75,48.75,794,20220518
48.74,48.77,48.73,48.765,1355,20220518
48.76,48.76,48.74,48.74,554,20220518
48.75,48.75,48.71,48.73,400,20220518
48.71,48.71,48.67,48.67,307,20220518
48.655,48.7,48.655,48.7,500,20220518
48.695,48.71,48.695,48.71,400,20220518
48.695,48.695,48.69,48.69,250,20220518
48.71,48.71,48.71,48.71,1300,20220518
48.6943,48.7,48.62,48.63,1495,20220518
48.6,48.61,48.6,48.6,600,20220518
48.63,48.63,48.615,48.63,1211,20220518
48.6,48.61,48.59,48.61,1100,20220518
48.61,48.61,48.61,48.61,100,20220518
48.58,48.6,48.55,48.6,5483,20220518
48.59,48.59,48.525,48.525,1194,20220518
48.525,48.59,48.525,48.57,810,20220518
48.58,48.58,48.58,48.58,100,20220518
48.555,48.555,48.555,48.555,200,20220518
48.52,48.54,48.46,48.46,2682,20220518
48.47,48.47,48.42,48.47,1054,20220518
48.44,48.45,48.43,48.43,710,20220518
48.47,48.47,48.455,48.455,200,20220518
48.48,48.48,48.46,48.46,1131,20220518
48.45,48.45,48.45,48.45,100,20220518
48.48,48.515,48.48,48.49,671,20220518
48.52,48.52,48.46,48.46,303,20220518
48.53,48.53,48.5,48.5,300,20220518
48.6,48.6,48.58,48.58,400,20220518
48.57,48.57,48.55,48.55,600,20220518
48.555,48.575,48.555,48.575,300,20220518
48.61,48.61,48.59,48.61,406,20220518
48.61,48.61,48.56,48.56,508,20220518
