open,high,low,close,volume,datetime
74.77,74.83,74.77,74.83,7885,20220518
74.48,74.63,74.3201,74.45,2508,20220518
74.59,74.63,74.54,74.63,500,20220518
74.82,74.82,74.82,74.82,100,20220518
74.66,74.7,74.63,74.7,406,20220518
74.81,74.81,74.7329,74.7329,400,20220518
74.74,74.74,74.63,74.63,211,20220518
74.58,74.61,74.58,74.6,400,20220518
74.54,74.66,74.54,74.59,2076,20220518
74.62,74.62,74.62,74.62,194,20220518
74.66,74.77,74.66,74.77,589,20220518
74.78,74.78,74.78,74.78,127,20220518
74.789,74.87,74.78,74.785,578,20220518
74.79,74.835,74.71,74.835,1625,20220518
74.81,74.81,74.81,74.81,704,20220518
74.82,74.95,74.82,74.929,1106,20220518
74.935,74.94,74.935,74.94,200,20220518
74.93,75.0,74.93,75.0,9945,20220518
75.04,75.07,74.99,74.99,880,20220518
74.96,74.98,74.8498,74.95,698,20220518
74.92,74.9433,74.92,74.9433,335,20220518
74.94,74.95,74.83,74.95,1210,20220518
74.97,74.99,74.92,74.98,414,20220518
74.96,75.02,74.96,75.02,300,20220518
75.13,75.13,75.13,75.13,200,20220518
75.08,75.08,74.97,74.97,1155,20220518
74.86,74.98,74.84,74.98,300,20220518
74.92,74.94,74.87,74.93,1250,20220518
74.89,74.89,74.82,74.84,400,20220518
74.8,74.94,74.8,74.94,1409,20220518
74.89,74.91,74.85,74.91,400,20220518
74.86,74.96,74.86,74.91,1300,20220518
74.8678,74.8678,74.84,74.865,300,20220518
74.85,74.89,74.85,74.88,450,20220518
74.86,74.86,74.81,74.83,400,20220518
74.835,74.9,74.835,74.9,480,20220518
74.9,74.94,74.88,74.88,700,20220518
74.895,74.955,74.895,74.955,200,20220518
74.99,74.99,74.99,74.99,100,20220518
74.98,75.01,74.97,74.99,900,20220518
75.04,75.04,75.04,75.04,100,20220518
75.12,75.13,75.085,75.085,300,20220518
75.05,75.0798,75.02,75.0798,1087,20220518
75.09,75.11,75.08,75.11,300,20220518
75.11,75.2,75.1,75.2,601,20220518
75.13,75.13,75.1,75.1,400,20220518
75.12,75.15,75.1142,75.15,800,20220518
75.12,75.15,75.055,75.11,845,20220518
75.14,75.14,75.14,75.14,100,20220518
75.11,75.17,75.11,75.17,401,20220518
75.25,75.25,75.24,75.24,311,20220518
75.21,75.27,75.21,75.27,784,20220518
75.21,75.21,75.21,75.21,100,20220518
75.24,75.24,75.215,75.215,500,20220518
75.25,75.25,75.25,75.25,100,20220518
75.36,75.43,75.36,75.43,311,20220518
75.385,75.39,75.36,75.37,402,20220518
75.39,75.39,75.35,75.35,200,20220518
75.44,75.47,75.44,75.47,500,20220518
75.47,75.54,75.47,75.505,1248,20220518
75.505,75.52,75.505,75.52,350,20220518
75.46,75.48,75.45,75.48,800,20220518
75.54,75.595,75.54,75.595,700,20220518
75.54,75.55,75.5,75.5,500,20220518
75.54,75.54,75.47,75.47,500,20220518
75.485,75.53,75.485,75.53,200,20220518
75.505,75.53,75.505,75.53,200,20220518
75.38,75.39,75.33,75.375,2059,20220518
75.33,75.37,75.33,75.3515,714,20220518
75.375,75.375,75.375,75.375,100,20220518
75.36,75.36,75.3,75.3,200,20220518
75.25,75.255,75.25,75.255,450,20220518
75.13,75.13,75.125,75.125,200,20220518
75.12,75.12,75.06,75.1,700,20220518
75.12,75.15,75.12,75.15,402,20220518
75.16,75.16,75.1,75.1,500,20220518
75.13,75.13,75.13,75.13,203,20220518
75.07,75.07,75.05,75.05,200,20220518
75.06,75.09,75.06,75.06,925,20220518
75.075,75.075,75.07,75.07,300,20220518
75.08,75.08,75.08,75.08,400,20220518
75.1,75.16,75.1,75.16,500,20220518
75.2095,75.2095,75.14,75.14,445,20220518
75.12,75.12,75.065,75.11,300,20220518
75.15,75.16,75.15,75.16,310,20220518
75.19,75.29,75.16,75.16,700,20220518
75.19,75.19,75.185,75.19,302,20220518
75.23,75.23,75.19,75.19,300,20220518
75.15,75.15,75.1461,75.1461,400,20220518
75.15,75.18,75.15,75.18,200,20220518
75.255,75.27,75.235,75.27,500,20220518
75.18,75.19,75.16,75.16,500,20220518
75.13,75.19,75.11,75.19,802,20220518
75.21,75.21,75.21,75.21,100,20220518
75.2,75.21,75.2,75.21,200,20220518
75.21,75.26,75.17,75.17,717,20220518
75.17,75.17,75.17,75.17,100,20220518
75.13,75.2,75.13,75.2,320,20220518
75.19,75.2,75.19,75.2,200,20220518
75.16,75.16,75.16,75.16,100,20220518
75.1635,75.1635,75.1635,75.1635,250,20220518
75.13,75.155,75.13,75.155,400,20220518
75.15,75.15,75.15,75.15,100,20220518
75.12,75.12,75.12,75.12,833,20220518
75.0759,75.1,75.0759,75.08,500,20220518
75.06,75.06,75.06,75.06,100,20220518
75.085,75.11,75.085,75.105,600,20220518
75.08,75.15,75.08,75.15,200,20220518
75.22,75.226,75.17,75.17,1216,20220518
75.34,75.34,75.32,75.32,200,20220518
75.32,75.32,75.32,75.32,202,20220518
75.369,75.369,75.27,75.32,1106,20220518
75.31,75.33,75.31,75.33,200,20220518
75.29,75.29,75.29,75.29,700,20220518
75.36,75.36,75.28,75.32,300,20220518
75.3201,75.3201,75.26,75.26,420,20220518
75.24,75.24,75.24,75.24,100,20220518
75.225,75.23,75.225,75.23,401,20220518
75.26,75.28,75.23,75.23,711,20220518
75.2026,75.2026,75.2026,75.2026,125,20220518
75.25,75.25,75.25,75.25,171,20220518
75.21,75.25,75.21,75.23,450,20220518
75.19,75.23,75.19,75.23,200,20220518
75.22,75.28,75.22,75.28,504,20220518
75.25,75.3,75.25,75.3,525,20220518
75.3163,75.3163,75.3163,75.3163,800,20220518
75.31,75.31,75.29,75.29,1040,20220518
75.33,75.33,75.33,75.33,104,20220518
75.35,75.35,75.35,75.35,400,20220518
75.39,75.39,75.39,75.39,200,20220518
75.46,75.465,75.46,75.465,311,20220518
75.4853,75.4853,75.4853,75.4853,130,20220518
75.5,75.535,75.495,75.535,1528,20220518
75.57,75.6,75.54,75.54,1987,20220518
75.555,75.57,75.51,75.51,1000,20220518
75.53,75.535,75.52,75.52,500,20220518
75.48,75.5,75.4361,75.4361,706,20220518
75.425,75.425,75.39,75.39,500,20220518
75.3604,75.3604,75.3604,75.3604,100,20220518
75.415,75.415,75.415,75.415,100,20220518
75.36,75.36,75.36,75.36,145,20220518
75.39,75.39,75.39,75.39,100,20220518
75.37,75.38,75.37,75.38,200,20220518
75.36,75.36,75.36,75.36,100,20220518
75.38,75.44,75.38,75.44,514,20220518
75.46,75.46,75.42,75.46,916,20220518
75.43,75.455,75.43,75.455,211,20220518
75.4522,75.4522,75.4522,75.4522,343,20220518
75.47,75.47,75.42,75.42,400,20220518
75.38,75.42,75.38,75.4112,1075,20220518
75.47,75.48,75.47,75.48,200,20220518
75.47,75.47,75.47,75.47,100,20220518
75.45,75.45,75.45,75.45,200,20220518
75.47,75.47,75.47,75.47,200,20220518
75.48,75.48,75.48,75.48,350,20220518
75.515,75.515,75.515,75.515,100,20220518
75.5,75.5,75.5,75.5,161,20220518
75.53,75.57,75.53,75.56,897,20220518
75.59,75.59,75.59,75.59,200,20220518
75.59,75.59,75.59,75.59,100,20220518
75.56,75.56,75.54,75.55,695,20220518
75.5,75.51,75.5,75.51,304,20220518
75.47,75.4809,75.47,75.4809,231,20220518
75.52,75.56,75.52,75.56,603,20220518
75.59,75.59,75.59,75.59,150,20220518
75.56,75.56,75.56,75.56,551,20220518
75.53,75.56,75.53,75.56,443,20220518
75.6,75.6,75.6,75.6,400,20220518
75.57,75.57,75.53,75.53,201,20220518
75.57,75.57,75.57,75.57,100,20220518
75.59,75.59,75.56,75.56,500,20220518
75.55,75.55,75.55,75.55,184,20220518
75.52,75.52,75.52,75.52,200,20220518
75.49,75.51,75.49,75.5,600,20220518
75.54,75.54,75.5,75.5,200,20220518
75.54,75.54,75.54,75.54,100,20220518
75.52,75.55,75.52,75.55,200,20220518
75.48,75.48,75.48,75.48,265,20220518
75.51,75.51,75.51,75.51,100,20220518
75.54,75.54,75.53,75.53,500,20220518
75.53,75.56,75.51,75.51,738,20220518
75.46,75.46,75.41,75.41,501,20220518
75.375,75.375,75.375,75.375,100,20220518
75.4,75.41,75.395,75.395,601,20220518
75.35,75.35,75.31,75.31,300,20220518
75.25,75.29,75.25,75.29,571,20220518
75.21,75.21,75.17,75.2,1822,20220518
75.17,75.17,75.17,75.17,100,20220518
75.1255,75.18,75.1255,75.18,400,20220518
75.22,75.22,75.1934,75.1934,229,20220518
75.17,75.17,75.15,75.16,408,20220518
75.105,75.14,75.08,75.14,300,20220518
75.125,75.125,75.125,75.125,100,20220518
75.16,75.16,75.15,75.15,479,20220518
75.23,75.28,75.23,75.28,400,20220518
75.145,75.17,75.08,75.08,849,20220518
75.11,75.11,75.06,75.06,801,20220518
75.06,75.09,75.06,75.06,898,20220518
75.11,75.11,75.1,75.1,402,20220518
