open,high,low,close,volume,datetime
38.6,38.69,38.27,38.69,11438,20220518
38.54,38.7,38.47,38.695,4998,20220518
38.635,38.83,38.61,38.7975,3178,20220518
38.77,38.84,38.72,38.74,2446,20220518
38.81,38.81,38.71,38.71,1026,20220518
38.77,38.79,38.66,38.66,2300,20220518
38.695,38.81,38.66,38.72,3689,20220518
38.765,38.91,38.76,38.78,20933,20220518
38.82,38.96,38.75,38.79,24668,20220518
38.8,38.82,38.7,38.73,2766,20220518
38.7,38.7,38.64,38.66,6939,20220518
38.675,38.745,38.63,38.745,7456,20220518
38.78,38.78,38.77,38.775,1225,20220518
38.85,38.85,38.7775,38.7775,600,20220518
38.805,38.84,38.805,38.83,600,20220518
38.84,38.9,38.8,38.9,1800,20220518
38.875,38.95,38.85,38.95,2325,20220518
38.915,38.97,38.915,38.935,300,20220518
38.97,39.02,38.91,39.02,20411,20220518
39.015,39.02,38.925,38.97,37088,20220518
38.95,38.96,38.88,38.88,19079,20220518
38.88,39.01,38.88,38.995,12983,20220518
38.995,39.03,38.82,38.87,6093,20220518
38.88,38.9,38.85,38.9,2706,20220518
38.895,38.96,38.831,38.865,6305,20220518
38.85,38.85,38.725,38.725,2351,20220518
38.71,38.71,38.64,38.66,4749,20220518
38.64,38.655,38.605,38.63,5037,20220518
38.645,38.66,38.58,38.66,6341,20220518
38.6608,38.76,38.62,38.7,17225,20220518
38.7,38.84,38.7,38.81,4946,20220518
38.81,38.82,38.77,38.82,3044,20220518
38.82,38.88,38.78,38.88,6206,20220518
38.88,38.9,38.83,38.87,6478,20220518
38.875,38.93,38.865,38.905,3480,20220518
38.93,38.94,38.82,38.83,6350,20220518
38.8375,38.8375,38.674,38.674,4791,20220518
38.65,38.65,38.53,38.54,10857,20220518
38.54,38.57,38.44,38.47,19757,20220518
38.47,38.51,38.35,38.37,15721,20220518
38.35,38.36,38.31,38.35,4597,20220518
38.35,38.39,38.35,38.39,4384,20220518
38.405,38.47,38.405,38.47,2311,20220518
38.48,38.5,38.48,38.48,3231,20220518
38.48,38.48,38.38,38.44,60032,20220518
38.44,38.46,38.39,38.45,2728,20220518
38.46,38.54,38.46,38.51,2681,20220518
38.52,38.64,38.515,38.59,18147,20220518
38.6,38.6,38.54,38.59,1351,20220518
38.61,38.67,38.61,38.67,675,20220518
38.65,38.65,38.615,38.62,4964,20220518
38.61,38.66,38.61,38.66,1575,20220518
38.615,38.64,38.58,38.58,1136,20220518
38.565,38.605,38.53,38.56,2900,20220518
38.55,38.6,38.54,38.57,2301,20220518
38.58,38.58,38.52,38.52,1900,20220518
38.52,38.6,38.5,38.59,2596,20220518
38.59,38.6,38.59,38.6,300,20220518
38.585,38.64,38.57,38.59,3899,20220518
38.6,38.63,38.58,38.61,2600,20220518
38.625,38.65,38.62,38.65,5317,20220518
38.65,38.695,38.61,38.61,3700,20220518
38.61,38.61,38.6,38.61,600,20220518
38.6,38.605,38.57,38.6,874,20220518
38.61,38.61,38.585,38.595,1801,20220518
38.595,38.64,38.595,38.61,2501,20220518
38.62,38.62,38.55,38.55,5220,20220518
