open,high,low,close,volume,datetime
67.04,67.79,66.82,66.82,9755,20220518
66.8,66.8,66.16,66.18,2575,20220518
66.07,66.355,65.85,65.85,2500,20220518
65.85,66.095,65.57,66.095,6001,20220518
66.24,66.54,66.0,66.0,1649,20220518
66.0,66.74,65.87,66.74,36358,20220518
66.76,66.97,66.575,66.97,1463,20220518
67.06,67.1,66.67,66.85,4480,20220518
67.03,67.045,66.92,67.045,424,20220518
66.97,66.98,66.74,66.98,2740,20220518
66.74,66.74,66.4,66.59,2062,20220518
66.51,66.88,66.51,66.7,2698,20220518
66.49,66.6,66.31,66.36,5933,20220518
66.55,66.55,66.41,66.49,2566,20220518
66.67,66.82,66.62,66.82,336,20220518
66.94,67.1011,66.92,67.1011,2106,20220518
67.12,67.32,67.05,67.32,1132,20220518
67.47,67.64,67.39,67.62,2023,20220518
67.76,67.76,67.58,67.62,2104,20220518
67.7,67.73,67.54,67.73,1581,20220518
67.62,67.68,67.6,67.6,1331,20220518
67.69,67.91,67.69,67.9,900,20220518
67.79,68.0,67.79,67.96,1729,20220518
68.01,68.1695,68.01,68.14,3293,20220518
68.0,68.22,67.97,68.09,2921,20220518
68.07,68.08,68.03,68.03,600,20220518
67.95,68.0,67.745,67.745,3299,20220518
67.675,67.85,67.655,67.77,5713,20220518
67.72,67.91,67.72,67.8401,4236,20220518
67.86,67.97,67.84,67.91,8329,20220518
68.0,68.115,67.94,68.115,5337,20220518
68.24,68.515,68.24,68.515,2097,20220518
68.38,68.38,68.3,68.3,402,20220518
68.375,68.375,68.28,68.28,300,20220518
68.26,68.26,68.26,68.26,100,20220518
68.15,68.18,68.02,68.02,3555,20220518
68.0,68.0,67.92,67.92,1400,20220518
68.07,68.08,68.0,68.0,1185,20220518
68.0,68.1,67.9,68.05,27954,20220518
67.98,68.05,67.87,68.0,8880,20220518
67.99,68.23,67.98,68.08,1980,20220518
68.1799,68.1799,67.99,67.99,1200,20220518
67.99,68.0,67.925,68.0,2370,20220518
68.12,68.15,68.11,68.15,550,20220518
68.03,68.14,68.03,68.11,850,20220518
68.11,68.29,68.1,68.29,2703,20220518
68.26,68.29,68.235,68.235,500,20220518
68.3071,68.36,68.235,68.3,2450,20220518
68.29,68.32,68.19,68.19,500,20220518
68.2,68.2,68.07,68.07,1100,20220518
68.12,68.46,68.12,68.46,1736,20220518
68.4483,68.5399,68.42,68.5399,940,20220518
68.55,68.6,68.53,68.58,600,20220518
68.57,68.57,68.57,68.57,200,20220518
68.49,68.71,68.49,68.59,2402,20220518
68.68,68.68,68.68,68.68,301,20220518
68.76,68.82,68.74,68.74,980,20220518
68.74,68.92,68.73,68.825,3599,20220518
68.97,69.0,68.82,68.87,6342,20220518
68.805,68.805,68.44,68.44,2002,20220518
68.36,68.41,68.3,68.308,1670,20220518
68.37,68.37,68.315,68.315,300,20220518
68.315,68.39,68.315,68.345,1607,20220518
68.31,68.52,68.31,68.515,1375,20220518
68.52,68.545,68.41,68.47,1733,20220518
68.39,68.44,68.35,68.39,3344,20220518
68.44,68.58,68.43,68.545,3633,20220518
68.59,68.75,68.525,68.525,3203,20220518
68.4,68.4,68.345,68.345,700,20220518
68.4,68.49,68.395,68.435,1094,20220518
68.49,68.59,68.34,68.34,1689,20220518
68.3159,68.58,68.3159,68.58,2870,20220518
68.49,68.505,68.43,68.505,1559,20220518
68.505,68.535,68.495,68.535,1100,20220518
68.5,68.635,68.48,68.635,1710,20220518
68.635,68.64,68.57,68.62,2369,20220518
68.67,68.92,68.67,68.805,2529,20220518
68.75,68.75,68.59,68.6,700,20220518
68.66,68.85,68.645,68.845,2469,20220518
68.73,68.84,68.71,68.84,830,20220518
68.86,68.99,68.82,68.87,2673,20220518
68.95,69.0,68.895,68.9855,2450,20220518
68.95,68.95,68.845,68.85,1851,20220518
68.82,68.85,68.82,68.85,500,20220518
68.84,68.84,68.68,68.73,1520,20220518
68.6811,68.695,68.6811,68.69,501,20220518
68.68,68.76,68.61,68.76,1100,20220518
68.79,68.795,68.79,68.795,1056,20220518
68.795,68.85,68.74,68.74,14675,20220518
68.74,68.745,68.705,68.745,900,20220518
68.735,68.735,68.52,68.52,1800,20220518
68.51,68.51,68.32,68.32,820,20220518
68.42,68.42,68.33,68.35,1061,20220518
68.21,68.32,68.21,68.29,1569,20220518
68.25,68.25,68.15,68.15,500,20220518
68.12,68.2,68.095,68.2,806,20220518
68.21,68.25,68.04,68.04,1005,20220518
67.895,67.895,67.75,67.75,2900,20220518
67.81,67.89,67.81,67.89,253,20220518
67.8,67.8,67.73,67.73,500,20220518
67.65,67.74,67.65,67.74,1000,20220518
67.69,67.69,67.685,67.685,2900,20220518
67.685,67.74,67.685,67.74,1100,20220518
67.75,67.75,67.68,67.69,902,20220518
67.69,67.69,67.69,67.69,100,20220518
67.68,67.7,67.64,67.64,1889,20220518
67.67,67.72,67.63,67.63,400,20220518
67.55,67.56,67.53,67.53,600,20220518
67.44,67.56,67.38,67.38,4210,20220518
67.43,67.45,67.375,67.385,900,20220518
67.49,67.51,67.41,67.41,620,20220518
67.45,67.48,67.38,67.48,300,20220518
67.35,67.525,67.35,67.47,600,20220518
67.485,67.485,67.42,67.42,577,20220518
67.505,67.505,67.5,67.5,300,20220518
67.51,67.55,67.33,67.4,1920,20220518
67.41,67.41,67.29,67.29,226,20220518
67.17,67.32,67.145,67.32,400,20220518
67.21,67.22,67.13,67.17,801,20220518
67.185,67.185,67.06,67.07,800,20220518
67.15,67.22,67.14,67.22,1700,20220518
67.24,67.24,67.1,67.1,700,20220518
67.15,67.235,67.15,67.235,400,20220518
67.24,67.24,67.18,67.18,200,20220518
67.29,67.4,67.29,67.31,523,20220518
67.25,67.275,67.24,67.275,300,20220518
67.46,67.58,67.4,67.58,1033,20220518
67.52,67.52,67.48,67.48,500,20220518
67.52,67.555,67.43,67.43,400,20220518
67.59,67.62,67.535,67.62,2540,20220518
67.63,67.68,67.6,67.67,2047,20220518
67.71,67.73,67.61,67.61,1000,20220518
67.69,67.77,67.625,67.77,1300,20220518
67.775,67.775,67.6,67.64,1550,20220518
67.8,67.8,67.695,67.695,1600,20220518
67.65,67.7,67.5801,67.5801,3941,20220518
67.63,67.66,67.63,67.63,300,20220518
67.61,67.715,67.61,67.69,3860,20220518
67.61,67.73,67.6,67.7,3809,20220518
67.67,67.67,67.65,67.65,200,20220518
67.65,67.65,67.6,67.615,1113,20220518
67.58,67.68,67.58,67.645,4689,20220518
67.59,67.65,67.215,67.215,22276,20220518
67.175,67.175,67.09,67.09,1000,20220518
67.18,67.26,67.18,67.24,1802,20220518
67.29,67.365,67.29,67.365,1510,20220518
67.32,67.32,67.19,67.19,800,20220518
67.2,67.2,67.06,67.06,614,20220518
67.06,67.06,66.99,67.015,850,20220518
67.0,67.0,66.88,66.885,1068,20220518
66.935,66.935,66.755,66.8,1300,20220518
66.735,66.81,66.655,66.805,8328,20220518
66.77,66.82,66.7,66.71,835,20220518
66.625,66.625,66.625,66.625,105,20220518
66.63,66.63,66.52,66.55,900,20220518
66.57,66.6,66.415,66.415,3315,20220518
66.43,66.43,66.3,66.3,1500,20220518
66.26,66.3,66.205,66.275,2672,20220518
66.255,66.255,66.05,66.2,5090,20220518
66.33,66.34,66.245,66.285,1051,20220518
66.25,66.33,66.22,66.33,1430,20220518
66.36,66.39,66.28,66.28,1778,20220518
66.37,66.57,66.34,66.57,1381,20220518
66.46,66.47,66.38,66.3819,2533,20220518
66.39,66.51,66.39,66.51,864,20220518
66.6,66.665,66.6,66.665,300,20220518
66.59,66.59,66.54,66.56,2073,20220518
66.53,66.53,66.53,66.53,100,20220518
66.59,66.59,66.455,66.5338,5601,20220518
66.45,66.45,66.305,66.42,2595,20220518
66.29,66.32,66.21,66.27,2765,20220518
66.29,66.29,66.13,66.13,500,20220518
66.185,66.24,66.12,66.12,1300,20220518
66.095,66.145,66.095,66.145,606,20220518
66.155,66.2,66.155,66.2,300,20220518
66.16,66.16,66.05,66.05,2591,20220518
66.04,66.12,66.0,66.09,2501,20220518
66.09,66.1399,66.06,66.12,700,20220518
66.09,66.17,66.05,66.06,2339,20220518
66.02,66.11,66.01,66.105,1528,20220518
66.04,66.1661,66.04,66.1661,1650,20220518
66.16,66.17,66.135,66.17,770,20220518
66.17,66.265,66.17,66.265,3480,20220518
66.285,66.285,66.2,66.24,1600,20220518
66.25,66.2858,66.25,66.2858,400,20220518
66.32,66.345,66.22,66.22,997,20220518
66.17,66.17,66.1,66.145,2715,20220518
66.18,66.275,66.18,66.275,303,20220518
66.255,66.255,66.255,66.255,100,20220518
66.22,66.22,66.21,66.21,200,20220518
66.14,66.23,66.105,66.23,500,20220518
66.16,66.29,66.16,66.21,1943,20220518
66.17,66.23,66.16,66.2,824,20220518
66.18,66.18,66.13,66.18,500,20220518
66.24,66.3406,66.24,66.3406,1000,20220518
66.36,66.36,66.36,66.36,211,20220518
66.43,66.43,66.39,66.39,708,20220518
66.38,66.525,66.38,66.525,1434,20220518
66.48,66.48,66.48,66.48,100,20220518
66.62,66.62,66.59,66.59,300,20220518
66.54,66.54,66.51,66.51,200,20220518
66.51,66.57,66.51,66.54,1331,20220518
66.6,66.6,66.6,66.6,100,20220518
66.6,66.6,66.54,66.54,500,20220518
66.45,66.45,66.45,66.45,100,20220518
66.52,66.52,66.49,66.49,531,20220518
66.51,66.51,66.51,66.51,100,20220518
66.49,66.49,66.45,66.45,401,20220518
66.4,66.4,66.39,66.39,300,20220518
66.43,66.54,66.4,66.54,1740,20220518
66.49,66.49,66.48,66.48,202,20220518
66.4,66.45,66.4,66.44,630,20220518
66.38,66.38,66.26,66.26,500,20220518
66.21,66.21,66.18,66.21,1776,20220518
66.15,66.15,66.08,66.08,300,20220518
66.11,66.11,66.03,66.05,1695,20220518
66.05,66.1,66.05,66.055,600,20220518
66.02,66.02,66.0,66.01,1090,20220518
65.94,65.95,65.92,65.92,400,20220518
65.97,66.0,65.97,65.995,418,20220518
66.01,66.07,65.915,65.915,2100,20220518
65.86,65.87,65.86,65.87,200,20220518
65.87,65.91,65.86,65.86,1356,20220518
65.84,65.84,65.78,65.78,817,20220518
65.82,65.88,65.82,65.86,1731,20220518
65.82,65.82,65.82,65.82,100,20220518
65.91,65.91,65.9,65.905,652,20220518
65.92,65.94,65.89,65.91,701,20220518
65.96,66.03,65.96,65.975,520,20220518
65.95,65.95,65.95,65.95,100,20220518
65.95,65.97,65.95,65.97,200,20220518
65.88,65.88,65.88,65.88,100,20220518
65.915,65.915,65.915,65.915,100,20220518
66.01,66.01,65.96,66.0075,1000,20220518
66.03,66.04,66.03,66.04,206,20220518
66.01,66.01,65.92,65.925,1001,20220518
66.01,66.075,66.01,66.04,600,20220518
66.01,66.02,65.96,65.98,1100,20220518
66.0,66.01,66.0,66.01,414,20220518
65.985,66.06,65.98,65.98,1320,20220518
65.93,65.98,65.91,65.91,1418,20220518
65.9117,65.935,65.87,65.935,1205,20220518
65.87,65.9,65.87,65.9,200,20220518
65.93,65.93,65.93,65.93,100,20220518
65.97,65.97,65.97,65.97,200,20220518
66.02,66.02,65.89,65.89,1600,20220518
65.91,65.91,65.89,65.89,300,20220518
65.85,65.85,65.8,65.83,302,20220518
65.745,65.77,65.715,65.74,901,20220518
65.83,65.83,65.77,65.8,500,20220518
65.82,65.82,65.82,65.82,100,20220518
65.74,65.74,65.68,65.68,2100,20220518
65.65,65.69,65.55,65.69,1300,20220518
65.64,65.69,65.61,65.62,2401,20220518
65.595,65.595,65.595,65.595,100,20220518
65.6,65.6,65.57,65.585,1141,20220518
65.565,65.62,65.52,65.52,300,20220518
65.4581,65.51,65.4581,65.51,1070,20220518
65.54,65.6,65.48,65.495,5390,20220518
65.5,65.5,65.43,65.43,1600,20220518
65.35,65.36,65.3,65.3,2358,20220518
65.37,65.44,65.315,65.4,3187,20220518
65.5,65.5,65.45,65.45,980,20220518
65.44,65.485,65.44,65.485,910,20220518
65.555,65.555,65.555,65.555,100,20220518
65.6,65.6,65.55,65.6,600,20220518
65.55,65.62,65.54,65.56,1624,20220518
65.56,65.57,65.56,65.57,210,20220518
65.5,65.59,65.5,65.57,800,20220518
65.615,65.615,65.615,65.615,100,20220518
65.58,65.58,65.58,65.58,100,20220518
65.52,65.55,65.45,65.55,1405,20220518
65.58,65.58,65.55,65.56,815,20220518
65.57,65.58,65.545,65.58,700,20220518
65.63,65.64,65.61,65.61,800,20220518
65.585,65.585,65.53,65.545,587,20220518
65.515,65.62,65.515,65.57,1909,20220518
65.54,65.54,65.54,65.54,209,20220518
65.57,65.57,65.44,65.44,705,20220518
65.51,65.64,65.51,65.56,12316,20220518
65.53,65.58,65.435,65.555,4473,20220518
65.61,65.61,65.59,65.59,200,20220518
65.64,65.64,65.625,65.625,300,20220518
65.66,65.7,65.66,65.67,600,20220518
65.61,65.61,65.485,65.51,1538,20220518
65.58,65.71,65.54,65.63,3583,20220518
65.57,65.64,65.57,65.62,800,20220518
65.58,65.64,65.58,65.6,700,20220518
65.61,65.66,65.61,65.66,835,20220518
65.61,65.71,65.61,65.71,300,20220518
65.71,65.745,65.68,65.718,2220,20220518
65.715,65.81,65.715,65.81,750,20220518
65.76,65.85,65.76,65.85,768,20220518
65.83,65.89,65.79,65.79,1868,20220518
65.78,65.78,65.65,65.65,900,20220518
65.6,65.65,65.59,65.59,1600,20220518
65.65,65.65,65.61,65.61,300,20220518
65.49,65.51,65.49,65.51,612,20220518
65.455,65.455,65.32,65.32,1100,20220518
65.325,65.36,65.295,65.36,2025,20220518
65.38,65.53,65.38,65.53,1003,20220518
65.45,65.45,65.45,65.45,106,20220518
65.51,65.62,65.51,65.62,1919,20220518
65.57,65.57,65.53,65.53,500,20220518
65.46,65.46,65.41,65.41,357,20220518
65.445,65.46,65.42,65.46,1176,20220518
65.45,65.51,65.42,65.48,1100,20220518
65.52,65.52,65.47,65.47,200,20220518
65.47,65.53,65.37,65.415,1783,20220518
65.38,65.47,65.32,65.47,912,20220518
65.5562,65.635,65.55,65.55,1200,20220518
65.55,65.6806,65.55,65.6806,643,20220518
65.5,65.5,65.45,65.45,300,20220518
65.43,65.52,65.43,65.4525,4106,20220518
65.45,65.5,65.43,65.5,4758,20220518
65.48,65.48,65.43,65.43,4500,20220518
65.43,65.5,65.43,65.47,1680,20220518
65.43,65.46,65.42,65.435,902,20220518
65.42,65.49,65.4,65.45,5947,20220518
65.445,65.46,65.39,65.41,3300,20220518
65.37,65.445,65.35,65.43,3401,20220518
65.4,65.5638,65.4,65.5638,1900,20220519
65.53,65.58,65.47,65.58,1000,20220519
65.55,65.58,65.5,65.55,2700,20220519
65.57,65.58,65.52,65.55,1200,20220519
65.51,65.57,65.51,65.57,1255,20220519
65.52,65.61,65.52,65.59,700,20220519
65.57,65.64,65.54,65.59,1903,20220519
65.65,65.7,65.65,65.7,800,20220519
65.62,65.64,65.59,65.63,1762,20220519
65.63,65.63,65.57,65.63,2892,20220519
65.62,65.7,65.61,65.7,2692,20220519
65.665,65.665,65.64,65.64,200,20220519
65.68,65.7,65.64,65.67,1529,20220519
65.66,65.66,65.595,65.63,610,20220519
65.66,65.66,65.6,65.6,1349,20220519
65.6,65.69,65.6,65.64,2400,20220519
65.64,65.77,65.64,65.74,3193,20220519
65.71,65.71,65.64,65.65,906,20220519
65.615,65.66,65.59,65.6,700,20220519
65.62,65.72,65.59,65.72,1593,20220519
65.74,65.79,65.74,65.75,900,20220519
65.74,65.75,65.7,65.7,1210,20220519
65.68,65.68,65.56,65.625,2496,20220519
65.61,65.64,65.6,65.62,1000,20220519
65.595,65.715,65.56,65.715,1800,20220519
65.7,65.74,65.655,65.655,1245,20220519
65.63,65.64,65.6,65.61,1001,20220519
65.65,65.72,65.635,65.715,1534,20220519
65.69,65.7,65.62,65.7,2300,20220519
65.74,65.74,65.68,65.695,4606,20220519
65.72,65.75,65.65,65.65,2550,20220519
65.65,65.73,65.64,65.66,4704,20220519
65.685,65.72,65.66,65.69,2273,20220519
65.67,65.68,65.66,65.66,1300,20220519
65.68,65.735,65.66,65.71,2679,20220519
65.68,65.76,65.68,65.76,3600,20220519
65.75,65.93,65.75,65.92,4300,20220519
65.95,66.075,65.915,66.07,4300,20220519
66.09,66.14,66.03,66.09,4206,20220519
66.12,66.23,66.12,66.17,3633,20220519
66.18,66.22,66.13,66.155,4300,20220519
66.08,66.18,66.06,66.14,4458,20220519
66.11,66.12,65.96,65.96,4602,20220519
65.945,65.95,65.81,65.811,4471,20220519
65.81,65.9,65.77,65.78,6328,20220519
65.79,65.91,65.77,65.8,10084,20220519
