open,high,low,close,volume,datetime
279.0,279.79,277.3601,277.3601,41206,20220518
277.84,279.78,277.54,279.78,6531,20220518
278.7239,279.98,278.7,278.94,9756,20220518
278.835,278.93,277.59,277.765,9998,20220518
277.73,278.05,277.26,278.05,4998,20220518
278.145,278.755,278.0,278.0,6324,20220518
278.19,279.125,277.94,278.97,1836,20220518
279.0,279.46,278.78,278.97,15702,20220518
278.9367,279.04,277.64,278.04,7179,20220518
277.63,277.95,277.54,277.7859,8367,20220518
277.65,278.26,277.65,277.9525,6450,20220518
277.9001,278.14,277.5,278.14,5042,20220518
278.0,278.47,277.84,278.3,3100,20220518
278.33,278.41,277.93,277.99,1613,20220518
278.08,278.54,278.0,278.54,1572,20220518
278.38,279.19,278.14,279.19,3052,20220518
278.95,278.95,278.54,278.83,4517,20220518
278.65,279.01,278.65,278.98,3214,20220518
278.85,279.08,278.61,278.62,3320,20220518
278.8897,278.8897,278.19,278.2,3780,20220518
278.0,278.17,277.75,277.75,1954,20220518
277.51,278.33,277.51,277.885,2382,20220518
277.725,278.352,277.725,278.0,1527,20220518
277.98,278.33,277.98,278.11,1510,20220518
278.2413,278.425,277.955,278.19,3905,20220518
278.11,278.2,277.98,278.085,2427,20220518
278.19,278.22,277.35,277.58,3277,20220518
277.44,277.65,277.43,277.65,1840,20220518
277.28,277.71,276.72,277.3225,5236,20220518
277.393,277.393,276.9501,276.9501,1700,20220518
277.33,278.2,277.33,278.04,2000,20220518
277.995,278.4,277.76,277.76,1850,20220518
277.84,277.95,277.71,277.95,1414,20220518
277.87,278.1,277.87,278.1,446,20220518
278.5,278.7,278.24,278.24,3436,20220518
278.245,278.2679,277.96,278.14,4191,20220518
278.16,278.17,278.025,278.075,1200,20220518
277.82,277.82,277.23,277.61,4846,20220518
277.76,277.76,277.405,277.405,700,20220518
277.62,277.62,277.16,277.17,1977,20220518
276.64,277.3,276.64,277.07,5100,20220518
277.06,277.06,276.83,276.83,900,20220518
277.155,277.2028,276.84,276.95,2213,20220518
276.98,277.77,276.98,277.704,1700,20220518
277.71,278.0,277.71,277.93,1830,20220518
277.76,278.02,277.61,277.85,2159,20220518
277.78,278.04,277.46,278.04,2612,20220518
277.93,278.31,277.93,278.31,700,20220518
278.31,278.39,277.85,277.98,4016,20220518
277.94,278.49,277.92,278.03,3302,20220518
278.0999,278.6,278.0999,278.35,1065,20220518
278.3014,278.4999,278.24,278.485,1626,20220518
278.43,278.5469,278.3,278.39,5691,20220518
278.3868,278.3868,277.88,277.96,2150,20220518
277.91,277.99,277.79,277.91,2300,20220518
277.945,278.05,277.66,277.66,2067,20220518
277.73,278.02,277.72,277.99,2438,20220518
277.81,277.82,277.565,277.63,1525,20220518
277.46,277.46,277.14,277.24,1600,20220518
277.37,277.51,277.27,277.51,2851,20220518
277.67,277.9175,277.525,277.87,3069,20220518
277.75,277.75,277.31,277.7,1542,20220518
277.5455,277.5455,277.21,277.42,3209,20220518
277.47,278.165,277.47,277.835,1652,20220518
277.8,277.8699,277.0,277.37,7944,20220518
277.25,277.44,276.84,277.05,2061,20220518
277.0425,277.15,276.5,276.5,3928,20220518
276.52,276.52,276.18,276.34,2095,20220518
276.47,276.94,276.47,276.88,1943,20220518
276.835,277.0385,276.648,277.0,1300,20220518
277.24,277.29,277.18,277.29,301,20220518
277.48,277.74,277.28,277.51,3000,20220518
277.49,277.78,277.49,277.78,2460,20220518
277.76,277.78,277.11,277.31,3369,20220518
277.12,277.32,276.94,276.94,2185,20220518
276.83,277.41,276.63,277.41,1611,20220518
277.5748,277.7,277.5,277.5,1969,20220518
277.47,277.63,277.23,277.41,2014,20220518
277.54,277.76,277.26,277.362,3667,20220518
277.3899,277.3899,276.91,276.91,750,20220518
276.91,276.98,276.6717,276.9,2683,20220518
276.92,277.04,276.26,276.27,11310,20220518
276.265,276.31,276.08,276.08,2640,20220518
276.46,276.47,276.41,276.41,400,20220518
276.27,276.51,276.25,276.51,1110,20220518
276.435,276.435,276.16,276.16,1278,20220518
276.0,276.17,275.89,276.05,1931,20220518
276.12,276.6777,276.0,276.47,6937,20220518
276.52,276.82,276.52,276.7875,800,20220518
276.69,277.12,276.5826,276.79,2907,20220518
276.76,277.0,276.68,276.86,2926,20220518
276.68,276.81,276.59,276.7946,2101,20220518
276.86,276.865,276.42,276.56,2314,20220518
276.4747,276.77,276.13,276.38,5155,20220518
276.43,276.49,275.74,275.8,3300,20220518
275.76,275.76,275.16,275.51,5343,20220518
275.27,275.3,274.8431,274.8431,4479,20220518
274.84,275.0,274.5815,275.0,11688,20220518
275.16,275.32,275.14,275.2,1060,20220518
275.2677,275.375,275.02,275.025,1965,20220518
274.91,275.15,274.71,274.95,1550,20220518
274.8,275.18,274.79,275.16,4717,20220518
274.8353,275.09,274.8353,275.09,903,20220518
274.95,274.96,274.95,274.95,500,20220518
274.96,274.99,274.92,274.92,657,20220518
274.9807,274.9807,274.8825,274.945,500,20220518
274.945,275.0,273.59,273.86,8175,20220518
273.52,273.87,273.34,273.62,5136,20220518
273.6379,273.97,273.29,273.72,16080,20220518
273.795,273.84,273.37,273.37,2968,20220518
273.36,273.4,272.7873,272.7873,5009,20220518
272.8143,272.835,272.11,272.22,5185,20220518
272.15,272.56,272.14,272.19,3882,20220518
272.195,272.33,271.69,272.2,12895,20220518
272.08,272.28,271.9,271.9863,3352,20220518
271.88,272.21,271.58,272.0,2114,20220518
271.9475,272.04,271.69,271.93,2780,20220518
271.83,271.83,271.5,271.72,4254,20220518
271.76,271.93,271.76,271.9,2057,20220518
271.88,272.075,271.79,272.075,1782,20220518
271.95,272.03,271.91,271.99,1027,20220518
271.95,272.98,271.95,272.73,3886,20220518
272.865,272.8917,272.44,272.44,2900,20220518
272.66,273.095,272.51,272.73,1100,20220518
272.73,272.73,272.5,272.61,1300,20220518
272.79,273.2099,272.79,273.2099,1200,20220518
273.03,273.23,273.0,273.07,1215,20220518
272.91,273.38,272.72,273.38,2777,20220518
273.445,273.5888,273.12,273.5888,3500,20220518
273.61,273.61,273.38,273.4,705,20220518
273.45,273.45,273.12,273.125,3423,20220518
273.125,273.335,273.125,273.335,700,20220518
273.52,273.64,273.25,273.55,3190,20220518
273.47,273.47,273.02,273.02,3256,20220518
272.9,273.37,272.79,273.2,1900,20220518
273.07,273.07,272.65,272.65,1000,20220518
272.59,272.69,272.585,272.585,600,20220518
272.46,272.46,272.25,272.25,588,20220518
272.24,272.35,271.87,271.92,5405,20220518
271.91,272.35,271.87,272.18,3800,20220518
272.19,272.54,272.19,272.54,3407,20220518
272.54,272.67,272.415,272.42,2506,20220518
272.5791,272.8745,272.5791,272.77,1950,20220518
272.69,272.69,272.21,272.34,1302,20220518
272.555,272.555,272.27,272.27,1806,20220518
272.33,272.79,272.33,272.79,1866,20220518
272.97,273.29,272.97,273.015,4208,20220518
273.0,273.67,272.99,273.455,15974,20220518
273.625,273.79,273.46,273.79,4218,20220518
273.818,274.08,273.64,273.68,5059,20220518
273.57,273.57,273.22,273.32,700,20220518
273.0928,273.39,273.0,273.195,2691,20220518
273.1125,273.44,273.1125,273.33,1125,20220518
273.29,273.525,273.29,273.3573,3600,20220518
273.411,273.52,273.08,273.08,2886,20220518
272.8,272.87,272.42,272.58,4447,20220518
272.55,272.66,272.51,272.5484,1915,20220518
272.56,272.64,272.34,272.63,2484,20220518
272.75,272.75,272.22,272.34,800,20220518
272.54,272.65,272.17,272.41,2148,20220518
272.435,272.7,272.1686,272.7,2920,20220518
272.62,272.88,272.57,272.71,1629,20220518
272.78,272.78,272.5093,272.71,510,20220518
272.9248,272.9248,272.7,272.7857,1000,20220518
272.82,272.95,272.74,272.93,1482,20220518
272.82,273.1,272.79,272.98,1331,20220518
273.79,274.1,273.64,273.64,5049,20220518
273.55,273.75,273.29,273.46,2759,20220518
273.41,273.41,272.7,273.1,5062,20220518
272.92,272.92,272.67,272.745,2745,20220518
272.74,272.75,272.1213,272.1213,3210,20220518
272.0,272.08,271.27,271.34,8667,20220518
271.49,271.9,271.32,271.61,4987,20220518
271.64,271.64,271.0,271.15,7902,20220518
271.03,271.08,270.5,270.5,4575,20220518
270.39,270.98,270.305,270.86,3432,20220518
270.81,270.84,270.26,270.8,2501,20220518
270.81,270.89,270.3,270.51,13005,20220518
270.58,270.8022,270.372,270.65,4941,20220518
270.5,270.52,269.83,270.19,7216,20220518
270.26,270.26,269.75,269.75,3314,20220518
269.91,270.1851,269.66,270.15,1401,20220518
270.24,270.65,270.135,270.55,1624,20220518
270.36,270.65,270.25,270.52,2243,20220518
270.4314,271.0,270.4314,270.94,4376,20220518
270.95,271.54,270.77,271.13,2910,20220518
271.0063,271.6,271.0063,271.6,1416,20220518
271.32,271.345,271.04,271.045,1255,20220518
270.66,270.68,270.66,270.68,300,20220518
270.82,271.26,270.82,271.24,750,20220518
271.09,271.18,271.09,271.18,250,20220518
271.0,271.37,270.97,271.13,624,20220518
271.38,271.38,271.3,271.3,539,20220518
271.17,271.6268,271.17,271.17,1109,20220518
271.21,271.21,271.0,271.0,200,20220518
270.94,271.36,270.94,271.36,907,20220518
271.82,271.82,271.75,271.75,350,20220518
271.7142,271.8042,271.43,271.8042,2114,20220518
271.59,271.82,271.59,271.82,400,20220518
271.735,272.0,271.735,272.0,1630,20220518
272.1425,272.5497,272.1425,272.42,3389,20220518
272.54,272.54,272.18,272.22,2000,20220518
272.17,272.59,272.17,272.5187,1087,20220518
272.32,272.36,271.98,272.045,809,20220518
272.16,272.2,272.04,272.05,800,20220518
272.02,272.02,271.8,271.89,1502,20220518
271.86,271.88,271.71,271.71,300,20220518
271.93,272.02,271.91,271.91,400,20220518
272.425,272.51,272.425,272.51,206,20220518
272.155,272.155,271.96,271.98,1822,20220518
271.95,271.95,271.78,271.78,717,20220518
271.6142,271.75,271.44,271.46,2931,20220518
271.3,271.3,271.2,271.2,200,20220518
271.31,271.31,270.72,270.72,3059,20220518
270.76,270.87,270.69,270.87,600,20220518
270.7828,270.86,270.58,270.86,1948,20220518
270.77,270.87,270.55,270.62,4751,20220518
270.5,270.5,270.23,270.23,2174,20220518
270.235,270.235,270.17,270.17,557,20220518
