open,high,low,close,volume,datetime
92.88,92.88,92.88,92.88,4810,20220518
92.93,92.93,92.85,92.85,400,20220518
92.88,93.0,92.88,93.0,868,20220518
92.97,92.97,92.96,92.96,1214,20220518
93.01,93.02,93.01,93.02,592,20220518
93.115,93.115,93.115,93.115,261,20220518
93.26,93.26,93.26,93.26,200,20220518
92.91,92.91,92.8871,92.8871,1187,20220518
92.74,92.74,92.65,92.65,400,20220518
92.39,92.39,92.39,92.39,149,20220518
92.395,92.44,92.24,92.44,1320,20220518
92.7,92.7,92.665,92.665,207,20220518
92.65,92.73,92.65,92.73,402,20220518
92.6,92.67,92.53,92.6,1594,20220518
92.7,92.7,92.7,92.7,100,20220518
92.72,92.82,92.72,92.82,989,20220518
92.86,92.86,92.86,92.86,199,20220518
92.77,93.0,92.75,92.88,1261,20220518
92.94,93.0,92.7,92.765,1913,20220518
92.67,92.78,92.6375,92.78,1142,20220518
92.68,92.68,92.55,92.55,787,20220518
92.47,92.47,92.33,92.38,401,20220518
92.36,92.435,92.335,92.335,700,20220518
92.23,92.25,92.05,92.25,1011,20220518
92.19,92.44,91.93,92.25,4902,20220518
92.28,92.38,92.28,92.38,200,20220518
92.535,92.65,92.26,92.26,1144,20220518
92.19,92.21,92.07,92.07,1732,20220518
92.06,92.19,92.055,92.08,700,20220518
92.14,92.14,92.07,92.12,510,20220518
92.09,92.12,92.08,92.08,800,20220518
92.12,92.21,92.04,92.21,605,20220518
92.15,92.27,92.14,92.27,900,20220518
92.26,92.39,92.26,92.375,1200,20220518
92.32,92.35,92.32,92.35,700,20220518
92.32,92.42,92.27,92.29,2773,20220518
92.32,92.4,92.32,92.395,941,20220518
92.36,92.36,92.24,92.33,1168,20220518
92.32,92.33,92.32,92.33,200,20220518
92.34,92.37,92.34,92.37,943,20220518
92.37,92.37,92.285,92.3,502,20220518
92.33,92.51,92.3,92.51,900,20220518
92.52,92.53,92.36,92.36,2272,20220518
92.43,92.43,92.43,92.43,100,20220518
92.36,92.36,92.27,92.27,909,20220518
92.24,92.27,92.19,92.2325,1431,20220518
92.18,92.19,92.18,92.19,200,20220518
92.13,92.2,92.13,92.2,405,20220518
92.21,92.34,92.21,92.34,703,20220518
92.36,92.51,92.36,92.48,1000,20220518
92.5,92.5,92.21,92.21,1347,20220518
92.18,92.19,92.08,92.14,2116,20220518
92.19,92.19,92.12,92.12,1155,20220518
92.01,92.01,91.92,91.92,385,20220518
91.915,91.945,91.87,91.945,300,20220518
91.89,91.89,91.84,91.84,459,20220518
91.815,91.815,91.81,91.81,289,20220518
91.79,91.95,91.79,91.95,1804,20220518
91.95,91.95,91.95,91.95,100,20220518
92.12,92.12,92.07,92.075,648,20220518
92.23,92.23,92.23,92.23,100,20220518
92.27,92.28,92.21,92.21,800,20220518
92.22,92.25,92.21,92.25,900,20220518
92.34,92.35,92.34,92.35,300,20220518
92.3,92.35,92.26,92.29,943,20220518
92.37,92.46,92.37,92.46,700,20220518
92.445,92.48,92.35,92.39,509,20220518
92.4,92.51,92.4,92.4,800,20220518
92.49,92.53,92.465,92.465,800,20220518
92.44,92.44,92.44,92.44,100,20220518
92.48,92.55,92.46,92.55,800,20220518
92.55,92.55,92.46,92.48,3069,20220518
92.44,92.51,92.44,92.51,1010,20220518
92.45,92.49,92.35,92.405,1501,20220518
92.41,92.42,92.41,92.41,900,20220518
92.42,92.505,92.42,92.47,880,20220518
92.56,92.76,92.53,92.76,1108,20220518
92.76,92.84,92.76,92.82,700,20220518
92.75,92.92,92.75,92.92,800,20220518
92.91,92.95,92.63,92.63,1301,20220518
92.655,92.655,92.52,92.52,306,20220518
92.545,92.55,92.455,92.47,400,20220518
92.36,92.43,92.36,92.43,1300,20220518
92.39,92.39,92.31,92.33,400,20220518
92.32,92.35,92.32,92.34,900,20220518
92.37,92.38,92.26,92.285,1686,20220518
92.2,92.22,92.136,92.22,998,20220518
92.11,92.11,91.93,91.965,500,20220518
91.93,91.93,91.85,91.87,820,20220518
91.81,91.81,91.74,91.74,597,20220518
91.76,91.83,91.725,91.83,2666,20220518
91.77,91.77,91.77,91.77,100,20220518
91.84,91.84,91.71,91.78,2165,20220518
91.71,91.8,91.41,91.57,4102,20220518
91.61,91.62,91.53,91.5522,1775,20220518
91.542,91.59,91.542,91.59,269,20220518
91.55,91.55,91.53,91.53,400,20220518
91.53,91.55,91.51,91.51,956,20220518
91.455,91.53,91.455,91.53,200,20220518
91.485,91.485,91.4744,91.4744,297,20220518
91.34,91.42,91.34,91.42,200,20220518
91.34,91.34,91.275,91.275,300,20220518
91.33,91.36,91.315,91.36,1601,20220518
91.345,91.37,91.345,91.37,901,20220518
91.37,91.39,91.37,91.39,309,20220518
91.32,91.32,91.32,91.32,100,20220518
91.305,91.305,91.27,91.27,307,20220518
91.29,91.29,91.29,91.29,103,20220518
91.33,91.47,91.33,91.47,1597,20220518
91.5,91.5,91.5,91.5,100,20220518
91.49,91.49,91.49,91.49,316,20220518
91.56,91.64,91.56,91.64,1000,20220518
91.58,91.68,91.58,91.68,2340,20220518
91.615,91.74,91.615,91.74,901,20220518
91.78,91.82,91.77,91.785,1075,20220518
91.78,91.8,91.71,91.755,999,20220518
91.7,91.74,91.61,91.61,300,20220518
91.66,91.75,91.66,91.75,1501,20220518
91.73,91.73,91.59,91.59,900,20220518
91.62,91.66,91.62,91.66,320,20220518
91.595,91.595,91.52,91.55,300,20220518
91.535,91.535,91.535,91.535,100,20220518
91.46,91.52,91.46,91.47,1700,20220518
91.46,91.46,91.45,91.46,400,20220518
91.4,91.46,91.4,91.46,400,20220518
91.46,91.46,91.46,91.46,200,20220518
91.4,91.4,91.4,91.4,410,20220518
91.32,91.32,91.12,91.23,421,20220518
91.16,91.26,91.115,91.26,1998,20220518
91.27,91.35,91.26,91.3,949,20220518
91.42,91.42,91.25,91.3,1245,20220518
91.31,91.33,91.2762,91.33,564,20220518
91.23,91.26,91.23,91.23,364,20220518
91.22,91.31,91.22,91.31,1304,20220518
91.26,91.26,91.26,91.26,200,20220518
91.23,91.33,91.215,91.33,1100,20220518
91.44,91.44,91.33,91.33,2659,20220518
91.33,91.35,91.19,91.26,3022,20220518
91.14,91.14,90.86,90.885,10203,20220518
90.8,90.9,90.8,90.89,800,20220518
90.96,90.99,90.94,90.99,900,20220518
90.99,91.0,90.98,90.99,1011,20220518
90.94,90.99,90.83,90.83,2000,20220518
90.98,90.98,90.98,90.98,100,20220518
90.9509,90.9509,90.9509,90.9509,134,20220518
90.95,91.04,90.95,91.04,1890,20220518
91.09,91.18,91.09,91.13,786,20220518
91.2,91.2,91.2,91.2,100,20220518
91.12,91.125,90.995,90.995,1214,20220518
91.06,91.19,91.04,91.19,3242,20220518
91.12,91.13,91.07,91.11,2500,20220518
91.08,91.13,91.07,91.095,1400,20220518
91.03,91.05,90.905,90.905,1000,20220518
90.895,90.965,90.895,90.895,300,20220518
90.96,91.04,90.855,90.855,2635,20220518
90.9,90.9,90.83,90.84,800,20220518
90.7775,90.79,90.745,90.745,400,20220518
90.74,90.74,90.61,90.72,3082,20220518
90.72,90.72,90.64,90.685,300,20220518
90.68,90.685,90.58,90.58,902,20220518
90.65,90.73,90.63,90.73,2002,20220518
90.76,90.77,90.745,90.745,300,20220518
90.79,90.79,90.755,90.755,300,20220518
90.79,90.9,90.79,90.9,1200,20220518
90.95,91.01,90.89,90.91,1413,20220518
90.98,90.99,90.945,90.99,900,20220518
90.98,91.0,90.93,90.94,3906,20220518
90.85,90.85,90.72,90.775,1131,20220518
