open,high,low,close,volume,datetime
95.75,95.96,95.67,95.67,5746,20220518
95.58,95.58,95.21,95.21,600,20220518
95.23,95.46,95.23,95.46,489,20220518
95.84,96.0,95.68,96.0,2000,20220518
95.97,95.97,95.64,95.8,1932,20220518
95.77,95.83,95.69,95.83,710,20220518
95.9005,95.945,95.84,95.945,453,20220518
95.715,95.715,95.675,95.675,300,20220518
95.32,95.33,95.32,95.33,220,20220518
95.2,95.24,95.2,95.24,400,20220518
95.17,95.31,95.17,95.31,600,20220518
95.09,95.09,94.93,95.07,1615,20220518
95.08,95.21,95.06,95.06,600,20220518
95.2,95.2,95.2,95.2,100,20220518
95.15,95.32,95.15,95.32,796,20220518
95.27,95.29,95.265,95.29,300,20220518
95.46,95.46,95.3317,95.3317,600,20220518
95.48,95.52,95.37,95.37,746,20220518
95.44,95.44,95.27,95.27,201,20220518
95.25,95.39,95.25,95.32,2016,20220518
95.38,95.39,95.38,95.39,200,20220518
95.375,95.43,95.32,95.32,510,20220518
95.24,95.24,95.2,95.2,737,20220518
95.14,95.21,95.12,95.21,500,20220518
95.13,95.15,95.06,95.06,403,20220518
94.83,94.9,94.83,94.9,573,20220518
94.85,94.96,94.75,94.9,1285,20220518
94.84,94.89,94.785,94.89,700,20220518
94.915,95.0686,94.915,95.03,1233,20220518
95.06,95.2,95.06,95.11,1400,20220518
95.1,95.13,95.03,95.1025,900,20220518
95.12,95.22,95.12,95.12,1206,20220518
95.14,95.255,95.09,95.15,890,20220518
95.26,95.32,95.16,95.32,901,20220518
95.22,95.22,95.21,95.21,600,20220518
95.13,95.19,95.07,95.07,2540,20220518
94.98,95.0,94.93,94.97,800,20220518
94.8487,94.88,94.78,94.88,936,20220518
94.84,95.01,94.83,94.92,2663,20220518
94.93,94.94,94.85,94.94,522,20220518
94.87,94.87,94.6562,94.75,1844,20220518
94.84,94.89,94.81,94.89,700,20220518
94.845,94.97,94.845,94.97,580,20220518
94.99,95.035,94.96,95.01,1200,20220518
94.96,95.01,94.9,94.96,903,20220518
94.98,95.02,94.94,94.94,650,20220518
94.99,95.03,94.98,94.98,694,20220518
94.9,94.94,94.81,94.93,1179,20220518
94.9,95.045,94.9,95.045,800,20220518
95.01,95.07,94.96,94.96,1700,20220518
94.98,95.06,94.98,95.06,604,20220518
94.985,94.985,94.905,94.905,500,20220518
94.905,94.905,94.87,94.87,200,20220518
94.84,94.84,94.79,94.79,410,20220518
94.775,94.94,94.775,94.94,1312,20220518
94.87,94.87,94.73,94.76,1486,20220518
94.75,94.75,94.62,94.62,2002,20220518
94.61,94.63,94.42,94.46,1421,20220518
94.42,94.52,94.37,94.52,2493,20220518
94.55,94.55,94.47,94.48,1500,20220518
94.49,94.49,94.42,94.43,804,20220518
94.43,94.52,94.39,94.52,1400,20220518
94.49,94.54,94.49,94.52,700,20220518
94.53,94.53,94.43,94.46,600,20220518
94.42,94.52,94.42,94.52,800,20220518
94.52,94.6,94.51,94.5799,801,20220518
94.53,94.66,94.49,94.55,3623,20220518
94.52,94.605,94.52,94.605,572,20220518
94.61,94.61,94.54,94.54,200,20220518
94.46,94.5,94.46,94.46,720,20220518
