open,high,low,close,volume,datetime
97.57,97.88,96.79,97.34,16996,20220518
96.87,96.93,96.76,96.87,500,20220518
96.21,96.44,96.01,96.1115,2206,20220518
95.825,95.825,95.1292,95.52,4052,20220518
95.9,95.9,94.61,94.93,6897,20220518
94.79,95.35,94.64,95.35,3103,20220518
95.83,95.83,95.07,95.43,4500,20220518
95.67,96.14,95.61,95.61,3983,20220518
95.84,96.44,95.71,96.01,3900,20220518
95.8649,96.13,95.57,96.13,16748,20220518
96.02,96.02,95.2275,95.52,5613,20220518
95.75,95.835,95.445,95.6097,1300,20220518
95.175,95.27,94.75,95.01,8520,20220518
94.92,95.3,94.91,95.3,2700,20220518
95.48,95.48,95.11,95.22,1664,20220518
95.19,95.475,95.17,95.475,2690,20220518
95.56,95.94,95.53,95.745,2400,20220518
95.765,96.095,95.765,96.095,1438,20220518
96.25,96.27,95.94,96.025,6500,20220518
96.09,96.28,96.01,96.2,5013,20220518
96.28,96.35,96.04,96.09,3100,20220518
96.06,96.41,96.06,96.26,894,20220518
96.45,96.56,96.39,96.56,500,20220518
96.59,97.2,96.59,96.97,9044,20220518
96.84,97.05,96.8,97.05,1000,20220518
96.87,96.98,96.78,96.78,900,20220518
96.78,96.78,96.4,96.4,695,20220518
96.27,96.335,96.12,96.12,700,20220518
96.105,96.45,96.1,96.45,3000,20220518
96.275,96.36,96.22,96.36,800,20220518
96.42,96.665,96.415,96.65,1100,20220518
96.79,97.035,96.705,97.02,1300,20220518
97.19,97.3,97.09,97.125,5000,20220518
97.165,97.26,96.82,96.82,11733,20220518
96.815,96.99,96.63,96.73,1960,20220518
96.725,96.8299,96.58,96.81,4469,20220518
96.805,96.99,96.76,96.805,2400,20220518
96.915,96.97,96.83,96.84,800,20220518
96.755,96.91,96.61,96.84,1743,20220518
96.79,96.825,96.7,96.825,1900,20220518
97.04,97.27,97.02,97.09,902,20220518
97.01,97.1,96.92,96.955,700,20220518
96.955,96.955,96.77,96.77,600,20220518
96.77,97.08,96.77,97.08,885,20220518
96.885,96.95,96.825,96.9,1060,20220518
97.09,97.1,96.905,97.087,622,20220518
97.1,97.1,97.01,97.01,500,20220518
97.24,97.32,97.06,97.06,701,20220518
97.21,97.23,97.15,97.165,1600,20220518
97.165,97.24,97.1,97.18,2336,20220518
97.28,97.78,97.28,97.78,900,20220518
97.75,97.775,97.665,97.68,1867,20220518
97.795,97.94,97.72,97.805,2142,20220518
97.67,97.885,97.67,97.73,2022,20220518
97.67,97.85,97.605,97.765,700,20220518
97.69,97.87,97.69,97.74,400,20220518
97.925,97.95,97.69,97.735,4133,20220518
97.63,97.79,97.5813,97.79,714,20220518
97.8,97.8,97.6,97.6,600,20220518
97.48,97.48,97.18,97.24,815,20220518
97.07,97.08,97.005,97.005,500,20220518
96.88,96.88,96.76,96.8025,704,20220518
96.87,96.94,96.82,96.94,1415,20220518
96.85,97.117,96.85,97.02,1101,20220518
97.0,97.0,96.805,96.805,2190,20220518
96.8,96.9174,96.71,96.84,11125,20220518
96.88,96.91,96.81,96.91,500,20220518
96.98,97.14,96.98,97.06,1101,20220518
96.86,96.89,96.81,96.83,1278,20220518
96.88,96.91,96.8,96.8,600,20220518
97.0,97.03,96.765,96.81,2090,20220518
96.88,97.025,96.88,97.025,600,20220518
96.97,97.005,96.92,97.005,300,20220518
97.07,97.15,97.005,97.09,1442,20220518
97.09,97.35,97.08,97.14,1200,20220518
97.145,97.145,97.13,97.13,200,20220518
97.28,97.515,97.28,97.42,1305,20220518
97.28,97.315,96.99,97.145,1201,20220518
97.2,97.38,97.15,97.38,1100,20220518
97.305,97.37,97.295,97.37,1200,20220518
97.48,97.545,97.4,97.5,1200,20220518
97.52,97.62,97.505,97.6128,878,20220518
97.585,97.69,97.58,97.58,1200,20220518
97.58,97.625,97.58,97.625,200,20220518
97.64,97.69,97.57,97.57,500,20220518
97.475,97.475,97.475,97.475,200,20220518
97.42,97.42,97.4,97.4,500,20220518
97.53,97.66,97.53,97.66,700,20220518
97.7,97.74,97.69,97.735,500,20220518
97.67,97.78,97.67,97.78,500,20220518
97.755,97.755,97.58,97.59,900,20220518
97.53,97.53,97.465,97.465,300,20220518
97.375,97.375,97.2,97.2,783,20220518
97.22,97.31,97.1791,97.265,2200,20220518
97.22,97.22,97.09,97.12,500,20220518
97.03,97.115,97.03,97.115,300,20220518
97.175,97.175,96.925,96.925,500,20220518
96.98,96.98,96.794,96.89,3400,20220518
96.855,96.855,96.8,96.8,400,20220518
96.83,96.89,96.78,96.88,3007,20220518
96.84,96.845,96.68,96.68,1200,20220518
96.66,96.705,96.57,96.675,2100,20220518
96.74,96.74,96.6688,96.6688,800,20220518
96.69,96.69,96.66,96.66,200,20220518
96.74,96.74,96.67,96.69,899,20220518
96.74,96.74,96.66,96.66,1300,20220518
96.73,96.775,96.71,96.71,1676,20220518
96.75,96.77,96.75,96.76,650,20220518
96.74,96.8,96.74,96.765,1180,20220518
96.765,96.87,96.765,96.87,1350,20220518
96.81,96.87,96.81,96.81,600,20220518
96.825,96.825,96.82,96.82,401,20220518
96.785,96.87,96.77,96.815,1100,20220518
96.81,96.87,96.81,96.82,2351,20220518
96.81,96.87,96.805,96.87,817,20220518
96.805,96.85,96.805,96.825,1584,20220518
96.79,96.815,96.76,96.795,1871,20220518
96.795,96.81,96.63,96.65,7104,20220518
96.61,96.61,96.305,96.305,1561,20220518
96.27,96.35,96.16,96.275,2155,20220518
96.295,96.35,96.26,96.33,2234,20220518
96.38,96.735,96.38,96.625,4840,20220518
96.63,96.63,96.415,96.61,2301,20220518
96.63,96.72,96.625,96.72,940,20220518
96.71,96.71,96.6,96.69,500,20220518
96.7,96.81,96.68,96.79,500,20220518
96.8,96.89,96.8,96.83,505,20220518
