open,high,low,close,volume,datetime
201.95,202.49,201.02,201.24,12739,20220518
201.365,201.365,200.79,200.855,1917,20220518
201.18,201.18,201.04,201.04,455,20220518
200.84,200.84,200.58,200.77,1094,20220518
201.12,201.5,201.0,201.0019,1892,20220518
201.2246,201.2246,201.2246,201.2246,100,20220518
201.025,201.025,200.6817,200.875,923,20220518
200.58,200.59,200.58,200.59,403,20220518
200.59,200.79,200.375,200.77,505,20220518
200.59,200.59,200.59,200.59,100,20220518
200.37,200.59,200.0,200.0,986,20220518
200.3075,200.53,200.3075,200.43,1522,20220518
200.58,200.6,200.3,200.3,848,20220518
200.48,200.96,200.47,200.96,1500,20220518
200.725,200.8,200.65,200.65,1820,20220518
200.735,200.735,200.735,200.735,200,20220518
200.89,200.9,200.89,200.89,400,20220518
200.9,200.93,200.6686,200.6686,2140,20220518
200.71,200.71,200.71,200.71,100,20220518
200.7985,200.83,200.63,200.63,449,20220518
200.51,200.671,200.51,200.671,449,20220518
200.16,200.4939,200.16,200.4939,499,20220518
200.24,200.51,200.24,200.51,310,20220518
200.409,200.5,200.23,200.23,900,20220518
200.51,200.54,200.44,200.44,400,20220518
200.695,200.695,200.45,200.45,2458,20220518
200.39,200.39,200.39,200.39,100,20220518
200.32,200.32,200.04,200.07,663,20220518
200.211,200.211,199.81,199.88,1369,20220518
199.92,199.93,199.7971,199.87,1400,20220518
199.63,199.74,199.52,199.74,489,20220518
199.66,199.66,199.57,199.57,300,20220518
199.57,199.58,199.54,199.54,500,20220518
199.34,199.34,199.34,199.34,107,20220518
199.04,199.39,198.92,199.27,1900,20220518
199.14,199.15,198.99,198.99,1100,20220518
199.02,199.14,198.77,199.025,1100,20220518
198.96,199.129,198.75,198.75,921,20220518
198.83,199.2,198.81,198.94,1504,20220518
199.09,199.09,199.09,199.09,100,20220518
199.16,199.16,198.72,198.78,1660,20220518
198.64,198.769,198.585,198.61,1205,20220518
198.6571,198.6571,198.45,198.51,800,20220518
198.45,198.52,198.14,198.39,2209,20220518
198.51,198.586,198.51,198.586,508,20220518
198.43,198.43,198.43,198.43,100,20220518
198.24,198.3,198.13,198.27,830,20220518
198.26,198.43,198.26,198.28,804,20220518
198.0,198.0,198.0,198.0,142,20220518
197.88,198.06,197.88,198.06,500,20220518
198.05,198.193,198.04,198.09,800,20220518
198.27,198.27,198.04,198.04,400,20220518
197.94,197.98,197.73,197.8,1948,20220518
197.75,197.75,197.75,197.75,200,20220518
198.05,198.05,198.05,198.05,252,20220518
197.975,198.0182,197.92,197.92,477,20220518
198.11,198.11,198.11,198.11,100,20220518
198.089,198.089,198.089,198.089,100,20220518
198.0899,198.0899,198.01,198.01,300,20220518
198.09,198.24,198.09,198.24,754,20220518
198.25,198.26,198.165,198.2335,500,20220518
198.41,198.41,198.41,198.41,203,20220518
198.416,198.416,198.416,198.416,100,20220518
198.23,198.23,198.15,198.19,502,20220518
198.24,198.35,198.24,198.35,600,20220518
198.3,198.3,198.3,198.3,102,20220518
198.22,198.22,198.22,198.22,100,20220518
198.31,198.44,198.23,198.44,900,20220518
198.21,198.21,198.15,198.19,1001,20220518
198.225,198.5,198.225,198.5,503,20220518
198.31,198.32,198.2,198.2,1485,20220518
198.27,198.489,198.23,198.354,1101,20220518
198.2992,198.405,198.2992,198.405,2606,20220518
198.5222,198.5222,198.43,198.43,300,20220518
