open,high,low,close,volume,datetime
35.0,35.14,34.95,35.14,11449,20220518
35.12,35.12,35.06,35.06,600,20220518
35.06,35.06,35.01,35.01,1781,20220518
35.01,35.13,35.01,35.1,2101,20220518
35.125,35.125,35.0,35.01,3822,20220518
34.99,34.99,34.94,34.978,3337,20220518
34.98,35.1,34.965,35.1,7473,20220518
35.09,35.09,35.07,35.08,981,20220518
35.06,35.07,35.05,35.06,1900,20220518
35.065,35.07,35.0,35.07,2444,20220518
35.08,35.095,35.04,35.08,3400,20220518
35.1,35.1283,35.08,35.08,1000,20220518
35.08,35.115,35.06,35.06,4600,20220518
35.04,35.08,35.02,35.08,2969,20220518
35.08,35.12,35.07,35.075,2965,20220518
35.085,35.09,35.07,35.07,5174,20220518
35.03,35.03,34.97,34.98,5150,20220518
34.965,34.97,34.95,34.95,1606,20220518
34.95,34.97,34.95,34.965,1903,20220518
34.97,35.05,34.97,35.05,600,20220518
35.0573,35.0573,35.03,35.04,2684,20220518
35.03,35.06,35.0,35.03,3892,20220518
35.01,35.07,35.0,35.07,2898,20220518
35.06,35.06,34.99,35.0,2200,20220518
35.02,35.02,35.01,35.01,1500,20220518
35.0,35.0,34.98,35.0,2320,20220518
34.995,34.995,34.96,34.96,800,20220518
34.96,34.96,34.95,34.957,1200,20220518
34.94,34.957,34.93,34.957,1415,20220518
34.94,34.94,34.91,34.92,1810,20220518
34.945,34.97,34.93,34.95,2117,20220518
34.96,35.03,34.96,35.03,3047,20220518
35.055,35.079,35.02,35.07,1766,20220518
35.08,35.095,35.07,35.088,1024,20220518
35.08,35.105,35.08,35.08,1300,20220518
35.07,35.12,35.07,35.08,3546,20220518
35.095,35.13,35.095,35.11,1415,20220518
35.1,35.1,35.08,35.0887,2227,20220518
35.07,35.085,35.07,35.085,428,20220518
35.09,35.09,35.04,35.045,1100,20220518
35.03,35.06,35.025,35.06,1829,20220518
35.07,35.07,35.01,35.01,3668,20220518
35.04,35.045,35.02,35.02,586,20220518
35.0,35.02,35.0,35.01,2090,20220518
35.02,35.045,35.02,35.035,2108,20220518
35.04,35.06,35.03,35.055,20195,20220518
35.06,35.08,35.05,35.05,4442,20220518
35.04,35.06,35.04,35.06,685,20220518
35.07,35.11,35.07,35.09,2411,20220518
35.09,35.09,35.08,35.08,1434,20220518
35.075,35.11,35.075,35.11,1484,20220518
35.105,35.105,35.05,35.06,5480,20220518
35.07,35.07,35.07,35.07,300,20220518
35.06,35.07,35.0515,35.06,2427,20220518
35.05,35.05,35.02,35.05,3946,20220518
35.055,35.06,35.055,35.055,500,20220518
35.05,35.1,35.05,35.08,1107,20220518
35.08,35.09,35.08,35.085,300,20220518
35.09,35.09,35.05,35.05,1920,20220518
35.04,35.04,35.01,35.01,2676,20220518
34.97,35.02,34.935,35.02,6122,20220518
35.01,35.01,34.825,34.83,12527,20220518
34.825,34.88,34.825,34.88,3302,20220518
34.88,34.895,34.875,34.875,1810,20220518
34.87,34.87,34.8,34.81,6788,20220518
34.8105,34.82,34.81,34.82,1181,20220518
34.81,34.87,34.81,34.87,2787,20220518
34.87,34.875,34.82,34.82,6900,20220518
34.81,34.85,34.79,34.82,17114,20220518
34.83,34.88,34.83,34.88,4192,20220518
34.88,34.88,34.84,34.84,2779,20220518
34.85,34.88,34.85,34.88,1913,20220518
34.88,34.88,34.88,34.88,914,20220518
34.89,34.89,34.89,34.89,200,20220518
34.89,34.93,34.89,34.915,2402,20220518
34.91,34.915,34.9,34.9,1655,20220518
34.9,34.907,34.89,34.89,983,20220518
34.88,34.91,34.88,34.91,1400,20220518
34.91,34.94,34.91,34.92,1101,20220518
34.91,34.91,34.88,34.88,1031,20220518
34.875,34.88,34.84,34.88,1751,20220518
34.87,34.88,34.87,34.88,800,20220518
34.9,34.91,34.89,34.91,2762,20220518
34.908,34.91,34.9,34.905,1040,20220518
34.89,34.89,34.87,34.88,1816,20220518
34.88,34.91,34.88,34.91,1100,20220518
34.915,34.93,34.915,34.93,400,20220518
34.95,34.97,34.95,34.95,2844,20220518
34.97,34.98,34.97,34.98,1001,20220518
34.98,35.02,34.975,35.02,2300,20220518
35.0,35.005,34.99,34.99,1500,20220518
34.98,34.985,34.95,34.95,1900,20220518
34.96,34.99,34.94,34.94,1801,20220518
34.94,34.95,34.94,34.95,200,20220518
34.95,34.97,34.9306,34.9306,2848,20220518
34.96,34.975,34.94,34.94,1611,20220518
34.92,34.93,34.88,34.88,2617,20220518
34.88,34.895,34.88,34.895,700,20220518
34.89,34.89,34.88,34.88,500,20220518
34.87,34.9,34.86,34.9,2094,20220518
34.895,34.895,34.88,34.88,1454,20220518
34.89,34.91,34.89,34.91,500,20220518
34.9,34.9,34.9,34.9,1300,20220518
34.895,34.91,34.895,34.91,400,20220518
34.9,34.9,34.895,34.895,600,20220518
34.89,34.89,34.89,34.89,300,20220518
34.895,34.895,34.88,34.89,3225,20220518
34.89,34.895,34.89,34.895,400,20220518
34.89,34.899,34.88,34.88,1200,20220518
34.88,34.91,34.88,34.905,1852,20220518
34.91,34.91,34.885,34.9,1500,20220518
34.9,34.9,34.89,34.89,1000,20220518
34.89,34.89,34.88,34.89,1300,20220518
34.88,34.88,34.84,34.84,1697,20220518
34.83,34.83,34.83,34.83,1106,20220518
34.82,34.84,34.81,34.835,4439,20220518
34.84,34.84,34.83,34.83,300,20220518
34.84,34.84,34.83,34.83,1568,20220518
34.82,34.84,34.82,34.84,1000,20220518
34.84,34.85,34.83,34.83,2163,20220518
34.84,34.84,34.82,34.83,1546,20220518
34.83,34.88,34.83,34.87,1410,20220518
34.879,34.9,34.795,34.8,7124,20220518
34.79,34.81,34.79,34.8061,1827,20220518
34.81,34.81,34.77,34.77,1700,20220518
34.8,34.84,34.8,34.84,837,20220518
34.83,34.83,34.81,34.81,1200,20220518
34.81,34.85,34.8,34.835,800,20220518
34.84,34.84,34.84,34.84,794,20220518
34.834,34.834,34.78,34.79,2900,20220518
34.77,34.77,34.74,34.74,3004,20220518
34.76,34.79,34.76,34.79,600,20220518
34.77,34.8,34.75,34.8,1777,20220518
34.8,34.8,34.77,34.78,1797,20220518
34.78,34.8,34.77,34.8,1442,20220518
34.8,34.8,34.78,34.78,600,20220518
34.78,34.78,34.77,34.78,620,20220518
34.78,34.78,34.75,34.75,800,20220518
34.74,34.75,34.74,34.74,1400,20220518
34.75,34.75,34.74,34.74,200,20220518
34.75,34.76,34.74,34.76,1606,20220518
34.76,34.78,34.76,34.77,1200,20220518
34.76,34.76,34.75,34.75,1201,20220518
34.74,34.74,34.7,34.7,1009,20220518
34.7,34.71,34.67,34.67,1834,20220518
34.67,34.68,34.67,34.68,700,20220518
34.69,34.7,34.65,34.66,4011,20220518
34.65,34.67,34.65,34.67,1181,20220518
34.675,34.675,34.645,34.65,3475,20220518
34.65,34.675,34.65,34.675,1464,20220518
34.67,34.68,34.67,34.68,1265,20220518
34.675,34.7,34.66,34.698,3029,20220518
34.695,34.695,34.67,34.67,1300,20220518
34.67,34.675,34.67,34.675,700,20220518
34.67,34.67,34.65,34.65,1787,20220518
34.655,34.655,34.645,34.65,1775,20220518
34.65,34.67,34.65,34.665,1732,20220518
34.66,34.66,34.66,34.66,1866,20220518
34.66,34.669,34.66,34.669,200,20220518
34.665,34.67,34.65,34.67,1100,20220518
34.66,34.665,34.66,34.665,700,20220518
34.67,34.69,34.67,34.685,3090,20220518
34.68,34.68,34.665,34.68,1615,20220518
34.69,34.69,34.68,34.69,2366,20220518
34.6777,34.69,34.6777,34.69,629,20220518
34.69,34.73,34.69,34.72,2695,20220518
34.72,34.745,34.72,34.745,1402,20220518
34.75,34.76,34.75,34.75,2263,20220518
34.755,34.755,34.73,34.73,1700,20220518
34.715,34.715,34.695,34.695,700,20220518
34.7,34.705,34.69,34.69,3309,20220518
34.67,34.69,34.67,34.69,600,20220518
34.695,34.695,34.68,34.68,1000,20220518
34.68,34.68,34.65,34.66,1364,20220518
34.67,34.67,34.67,34.67,700,20220518
34.67,34.68,34.665,34.675,580,20220518
34.67,34.68,34.67,34.67,600,20220518
34.67,34.675,34.67,34.675,300,20220518
34.67,34.7,34.67,34.7,2010,20220518
34.695,34.695,34.695,34.695,200,20220518
34.695,34.705,34.65,34.66,7173,20220518
34.66,34.68,34.66,34.68,719,20220518
34.67,34.68,34.67,34.68,1100,20220518
34.67,34.68,34.67,34.67,900,20220518
34.665,34.7,34.665,34.695,3373,20220518
34.69,34.69,34.6817,34.69,1440,20220518
34.69,34.7,34.69,34.7,300,20220518
34.69,34.69,34.645,34.65,1588,20220518
34.65,34.67,34.64,34.6608,4059,20220518
34.67,34.68,34.67,34.68,1657,20220518
34.67,34.67,34.66,34.67,500,20220518
34.66,34.66,34.66,34.66,658,20220518
34.65,34.675,34.645,34.675,1550,20220518
34.67,34.67,34.66,34.66,900,20220518
34.665,34.665,34.64,34.65,4273,20220518
34.665,34.685,34.665,34.685,582,20220518
34.69,34.7,34.675,34.685,3635,20220518
34.69,34.69,34.685,34.69,487,20220518
34.7,34.7,34.685,34.69,1000,20220518
34.69,34.7,34.69,34.7,300,20220518
34.69,34.69,34.6797,34.6797,931,20220518
34.67,34.6754,34.67,34.6754,548,20220518
34.675,34.69,34.675,34.69,600,20220518
34.69,34.69,34.685,34.685,769,20220518
34.69,34.7,34.69,34.7,981,20220518
34.69,34.69,34.69,34.69,200,20220518
34.69,34.69,34.675,34.675,3430,20220518
34.675,34.68,34.675,34.68,871,20220518
34.7,34.71,34.695,34.7,1746,20220518
34.7,34.7,34.6975,34.7,1500,20220518
34.69,34.69,34.65,34.65,4029,20220518
34.645,34.65,34.6425,34.65,1051,20220518
34.65,34.65,34.64,34.64,800,20220518
34.65,34.66,34.64,34.65,4016,20220518
34.65,34.655,34.64,34.655,3757,20220518
34.65,34.65,34.64,34.645,4119,20220518
34.65,34.655,34.645,34.65,2673,20220518
34.64,34.65,34.64,34.645,4717,20220518
34.645,34.645,34.64,34.645,800,20220518
34.64,34.65,34.6008,34.64,7459,20220518
34.625,34.66,34.625,34.64,4093,20220518
34.65,34.65,34.64,34.64,2650,20220518
34.64,34.64,34.62,34.63,6517,20220518
34.65,34.665,34.645,34.66,1516,20220518
34.665,34.665,34.66,34.66,1900,20220518
34.65,34.669,34.65,34.669,3570,20220518
34.67,34.67,34.65,34.655,1002,20220518
34.65,34.65,34.64,34.64,1606,20220518
