open,high,low,close,volume,datetime
95.39,95.69,94.2,95.35,261720,20220518
95.24,95.34,93.98,94.17,38656,20220518
94.145,94.315,93.75,93.865,46492,20220518
93.865,94.12,93.59,94.12,93536,20220518
94.06,94.24,93.98,94.17,35182,20220518
94.105,94.44,93.93,94.44,116676,20220518
94.44,94.46,94.27,94.3625,19753,20220518
94.355,94.89,94.35,94.385,48516,20220518
94.38,94.52,94.26,94.45,35508,20220518
94.49,94.61,94.22,94.53,44778,20220518
94.535,94.6,94.25,94.25,50793,20220518
94.24,94.26,93.95,94.205,25953,20220518
94.16,94.27,94.0,94.15,30358,20220518
94.15,94.27,94.1,94.21,27835,20220518
94.24,94.44,94.21,94.41,24910,20220518
94.4,94.49,94.35,94.49,19522,20220518
94.525,94.91,94.48,94.86,19967,20220518
94.875,95.28,94.81,95.27,44100,20220518
95.21,95.37,95.12,95.19,18869,20220518
95.22,95.47,95.09,95.4,16740,20220518
95.4,95.62,95.38,95.57,11677,20220518
95.53,95.6,95.4,95.54,43328,20220518
95.59,95.95,95.54,95.95,22690,20220518
95.91,96.48,95.91,96.34,30492,20220518
96.36,97.03,96.31,96.97,39837,20220518
96.97,97.0,96.3,96.31,34448,20220518
96.34,96.39,95.75,95.75,12162,20220518
95.71,96.23,95.71,96.205,30677,20220518
96.25,96.31,96.16,96.2,33435,20220518
96.28,96.72,96.19,96.69,42061,20220518
96.7,96.84,96.48,96.8,30365,20220518
96.77,97.1,96.7101,96.915,54138,20220518
96.925,96.96,96.65,96.85,13683,20220518
96.74,96.975,96.59,96.94,65417,20220518
96.94,97.55,96.88,97.395,15549,20220518
97.44,97.58,97.11,97.34,92941,20220518
97.32,97.42,97.18,97.18,13216,20220518
97.185,97.28,96.88,97.04,19657,20220518
97.0001,97.0074,96.8,96.97,6517,20220518
96.91,97.08,96.64,96.92,21876,20220518
96.93,96.99,96.67,96.67,5782,20220518
96.715,97.01,96.6,96.86,49606,20220518
96.8532,96.9,96.59,96.87,8278,20220518
96.82,97.02,96.82,96.93,7381,20220518
96.805,96.935,96.62,96.89,12396,20220518
96.86,97.0378,96.7204,96.965,8053,20220518
96.93,97.23,96.93,96.98,12118,20220518
96.89,97.08,96.84,97.0,7327,20220518
96.8035,96.96,96.68,96.92,9920,20220518
96.89,96.92,96.735,96.83,35609,20220518
96.84,97.6,96.825,97.43,14900,20220518
97.44,97.625,97.37,97.515,9648,20220518
97.5,97.61,97.49,97.57,4365,20220518
97.52,97.6,97.305,97.415,5580,20220518
97.36,97.545,97.24,97.47,7156,20220518
97.5,98.27,97.47,98.05,17186,20220518
98.05,98.18,97.92,98.11,15063,20220518
98.1496,98.41,98.08,98.342,18667,20220518
98.3,98.38,98.2,98.26,18789,20220518
98.26,98.315,98.02,98.2,27588,20220518
98.16,98.28,97.92,98.09,35586,20220518
98.09,98.15,97.66,97.73,24102,20220518
97.705,97.73,97.56,97.6,15292,20220518
97.55,97.82,97.44,97.765,14067,20220518
97.78,97.78,97.35,97.35,13866,20220518
97.33,97.33,96.92,96.92,10203,20220518
96.98,97.13,96.98,97.07,7859,20220518
97.1,97.28,96.9,96.925,4956,20220518
96.83,96.85,96.74,96.83,10669,20220518
96.815,97.07,96.815,97.07,12978,20220518
97.08,97.14,96.83,96.86,10413,20220518
96.82,96.97,96.5,96.81,15509,20220518
96.78,96.81,96.695,96.695,4300,20220518
96.69,96.8085,96.53,96.53,4092,20220518
96.48,96.66,96.42,96.6,5377,20220518
96.52,96.73,96.51,96.73,6359,20220518
96.74,97.06,96.74,96.9801,9316,20220518
96.98,96.98,96.69,96.955,9288,20220518
96.89,97.055,96.815,96.94,5428,20220518
96.9,96.96,96.6801,96.9,5138,20220518
96.86,97.03,96.84,97.03,4830,20220518
97.05,97.25,97.0,97.25,6059,20220518
97.24,97.33,97.21,97.29,5187,20220518
97.22,97.22,96.89,96.89,4505,20220518
96.95,96.96,96.52,96.6,15547,20220518
96.53,96.59,96.4501,96.56,5876,20220518
96.51,96.63,96.45,96.6,7016,20220518
96.6,96.75,96.54,96.69,5870,20220518
96.71,96.85,96.58,96.61,10420,20220518
96.583,96.85,96.55,96.85,6622,20220518
96.86,96.91,96.64,96.66,3322,20220518
96.645,96.68,96.33,96.345,13095,20220518
96.345,96.4,96.17,96.17,4250,20220518
96.12,96.26,96.07,96.1,4484,20220518
96.12,96.265,96.12,96.13,4937,20220518
96.135,96.21,96.01,96.125,6433,20220518
96.16,96.18,95.92,95.92,4748,20220518
95.94,95.94,95.77,95.77,7571,20220518
95.765,95.79,95.66,95.7,7385,20220518
95.64,95.78,95.62,95.65,5923,20220518
95.64,95.64,95.55,95.55,3661,20220518
95.52,95.59,95.48,95.575,5275,20220518
95.56,95.57,95.51,95.555,1695,20220518
95.55,95.555,95.52,95.54,1304,20220518
95.51,95.535,95.51,95.535,600,20220518
95.535,95.55,95.5007,95.515,4725,20220518
95.5175,95.54,95.03,95.05,16622,20220518
95.02,95.03,94.9,94.945,7151,20220518
94.89,94.91,94.71,94.73,5386,20220518
94.6925,94.84,94.685,94.73,5795,20220518
94.755,94.83,94.51,94.63,5391,20220518
94.57,94.57,94.475,94.53,4716,20220518
94.555,94.555,94.16,94.18,7554,20220518
94.1,94.37,93.86,94.21,19726,20220518
94.205,94.48,94.205,94.405,8108,20220518
94.425,94.59,94.37,94.39,8429,20220518
94.48,94.48,94.25,94.32,7001,20220518
94.39,94.52,94.24,94.24,4226,20220518
94.215,94.225,94.07,94.17,4434,20220518
94.1602,94.17,93.9249,94.11,8705,20220518
94.07,94.07,93.81,93.81,4683,20220518
93.855,94.23,93.68,94.23,9160,20220518
94.19,94.2313,94.065,94.1,2367,20220518
94.08,94.49,94.08,94.235,22500,20220518
94.06,94.18,94.06,94.09,6935,20220518
94.04,94.25,93.97,94.22,3061,20220518
94.11,94.175,94.01,94.01,5224,20220518
94.0,94.38,93.965,94.326,5535,20220518
94.3,94.4,94.25,94.315,4564,20220518
94.315,94.4,94.23,94.23,3118,20220518
94.245,94.3189,94.2,94.215,3512,20220518
94.24,94.365,94.23,94.33,3209,20220518
94.33,94.68,94.29,94.68,6421,20220518
94.73,94.73,94.47,94.47,3095,20220518
94.44,94.67,94.44,94.63,4852,20220518
94.62,94.62,94.41,94.435,2500,20220518
94.435,94.62,94.435,94.62,1700,20220518
94.6,94.635,94.46,94.5,2861,20220518
94.45,94.53,94.42,94.515,3776,20220518
94.55,94.63,94.55,94.63,2845,20220518
94.625,94.82,94.62,94.81,5561,20220518
94.81,94.81,94.53,94.535,2450,20220518
94.55,94.55,94.425,94.425,1773,20220518
94.425,94.45,94.255,94.255,2947,20220518
94.24,94.29,94.14,94.15,6151,20220518
94.18,94.22,94.11,94.19,3223,20220518
94.195,94.33,94.19,94.295,5231,20220518
94.295,94.32,94.2,94.3,14128,20220518
94.28,94.28,94.15,94.15,1550,20220518
94.14,94.155,94.1,94.1275,3577,20220518
94.07,94.07,93.94,93.95,6628,20220518
93.94,94.02,93.87,94.01,9200,20220518
94.01,94.09,93.945,93.945,4400,20220518
93.935,93.99,93.86,93.95,12185,20220518
93.96,94.13,93.96,94.1,8000,20220518
94.12,94.18,94.04,94.04,5865,20220518
94.05,94.085,94.0,94.015,7068,20220518
93.99,94.1899,93.955,94.0,12617,20220518
94.03,94.075,93.96,93.98,14435,20220518
94.03,94.18,93.99,94.18,6500,20220518
94.18,94.29,94.1,94.29,3455,20220518
94.2708,94.5,94.2708,94.44,5015,20220518
94.38,94.53,94.38,94.53,3599,20220518
94.5125,94.5125,94.29,94.4,7617,20220518
94.41,94.42,94.3,94.415,25271,20220518
94.39,94.5,94.38,94.49,4115,20220518
94.46,94.66,94.42,94.66,2263,20220518
94.695,94.825,94.66,94.8,2676,20220518
94.8,94.81,94.67,94.67,3649,20220518
94.695,94.735,94.6,94.66,5332,20220518
94.66,94.775,94.66,94.74,3974,20220518
94.7368,94.78,94.61,94.74,6948,20220518
94.74,94.74,94.66,94.72,2303,20220518
94.67,94.71,94.45,94.57,9676,20220518
94.545,94.83,94.545,94.7,14582,20220518
94.7,94.815,94.665,94.665,5480,20220518
94.65,94.68,94.59,94.63,5035,20220518
94.67,94.67,94.57,94.62,3748,20220518
94.615,94.77,94.59,94.76,7438,20220518
94.82,94.825,94.69,94.69,3364,20220518
94.64,94.84,94.64,94.73,4700,20220518
94.74,94.85,94.74,94.785,5539,20220518
94.8,94.81,94.73,94.81,2616,20220518
94.81,94.815,94.74,94.74,1810,20220518
94.7,94.76,94.64,94.65,4419,20220518
94.68,94.68,94.59,94.675,4459,20220518
94.74,94.95,94.74,94.92,3200,20220518
94.95,94.95,94.82,94.82,1600,20220518
94.79,94.81,94.74,94.79,3017,20220518
94.775,94.96,94.775,94.93,4254,20220518
94.945,94.96,94.885,94.96,2686,20220518
94.955,94.955,94.84,94.845,1100,20220518
94.84,95.07,94.81,95.04,11447,20220518
95.03,95.215,95.03,95.18,7388,20220518
95.14,95.14,94.97,95.13,8500,20220518
95.155,95.155,95.0,95.0,2384,20220518
95.04,95.12,95.0,95.11,4839,20220518
95.15,95.33,95.15,95.33,2119,20220518
95.34,95.38,95.165,95.165,5610,20220518
95.19,95.355,95.19,95.31,2433,20220518
95.29,95.445,95.29,95.34,4100,20220518
95.33,95.45,95.3292,95.425,2339,20220518
95.47,95.51,95.45,95.49,3079,20220518
95.47,95.48,95.37,95.4,2572,20220518
95.4,95.43,95.38,95.415,2569,20220518
95.415,95.62,95.415,95.54,8470,20220518
95.53,95.53,95.22,95.25,8578,20220518
95.21,95.21,94.89,94.99,20908,20220518
94.98,95.06,94.87,94.9,26337,20220518
94.92,95.1025,94.88,95.03,15172,20220518
95.06,95.18,95.035,95.035,6387,20220518
95.065,95.16,95.02,95.03,5600,20220518
95.06,95.09,94.94,94.97,5658,20220518
95.0,95.1,94.92,95.035,10223,20220518
95.02,95.06,94.99,94.99,2902,20220518
94.975,94.975,94.81,94.81,1498,20220518
94.825,94.825,94.72,94.775,2268,20220518
94.76,94.86,94.71,94.71,2399,20220518
94.66,94.66,94.53,94.5925,1900,20220518
94.58,94.58,94.395,94.395,5310,20220518
94.42,94.45,94.23,94.25,4652,20220518
94.245,94.3,94.18,94.25,2530,20220518
94.245,94.26,94.13,94.165,4767,20220518
94.16,94.2,94.13,94.15,8909,20220518
94.155,94.155,93.975,93.975,9217,20220518
93.96,94.03,93.94,94.005,7534,20220518
94.02,94.03,93.84,93.86,10057,20220518
93.84,93.84,93.68,93.705,7454,20220518
93.715,93.77,93.62,93.645,4821,20220518
93.62,93.68,93.575,93.68,4249,20220518
93.69,93.8,93.69,93.7301,3875,20220518
93.72,93.81,93.7,93.79,5359,20220518
93.79,93.8692,93.76,93.775,6733,20220518
93.765,93.89,93.765,93.815,11282,20220518
93.8,93.92,93.77,93.91,5534,20220518
93.94,93.94,93.8,93.85,10679,20220518
93.85,93.86,93.66,93.8,12613,20220518
93.775,93.87,93.775,93.865,9110,20220518
93.825,93.9752,93.79,93.89,10394,20220518
93.89,93.89,93.83,93.86,3234,20220518
93.83,93.9,93.73,93.73,23206,20220518
93.73,93.83,93.66,93.76,8729,20220518
93.745,93.83,93.6725,93.82,8496,20220518
93.82,93.96,93.8,93.94,4646,20220518
93.905,93.93,93.82,93.925,6394,20220518
93.92,94.06,93.92,93.98,2968,20220518
93.93,93.935,93.82,93.88,6549,20220518
93.855,93.88,93.77,93.77,10916,20220518
93.76,93.76,93.515,93.515,6214,20220518
93.52,93.62,93.4692,93.57,4531,20220518
93.55,93.55,93.42,93.455,1961,20220518
93.425,93.45,93.26,93.26,2854,20220518
93.24,93.28,93.19,93.28,4164,20220518
93.275,93.31,93.15,93.15,2499,20220518
93.13,93.13,93.0,93.1,5265,20220518
93.09,93.14,92.88,92.98,6676,20220518
92.995,93.045,92.97,92.97,2308,20220518
92.92,93.07,92.92,92.98,2585,20220518
92.98,92.98,92.795,92.88,4216,20220518
92.89,92.95,92.875,92.91,7118,20220518
92.905,93.01,92.89,93.01,4227,20220518
92.99,93.01,92.84,92.94,9290,20220518
92.93,92.95,92.89,92.93,7175,20220518
92.93,92.935,92.89,92.93,6770,20220518
92.88,92.94,92.8151,92.8151,6605,20220518
92.825,92.84,92.5,92.57,11925,20220518
92.55,92.62,92.51,92.6,5731,20220518
92.58,92.58,92.47,92.5,10875,20220518
92.485,92.64,92.46,92.5,10294,20220518
92.51,92.62,92.47,92.61,7551,20220518
92.6,92.7,92.59,92.67,8992,20220518
92.71,92.72,92.6,92.6,14126,20220518
92.605,92.76,92.58,92.59,6408,20220518
92.6,92.71,92.6,92.65,3942,20220518
92.66,92.87,92.66,92.87,2962,20220518
92.87,92.92,92.845,92.845,4154,20220518
92.82,92.86,92.76,92.76,3055,20220518
92.78,92.79,92.73,92.735,1109,20220518
92.755,92.87,92.675,92.87,13758,20220518
92.89,92.905,92.84,92.89,2919,20220518
92.95,93.03,92.81,92.81,3462,20220518
92.84,92.9,92.81,92.875,6628,20220518
92.86,92.88,92.74,92.74,8718,20220518
92.71,92.82,92.71,92.82,11615,20220518
92.8,92.8,92.76,92.8,6463,20220518
92.81,92.89,92.705,92.74,3926,20220518
92.71,93.0,92.71,92.9416,2100,20220518
92.91,92.93,92.74,92.74,3658,20220518
92.78,92.9,92.77,92.8088,2671,20220518
92.85,92.91,92.85,92.895,1379,20220518
92.92,93.01,92.92,92.925,2150,20220518
92.925,92.925,92.76,92.84,2698,20220518
92.84,92.89,92.84,92.86,3016,20220518
92.83,92.92,92.76,92.9,8669,20220518
92.895,92.895,92.79,92.82,1500,20220518
92.84,92.88,92.835,92.875,1613,20220518
92.875,92.94,92.875,92.905,2646,20220518
92.89,92.93,92.86,92.86,3783,20220518
92.86,92.86,92.825,92.825,1620,20220518
92.78,92.81,92.71,92.81,4380,20220518
92.82,92.96,92.8,92.87,22341,20220518
92.86,92.87,92.58,92.595,14183,20220518
92.62,92.67,92.57,92.645,4099,20220518
92.655,92.765,92.63,92.72,6982,20220518
92.72,92.79,92.65,92.66,6132,20220518
92.66,92.72,92.66,92.715,3525,20220518
92.7,92.77,92.58,92.58,9195,20220518
92.54,92.59,92.5,92.5,4953,20220518
92.495,92.625,92.495,92.595,3930,20220518
92.6,92.71,92.59,92.64,4459,20220518
92.64,92.84,92.64,92.84,6589,20220518
92.86,92.86,92.77,92.77,2850,20220518
92.77,92.83,92.77,92.815,4552,20220518
92.82,92.96,92.82,92.885,10798,20220518
92.88,92.88,92.83,92.87,4462,20220518
92.855,92.985,92.855,92.925,3869,20220518
92.91,93.05,92.91,93.02,2879,20220518
93.035,93.18,93.035,93.065,18185,20220518
93.09,93.15,92.92,93.145,21615,20220518
93.16,93.23,93.11,93.12,5370,20220518
93.17,93.3,93.17,93.195,11200,20220518
93.17,93.17,93.08,93.14,4713,20220518
93.14,93.145,93.05,93.1,3916,20220518
93.08,93.11,93.05,93.11,3965,20220518
93.115,93.115,92.98,92.98,4084,20220518
93.01,93.13,93.01,93.09,9345,20220518
93.0,93.03,92.97,92.995,3549,20220518
92.98,92.98,92.75,92.765,8918,20220518
92.75,92.76,92.645,92.645,4927,20220518
92.61,92.725,92.535,92.7,5895,20220518
92.7,92.92,92.7,92.87,9694,20220519
92.86,92.885,92.81,92.815,3670,20220519
92.795,92.81,92.66,92.675,5550,20220519
92.68,92.73,92.67,92.69,4268,20220519
92.655,92.71,92.62,92.7,9029,20220519
92.69,92.83,92.63,92.79,7072,20220519
92.775,92.83,92.71,92.83,7872,20220519
92.83,92.94,92.83,92.92,2978,20220519
92.93,92.93,92.82,92.86,2458,20220519
92.855,92.95,92.85,92.86,4342,20220519
92.86,92.86,92.77,92.83,5048,20220519
92.82,92.83,92.76,92.8,4041,20220519
92.79,92.79,92.5,92.5,15350,20220519
92.51,92.51,92.35,92.38,9801,20220519
92.39,92.48,92.35,92.35,8276,20220519
92.36,92.46,92.36,92.425,19233,20220519
92.4325,92.59,92.41,92.59,9576,20220519
92.59,92.59,92.49,92.49,3751,20220519
92.5,92.54,92.47,92.485,4478,20220519
92.47,92.63,92.455,92.61,7765,20220519
92.59,92.73,92.58,92.685,6013,20220519
92.68,92.7,92.62,92.64,4800,20220519
92.665,92.665,92.46,92.53,8939,20220519
92.545,92.545,92.44,92.47,5668,20220519
92.45,92.51,92.43,92.485,14710,20220519
92.485,92.515,92.431,92.51,4810,20220519
92.49,92.5,92.38,92.38,6744,20220519
92.39,92.43,92.37,92.42,4950,20220519
92.42,92.45,92.33,92.45,6140,20220519
92.45,92.47,92.36,92.41,6269,20220519
92.45,92.565,92.45,92.49,7227,20220519
92.47,92.47,92.34,92.34,8546,20220519
92.33,92.35,92.17,92.18,11658,20220519
92.175,92.25,92.16,92.23,15456,20220519
92.25,92.3,92.23,92.24,8634,20220519
92.24,92.31,92.21,92.255,12437,20220519
92.255,92.55,92.255,92.54,10724,20220519
92.55,92.7,92.52,92.7,9706,20220519
92.71,92.76,92.62,92.755,11154,20220519
92.76,92.91,92.76,92.785,10487,20220519
92.79,92.85,92.725,92.725,9773,20220519
92.76,92.8,92.68,92.765,15459,20220519
92.76,92.8,92.68,92.7,27421,20220519
92.67,92.7,92.53,92.56,16666,20220519
92.54,92.66,92.53,92.62,18769,20220519
92.62,92.72,92.6,92.695,12782,20220519
92.67,92.67,92.57,92.58,12500,20220519
92.6,92.705,92.6,92.64,12284,20220519
92.64,92.67,92.4,92.45,14060,20220519
92.43,92.46,92.35,92.43,9835,20220519
92.47,92.71,92.47,92.68,20035,20220519
92.69,92.72,92.53,92.55,19478,20220519
92.56,92.585,92.52,92.55,20249,20220519
92.555,92.56,92.43,92.44,18175,20220519
92.445,92.51,92.3952,92.47,29422,20220519
92.46,92.78,92.46,92.75,31540,20220519
92.75,92.76,92.57,92.675,36232,20220519
92.67,92.74,92.66,92.67,46891,20220519
92.67,92.78,92.63,92.77,58338,20220519
92.77,92.83,92.66,92.73,90850,20220519
92.03,92.12,91.21,91.55,26806,20220519
91.36,91.95,91.36,91.94,10812,20220519
92.0,92.3,92.0,92.3,6733,20220519
92.29,92.815,92.29,92.5,11196,20220519
92.53,92.88,92.2412,92.795,40550,20220519
92.795,93.03,92.3,93.03,6916,20220519
92.91,93.01,92.535,92.535,7278,20220519
92.54,92.7075,92.54,92.65,3329,20220519
92.73,92.87,92.33,92.33,5200,20220519
92.45,92.57,92.38,92.53,4807,20220519
92.52,92.54,92.06,92.145,1300,20220519
92.17,92.4,92.06,92.4,4130,20220519
92.36,92.36,92.19,92.3,6571,20220519
92.36,92.5,92.24,92.27,5636,20220519
92.29,92.32,91.97,92.01,3300,20220519
92.0,92.26,92.0,92.23,3633,20220519
92.135,92.23,91.94,91.94,6500,20220519
91.88,91.9,91.68,91.7,3532,20220519
91.67,91.77,91.64,91.7,4641,20220519
91.65,91.68,91.5,91.5,4889,20220519
91.46,91.55,91.37,91.55,7463,20220519
91.57,91.81,91.5,91.78,4257,20220519
91.84,91.875,91.735,91.74,2420,20220519
91.735,91.77,91.62,91.62,2956,20220519
91.66,91.83,91.62,91.62,3245,20220519
91.56,91.78,91.46,91.67,4843,20220519
91.77,91.93,91.74,91.88,3100,20220519
91.89,92.15,91.89,92.055,5167,20220519
91.99,91.99,91.5,91.67,1400,20220519
91.72,91.72,91.43,91.51,3508,20220519
91.56,91.875,91.41,91.84,10999,20220519
91.89,92.01,91.835,92.01,4000,20220519
92.05,92.5,92.03,92.37,8071,20220519
92.445,92.6813,92.445,92.66,2693,20220519
92.6,92.75,92.59,92.72,4517,20220519
92.74,92.95,92.69,92.93,16079,20220519
92.97,93.21,92.715,92.95,31675,20220519
92.91,93.06,92.86,93.05,5000,20220519
92.98,93.07,92.86,93.02,4700,20220519
92.96,93.02,92.83,93.02,6943,20220519
92.95,93.08,92.855,93.07,6997,20220519
93.13,93.53,93.13,93.37,6558,20220519
93.34,93.675,93.26,93.59,15342,20220519
93.58,93.6,93.39,93.46,6816,20220519
93.44,93.79,93.364,93.79,11140,20220519
93.81,93.95,93.765,93.95,9531,20220519
93.96,94.28,93.94,94.085,15426,20220519
94.08,94.16,94.04,94.04,13637,20220519
93.96,94.35,93.91,94.33,17715,20220519
94.32,94.59,94.12,94.13,14255,20220519
94.1899,94.4089,94.1899,94.265,2843,20220519
94.28,94.46,94.25,94.44,9190,20220519
94.34,94.48,94.32,94.44,6573,20220519
94.39,94.44,94.07,94.17,12751,20220519
94.18,94.29,94.035,94.14,4560,20220519
94.14,94.18,94.04,94.18,6217,20220519
94.11,94.13,94.0,94.0625,7990,20220519
94.055,94.22,93.87,94.015,14525,20220519
94.015,94.05,93.93,93.96,7382,20220519
93.98,94.13,93.96,94.06,20874,20220519
94.05,94.25,93.8422,94.0,16923,20220519
93.95,94.05,93.8,93.98,11797,20220519
94.0,94.255,93.8763,94.255,15502,20220519
94.25,94.3,94.075,94.075,5079,20220519
94.09,94.36,94.04,94.35,9778,20220519
94.35,94.67,94.33,94.33,7361,20220519
94.32,94.32,94.21,94.22,5906,20220519
94.235,94.25,94.15,94.18,5279,20220519
94.175,94.22,94.05,94.12,26746,20220519
94.09,94.09,93.99,94.06,7336,20220519
94.01,94.01,93.84,93.975,6672,20220519
93.95,94.04,93.93,93.945,13241,20220519
93.975,94.07,93.87,93.955,26704,20220519
93.955,93.98,93.645,93.715,9039,20220519
93.68,93.77,93.64,93.66,3160,20220519
93.67,93.88,93.64,93.88,6143,20220519
93.91,94.2,93.89,94.2,8320,20220519
94.2,94.23,93.98,94.02,11918,20220519
94.04,94.1,93.94,94.035,10549,20220519
94.045,94.12,93.98,94.04,5153,20220519
93.99,94.06,93.99,94.0,16323,20220519
93.99,94.02,93.9,94.0,31451,20220519
94.005,94.13,93.87,94.13,44128,20220519
94.14,94.28,94.08,94.2,18186,20220519
94.12,94.16,93.9,94.1,53359,20220519
94.08,94.08,93.84,93.94,14350,20220519
93.94,93.94,93.8445,93.86,4950,20220519
93.87,93.91,93.83,93.87,3738,20220519
93.82,93.86,93.75,93.85,4826,20220519
93.81,94.0,93.75,94.0,3287,20220519
94.0,94.04,93.93,94.03,38991,20220519
94.01,94.04,93.89,93.94,9328,20220519
93.93,93.98,93.85,93.9,3026,20220519
93.95,93.96,93.8,93.94,2302,20220519
93.92,93.92,93.7,93.7,1538,20220519
93.7,93.8,93.31,93.32,5801,20220519
93.27,93.27,93.1101,93.23,3900,20220519
93.14,93.17,93.015,93.05,2000,20220519
93.04,93.1,92.9116,92.94,5829,20220519
92.9,93.1,92.89,93.05,5400,20220519
93.06,93.35,93.06,93.35,3309,20220519
93.395,93.4,93.26,93.34,2000,20220519
93.36,93.42,93.28,93.32,3016,20220519
93.28,93.28,92.98,93.07,2022,20220519
93.1,93.1,92.92,92.93,1742,20220519
92.89,92.89,92.705,92.76,2800,20220519
92.68,92.83,92.67,92.83,2700,20220519
92.81,92.85,92.59,92.725,22331,20220519
92.735,92.77,92.53,92.56,6375,20220519
92.54,92.64,92.46,92.62,4828,20220519
92.58,92.59,92.45,92.5,3100,20220519
92.52,92.72,92.52,92.71,3184,20220519
92.71,92.79,92.62,92.69,4842,20220519
92.695,92.82,92.66,92.78,4994,20220519
92.83,92.88,92.735,92.77,4500,20220519
92.81,92.81,92.68,92.7,1700,20220519
92.64,92.68,92.59,92.68,1500,20220519
92.66,92.66,92.47,92.48,3700,20220519
92.46,92.48,92.41,92.47,4450,20220519
92.36,92.36,92.29,92.29,2277,20220519
92.385,92.55,92.385,92.55,1663,20220519
92.56,92.7666,92.53,92.7666,1374,20220519
92.76,92.76,92.55,92.64,3137,20220519
92.6,92.81,92.58,92.79,3200,20220519
92.89,92.96,92.865,92.96,4308,20220519
93.03,93.039,92.88,92.96,14812,20220519
93.0,93.0,92.93,92.93,1350,20220519
92.95,93.18,92.92,93.17,3541,20220519
93.195,93.2,93.09,93.1975,5252,20220519
93.16,93.2,93.09,93.09,2764,20220519
93.0675,93.365,93.06,93.365,11263,20220519
93.32,93.32,93.205,93.25,4106,20220519
93.26,93.26,93.2,93.2,3097,20220519
93.22,93.41,93.16,93.41,4152,20220519
93.38,93.43,93.31,93.42,2198,20220519
93.45,93.45,93.365,93.44,4105,20220519
93.39,93.53,93.37,93.48,2905,20220519
93.48,93.515,93.48,93.515,605,20220519
93.49,93.54,93.46,93.515,2823,20220519
93.55,93.5899,93.5,93.5899,3692,20220519
93.5602,93.5602,93.39,93.405,2982,20220519
93.38,93.41,93.36,93.4028,5571,20220519
93.42,93.45,93.38,93.4,3131,20220519
93.41,93.49,93.41,93.43,4081,20220519
93.38,93.38,93.1,93.15,3098,20220519
93.1,93.125,93.01,93.125,2300,20220519
93.125,93.13,93.07,93.12,1814,20220519
93.115,93.115,93.03,93.1,10351,20220519
93.13,93.34,93.12,93.325,2200,20220519
93.34,93.36,93.27,93.32,4308,20220519
93.31,93.39,93.26,93.36,3964,20220519
93.38,93.4,93.35,93.37,1544,20220519
93.47,93.61,93.45,93.53,4293,20220519
93.55,93.58,93.55,93.56,1234,20220519
93.55,93.66,93.54,93.62,3400,20220519
93.64,93.69,93.61,93.66,1233,20220519
93.7,93.88,93.7,93.88,5181,20220519
93.91,93.95,93.85,93.94,2200,20220519
93.93,93.955,93.89,93.92,3041,20220519
93.95,94.0359,93.94,93.99,5447,20220519
94.04,94.05,94.01,94.03,1538,20220519
94.025,94.09,94.02,94.055,2400,20220519
94.03,94.12,93.95,94.12,7603,20220519
94.16,94.25,94.12,94.12,1843,20220519
94.15,94.19,94.0501,94.0689,3709,20220519
94.021,94.07,93.9964,94.07,2317,20220519
93.9896,94.005,93.86,93.91,3331,20220519
93.91,94.04,93.89,94.025,3865,20220519
