open,high,low,close,volume,datetime
29.08,29.27,28.93,28.93,104282,20220518
28.9453,29.02,28.86,28.98,8854,20220518
29.1,29.1,28.94,28.99,2790,20220518
28.99,29.01,28.82,28.9,12754,20220518
28.9,28.91,28.82,28.89,3490,20220518
28.86,29.02,28.81,28.83,18567,20220518
28.82,28.92,28.82,28.91,7696,20220518
28.91,28.92,28.89,28.9,3534,20220518
28.9,28.9,28.73,28.73,17240,20220518
28.67,28.71,28.64,28.7,4677,20220518
28.65,28.73,28.63,28.73,6214,20220518
28.73,28.73,28.52,28.58,13347,20220518
28.64,28.69,28.59,28.64,4300,20220518
28.63,28.78,28.63,28.69,5126,20220518
28.73,28.77,28.68,28.75,6815,20220518
28.73,28.8797,28.71,28.87,16066,20220518
28.84,28.8686,28.78,28.78,8521,20220518
28.77,28.91,28.77,28.89,5700,20220518
28.91,28.91,28.765,28.84,16795,20220518
28.87,28.9,28.85,28.86,2682,20220518
28.845,28.845,28.73,28.75,3950,20220518
28.725,28.8597,28.71,28.725,15200,20220518
28.71,28.84,28.71,28.84,1000,20220518
28.85,28.93,28.83,28.86,4596,20220518
28.9084,28.9084,28.81,28.81,10690,20220518
28.79,28.84,28.75,28.75,922,20220518
28.78,28.78,28.65,28.65,5775,20220518
28.65,28.67,28.59,28.61,3740,20220518
28.6,28.6,28.54,28.59,3000,20220518
28.605,28.605,28.52,28.57,1823,20220518
28.54,28.7,28.53,28.67,4785,20220518
28.69,28.76,28.68,28.73,1560,20220518
28.6892,28.75,28.6892,28.75,3424,20220518
28.77,28.845,28.77,28.845,900,20220518
28.88,28.89,28.85,28.85,2046,20220518
28.87,28.93,28.86,28.93,2081,20220518
28.93,28.95,28.89,28.95,2361,20220518
28.93,28.96,28.83,28.88,5255,20220518
28.88,28.95,28.845,28.845,2545,20220518
28.87,28.89,28.79,28.79,1669,20220518
28.78,28.79,28.75,28.76,5291,20220518
28.74,28.75,28.69,28.71,2685,20220518
28.7,28.75,28.67,28.68,7768,20220518
28.69,28.715,28.66,28.715,6419,20220518
28.7,28.73,28.69,28.705,3592,20220518
28.7188,28.7188,28.68,28.7,4692,20220518
28.69,28.695,28.62,28.68,3416,20220518
28.68,28.74,28.67,28.73,5099,20220518
28.73,28.795,28.73,28.775,8464,20220518
28.775,28.78,28.72,28.775,11736,20220518
28.775,28.84,28.77,28.83,15559,20220518
28.84,28.85,28.82,28.85,1102,20220518
28.83,28.9,28.83,28.9,1700,20220518
28.87,28.87,28.77,28.77,3225,20220518
28.74,28.75,28.73,28.75,2784,20220518
28.745,28.77,28.71,28.71,7674,20220518
28.72,28.79,28.71,28.77,7164,20220518
28.74,28.74,28.64,28.64,4455,20220518
28.65,28.66,28.52,28.52,5160,20220518
28.52,28.52,28.45,28.49,3607,20220518
28.5,28.56,28.48,28.48,2811,20220518
28.5,28.5436,28.45,28.5,5967,20220518
28.46,28.46,28.35,28.4,2896,20220518
28.39,28.53,28.39,28.515,2579,20220518
28.5,28.52,28.41,28.43,3889,20220518
28.43,28.43,28.345,28.345,2214,20220518
28.33,28.3723,28.3,28.3,5066,20220518
28.31,28.31,28.23,28.26,3084,20220518
28.26,28.3402,28.26,28.34,5386,20220518
28.36,28.37,28.32,28.36,3438,20220518
28.365,28.4,28.365,28.38,3026,20220518
28.4,28.48,28.4,28.46,2451,20220518
28.47,28.47,28.41,28.45,3037,20220518
28.45,28.46,28.42,28.43,4521,20220518
28.42,28.45,28.41,28.41,3735,20220518
28.39,28.41,28.37,28.41,6850,20220518
28.43,28.47,28.41,28.415,7217,20220518
28.4,28.4,28.361,28.38,4133,20220518
28.38,28.39,28.33,28.33,2045,20220518
28.32,28.32,28.25,28.25,6103,20220518
28.28,28.28,28.19,28.19,11593,20220518
28.18,28.18,28.14,28.15,9109,20220518
28.12,28.15,28.115,28.12,3285,20220518
28.17,28.22,28.16,28.21,8423,20220518
28.18,28.21,28.16,28.21,3749,20220518
28.19,28.21,28.17,28.17,2495,20220518
28.18,28.2,28.18,28.19,1106,20220518
28.19,28.22,28.19,28.22,2084,20220518
28.21,28.27,28.21,28.25,5106,20220518
28.24,28.2783,28.24,28.265,2000,20220518
28.25,28.25,28.204,28.23,1595,20220518
28.2,28.23,28.18,28.21,4065,20220518
28.21,28.22,28.17,28.175,5205,20220518
28.17,28.17,28.0999,28.1,5080,20220518
28.12,28.13,28.05,28.06,3270,20220518
28.06,28.06,28.01,28.05,6986,20220518
28.035,28.04,27.97,27.97,11753,20220518
27.98,28.03,27.98,28.03,4302,20220518
28.03,28.03,28.0,28.0,1776,20220518
28.0,28.04,28.0,28.0,4394,20220518
28.0,28.01,27.94,27.96,3934,20220518
27.95,27.96,27.93,27.94,1640,20220518
27.94,27.95,27.93,27.95,1690,20220518
27.96,27.96,27.96,27.96,495,20220518
27.94,27.95,27.94,27.95,600,20220518
27.95,27.96,27.95,27.955,1110,20220518
27.955,27.96,27.82,27.82,9539,20220518
27.8101,27.83,27.73,27.75,8637,20220518
27.7315,27.7315,27.71,27.71,4232,20220518
27.72,27.74,27.72,27.735,1591,20220518
27.73,27.75,27.72,27.72,1675,20220518
27.72,27.72,27.67,27.71,6201,20220518
27.71,27.7237,27.71,27.71,1740,20220518
27.69,27.7099,27.67,27.69,3847,20220518
27.65,27.66,27.63,27.65,2633,20220518
27.65,27.7,27.64,27.67,3310,20220518
27.65,27.65,27.61,27.63,3792,20220518
27.63,27.65,27.61,27.65,2436,20220518
27.66,27.67,27.64,27.67,11522,20220518
27.62,27.635,27.58,27.625,5646,20220518
27.64,27.69,27.64,27.68,21564,20220518
27.66,27.76,27.66,27.75,5202,20220518
27.73,27.73,27.71,27.71,5208,20220518
27.73,27.7717,27.73,27.7601,2282,20220518
27.75,27.77,27.7201,27.77,5621,20220518
27.76,27.81,27.75,27.79,5691,20220518
27.78,27.79,27.78,27.79,1244,20220518
27.78,27.825,27.7401,27.8,2531,20220518
27.84,27.85,27.795,27.85,3012,20220518
