open,high,low,close,volume,datetime
22.5,22.5,22.13,22.15,28907,20220518
22.2,22.5,22.2,22.48,11541,20220518
22.48,22.5,22.4,22.49,42207,20220518
22.45,22.77,22.45,22.75,25885,20220518
22.8,22.8,22.541,22.541,9650,20220518
22.55,22.55,22.28,22.47,9806,20220518
22.49,22.55,22.3,22.3,7150,20220518
22.31,22.43,22.275,22.36,6484,20220518
22.38,22.42,22.3,22.3,5346,20220518
22.3,22.3,22.0,22.1,11165,20220518
22.09,22.13,21.87,21.87,17253,20220518
21.89,21.975,21.8,21.82,6938,20220518
21.82,21.91,21.66,21.81,18087,20220518
21.82,21.83,21.66,21.83,8090,20220518
21.845,21.845,21.7,21.7,4675,20220518
21.71,21.87,21.71,21.87,1775,20220518
21.935,21.955,21.815,21.85,1902,20220518
21.91,22.17,21.91,22.159,10048,20220518
22.135,22.209,21.96,22.0,11056,20220518
21.97,21.97,21.78,21.82,2908,20220518
21.85,21.94,21.74,21.74,6846,20220518
21.71,21.95,21.71,21.895,4061,20220518
21.9138,22.0913,21.8702,22.07,15655,20220518
22.11,22.38,22.11,22.34,16350,20220518
22.37,22.4,22.27,22.35,5176,20220518
22.3,22.3045,22.07,22.12,20257,20220518
22.11,22.11,21.845,21.845,6586,20220518
21.87,21.92,21.76,21.85,6801,20220518
21.83,21.85,21.76,21.795,3150,20220518
21.79,21.86,21.74,21.76,5136,20220518
21.77,22.095,21.77,22.09,8858,20220518
22.13,22.34,22.13,22.3,9044,20220518
22.29,22.494,22.27,22.42,7269,20220518
22.455,22.455,22.37,22.4,4875,20220518
22.39,22.4,22.305,22.305,5370,20220518
22.34,22.7,22.34,22.7,11177,20220518
22.69,22.7,22.61,22.68,8490,20220518
22.71,22.7133,22.66,22.67,2691,20220518
22.66,22.78,22.63,22.67,7395,20220518
22.705,22.71,22.57,22.57,3190,20220518
22.59,22.66,22.565,22.64,6614,20220518
22.65,22.66,22.41,22.53,18634,20220518
22.55,22.61,22.535,22.58,3607,20220518
22.569,22.76,22.56,22.76,3864,20220518
22.78,22.83,22.75,22.785,9142,20220518
22.77,22.81,22.64,22.81,9348,20220518
22.78,22.78,22.67,22.72,2200,20220518
22.68,22.68,22.59,22.635,3835,20220518
22.61,22.705,22.61,22.69,3401,20220518
22.65,22.68,22.54,22.62,4928,20220518
22.59,22.76,22.59,22.76,2300,20220518
22.75,22.79,22.7,22.72,2306,20220518
22.74,22.78,22.725,22.725,1700,20220518
22.7,22.75,22.64,22.64,3000,20220518
22.62,22.66,22.52,22.625,5700,20220518
22.61,22.73,22.59,22.7,2200,20220518
22.72,22.84,22.72,22.8,7411,20220518
22.79,22.79,22.65,22.77,3051,20220518
22.79,22.79,22.71,22.71,3465,20220518
22.7,22.7,22.485,22.485,3461,20220518
22.42,22.495,22.39,22.48,4425,20220518
22.51,22.51,22.4508,22.4508,6334,20220518
22.48,22.52,22.46,22.46,1523,20220518
22.46,22.51,22.41,22.45,4466,20220518
22.44,22.44,22.3,22.3,3075,20220518
22.28,22.28,22.19,22.19,1300,20220518
22.25,22.28,22.23,22.23,2250,20220518
22.25,22.28,22.21,22.21,1835,20220518
22.18,22.2906,22.18,22.2906,1780,20220518
22.29,22.34,22.29,22.34,2584,20220518
22.355,22.41,22.24,22.295,4439,20220518
22.27,22.355,22.27,22.34,1104,20220518
22.365,22.365,22.29,22.29,2200,20220518
22.31,22.31,22.2725,22.3,1725,20220518
22.28,22.31,22.25,22.25,1111,20220518
22.25,22.25,22.19,22.21,3048,20220518
22.23,22.35,22.23,22.32,2240,20220518
22.28,22.36,22.28,22.36,500,20220518
22.37,22.48,22.37,22.48,1702,20220518
22.47,22.505,22.47,22.505,953,20220518
22.485,22.5,22.42,22.45,3800,20220518
22.43,22.45,22.4,22.4,1400,20220518
22.41,22.41,22.38,22.38,800,20220518
22.37,22.46,22.365,22.46,2135,20220518
22.5,22.51,22.45,22.5,5000,20220518
22.51,22.51,22.48,22.49,1200,20220518
22.47,22.47,22.4,22.45,3258,20220518
22.47,22.61,22.45,22.61,7478,20220518
22.61,22.6427,22.57,22.61,1200,20220518
22.59,22.65,22.57,22.65,900,20220518
22.615,22.63,22.6,22.6,6636,20220518
22.59,22.62,22.52,22.54,4676,20220518
22.54,22.58,22.47,22.47,5401,20220518
22.47,22.515,22.47,22.49,942,20220518
22.505,22.505,22.44,22.46,1425,20220518
22.435,22.47,22.435,22.46,400,20220518
22.45,22.48,22.4,22.4,2827,20220518
22.4,22.42,22.38,22.42,3401,20220518
22.42,22.42,22.36,22.37,2972,20220518
22.35,22.41,22.35,22.355,2600,20220518
22.35,22.35,22.24,22.26,1200,20220518
22.24,22.25,22.23,22.24,1450,20220518
22.24,22.24,22.235,22.235,615,20220518
22.24,22.24,22.2254,22.2327,1622,20220518
22.23,22.23,22.2,22.22,1600,20220518
22.2049,22.22,22.2049,22.21,1500,20220518
22.21,22.22,22.04,22.04,7281,20220518
22.05,22.11,22.05,22.11,2746,20220518
22.08,22.08,22.0554,22.07,2716,20220518
22.08,22.1,22.06,22.1,1650,20220518
22.08,22.1,22.08,22.08,1587,20220518
22.05,22.07,22.01,22.02,4452,20220518
22.04,22.06,22.04,22.06,6718,20220518
22.05,22.05,22.035,22.05,500,20220518
22.05,22.05,22.02,22.025,1400,20220518
22.04,22.11,22.04,22.11,7181,20220518
22.09,22.115,22.04,22.1,4804,20220518
22.0981,22.115,22.09,22.09,1600,20220518
22.095,22.095,22.095,22.095,500,20220518
22.1,22.1,22.04,22.06,4823,20220518
22.09,22.09,22.035,22.035,4005,20220518
22.03,22.03,21.94,21.994,14592,20220518
21.98,22.01,21.96,21.97,6895,20220518
21.97,22.1,21.97,22.1,20284,20220518
22.08,22.1,22.075,22.1,1960,20220518
22.1,22.1,22.02,22.04,2678,20220518
21.99,22.03,21.98,22.03,2206,20220518
22.03,22.085,22.03,22.085,823,20220518
22.12,22.13,22.06,22.06,2525,20220518
22.035,22.035,21.99,22.0,889,20220518
21.99,21.99,21.94,21.94,1073,20220518
21.97,22.02,21.955,22.02,5907,20220518
22.0,22.08,22.0,22.08,3053,20220518
22.1,22.14,22.06,22.09,2795,20220518
22.08,22.12,22.065,22.12,713,20220518
22.12,22.12,22.07,22.08,1201,20220518
22.07,22.1,22.05,22.07,2113,20220518
22.06,22.06,22.03,22.04,1300,20220518
22.02,22.03,22.0,22.01,2506,20220518
21.98,22.02,21.98,22.02,800,20220518
22.025,22.04,22.01,22.02,400,20220518
22.08,22.09,22.05,22.055,930,20220518
22.04,22.04,22.02,22.025,2086,20220518
22.02,22.02,21.95,21.97,1500,20220518
21.97,21.98,21.95,21.95,2000,20220518
21.91,21.9543,21.91,21.9543,1200,20220518
21.95,21.99,21.94,21.975,2599,20220518
21.985,21.985,21.98,21.98,500,20220518
21.97,21.97,21.91,21.92,1184,20220518
21.92,21.94,21.92,21.92,1101,20220518
21.9,21.9,21.86,21.86,885,20220518
21.85,21.86,21.83,21.85,2000,20220518
21.83,21.83,21.765,21.78,3499,20220518
21.77,21.81,21.75,21.81,2696,20220518
21.79,21.83,21.77,21.82,3073,20220518
21.825,21.83,21.79,21.795,2649,20220518
21.785,21.81,21.725,21.74,1979,20220518
21.7109,21.76,21.7109,21.7463,3023,20220518
21.72,21.72,21.68,21.68,2813,20220518
21.67,21.7124,21.67,21.69,2100,20220518
21.6806,21.7,21.63,21.7,2369,20220518
21.72,21.72,21.68,21.71,1100,20220518
21.7,21.7,21.67,21.6801,1318,20220518
21.74,21.7499,21.7,21.7,1900,20220518
21.72,21.765,21.7,21.76,1300,20220518
21.74,21.76,21.73,21.75,1787,20220518
21.76,21.81,21.76,21.79,1206,20220518
21.785,21.83,21.77,21.83,4879,20220518
21.82,21.84,21.82,21.84,749,20220518
21.83,21.83,21.78,21.78,3270,20220518
21.8,21.8,21.77,21.77,600,20220518
