open,high,low,close,volume,datetime
5.8,5.8,5.8,5.8,200,20220518
6.09,6.3,6.09,6.3,1190,20220518
6.3,6.3,6.0755,6.0755,200,20220518
6.29,6.29,6.175,6.175,200,20220518
6.175,6.3,6.175,6.3,1300,20220518
6.175,6.175,6.175,6.175,200,20220518
6.2708,6.2708,6.01,6.01,1229,20220518
6.05,6.05,6.05,6.05,100,20220518
6.05,6.1,6.05,6.1,1900,20220518
6.0115,6.0115,6.0115,6.0115,125,20220518
6.0,6.13,6.0,6.13,250,20220518
6.1023,6.1023,6.1023,6.1023,200,20220518
6.0966,6.0966,6.0966,6.0966,400,20220518
6.1,6.1,6.1,6.1,100,20220518
6.1,6.1,6.09,6.09,300,20220518
5.9,5.9,5.9,5.9,150,20220518
5.9105,5.9105,5.9,5.9,1338,20220518
6.0545,6.0545,6.0545,6.0545,100,20220518
5.97,5.97,5.97,5.97,600,20220518
5.77,5.77,5.77,5.77,100,20220518
5.89,5.9,5.825,5.9,3500,20220518
5.9,6.0,5.8997,6.0,993,20220518
6.06,6.07,6.06,6.07,200,20220518
6.1,6.1,5.95,6.05,1200,20220518
6.1,6.1,6.0,6.06,4533,20220518
6.1,6.1,6.0577,6.1,800,20220518
6.1,6.1,6.06,6.1,4400,20220518
6.1,6.1,6.075,6.075,1691,20220518
6.09,6.09,6.09,6.09,500,20220518
6.13,6.13,6.08,6.08,1400,20220518
6.09,6.14,6.08,6.14,1300,20220518
6.14,6.14,6.14,6.14,1100,20220518
6.08,6.17,6.08,6.17,1940,20220518
6.17,6.28,6.17,6.28,1440,20220518
6.17,6.17,6.07,6.07,2306,20220518
6.08,6.08,6.08,6.08,500,20220518
6.05,6.05,6.05,6.05,121,20220519
6.075,6.075,6.075,6.075,100,20220519
6.1,6.1,6.1,6.1,200,20220519
6.09,6.09,6.09,6.09,1000,20220519
6.17,6.17,6.17,6.17,100,20220519
6.2714,6.2714,6.2714,6.2714,100,20220519
6.0489,6.2693,6.0489,6.2693,423,20220519
6.1487,6.1487,6.09,6.1,700,20220519
6.46,6.46,6.46,6.46,609,20220519
6.15,6.15,6.15,6.15,100,20220519
6.11,6.11,6.11,6.11,1100,20220519
6.32,6.32,6.32,6.32,500,20220519
6.1358,6.1358,6.1358,6.1358,100,20220519
6.21,6.21,6.2,6.2,536,20220519
6.1,6.1,6.1,6.1,499,20220519
6.18,6.18,6.18,6.18,100,20220519
6.32,6.32,6.32,6.32,500,20220519
6.4099,6.4099,6.4099,6.4099,100,20220519
6.4099,6.4099,6.4099,6.4099,100,20220519
6.4211,6.4211,6.4211,6.4211,500,20220519
6.4099,6.4099,6.4099,6.4099,100,20220519
6.12,6.3726,6.12,6.3726,200,20220519
6.25,6.25,6.25,6.25,1279,20220519
6.3,6.3,6.3,6.3,2000,20220519
6.3,6.35,6.3,6.35,500,20220519
6.45,6.45,6.45,6.45,285,20220519
6.43,6.45,6.42,6.45,705,20220519
6.5,6.53,6.4,6.52,765,20220519
6.4,6.58,6.4,6.58,500,20220519
6.58,6.9,6.5,6.6,3775,20220519
6.6,6.8,6.5,6.53,3384,20220519
6.6,6.6,6.6,6.6,1295,20220519
