open,high,low,close,volume,datetime
64.42,64.455,64.02,64.06,64002,20220518
64.02,64.15,63.83,63.88,20889,20220518
63.87,64.01,63.81,64.0,14412,20220518
63.98,64.05,63.95,64.01,8738,20220518
64.03,64.27,63.955,64.27,21111,20220518
64.25,64.28,64.09,64.27,7419,20220518
64.28,64.36,64.165,64.32,16118,20220518
64.34,64.36,64.21,64.34,3970,20220518
64.29,64.33,64.23,64.23,8497,20220518
64.2399,64.2399,64.08,64.135,10738,20220518
64.1,64.17,64.085,64.085,9070,20220518
64.1,64.22,64.1,64.1,14399,20220518
64.12,64.12,63.98,64.01,15190,20220518
64.0168,64.05,63.955,64.03,11869,20220518
64.05,64.07,63.95,63.99,10061,20220518
63.99,64.2,63.985,64.2,9611,20220518
64.19,64.19,64.065,64.16,7920,20220518
64.17,64.25,64.13,64.22,8033,20220518
64.22,64.27,64.2,64.24,6983,20220518
64.24,64.26,64.19,64.24,3156,20220518
64.255,64.26,64.065,64.065,32884,20220518
64.03,64.18,64.015,64.11,7764,20220518
64.09,64.2,64.07,64.16,5334,20220518
64.17,64.215,64.09,64.2,16370,20220518
64.16,64.21,64.05,64.095,6568,20220518
64.1,64.1,63.96,63.98,18057,20220518
63.99,64.01,63.9,63.91,11690,20220518
63.9,63.96,63.815,63.96,26149,20220518
63.959,63.959,63.84,63.88,7366,20220518
63.89,63.895,63.85,63.86,4943,20220518
63.87,64.07,63.86,64.07,9686,20220518
64.05,64.15,64.01,64.05,18741,20220518
64.055,64.105,64.05,64.1,10793,20220518
64.11,64.2181,64.1,64.17,52038,20220518
64.16,64.22,64.14,64.2,9175,20220518
64.17,64.3,64.16,64.27,6798,20220518
64.275,64.33,64.245,64.26,5942,20220518
64.23,64.28,64.22,64.225,5654,20220518
64.2,64.2,64.13,64.18,14373,20220518
64.17,64.17,64.03,64.12,9685,20220518
64.12,64.21,64.1,64.14,11871,20220518
64.14,64.16,64.065,64.07,30068,20220518
64.08,64.1018,63.9673,64.05,9284,20220518
64.03,64.11,64.02,64.05,7809,20220518
64.04,64.16,64.03,64.16,4540,20220518
64.17,64.19,64.1,64.17,5176,20220518
64.17,64.21,64.135,64.14,4524,20220518
64.16,64.16,64.105,64.15,5385,20220518
64.1492,64.23,64.135,64.17,7284,20220518
64.1381,64.15,64.075,64.15,8008,20220518
64.14,64.23,64.12,64.225,3800,20220518
64.23,64.24,64.15,64.15,6294,20220518
64.16,64.22,64.16,64.165,9163,20220518
64.17,64.17,64.035,64.035,4902,20220518
64.02,64.11,63.965,64.06,13573,20220518
64.05,64.08,64.04,64.04,7616,20220518
64.035,64.16,64.035,64.12,5266,20220518
64.11,64.115,64.02,64.03,15754,20220518
64.025,64.05,63.965,63.965,2897,20220518
63.95,63.95,63.8392,63.8392,7719,20220518
63.819,63.87,63.745,63.87,9091,20220518
63.87,63.88,63.81,63.87,6075,20220518
63.8847,63.885,63.83,63.87,10436,20220518
63.87,64.09,63.84,64.02,27836,20220518
64.0,64.01,63.96,63.9898,3727,20220518
63.96,63.96,63.895,63.93,7619,20220518
63.94,63.98,63.8904,63.92,36637,20220518
63.92,63.93,63.88,63.89,19016,20220518
63.89,63.97,63.88,63.915,5145,20220518
63.92,63.95,63.8901,63.95,5113,20220518
63.96,63.96,63.87,63.91,25113,20220518
63.9,63.92,63.82,63.9,24080,20220518
63.905,63.945,63.875,63.91,7860,20220518
63.93,63.94,63.89,63.9,6861,20220518
63.89,63.9625,63.85,63.95,13620,20220518
63.94,63.94,63.88,63.9,11935,20220518
