open,high,low,close,volume,datetime
64.02,64.02,64.02,64.02,4996,20220518
63.78,63.97,63.78,63.97,200,20220518
63.77,63.855,63.76,63.76,401,20220518
63.99,64.02,63.99,64.02,375,20220518
63.87,63.88,63.82,63.85,2070,20220518
63.92,64.17,63.92,63.97,1024,20220518
63.88,63.91,63.88,63.91,200,20220518
63.77,63.775,63.67,63.67,400,20220518
63.58,63.61,63.58,63.61,300,20220518
63.73,63.785,63.73,63.785,200,20220518
63.67,63.67,63.5,63.5,400,20220518
63.44,63.53,63.435,63.53,1199,20220518
63.61,63.61,63.465,63.465,300,20220518
63.535,63.59,63.535,63.59,200,20220518
63.47,63.47,63.46,63.46,200,20220518
63.57,63.57,63.57,63.57,100,20220518
63.55,63.57,63.47,63.51,402,20220518
63.62,63.679,63.5,63.679,884,20220518
63.67,63.67,63.67,63.67,163,20220518
63.58,63.6,63.56,63.59,1761,20220518
63.47,63.48,63.47,63.48,200,20220518
63.43,63.49,63.425,63.47,530,20220518
63.46,63.48,63.43,63.48,557,20220518
63.52,63.52,63.47,63.47,200,20220518
63.38,63.38,63.38,63.38,100,20220518
63.25,63.28,63.25,63.28,200,20220518
63.42,63.42,63.42,63.42,100,20220518
63.47,63.47,63.35,63.35,400,20220518
63.435,63.435,63.39,63.42,560,20220518
63.42,63.4648,63.38,63.44,1511,20220518
63.4,63.45,63.34,63.385,1339,20220518
63.435,63.435,63.4,63.4,300,20220518
63.39,63.44,63.39,63.44,422,20220518
63.42,63.425,63.37,63.41,1459,20220518
63.47,63.47,63.46,63.46,200,20220518
63.395,63.395,63.26,63.34,809,20220518
63.34,63.34,63.34,63.34,100,20220518
63.2,63.23,63.085,63.085,1470,20220518
63.05,63.055,63.03,63.03,1945,20220518
63.0,63.02,62.96,63.02,900,20220518
63.06,63.09,63.06,63.09,300,20220518
62.995,63.03,62.995,63.03,300,20220518
63.015,63.015,63.015,63.015,100,20220518
63.0,63.06,63.0,63.06,500,20220518
63.06,63.06,63.045,63.045,400,20220518
63.02,63.07,63.02,63.07,200,20220518
63.07,63.085,63.07,63.085,303,20220518
63.07,63.07,63.01,63.07,900,20220518
63.16,63.22,63.16,63.2,942,20220518
63.19,63.22,63.13,63.145,1156,20220518
63.13,63.13,62.96,63.01,800,20220518
62.96,63.03,62.95,63.03,526,20220518
63.03,63.07,63.03,63.07,742,20220518
63.09,63.09,63.05,63.09,500,20220518
63.105,63.105,63.105,63.105,100,20220518
63.1,63.1,63.07,63.07,300,20220518
62.98,62.99,62.84,62.84,700,20220518
62.845,62.89,62.845,62.86,600,20220518
62.89,62.9,62.89,62.9,300,20220518
62.89,62.95,62.89,62.925,800,20220518
62.94,62.95,62.905,62.905,402,20220518
62.9,62.93,62.89,62.93,600,20220518
62.91,62.95,62.86,62.92,800,20220518
62.9,62.98,62.9,62.96,619,20220518
62.99,63.03,62.98,62.99,1000,20220518
62.98,62.99,62.97,62.97,627,20220518
62.96,62.96,62.93,62.93,402,20220518
62.95,62.985,62.94,62.985,700,20220518
62.98,63.07,62.97,63.07,400,20220518
63.07,63.07,63.04,63.04,1006,20220518
63.04,63.0818,63.04,63.0818,460,20220518
63.085,63.145,63.085,63.145,626,20220518
63.14,63.14,63.11,63.11,400,20220518
63.16,63.16,63.16,63.16,100,20220518
63.15,63.15,63.15,63.15,100,20220518
63.11,63.23,63.11,63.2,779,20220518
63.17,63.17,63.17,63.17,100,20220518
63.19,63.19,63.17,63.17,200,20220518
63.175,63.22,63.175,63.22,400,20220518
63.155,63.18,63.15,63.15,918,20220518
63.135,63.135,63.125,63.125,400,20220518
63.11,63.145,63.08,63.11,1497,20220518
63.21,63.21,63.21,63.21,200,20220518
63.22,63.259,63.215,63.23,1035,20220518
63.23,63.24,63.21,63.24,300,20220518
63.25,63.25,63.25,63.25,100,20220518
63.22,63.23,63.21,63.23,736,20220518
63.22,63.22,63.18,63.18,336,20220518
63.16,63.16,63.13,63.13,500,20220518
63.11,63.13,63.11,63.13,386,20220518
63.135,63.135,63.07,63.09,702,20220518
63.08,63.08,63.04,63.045,300,20220518
63.06,63.12,63.06,63.095,3709,20220518
63.07,63.11,63.07,63.11,501,20220518
63.13,63.14,63.13,63.14,259,20220518
63.12,63.1872,63.1,63.14,1656,20220518
63.15,63.15,63.08,63.08,1687,20220518
63.06,63.1106,63.045,63.1106,1611,20220518
63.12,63.12,63.12,63.12,100,20220518
63.135,63.135,63.135,63.135,100,20220518
63.135,63.135,63.11,63.11,591,20220518
63.15,63.17,63.04,63.04,1730,20220518
63.04,63.055,63.04,63.055,200,20220518
63.07,63.08,63.05,63.07,1819,20220518
63.1071,63.16,63.1071,63.16,484,20220518
63.14,63.14,63.105,63.105,400,20220518
63.1,63.1,63.09,63.095,701,20220518
63.12,63.12,63.12,63.12,100,20220518
63.12,63.12,63.1,63.11,796,20220518
63.09,63.09,63.09,63.09,400,20220518
