open,high,low,close,volume,datetime
266.4,266.4,265.01,265.44,34020,20220518
265.45,267.79,265.45,267.455,9036,20220518
267.72,267.975,266.58,267.045,4400,20220518
266.88,267.1,266.74,267.1,1009,20220518
267.15,267.155,266.44,266.44,961,20220518
266.44,266.485,266.11,266.37,6859,20220518
266.37,266.425,265.51,265.95,4268,20220518
265.85,265.85,265.339,265.339,1944,20220518
265.31,265.35,264.9,264.9,2152,20220518
264.78,264.78,264.25,264.3976,2006,20220518
265.0,265.53,264.995,265.1084,1258,20220518
265.03,265.03,264.505,264.505,1200,20220518
264.645,265.175,264.645,265.075,1004,20220518
265.08,265.08,264.51,264.51,1619,20220518
264.605,265.16,264.605,265.1,3399,20220518
265.095,265.095,264.45,264.45,3938,20220518
264.72,265.48,264.705,265.22,2555,20220518
265.21,265.21,264.875,264.875,590,20220518
264.64,264.73,264.42,264.68,2113,20220518
264.66,265.14,264.66,265.065,4201,20220518
265.09,265.39,265.085,265.36,1290,20220518
265.37,265.37,264.905,264.905,1602,20220518
264.73,264.73,264.485,264.485,701,20220518
264.64,265.045,264.62,265.045,4044,20220518
265.08,265.095,264.95,264.95,500,20220518
265.08,265.08,264.685,264.93,1100,20220518
264.92,264.92,264.73,264.742,845,20220518
264.74,265.14,264.47,265.14,1820,20220518
264.97,265.63,264.74,265.15,3486,20220518
265.34,265.34,264.84,265.1,1729,20220518
265.21,265.58,265.1,265.58,814,20220518
265.22,265.23,265.22,265.22,700,20220518
265.16,265.16,264.825,264.905,1815,20220518
264.71,265.16,264.69,265.16,1749,20220518
265.08,265.32,265.08,265.26,631,20220518
265.4,265.4,265.14,265.14,300,20220518
265.04,265.19,265.04,265.19,331,20220518
265.0,265.0,264.615,264.615,700,20220518
264.5,264.5,264.05,264.05,1938,20220518
264.15,264.37,264.12,264.17,901,20220518
264.0,264.0,263.77,263.8616,1056,20220518
263.46,263.56,263.46,263.56,300,20220518
263.67,263.69,263.5,263.545,1512,20220518
263.71,263.94,263.65,263.94,700,20220518
263.94,264.02,263.54,264.02,16332,20220518
264.12,264.24,264.11,264.24,400,20220518
264.22,264.51,264.22,264.51,300,20220518
264.6,264.79,264.495,264.62,2363,20220518
264.65,264.65,264.645,264.645,300,20220518
264.53,264.53,264.17,264.17,907,20220518
264.29,264.29,263.92,263.92,701,20220518
263.76,263.76,263.68,263.68,300,20220518
263.49,263.49,263.34,263.34,200,20220518
263.0,263.5,263.0,263.5,1837,20220518
263.45,263.54,263.32,263.32,690,20220518
263.79,263.79,263.79,263.79,100,20220518
263.83,263.83,263.83,263.83,155,20220518
263.72,263.78,263.64,263.69,1999,20220518
263.61,263.61,262.635,262.635,930,20220518
262.7,262.94,262.635,262.78,6788,20220518
262.68,262.94,262.68,262.94,900,20220518
263.03,263.03,263.03,263.03,100,20220518
263.15,263.15,262.8,262.87,1675,20220518
262.78,262.9348,262.78,262.88,553,20220518
262.74,262.74,262.67,262.67,421,20220518
262.81,263.11,262.8,263.07,1054,20220518
263.26,263.345,263.26,263.27,1898,20220518
263.27,263.465,263.27,263.33,1314,20220518
263.43,263.56,263.38,263.38,1373,20220518
263.29,263.4,263.265,263.3,2260,20220518
263.21,263.665,263.21,263.665,1244,20220518
263.78,263.8,263.41,263.65,3465,20220518
263.86,263.9,263.86,263.8898,1254,20220518
263.96,264.19,263.905,264.19,585,20220518
264.27,264.27,263.81,263.81,1966,20220518
264.05,264.1326,263.93,264.1326,2328,20220518
263.8,263.89,263.74,263.89,400,20220518
263.9,264.12,263.9,263.91,2350,20220518
263.78,263.9384,263.67,263.86,1759,20220518
263.825,263.835,263.795,263.795,400,20220518
263.73,263.74,263.635,263.74,1747,20220518
263.645,263.7341,263.52,263.52,1180,20220518
263.43,263.48,263.43,263.45,601,20220518
263.4,263.4,263.12,263.12,825,20220518
263.09,263.15,263.03,263.055,1047,20220518
263.08,263.15,263.045,263.15,2067,20220518
263.29,263.48,263.255,263.48,655,20220518
263.65,263.65,263.49,263.49,400,20220518
263.51,264.19,263.49,264.14,8180,20220518
264.11,264.11,264.01,264.01,419,20220518
263.99,264.14,263.8,263.8,752,20220518
263.99,263.99,263.825,263.955,794,20220518
263.78,263.785,263.66,263.75,700,20220518
263.88,263.9,263.75,263.83,1189,20220518
263.89,263.91,263.75,263.75,600,20220518
263.89,263.915,263.68,263.68,1366,20220518
263.507,263.69,263.507,263.69,1243,20220518
263.7207,263.82,263.72,263.78,2224,20220518
263.7,263.77,263.64,263.6574,1950,20220518
263.65,263.66,263.49,263.575,3050,20220518
263.57,263.82,263.565,263.8,3333,20220518
263.9291,263.9291,263.9291,263.9291,167,20220518
263.92,263.92,263.92,263.92,100,20220518
263.9458,263.96,263.89,263.96,738,20220518
263.96,264.11,263.96,264.055,1817,20220518
264.135,264.135,264.135,264.135,100,20220518
264.06,264.06,263.92,263.92,2345,20220518
264.07,264.09,263.985,264.09,1333,20220518
264.1,264.17,263.95,263.995,4485,20220518
263.995,263.995,263.8,263.825,3202,20220518
263.935,263.935,263.81,263.81,808,20220518
263.73,263.795,263.62,263.63,807,20220518
263.55,263.55,263.39,263.39,557,20220518
263.54,263.54,263.52,263.52,300,20220518
263.33,263.455,263.33,263.365,505,20220518
263.39,263.472,263.3371,263.35,500,20220518
263.25,263.285,263.1,263.11,1200,20220518
262.69,262.94,262.64,262.93,1243,20220518
262.765,262.765,262.65,262.65,652,20220518
262.7,262.79,262.7,262.79,826,20220518
262.53,262.53,262.53,262.53,200,20220518
262.69,262.69,262.52,262.52,513,20220518
262.44,262.53,262.44,262.53,303,20220518
262.67,262.97,262.61,262.95,853,20220518
263.26,263.64,263.26,263.64,328,20220518
263.955,263.955,263.85,263.85,610,20220518
263.88,263.88,263.58,263.645,1378,20220518
263.54,263.54,263.39,263.39,301,20220518
263.385,263.385,263.385,263.385,100,20220518
263.365,263.49,263.36,263.49,500,20220518
263.68,263.83,263.68,263.83,426,20220518
263.935,263.935,263.905,263.905,200,20220518
264.0,264.0,264.0,264.0,101,20220518
264.17,264.17,264.02,264.06,1067,20220518
264.015,264.015,263.865,263.865,771,20220518
263.88,264.0,263.88,264.0,300,20220518
263.91,263.91,263.91,263.91,200,20220518
263.92,263.92,263.88,263.88,200,20220518
263.865,264.01,263.865,264.01,490,20220518
264.1,264.11,264.01,264.07,800,20220518
263.995,263.995,263.72,263.785,712,20220518
263.73,263.73,263.44,263.44,600,20220518
263.31,263.365,263.111,263.111,500,20220518
263.04,263.06,262.96,262.96,358,20220518
263.1528,263.1528,263.05,263.06,917,20220518
263.25,263.28,263.25,263.28,260,20220518
263.32,263.32,263.32,263.32,100,20220518
263.31,263.31,263.1,263.17,830,20220518
263.03,263.09,263.03,263.09,200,20220518
263.03,263.05,262.92,262.97,703,20220518
262.85,262.85,262.79,262.79,700,20220518
262.77,262.795,262.77,262.795,400,20220518
263.1,263.11,262.98,262.98,834,20220518
263.2,263.2,262.92,262.92,962,20220518
262.945,262.945,262.945,262.945,100,20220518
262.87,262.98,262.87,262.98,561,20220518
262.995,262.995,262.995,262.995,100,20220518
262.93,263.15,262.83,263.14,1783,20220518
263.15,263.15,262.815,262.82,1200,20220518
262.835,262.96,262.835,262.885,538,20220518
263.0436,263.0436,262.9,262.9423,1238,20220518
263.2224,263.34,263.2224,263.34,1518,20220518
263.17,263.17,263.09,263.09,639,20220518
263.04,263.04,262.995,263.0,699,20220518
263.09,263.37,263.0,263.37,1480,20220518
263.32,263.47,263.31,263.47,480,20220518
263.21,263.21,263.18,263.18,296,20220518
263.28,263.28,263.16,263.16,301,20220518
263.08,263.08,262.94,262.94,1050,20220518
263.03,263.06,262.85,262.85,817,20220518
262.865,262.87,262.73,262.73,889,20220518
262.86,262.86,262.64,262.64,1714,20220518
262.7252,262.7252,262.7252,262.7252,195,20220518
262.58,262.59,262.5151,262.57,623,20220518
262.55,262.55,262.385,262.385,600,20220518
262.32,262.54,262.32,262.51,1625,20220518
262.59,262.59,262.44,262.44,515,20220518
262.41,262.47,262.41,262.47,559,20220518
262.5,262.64,262.5,262.64,667,20220518
262.615,262.615,262.52,262.6013,613,20220518
262.585,262.585,262.585,262.585,100,20220518
262.7,262.92,262.7,262.915,731,20220518
262.85,262.85,262.69,262.7,738,20220518
262.69,262.81,262.69,262.81,918,20220518
262.699,262.8,262.6322,262.8,850,20220518
262.65,262.65,262.34,262.34,1312,20220518
262.34,262.41,262.245,262.41,1025,20220518
262.475,262.475,262.42,262.42,600,20220518
262.41,262.41,262.41,262.41,100,20220518
262.325,262.325,262.325,262.325,100,20220518
262.32,262.32,262.315,262.315,300,20220518
262.22,262.22,262.02,262.02,1229,20220518
262.085,262.16,262.085,262.13,840,20220518
262.29,262.46,262.26,262.46,700,20220518
262.57,262.57,262.57,262.57,209,20220518
262.735,262.735,262.41,262.41,1541,20220518
262.541,262.5877,262.515,262.5877,325,20220518
262.51,262.52,262.47,262.49,509,20220518
262.58,262.62,262.58,262.62,333,20220518
262.66,262.78,262.66,262.78,919,20220518
262.8,262.8,262.74,262.74,300,20220518
262.81,262.85,262.81,262.83,1143,20220518
262.95,262.95,262.95,262.95,100,20220518
262.99,262.99,262.88,262.88,807,20220518
262.91,262.91,262.905,262.905,200,20220518
262.89,263.19,262.89,263.19,783,20220518
263.17,263.3099,263.09,263.3099,569,20220518
263.1,263.1,262.92,262.92,692,20220518
262.81,262.89,262.81,262.89,430,20220518
