open,high,low,close,volume,datetime
7.24,7.2877,7.215,7.24,428630,20220518
7.24,7.295,7.22,7.29,215440,20220518
7.28,7.3,7.25,7.2778,51073,20220518
7.2799,7.29,7.245,7.28,134105,20220518
7.285,7.29,7.26,7.285,110931,20220518
7.28,7.29,7.25,7.265,59839,20220518
7.26,7.28,7.255,7.2601,40364,20220518
7.265,7.27,7.25,7.255,24301,20220518
7.255,7.265,7.21,7.23,93683,20220518
7.23,7.23,7.2001,7.205,54039,20220518
7.205,7.21,7.19,7.19,125737,20220518
7.19,7.195,7.175,7.19,66299,20220518
7.195,7.21,7.19,7.2061,44888,20220518
7.2,7.2484,7.2,7.235,95423,20220518
7.24,7.25,7.235,7.245,31253,20220518
7.25,7.28,7.245,7.27,93054,20220518
7.275,7.2788,7.24,7.2599,66832,20220518
7.26,7.275,7.26,7.275,39557,20220518
7.27,7.28,7.25,7.265,45685,20220518
7.2601,7.28,7.26,7.2611,48916,20220518
7.27,7.27,7.2224,7.23,39217,20220518
7.225,7.26,7.2166,7.2166,57034,20220518
7.2158,7.235,7.195,7.23,180972,20220518
7.23,7.24,7.22,7.23,11337,20220518
7.23,7.24,7.21,7.2195,50981,20220518
7.2189,7.23,7.21,7.215,36947,20220518
7.22,7.22,7.1849,7.19,47197,20220518
7.19,7.195,7.18,7.18,22673,20220518
7.18,7.18,7.15,7.1799,76639,20220518
7.175,7.18,7.16,7.165,36614,20220518
7.17,7.21,7.17,7.1962,100630,20220518
7.1941,7.235,7.1941,7.21,43388,20220518
7.21,7.23,7.21,7.2223,35355,20220518
7.23,7.27,7.23,7.26,79268,20220518
7.27,7.285,7.26,7.27,150351,20220518
7.27,7.29,7.26,7.28,163259,20220518
7.2729,7.3,7.265,7.29,89364,20220518
7.2836,7.3,7.27,7.28,330771,20220518
7.2859,7.2859,7.24,7.25,76551,20220518
7.2491,7.25,7.23,7.23,67574,20220518
7.23,7.23,7.21,7.215,34755,20220518
7.215,7.215,7.185,7.2,76309,20220518
7.2,7.21,7.18,7.185,48975,20220518
7.184,7.19,7.18,7.1823,45807,20220518
