open,high,low,close,volume,datetime
236.13,237.2184,236.13,237.2184,12325,20220518
237.01,237.01,237.01,237.01,100,20220518
236.67,236.9725,236.595,236.595,500,20220518
236.9,237.28,236.9,237.28,500,20220518
237.05,237.275,236.98,236.98,500,20220518
237.12,237.21,236.76,236.78,1447,20220518
236.74,237.3724,236.74,237.27,834,20220518
236.83,236.83,236.83,236.83,100,20220518
236.55,236.665,236.2701,236.665,1000,20220518
236.77,236.8,236.34,236.34,400,20220518
236.03,236.15,235.46,235.665,1800,20220518
236.1492,236.1492,235.05,235.06,1118,20220518
235.175,235.35,235.175,235.345,400,20220518
235.44,235.44,235.44,235.44,100,20220518
235.54,235.54,235.01,235.01,1100,20220518
235.08,235.71,234.82,235.71,1300,20220518
235.77,235.77,235.23,235.23,500,20220518
235.27,235.8,235.27,235.8,400,20220518
236.125,236.25,235.79,235.96,500,20220518
235.85,235.85,235.43,235.495,876,20220518
235.71,235.72,235.12,235.12,500,20220518
234.76,235.3136,234.76,235.3136,200,20220518
235.56,235.56,235.4737,235.4737,543,20220518
235.52,235.52,235.38,235.5,1276,20220518
235.215,235.215,234.94,234.94,300,20220518
234.82,234.82,234.547,234.547,500,20220518
234.1,234.355,234.1,234.34,1100,20220518
234.44,234.48,234.25,234.465,600,20220518
234.29,234.3,234.235,234.24,565,20220518
234.235,234.3,234.13,234.28,1207,20220518
234.42,234.42,234.14,234.26,1226,20220518
234.04,234.22,234.04,234.17,1819,20220518
234.06,234.13,233.66,234.025,2841,20220518
233.91,233.91,233.48,233.71,5719,20220518
233.87,233.87,233.51,233.51,869,20220518
233.57,233.7,233.45,233.51,1503,20220518
233.57,233.57,233.31,233.31,1598,20220518
233.19,233.21,232.98,233.21,1609,20220518
232.99,233.1,232.6,232.61,3325,20220518
232.64,232.75,232.32,232.48,7671,20220518
232.48,232.92,232.42,232.88,6205,20220518
232.87,232.88,232.62,232.64,1700,20220518
232.78,232.905,232.6,232.905,1257,20220518
233.0,233.23,232.855,233.23,300,20220518
233.5867,233.5867,233.34,233.37,399,20220518
233.41,233.71,233.41,233.71,1515,20220518
233.72,233.72,233.64,233.64,300,20220518
233.69,234.49,233.65,234.3,2900,20220518
234.02,234.34,234.02,234.11,1107,20220518
233.95,234.015,233.95,233.955,1183,20220518
234.1,234.15,234.045,234.15,739,20220518
234.02,234.09,233.69,233.81,1329,20220518
233.66,234.115,233.56,233.985,2251,20220518
234.2328,234.43,234.2328,234.43,592,20220518
234.17,234.28,234.0,234.0,975,20220518
233.97,234.1,233.45,233.45,4420,20220518
233.43,233.6,233.4125,233.4125,2602,20220518
233.33,233.6,233.33,233.6,700,20220518
233.69,233.78,233.55,233.62,904,20220518
233.62,233.7718,233.62,233.7718,705,20220518
233.78,233.78,233.67,233.67,406,20220518
233.71,233.825,233.68,233.68,3071,20220518
233.55,233.67,233.49,233.535,9773,20220518
233.505,233.8,233.505,233.71,1142,20220518
233.71,233.71,233.7,233.7,200,20220518
233.92,234.11,233.92,234.11,997,20220518
234.275,234.275,234.14,234.24,600,20220518
234.15,234.51,234.135,234.41,1001,20220518
234.52,234.91,234.39,234.91,1512,20220518
234.86,234.96,234.845,234.9,450,20220518
234.81,234.98,234.78,234.98,1520,20220518
234.8475,234.8475,234.8,234.825,300,20220518
235.14,235.14,234.93,234.93,500,20220518
234.83,234.83,234.73,234.8275,628,20220518
234.65,234.92,234.52,234.9,2105,20220518
234.94,235.11,234.89,235.11,1670,20220518
234.77,234.965,234.77,234.895,700,20220518
235.03,235.07,234.94,235.04,1200,20220518
234.9994,235.01,234.9994,235.01,530,20220518
234.925,234.925,234.925,234.925,100,20220518
234.77,234.91,234.77,234.825,510,20220518
234.83,234.83,234.77,234.77,300,20220518
234.94,235.03,234.92,234.92,605,20220518
234.95,235.02,234.91,234.91,1300,20220518
234.835,234.835,234.715,234.715,1100,20220518
234.56,234.565,234.56,234.565,256,20220518
234.625,234.625,234.46,234.59,1213,20220518
234.65,234.82,234.62,234.62,906,20220518
234.72,234.72,234.72,234.72,100,20220518
234.7,234.91,234.7,234.91,1000,20220518
234.91,234.91,234.91,234.91,206,20220518
234.66,234.71,234.66,234.66,500,20220518
234.55,234.67,234.49,234.49,800,20220518
234.48,234.545,234.29,234.5,1000,20220518
234.5,234.5,234.28,234.28,414,20220518
234.17,234.21,233.9,233.9,904,20220518
234.15,234.275,234.14,234.275,327,20220518
234.14,234.3211,234.12,234.13,536,20220518
234.14,234.4,234.03,234.03,377,20220518
233.9,234.145,233.9,234.145,500,20220518
233.96,234.1665,233.96,234.04,854,20220518
234.17,234.235,233.87,234.01,1328,20220518
233.955,233.9856,233.77,233.87,600,20220518
233.74,233.92,233.74,233.92,385,20220518
233.63,233.77,233.6001,233.73,959,20220518
233.53,233.55,233.52,233.55,697,20220518
233.54,233.645,233.5,233.51,1752,20220518
233.56,233.635,233.5,233.635,1937,20220518
233.52,233.65,233.5,233.65,662,20220518
233.5,233.695,233.5,233.59,661,20220518
233.71,233.785,233.58,233.67,661,20220518
233.66,233.6861,233.64,233.6861,366,20220518
233.66,233.66,233.66,233.66,200,20220518
233.57,233.735,233.54,233.67,602,20220518
233.61,233.7524,233.5,233.5,1282,20220518
233.64,233.64,233.64,233.64,100,20220518
233.51,233.7,233.51,233.62,500,20220518
233.56,233.615,233.51,233.615,1558,20220518
233.55,233.93,233.52,233.82,3936,20220518
234.14,234.16,234.105,234.105,696,20220518
234.155,234.17,233.91,234.17,1169,20220518
