open,high,low,close,volume,datetime
84.91,85.27,84.66,84.775,23709,20220518
84.755,84.755,84.451,84.53,1527,20220518
84.42,84.62,84.34,84.6,2877,20220518
84.6,84.64,84.5,84.55,4424,20220518
84.56,84.66,84.47,84.4711,4552,20220518
84.5,84.64,84.45,84.64,1227,20220518
84.7,85.0,84.7,85.0,3734,20220518
84.91,85.1,84.91,84.97,8184,20220518
84.89,84.98,84.82,84.98,1250,20220518
85.03,85.04,84.73,84.73,1620,20220518
84.73,84.73,84.46,84.46,690,20220518
84.44,84.5,84.41,84.41,700,20220518
84.385,84.385,84.08,84.15,1662,20220518
84.265,84.265,84.09,84.09,864,20220518
84.07,84.07,84.07,84.07,200,20220518
84.09,84.29,84.09,84.29,1208,20220518
84.22,84.22,84.07,84.1,3014,20220518
84.12,84.135,84.07,84.135,2695,20220518
84.16,84.17,83.9845,83.9845,4279,20220518
83.965,84.02,83.85,84.02,608,20220518
83.92,83.97,83.8,83.85,1017,20220518
83.78,83.86,83.75,83.77,1020,20220518
83.69,83.82,83.64,83.77,2750,20220518
83.78,83.8,83.78,83.8,300,20220518
83.69,83.7,83.59,83.7,1225,20220518
83.67,83.69,83.62,83.62,403,20220518
83.57,83.57,83.34,83.35,1500,20220518
83.27,83.35,83.21,83.33,1300,20220518
83.16,83.16,82.965,83.02,4554,20220518
83.04,83.05,82.97,83.0,500,20220518
83.08,83.08,82.9,82.9675,8122,20220518
82.98,83.07,82.94,83.02,5450,20220518
83.05,83.07,82.96,83.0,4093,20220518
82.915,83.05,82.915,83.036,4490,20220518
82.9961,83.055,82.9,82.93,1664,20220518
82.87,83.0,82.85,82.85,973,20220518
82.93,82.97,82.89,82.91,1409,20220518
82.91,82.93,82.88,82.91,800,20220518
82.87,82.87,82.73,82.768,4045,20220518
82.74,82.74,82.7,82.7,200,20220518
82.74,82.8,82.705,82.73,2701,20220518
82.72,82.77,82.59,82.68,2782,20220518
82.69,82.755,82.6,82.64,904,20220518
82.7,82.7,82.7,82.7,100,20220518
82.779,82.78,82.72,82.72,1847,20220518
82.73,82.8,82.66,82.79,1301,20220518
82.805,82.805,82.74,82.8,1282,20220518
82.79,82.8,82.75,82.8,819,20220518
82.77,82.849,82.77,82.8199,4755,20220518
82.815,82.85,82.815,82.85,17200,20220518
82.84,82.87,82.81,82.87,4550,20220518
82.87,82.91,82.84,82.84,4227,20220518
82.74,82.79,82.7,82.75,2047,20220518
82.71,82.76,82.7056,82.76,1093,20220518
82.67,82.75,82.63,82.7,1091,20220518
82.65,82.65,82.55,82.61,1747,20220518
82.65,82.715,82.58,82.58,1507,20220518
82.58,82.62,82.55,82.56,2365,20220518
82.56,82.6,82.46,82.495,3349,20220518
82.47,82.5,82.3195,82.32,4567,20220518
82.28,82.32,82.23,82.25,1520,20220518
82.39,82.39,82.29,82.3,1216,20220518
