open,high,low,close,volume,datetime
55.33,55.45,55.28,55.315,14065,20220518
55.295,55.3578,55.22,55.3578,800,20220518
55.17,55.17,55.0,55.02,864,20220518
55.035,55.035,55.02,55.02,300,20220518
54.98,55.07,54.93,55.07,3943,20220518
55.14,55.2,55.14,55.2,200,20220518
55.12,55.16,55.05,55.16,901,20220518
55.24,55.24,55.15,55.18,1006,20220518
55.13,55.14,55.115,55.115,500,20220518
55.115,55.17,55.085,55.085,2425,20220518
55.05,55.05,54.95,54.96,2050,20220518
54.93,54.94,54.83,54.84,9571,20220518
54.83,54.88,54.72,54.72,8490,20220518
54.775,54.775,54.73,54.73,350,20220518
54.78,54.83,54.71,54.715,2541,20220518
54.71,54.77,54.68,54.745,725,20220518
54.7703,54.8,54.7703,54.785,1800,20220518
54.77,54.83,54.77,54.8,1100,20220518
54.82,54.82,54.7,54.76,1667,20220518
54.76,54.805,54.7201,54.805,1350,20220518
54.79,54.825,54.72,54.78,3256,20220518
54.7,54.7,54.62,54.62,744,20220518
54.64,54.64,54.565,54.565,808,20220518
54.52,54.564,54.51,54.564,851,20220518
54.48,54.555,54.47,54.555,400,20220518
54.555,54.555,54.53,54.53,200,20220518
54.615,54.645,54.615,54.645,600,20220518
54.61,54.65,54.51,54.57,1312,20220518
54.6,54.6,54.52,54.52,14672,20220518
54.53,54.53,54.47,54.48,400,20220518
54.51,54.57,54.47,54.54,2543,20220518
54.52,54.52,54.34,54.395,4925,20220518
54.395,54.4,54.33,54.33,800,20220518
54.375,54.375,54.3396,54.365,469,20220518
54.405,54.47,54.33,54.33,1800,20220518
54.31,54.31,54.26,54.27,1100,20220518
54.23,54.27,54.17,54.2,4897,20220518
54.16,54.16,54.11,54.15,2535,20220518
54.13,54.23,54.07,54.16,7835,20220518
54.16,54.24,54.16,54.24,1721,20220518
54.335,54.335,54.24,54.25,1601,20220518
54.22,54.22,54.13,54.17,1894,20220518
54.17,54.17,54.13,54.145,1763,20220518
54.15,54.17,54.13,54.13,4440,20220518
54.13,54.13,54.03,54.07,4804,20220518
54.07,54.09,54.02,54.07,4982,20220518
54.08,54.15,54.0611,54.13,1308,20220518
54.12,54.155,54.09,54.155,1587,20220518
54.155,54.155,54.07,54.075,1799,20220518
54.06,54.11,54.06,54.09,1174,20220518
54.06,54.07,54.035,54.06,2257,20220518
54.06,54.06,53.97,54.025,5037,20220518
54.03,54.03,53.91,53.96,1581,20220518
53.95,54.013,53.935,54.013,1860,20220518
53.97,54.03,53.97,54.0292,2825,20220518
54.04,54.05,54.01,54.01,2251,20220518
54.02,54.02,53.97,53.97,1390,20220518
53.94,53.94,53.8914,53.8914,3071,20220518
53.89,53.89,53.82,53.85,700,20220518
53.85,53.9,53.85,53.9,2598,20220518
53.935,53.95,53.88,53.88,1570,20220518
53.9,53.93,53.88,53.8825,1250,20220518
53.87,53.87,53.78,53.81,3930,20220518
53.785,53.79,53.72,53.72,9870,20220518
53.7351,53.79,53.72,53.79,4209,20220518
53.8,53.8,53.73,53.735,3125,20220518
53.7,53.74,53.695,53.71,2862,20220518
53.73,53.8,53.73,53.7813,1590,20220518
53.83,53.86,53.82,53.82,725,20220518
53.82,53.825,53.77,53.78,1335,20220518
53.78,53.81,53.775,53.79,2254,20220518
53.82,53.86,53.82,53.855,1600,20220518
53.84,53.85,53.8,53.8,3288,20220518
53.815,53.83,53.79,53.79,2180,20220518
53.81,53.81,53.74,53.74,1948,20220518
53.71,53.72,53.69,53.715,1467,20220518
53.7359,53.79,53.715,53.7242,5040,20220518
53.7,53.71,53.68,53.695,1674,20220518
53.665,53.75,53.665,53.72,1511,20220518
53.67,53.67,53.67,53.67,300,20220518
53.67,53.69,53.645,53.645,700,20220518
53.66,53.67,53.65,53.67,600,20220518
53.63,53.63,53.59,53.61,2824,20220518
53.595,53.595,53.595,53.595,300,20220518
53.595,53.595,53.53,53.54,1929,20220518
53.54,53.54,53.46,53.46,4460,20220518
53.4751,53.4751,53.4,53.4,1002,20220518
53.43,53.44,53.3824,53.39,3361,20220518
53.39,53.43,53.38,53.425,1420,20220518
53.395,53.49,53.395,53.48,3588,20220518
53.45,53.46,53.43,53.45,2132,20220518
53.43,53.51,53.43,53.49,2026,20220518
53.51,53.6,53.51,53.6,647,20220518
53.59,53.59,53.56,53.56,661,20220518
