open,high,low,close,volume,datetime
36.65,36.65,36.6,36.6,4512,20220518
36.61,36.66,36.6,36.6,1103,20220518
36.73,36.75,36.73,36.75,400,20220518
36.88,36.89,36.88,36.89,300,20220518
36.775,36.86,36.71,36.86,703,20220518
36.86,36.86,36.78,36.78,500,20220518
36.735,36.74,36.645,36.645,600,20220518
36.7,36.7,36.7,36.7,100,20220518
36.62,36.63,36.58,36.58,500,20220518
36.515,36.54,36.515,36.54,200,20220518
36.58,36.58,36.58,36.58,100,20220518
36.65,36.65,36.65,36.65,100,20220518
36.645,36.68,36.645,36.65,400,20220518
36.65,36.65,36.6,36.61,2402,20220518
36.63,36.64,36.61,36.64,600,20220518
36.74,36.74,36.74,36.74,100,20220518
36.7,36.71,36.67,36.71,1021,20220518
36.725,36.725,36.66,36.66,913,20220518
36.7,36.71,36.7,36.71,400,20220518
36.76,36.76,36.76,36.76,212,20220518
36.8,36.82,36.77,36.775,2461,20220518
36.75,36.8,36.75,36.77,1967,20220518
36.77,36.77,36.67,36.67,1100,20220518
36.62,36.62,36.58,36.61,400,20220518
36.6,36.62,36.58,36.615,700,20220518
36.615,36.615,36.57,36.57,500,20220518
36.66,36.7,36.66,36.68,301,20220518
36.77,36.83,36.73,36.73,1885,20220518
36.8,36.8,36.8,36.8,200,20220518
36.84,36.85,36.84,36.84,600,20220518
36.865,36.865,36.8,36.81,811,20220518
36.88,36.88,36.88,36.88,250,20220518
36.86,36.875,36.85,36.875,1066,20220518
36.84,36.84,36.82,36.82,500,20220518
36.82,36.84,36.81,36.81,1526,20220518
36.77,36.77,36.7699,36.7699,401,20220518
36.755,36.755,36.75,36.75,200,20220518
36.735,36.735,36.68,36.71,1456,20220518
36.725,36.725,36.69,36.69,600,20220518
36.72,36.75,36.72,36.75,964,20220518
36.806,36.85,36.8,36.8,430,20220518
36.77,36.77,36.76,36.76,309,20220518
36.76,36.76,36.755,36.755,300,20220518
36.76,36.77,36.76,36.77,305,20220518
36.8,36.8,36.8,36.8,249,20220518
36.73,36.73,36.73,36.73,100,20220518
36.75,36.785,36.75,36.785,507,20220518
36.8,36.81,36.79,36.8,514,20220518
36.8,36.8,36.77,36.77,300,20220518
36.75,36.79,36.75,36.75,900,20220518
36.77,36.786,36.77,36.786,404,20220518
36.79,36.84,36.79,36.79,28469,20220518
36.78,36.78,36.7,36.7,1970,20220518
36.68,36.68,36.57,36.57,699,20220518
36.53,36.57,36.53,36.57,1801,20220518
36.51,36.55,36.51,36.55,700,20220518
36.54,36.61,36.54,36.61,1517,20220518
36.6,36.6,36.6,36.6,1110,20220518
36.58,36.59,36.56,36.56,627,20220518
36.57,36.625,36.57,36.6,1106,20220518
36.61,36.625,36.61,36.625,302,20220518
36.61,36.68,36.6,36.68,959,20220518
36.71,36.71,36.66,36.68,700,20220518
36.72,36.73,36.71,36.725,500,20220518
36.75,36.755,36.75,36.755,1247,20220518
36.83,36.83,36.81,36.825,500,20220518
36.85,36.86,36.84,36.85,1201,20220518
36.85,36.89,36.83,36.86,2817,20220518
36.875,36.875,36.82,36.82,2168,20220518
36.83,36.89,36.83,36.88,685,20220518
36.85,36.87,36.85,36.86,400,20220518
36.865,36.88,36.84,36.84,2430,20220518
