open,high,low,close,volume,datetime
402.26,402.26,401.725,401.725,1814,20220518
401.4,401.4,401.4,401.4,200,20220518
402.215,402.215,402.215,402.215,100,20220518
403.4,403.4,403.09,403.09,400,20220518
405.01,405.01,405.01,405.01,296,20220518
403.71,403.71,403.71,403.71,100,20220518
403.15,404.05,403.09,404.05,775,20220518
403.8,403.8,401.8,402.785,1250,20220518
402.47,402.47,402.47,402.47,100,20220518
402.0,402.99,402.0,402.99,300,20220518
402.34,402.5,402.32,402.32,400,20220518
402.5,402.5,402.5,402.5,200,20220518
402.4,402.5,402.2,402.39,400,20220518
402.435,402.435,402.435,402.435,100,20220518
402.41,402.41,401.92,401.92,1019,20220518
402.3225,402.44,402.3225,402.44,300,20220518
402.23,402.23,402.23,402.23,100,20220518
402.49,402.68,402.27,402.59,1560,20220518
402.55,402.8,402.37,402.72,500,20220518
403.08,403.08,403.08,403.08,100,20220518
403.4075,403.4075,403.32,403.32,200,20220518
403.225,403.25,403.0,403.25,387,20220518
403.01,403.17,402.73,403.11,500,20220518
402.84,402.84,402.64,402.64,600,20220518
402.98,402.98,402.89,402.89,200,20220518
403.46,403.46,403.46,403.46,202,20220518
403.53,403.53,403.15,403.15,300,20220518
403.325,403.325,402.89,402.89,358,20220518
403.46,403.46,403.46,403.46,100,20220518
403.15,403.19,403.15,403.19,400,20220518
402.49,402.49,402.48,402.48,200,20220518
403.305,403.305,403.305,403.305,100,20220518
403.67,403.68,403.5,403.68,904,20220518
403.335,403.335,403.335,403.335,100,20220518
402.39,402.39,402.39,402.39,100,20220518
401.61,401.755,401.14,401.755,600,20220518
401.51,401.51,401.51,401.51,100,20220518
401.98,401.98,401.955,401.955,200,20220518
402.11,402.11,402.11,402.11,100,20220518
401.26,401.26,401.26,401.26,100,20220518
401.44,401.47,401.44,401.47,200,20220518
401.715,401.715,401.715,401.715,100,20220518
401.33,401.33,401.33,401.33,100,20220518
401.72,401.72,401.72,401.72,100,20220518
402.04,402.04,402.04,402.04,100,20220518
401.35,401.35,401.35,401.35,100,20220518
401.03,401.03,401.03,401.03,100,20220518
400.75,400.75,400.75,400.75,200,20220518
401.16,401.57,401.16,401.57,265,20220518
400.3,400.3,400.3,400.3,100,20220518
400.19,400.19,400.19,400.19,100,20220518
399.33,399.7,399.33,399.7,202,20220518
399.35,399.35,399.35,399.35,100,20220518
398.42,398.42,398.29,398.29,200,20220518
397.53,397.53,396.8,396.8,1063,20220518
396.88,396.9,396.65,396.65,701,20220518
397.08,397.08,397.08,397.08,100,20220518
396.15,396.15,396.15,396.15,100,20220518
396.204,396.204,396.07,396.07,300,20220518
396.4,396.4,396.4,396.4,176,20220518
396.11,396.11,395.765,395.765,500,20220518
395.845,395.845,395.845,395.845,100,20220518
395.74,396.06,395.74,396.06,469,20220518
396.12,396.12,396.02,396.02,202,20220518
396.34,396.76,396.34,396.76,428,20220518
396.42,396.42,396.42,396.42,178,20220518
396.71,396.71,396.71,396.71,111,20220518
396.62,396.62,396.11,396.11,238,20220518
396.82,396.85,396.82,396.85,200,20220518
396.74,396.74,396.47,396.47,200,20220518
395.98,396.045,395.98,396.045,200,20220518
395.62,395.62,395.61,395.61,200,20220518
395.63,395.65,395.63,395.65,263,20220518
395.36,395.36,395.36,395.36,100,20220518
395.17,395.21,395.1,395.21,399,20220518
395.29,395.44,395.29,395.44,416,20220518
394.83,394.83,394.83,394.83,100,20220518
395.05,395.09,395.05,395.09,268,20220518
394.875,394.875,394.875,394.875,100,20220518
394.79,395.09,394.79,395.09,522,20220518
394.84,394.84,394.84,394.84,100,20220518
395.3557,395.3557,395.3557,395.3557,171,20220518
395.26,395.5,395.26,395.5,565,20220518
395.53,395.53,395.53,395.53,123,20220518
395.19,395.19,395.19,395.19,100,20220518
393.94,393.94,393.94,393.94,200,20220518
394.535,394.535,393.975,393.975,400,20220518
393.89,394.028,393.73,394.028,400,20220518
394.08,394.24,394.0314,394.24,410,20220518
394.495,394.495,394.495,394.495,100,20220518
394.41,394.41,394.41,394.41,100,20220518
394.57,394.59,394.57,394.59,207,20220518
395.23,395.38,395.17,395.38,400,20220518
394.95,394.95,394.95,394.95,100,20220518
395.43,395.43,395.43,395.43,400,20220518
394.91,394.91,394.89,394.89,200,20220518
395.45,395.775,395.45,395.775,200,20220518
395.96,395.96,395.96,395.96,110,20220518
395.82,395.82,395.82,395.82,100,20220518
396.02,396.02,396.02,396.02,100,20220518
396.2,396.2,396.195,396.195,200,20220518
396.0,396.0,395.6,395.6,409,20220518
395.55,395.55,395.28,395.28,200,20220518
395.61,395.61,395.61,395.61,100,20220518
395.24,395.415,395.21,395.415,300,20220518
393.97,393.97,393.97,393.97,200,20220518
393.72,393.72,393.405,393.405,200,20220518
393.39,393.39,393.37,393.37,402,20220518
393.55,393.55,393.55,393.55,594,20220518
393.43,393.43,393.43,393.43,273,20220518
393.485,393.485,393.485,393.485,100,20220518
393.19,393.3,393.19,393.3,200,20220518
393.4,393.5,393.4,393.5,200,20220518
394.32,394.32,394.275,394.275,200,20220518
393.49,393.49,393.49,393.49,100,20220518
393.775,393.89,393.775,393.79,519,20220518
393.715,393.715,393.715,393.715,100,20220518
393.55,393.55,393.55,393.55,100,20220518
393.13,393.13,393.13,393.13,100,20220518
393.63,393.63,393.46,393.46,490,20220518
393.35,393.35,392.76,392.76,200,20220518
392.615,392.615,392.615,392.615,100,20220518
391.545,391.545,391.545,391.545,100,20220518
391.679,391.679,391.679,391.679,100,20220518
390.965,390.965,390.965,390.965,100,20220518
390.79,390.79,390.79,390.79,100,20220518
390.79,391.0877,390.79,390.81,505,20220518
390.955,390.955,390.955,390.955,100,20220518
391.05,391.33,391.05,391.17,500,20220518
391.17,391.17,390.84,390.84,300,20220518
390.52,390.52,390.52,390.52,101,20220518
390.6526,390.6526,390.6526,390.6526,750,20220518
391.05,391.23,390.98,390.98,529,20220518
391.15,391.15,391.15,391.15,100,20220518
390.56,390.56,390.56,390.56,100,20220518
390.57,390.57,390.57,390.57,100,20220518
390.76,390.76,390.76,390.76,100,20220518
391.25,391.25,390.65,390.65,500,20220518
391.14,391.14,391.14,391.14,100,20220518
390.85,390.86,390.85,390.86,300,20220518
390.67,390.67,390.36,390.36,700,20220518
390.32,390.32,390.32,390.32,100,20220518
390.63,390.63,390.52,390.52,400,20220518
390.93,390.93,390.93,390.93,120,20220518
391.0,391.02,390.74,390.85,600,20220518
391.345,391.345,391.31,391.31,200,20220518
391.16,391.6,391.15,391.19,400,20220518
391.15,391.17,391.15,391.16,300,20220518
391.21,391.33,391.21,391.33,200,20220518
391.13,391.13,390.77,390.77,497,20220518
390.685,390.685,390.37,390.42,410,20220518
390.27,390.27,390.27,390.27,100,20220518
390.31,390.31,389.79,389.79,400,20220518
390.02,390.02,390.02,390.02,100,20220518
390.19,390.21,390.12,390.12,751,20220518
390.54,390.72,390.535,390.72,600,20220518
390.48,390.81,390.48,390.48,346,20220518
390.4,390.51,390.37,390.37,400,20220518
