open,high,low,close,volume,datetime
47.39,47.54,47.3,47.3,60839,20220518
47.3,47.32,47.19,47.2192,12936,20220518
47.2001,47.22,47.03,47.09,5907,20220518
47.11,47.11,47.06,47.06,5859,20220518
47.07,47.23,47.07,47.22,13526,20220518
47.23,47.27,47.17,47.27,11226,20220518
47.26,47.31,47.18,47.28,7687,20220518
47.28,47.3015,47.1569,47.18,5848,20220518
47.17,47.22,47.16,47.18,7643,20220518
47.19,47.2,47.11,47.15,10396,20220518
47.15,47.2,47.11,47.13,12517,20220518
47.18,47.22,47.13,47.18,5703,20220518
47.18,47.195,47.01,47.03,17492,20220518
47.02,47.07,46.975,47.07,6047,20220518
47.06,47.16,47.06,47.11,8975,20220518
47.11,47.19,47.09,47.19,8196,20220518
47.19,47.29,47.13,47.275,7927,20220518
47.3,47.41,47.2694,47.4,6406,20220518
47.39,47.44,47.38,47.44,12297,20220518
47.435,47.47,47.4,47.465,9762,20220518
47.46,47.46,47.37,47.37,6498,20220518
47.3348,47.43,47.33,47.33,4936,20220518
47.33,47.4061,47.32,47.3959,10331,20220518
47.39,47.405,47.29,47.33,5743,20220518
47.331,47.331,47.28,47.29,6357,20220518
47.295,47.32,47.27,47.28,7241,20220518
47.27,47.275,47.2,47.2,10595,20220518
47.195,47.2,47.125,47.2,7019,20220518
47.19,47.2001,47.17,47.18,3102,20220518
47.1863,47.1863,47.14,47.17,2968,20220518
47.17,47.24,47.165,47.23,5526,20220518
47.24,47.29,47.2215,47.24,14096,20220518
47.25,47.29,47.25,47.29,6043,20220518
47.315,47.315,47.27,47.2746,3061,20220518
47.28,47.29,47.255,47.28,7415,20220518
47.27,47.3,47.23,47.27,4576,20220518
47.27,47.29,47.22,47.22,5938,20220518
47.225,47.225,47.1805,47.19,9312,20220518
47.185,47.185,47.1,47.11,4162,20220518
47.1,47.14,47.06,47.12,8312,20220518
47.14,47.22,47.14,47.186,9828,20220518
47.2,47.21,47.145,47.17,6568,20220518
47.16,47.16,47.1,47.1,6781,20220518
47.12,47.17,47.12,47.13,6198,20220518
47.11,47.19,47.11,47.185,7501,20220518
47.19,47.2,47.15,47.2,12247,20220518
47.195,47.22,47.175,47.21,4535,20220518
47.18,47.21,47.18,47.205,2930,20220518
47.2,47.22,47.19,47.205,3590,20220518
47.19,47.22,47.182,47.22,4486,20220518
47.2,47.32,47.195,47.29,7977,20220518
47.29,47.31,47.28,47.28,4135,20220518
47.29,47.31,47.29,47.3,3115,20220518
47.28,47.2978,47.265,47.27,7324,20220518
47.26,47.295,47.25,47.28,8246,20220518
47.275,47.275,47.23,47.23,4733,20220518
47.22,47.27,47.22,47.22,18017,20220518
47.21,47.21,47.15,47.15,5549,20220518
47.16,47.16,47.1102,47.1102,6249,20220518
47.1,47.12,47.08,47.08,6036,20220518
47.05,47.085,47.045,47.08,7373,20220518
47.08,47.11,47.06,47.09,16137,20220518
47.0996,47.1,47.05,47.07,8795,20220518
47.06,47.14,47.051,47.12,11210,20220518
47.13,47.135,47.11,47.135,6273,20220518
47.13,47.13,47.09,47.12,8052,20220518
47.115,47.145,47.11,47.14,10941,20220518
47.15,47.185,47.15,47.175,8168,20220518
47.17,47.18,47.12,47.125,6740,20220518
47.125,47.16,47.11,47.155,5183,20220518
47.16,47.17,47.105,47.105,3008,20220518
47.105,47.13,47.07,47.13,11182,20220518
47.11,47.115,47.08,47.09,3117,20220518
47.085,47.09,47.06,47.065,10359,20220518
47.05,47.075,47.045,47.06,6101,20220518
47.05,47.0523,47.03,47.045,3845,20220518
47.06,47.15,47.06,47.115,7499,20220518
47.12,47.13,47.105,47.12,2886,20220518
47.12,47.16,47.115,47.12,7942,20220518
47.12,47.13,47.105,47.13,3349,20220518
47.135,47.1479,47.105,47.13,7381,20220518
47.14,47.17,47.13,47.155,5403,20220518
47.14,47.1552,47.14,47.14,5730,20220518
47.15,47.17,47.14,47.15,3855,20220518
47.15,47.165,47.12,47.125,4566,20220518
47.11,47.11,47.08,47.085,5826,20220518
47.08,47.1,47.075,47.1,4946,20220518
47.11,47.17,47.11,47.16,5419,20220518
47.15,47.175,47.15,47.16,81312,20220518
47.15,47.16,47.14,47.14,10736,20220518
47.145,47.15,47.1,47.1,4227,20220518
47.09,47.11,47.03,47.03,5473,20220518
47.03,47.06,47.02,47.02,9395,20220518
47.01,47.04,47.0,47.005,12065,20220518
47.01,47.02,47.0,47.0,5857,20220518
46.995,46.995,46.97,46.975,2490,20220518
46.97,46.985,46.925,46.925,9211,20220518
46.92,46.95,46.91,46.94,14777,20220518
46.9499,46.95,46.935,46.949,4156,20220518
46.94,46.945,46.925,46.94,22371,20220518
46.945,46.945,46.88,46.88,4193,20220518
46.87,46.91,46.87,46.9,3372,20220518
46.9,46.91,46.9,46.905,2638,20220518
46.905,46.91,46.905,46.91,1210,20220518
46.9096,46.91,46.9,46.9,650,20220518
46.905,46.91,46.9,46.9045,3163,20220518
46.9035,46.915,46.85,46.85,13520,20220518
46.85,46.865,46.83,46.83,3881,20220518
46.825,46.845,46.82,46.8242,3725,20220518
46.8263,46.855,46.8263,46.855,4586,20220518
46.85,46.85,46.8,46.82,4806,20220518
46.82,46.82,46.765,46.765,2728,20220518
46.765,46.77,46.75,46.77,4801,20220518
46.77,46.77,46.73,46.74,5865,20220518
46.75,46.75,46.7,46.7,2832,20220518
46.695,46.77,46.685,46.74,6866,20220518
46.73,46.7399,46.72,46.735,1420,20220518
46.74,46.74,46.7,46.705,3242,20220518
46.7,46.7,46.68,46.69,5733,20220518
46.69,46.69,46.65,46.67,14505,20220518
46.675,46.69,46.6477,46.6477,10110,20220518
46.64,46.75,46.64,46.7301,11476,20220518
46.74,46.75,46.705,46.72,6937,20220518
46.73,46.76,46.73,46.755,6213,20220518
46.75,46.77,46.7301,46.76,6854,20220518
46.77,46.83,46.77,46.78,9841,20220518
46.78,46.82,46.77,46.8043,8230,20220518
46.8,46.86,46.78,46.855,6120,20220518
46.86,46.865,46.835,46.84,2770,20220518
46.8314,46.8314,46.79,46.8,3742,20220518
46.79,46.79,46.76,46.775,9616,20220518
46.77,46.81,46.77,46.805,4836,20220518
46.8,46.83,46.76,46.83,7420,20220518
46.82,46.82,46.76,46.76,3784,20220518
46.76,46.78,46.7505,46.78,5117,20220518
46.78,46.79,46.73,46.73,7604,20220518
46.73,46.76,46.72,46.75,3862,20220518
46.74,46.74,46.705,46.71,4137,20220518
46.7245,46.725,46.69,46.7,2475,20220518
46.7,46.73,46.7,46.72,2843,20220518
46.72,46.74,46.7,46.74,3853,20220518
46.74,46.74,46.71,46.715,5435,20220518
46.71,46.71,46.67,46.67,5170,20220518
46.6637,46.67,46.63,46.635,16325,20220518
46.64,46.655,46.58,46.6088,16898,20220518
46.605,46.63,46.59,46.63,4157,20220518
46.625,46.65,46.605,46.6184,19475,20220518
46.62,46.645,46.62,46.64,2793,20220518
46.64,46.65,46.615,46.615,5012,20220518
46.59,46.6,46.585,46.585,5038,20220518
46.58,46.58,46.555,46.57,4114,20220518
46.56,46.59,46.5541,46.575,8924,20220518
46.59,46.59,46.5436,46.56,9786,20220518
46.56,46.57,46.53,46.55,49258,20220518
46.56,46.5861,46.55,46.55,9762,20220518
46.56,46.56,46.51,46.51,8589,20220518
46.5078,46.5399,46.5078,46.5399,3148,20220518
46.535,46.57,46.535,46.57,6788,20220518
46.57,46.58,46.54,46.55,5657,20220518
46.55,46.55,46.5,46.53,13107,20220518
46.51,46.56,46.5023,46.56,5675,20220518
46.56,46.61,46.55,46.6,7273,20220518
46.6,46.61,46.57,46.5999,7331,20220518
46.61,46.63,46.6001,46.605,13856,20220518
46.6,46.61,46.59,46.61,11189,20220518
46.6,46.66,46.595,46.65,10792,20220518
46.65,46.72,46.65,46.71,9379,20220518
46.715,46.76,46.715,46.75,6207,20220518
46.75,46.76,46.7159,46.7515,5459,20220518
46.7482,46.75,46.72,46.75,5021,20220518
46.76,46.773,46.75,46.75,6085,20220518
46.75,46.75,46.65,46.65,15839,20220518
46.64,46.66,46.615,46.615,7912,20220518
46.59,46.62,46.525,46.53,10989,20220518
46.54,46.56,46.52,46.53,7797,20220518
46.515,46.54,46.49,46.5,6888,20220518
46.49,46.5001,46.46,46.485,4550,20220518
46.495,46.515,46.4933,46.515,3687,20220518
46.51,46.59,46.5,46.59,7919,20220518
46.59,46.59,46.56,46.58,4390,20220518
46.5788,46.59,46.55,46.55,3265,20220518
46.54,46.6,46.54,46.6,5461,20220518
46.6,46.6,46.5584,46.56,3742,20220518
46.56,46.585,46.55,46.585,5544,20220518
46.58,46.64,46.58,46.63,7641,20220518
46.63,46.64,46.62,46.63,3757,20220518
46.63,46.65,46.615,46.6484,5651,20220518
46.6456,46.67,46.625,46.634,5136,20220518
46.64,46.64,46.56,46.58,6846,20220518
46.59,46.66,46.5806,46.66,4495,20220518
46.65,46.66,46.635,46.66,4070,20220518
46.65,46.65,46.6316,46.64,4638,20220518
46.64,46.64,46.61,46.64,2263,20220518
46.63,46.66,46.625,46.63,4911,20220518
46.625,46.6355,46.58,46.5954,10587,20220518
46.59,46.61,46.575,46.61,2718,20220518
46.61,46.67,46.61,46.66,8620,20220518
46.6776,46.7,46.655,46.7,3379,20220518
46.7,46.71,46.68,46.69,7966,20220518
46.68,46.725,46.68,46.725,5141,20220518
46.73,46.761,46.72,46.76,4033,20220518
46.77,46.7735,46.745,46.76,5020,20220518
46.76,46.785,46.76,46.785,3497,20220518
46.78,46.795,46.77,46.77,6100,20220518
46.765,46.765,46.75,46.76,3425,20220518
46.76,46.76,46.75,46.76,900,20220518
46.75,46.75,46.71,46.71,5577,20220518
46.72,46.735,46.715,46.735,2033,20220518
46.74,46.76,46.74,46.76,3971,20220518
46.75,46.755,46.73,46.73,2877,20220518
46.72,46.72,46.6412,46.645,5437,20220518
46.65,46.67,46.635,46.66,12601,20220518
46.665,46.68,46.665,46.67,4032,20220518
46.66,46.66,46.63,46.63,7509,20220518
46.62,46.64,46.62,46.63,1201,20220518
46.62,46.625,46.595,46.6,7199,20220518
46.61,46.63,46.595,46.595,2618,20220518
46.6,46.6,46.56,46.565,2412,20220518
46.56,46.57,46.54,46.55,3580,20220518
46.53,46.535,46.51,46.53,6691,20220518
46.535,46.535,46.5,46.5,4030,20220518
46.505,46.51,46.49,46.495,2037,20220518
46.5,46.515,46.48,46.48,9005,20220518
46.48,46.51,46.475,46.51,1802,20220518
46.51,46.53,46.51,46.52,2755,20220518
46.51,46.52,46.495,46.52,2980,20220518
46.51,46.53,46.49,46.49,1600,20220518
46.5,46.5,46.4716,46.49,6092,20220518
46.5,46.51,46.5,46.51,2331,20220518
46.505,46.505,46.47,46.47,28911,20220518
46.48,46.5,46.46,46.46,5393,20220518
46.46,46.53,46.46,46.52,7906,20220518
46.51,46.54,46.51,46.54,2841,20220518
46.55,46.56,46.52,46.52,4090,20220518
46.51,46.51,46.48,46.48,3696,20220518
46.48,46.51,46.46,46.465,3916,20220518
46.46,46.475,46.445,46.45,4064,20220518
46.45,46.46,46.4379,46.46,5849,20220518
46.49,46.5153,46.48,46.505,6278,20220518
46.51,46.52,46.49,46.5,2696,20220518
46.49,46.49,46.42,46.445,11422,20220518
46.45,46.505,46.45,46.5012,12754,20220518
46.49,46.5,46.465,46.465,1981,20220518
46.46,46.475,46.45,46.46,2511,20220518
46.455,46.5,46.445,46.49,13488,20220518
46.5,46.515,46.48,46.51,11841,20220518
46.505,46.525,46.495,46.5183,8155,20220518
46.51,46.535,46.495,46.505,4473,20220518
46.51,46.525,46.505,46.525,1338,20220518
