open,high,low,close,volume,datetime
71.43,73.03,71.43,71.59,20839,20220518
71.57,71.665,71.45,71.45,900,20220518
71.48,71.7,71.48,71.605,3202,20220518
71.61,71.89,71.5,71.64,7347,20220518
71.8,71.8,71.19,71.48,6437,20220518
71.355,71.64,71.355,71.57,9264,20220518
71.39,71.6,71.32,71.54,6400,20220518
71.25,71.26,70.78,70.83,20205,20220518
70.75,70.85,70.62,70.775,12499,20220518
70.71,70.765,70.17,70.17,8694,20220518
70.2726,70.32,70.05,70.09,10700,20220518
70.06,70.06,69.84,69.905,7703,20220518
69.905,69.91,69.605,69.605,4106,20220518
69.65,70.32,69.53,69.93,26062,20220518
69.79,69.945,69.72,69.72,2000,20220518
69.62,69.94,69.55,69.94,10412,20220518
69.81,69.81,69.37,69.44,6540,20220518
69.36,69.57,69.15,69.16,14612,20220518
69.08,69.08,68.63,68.76,16005,20220518
68.68,68.69,68.48,68.68,6504,20220518
68.66,68.75,68.1,68.22,8028,20220518
68.14,68.56,68.13,68.4,60312,20220518
68.44,68.56,68.31,68.51,18518,20220518
68.515,68.95,68.515,68.75,6143,20220518
68.78,68.8,68.66,68.705,5662,20220518
68.705,68.85,68.6615,68.705,2058,20220518
68.71,68.85,68.66,68.66,2937,20220518
68.66,68.82,68.527,68.61,8078,20220518
68.755,68.98,68.59,68.98,2877,20220518
68.905,69.3,68.905,69.125,6295,20220518
69.07,69.36,68.94,69.2808,9275,20220518
69.37,69.81,69.37,69.69,9720,20220518
69.6169,69.83,69.61,69.76,7149,20220518
69.74,69.8,69.62,69.6396,3407,20220518
69.74,69.78,69.715,69.78,500,20220518
69.645,69.99,69.6,69.95,8937,20220518
69.91,70.03,69.8,69.89,4900,20220518
69.9,69.94,69.66,69.81,6345,20220518
69.74,69.795,69.44,69.53,5931,20220518
69.385,69.48,69.33,69.465,1843,20220518
69.465,69.63,69.41,69.41,3782,20220518
69.22,69.23,69.08,69.22,1100,20220518
69.065,69.15,68.81,68.935,4553,20220518
68.87,69.08,68.78,68.98,2582,20220518
69.01,69.05,68.94,68.99,900,20220518
69.06,69.06,68.95,68.95,1900,20220518
69.005,69.005,68.57,68.78,4400,20220518
68.86,68.86,68.84,68.845,500,20220518
68.85,68.855,68.71,68.71,3100,20220518
68.65,68.76,68.6,68.76,2900,20220518
68.76,68.84,68.725,68.84,1450,20220518
68.84,68.94,68.81,68.865,1925,20220518
68.78,68.78,68.695,68.695,1404,20220518
68.73,68.75,68.57,68.73,3425,20220518
68.68,68.78,68.58,68.745,2200,20220518
68.76,68.81,68.73,68.7604,3514,20220518
68.7699,68.81,68.73,68.75,3459,20220518
68.66,68.695,68.48,68.5,5301,20220518
68.53,68.54,68.45,68.52,6863,20220518
68.48,68.48,68.09,68.13,4627,20220518
68.08,68.345,68.08,68.305,4700,20220518
68.31,68.35,68.05,68.26,13913,20220518
68.25,68.46,68.25,68.4326,2000,20220518
68.44,68.61,68.37,68.61,4932,20220518
68.61,68.64,68.43,68.43,2300,20220518
68.385,68.385,68.32,68.32,1502,20220518
68.315,68.38,68.06,68.06,4808,20220518
68.095,68.1,67.495,67.495,19809,20220518
67.495,67.61,67.4,67.57,3137,20220518
67.61,67.69,67.59,67.68,2000,20220518
67.73,67.78,67.65,67.7,2406,20220518
67.74,67.77,67.74,67.75,800,20220518
67.67,67.785,67.67,67.78,1133,20220518
67.75,67.78,67.63,67.66,6902,20220518
67.63,67.67,67.535,67.575,7617,20220518
67.61,67.67,67.33,67.46,4840,20220518
67.47,67.61,67.46,67.555,2100,20220518
67.48,67.53,67.4,67.45,1923,20220518
67.48,67.76,67.44,67.69,13073,20220518
67.75,67.96,67.66,67.96,23604,20220518
67.9,67.9,67.66,67.67,4406,20220518
67.75,67.75,67.465,67.465,16970,20220518
67.425,67.425,67.26,67.308,5604,20220518
67.3,67.53,67.27,67.395,16737,20220518
67.43,67.48,67.315,67.365,25652,20220518
67.3,67.37,67.11,67.11,4014,20220518
67.05,67.15,66.93,66.93,14366,20220518
67.01,67.235,67.0,67.235,6285,20220518
67.215,67.31,67.13,67.18,4156,20220518
67.135,67.17,67.02,67.04,8200,20220518
67.05,67.21,67.04,67.15,3882,20220518
67.185,67.54,67.13,67.5,7387,20220518
67.53,67.8,67.48,67.73,8287,20220518
67.73,67.9025,67.67,67.77,10877,20220518
67.77,67.77,67.615,67.66,7544,20220518
67.68,67.7184,67.64,67.7184,400,20220518
67.64,67.64,67.39,67.395,4201,20220518
67.395,67.535,67.33,67.48,6801,20220518
67.545,67.5786,67.545,67.5786,200,20220518
67.5688,67.625,67.54,67.54,3211,20220518
67.5,67.51,67.3,67.33,2905,20220518
67.37,67.41,67.33,67.34,2700,20220518
67.33,67.43,67.33,67.43,501,20220518
67.385,67.41,67.385,67.385,300,20220518
67.385,67.385,67.35,67.35,300,20220518
67.375,67.41,67.34,67.34,1479,20220518
67.37,67.38,67.05,67.05,7276,20220518
67.03,67.04,66.98,67.02,1150,20220518
67.01,67.01,66.82,66.835,1500,20220518
66.88,66.9,66.84,66.9,3918,20220518
66.84,66.96,66.82,66.96,5880,20220518
66.94,67.06,66.74,66.78,10785,20220518
66.835,66.84,66.835,66.84,290,20220518
66.81,66.83,66.75,66.79,1200,20220518
66.74,66.77,66.74,66.77,900,20220518
66.83,66.9,66.8,66.9,500,20220518
66.87,66.93,66.85,66.915,2355,20220518
66.88,67.1,66.88,67.095,5672,20220518
67.04,67.1,66.96,67.1,1035,20220518
66.94,66.96,66.91,66.9599,1042,20220518
66.895,66.96,66.895,66.96,2996,20220518
66.98,67.11,66.98,67.05,6605,20220518
67.065,67.115,67.04,67.09,14050,20220518
67.14,67.22,67.14,67.155,1390,20220518
67.1,67.14,67.07,67.08,7244,20220518
67.03,67.08,67.02,67.03,1953,20220518
67.06,67.25,67.06,67.2341,5280,20220518
67.24,67.53,67.24,67.53,8630,20220518
67.505,67.57,67.3,67.375,1913,20220518
67.26,67.325,67.25,67.315,1236,20220518
67.32,67.43,67.32,67.42,2000,20220518
67.42,67.42,67.42,67.42,100,20220518
67.46,67.505,67.42,67.475,1124,20220518
67.47,67.555,67.44,67.555,2902,20220518
67.55,67.67,67.535,67.67,1900,20220518
67.685,67.71,67.62,67.655,2700,20220518
67.62,67.67,67.58,67.63,4200,20220518
67.58,67.58,67.2,67.2,2287,20220518
67.285,67.3,67.25,67.3,300,20220518
67.2164,67.36,67.2164,67.335,2130,20220518
67.38,67.38,67.31,67.33,1449,20220518
67.371,67.371,67.31,67.31,1100,20220518
67.31,67.39,67.31,67.39,900,20220518
67.31,67.345,67.15,67.15,2727,20220518
67.11,67.135,67.08,67.08,1076,20220518
67.03,67.18,66.99,67.18,1952,20220518
67.19,67.2925,67.14,67.14,4848,20220518
67.156,67.24,67.156,67.24,1129,20220518
67.2,67.23,67.12,67.14,3546,20220518
67.14,67.27,67.13,67.155,5142,20220518
67.15,67.15,67.05,67.12,6610,20220518
67.08,67.13,67.0,67.0,4898,20220518
67.01,67.02,67.0,67.02,1000,20220518
67.045,67.42,67.01,67.42,6728,20220518
67.45,67.51,67.3705,67.44,8547,20220518
67.44,67.44,67.44,67.44,200,20220518
67.38,67.4,67.22,67.22,2903,20220518
67.215,67.215,67.15,67.18,400,20220518
67.17,67.37,67.15,67.37,4390,20220518
67.39,67.39,67.1825,67.3,4442,20220518
67.23,67.23,67.1,67.23,4227,20220518
67.23,67.325,67.145,67.145,12191,20220518
67.1,67.145,66.955,67.0,23827,20220518
67.025,67.025,66.95,66.99,1666,20220518
66.99,67.095,66.99,67.095,9228,20220518
67.08,67.12,66.98,67.12,6039,20220518
67.14,67.2399,67.14,67.155,5343,20220518
67.14,67.26,67.11,67.11,4864,20220518
67.15,67.235,67.145,67.235,3942,20220518
67.225,67.36,67.18,67.28,2975,20220518
67.34,67.47,67.33,67.33,1306,20220518
67.32,67.435,67.295,67.37,900,20220518
67.39,67.39,67.1854,67.1854,3763,20220518
67.225,67.225,67.12,67.15,1000,20220518
67.18,67.22,67.165,67.2,1399,20220518
67.165,67.23,67.16,67.23,700,20220518
67.2,67.22,67.17,67.22,900,20220518
67.3,67.3,67.23,67.255,400,20220518
67.245,67.25,67.09,67.165,16473,20220518
67.18,67.26,67.115,67.26,1263,20220518
67.24,67.3,67.21,67.255,1600,20220518
67.25,67.32,67.25,67.32,2213,20220518
67.385,67.42,67.33,67.37,4500,20220518
67.35,67.35,67.295,67.295,1378,20220518
67.295,67.33,67.295,67.33,300,20220518
67.375,67.3999,67.3,67.3,2201,20220518
67.345,67.425,67.345,67.425,1502,20220518
67.37,67.39,67.2,67.2,2083,20220518
67.22,67.41,67.22,67.41,2436,20220518
67.42,67.47,67.405,67.47,553,20220518
67.42,67.46,67.42,67.46,3487,20220518
67.47,67.51,67.39,67.39,1401,20220518
67.38,67.43,67.3,67.3,300,20220518
67.26,67.26,67.1,67.18,1300,20220518
67.13,67.13,67.02,67.095,2300,20220518
67.1,67.15,67.1,67.15,1420,20220518
67.21,67.21,67.21,67.21,100,20220518
67.2,67.2,67.2,67.2,100,20220518
67.245,67.245,67.2,67.2,200,20220518
67.12,67.2,67.12,67.19,400,20220518
67.19,67.23,67.1718,67.23,4367,20220518
67.225,67.31,67.225,67.31,4622,20220518
67.355,67.38,67.3,67.38,900,20220518
67.31,67.31,67.275,67.29,6035,20220518
67.26,67.32,67.25,67.32,2079,20220518
67.29,67.3,67.25,67.3,400,20220518
67.28,67.35,67.28,67.35,850,20220518
67.28,67.44,67.28,67.44,1950,20220518
67.48,67.52,67.37,67.43,2300,20220518
67.46,67.62,67.45,67.62,2147,20220518
67.6,67.83,67.6,67.78,4064,20220518
67.78,67.83,67.71,67.81,2868,20220518
67.73,67.77,67.73,67.76,1100,20220518
67.75,67.75,67.59,67.59,1486,20220518
67.62,67.65,67.51,67.51,1133,20220518
67.505,67.505,67.36,67.395,2010,20220518
67.4,67.46,67.31,67.31,2700,20220518
67.34,67.415,67.315,67.415,4480,20220518
67.44,67.51,67.285,67.38,5321,20220518
67.355,67.38,67.21,67.225,14850,20220518
67.23,67.395,67.23,67.36,6260,20220518
67.34,67.385,67.13,67.295,22384,20220518
67.235,67.36,67.09,67.25,14539,20220518
67.24,67.32,67.24,67.32,2810,20220518
67.36,67.47,67.35,67.35,3018,20220518
67.39,67.46,67.3,67.405,4052,20220518
67.46,67.54,67.4,67.435,2400,20220518
67.4,67.48,67.4,67.48,1787,20220518
67.4,67.49,67.4,67.49,500,20220518
67.47,67.725,67.47,67.725,4567,20220518
67.68,67.74,67.6,67.64,7229,20220518
67.65,67.72,67.48,67.48,24221,20220518
67.44,67.47,67.315,67.315,1000,20220518
67.35,67.36,67.26,67.27,2125,20220518
67.27,67.38,67.23,67.36,2765,20220518
67.31,67.35,67.15,67.35,11452,20220518
67.4,67.44,67.39,67.42,500,20220518
67.365,67.45,67.365,67.44,1400,20220518
67.38,67.41,67.3,67.325,500,20220518
67.2932,67.46,67.2932,67.46,1400,20220518
67.4,67.43,67.347,67.43,1100,20220518
67.24,67.35,67.24,67.35,1980,20220518
67.34,67.35,67.34,67.35,400,20220518
67.33,67.33,67.22,67.28,7089,20220518
67.31,67.32,67.19,67.19,600,20220518
67.19,67.23,67.19,67.23,1000,20220518
67.195,67.3,67.195,67.3,706,20220518
67.28,67.39,67.28,67.39,903,20220518
67.41,67.42,67.37,67.37,951,20220518
67.37,67.37,67.18,67.215,1463,20220518
67.2,67.205,67.14,67.205,1601,20220518
67.2,67.2,67.125,67.14,2309,20220518
67.12,67.23,67.09,67.125,6506,20220518
67.1125,67.125,67.02,67.02,4500,20220518
66.99,67.0,66.94,67.0,2101,20220518
66.99,67.005,66.85,66.88,1100,20220518
66.87,66.98,66.87,66.98,3102,20220518
66.97,67.0,66.93,66.99,4125,20220518
66.99,67.0,66.92,66.94,5690,20220518
66.92,67.0,66.92,67.0,1800,20220518
67.0,67.01,66.96,66.98,3939,20220518
66.91,66.91,66.86,66.86,2234,20220518
66.85,67.04,66.835,67.01,13125,20220518
67.02,67.04,66.9,66.95,3254,20220518
66.93,66.93,66.83,66.91,400,20220518
66.84,66.84,66.73,66.73,1015,20220518
66.7,66.78,66.61,66.69,1300,20220518
66.64,66.64,66.58,66.6,1100,20220518
66.6899,66.72,66.6899,66.715,650,20220518
66.66,66.675,66.65,66.675,700,20220518
66.64,66.74,66.59,66.67,8192,20220518
66.71,66.71,66.6,66.665,1500,20220518
66.6,66.755,66.6,66.755,1917,20220518
66.67,66.68,66.65,66.68,400,20220518
66.64,66.64,66.58,66.58,800,20220518
66.63,66.7,66.63,66.63,700,20220518
66.67,66.69,66.6,66.69,2290,20220518
66.76,66.86,66.76,66.79,2042,20220518
66.74,66.76,66.53,66.58,2708,20220518
66.6,66.7,66.6,66.7,1000,20220518
66.67,66.67,66.57,66.575,500,20220518
66.63,66.655,66.6,66.615,800,20220518
66.64,66.65,66.59,66.65,1100,20220518
66.63,66.64,66.48,66.53,1968,20220518
66.575,66.69,66.57,66.57,2778,20220518
66.6,66.65,66.6,66.64,400,20220518
66.67,66.825,66.65,66.7,1812,20220518
66.675,66.84,66.675,66.8,4048,20220518
66.71,66.81,66.7,66.71,2212,20220518
66.65,66.67,66.53,66.66,1643,20220518
66.71,66.8,66.62,66.68,1500,20220518
66.61,66.65,66.5303,66.65,3530,20220518
66.65,66.68,66.55,66.595,1400,20220518
66.61,66.625,66.58,66.58,700,20220518
66.63,66.65,66.6,66.62,932,20220518
66.67,66.72,66.62,66.72,1003,20220518
66.72,66.79,66.72,66.775,3500,20220518
66.78,66.78,66.62,66.68,2006,20220518
66.71,66.775,66.65,66.65,2808,20220518
66.64,66.64,66.43,66.44,1100,20220518
66.49,66.5,66.332,66.5,3294,20220518
66.525,66.525,66.4464,66.465,600,20220518
66.5,66.6,66.45,66.55,5101,20220518
66.53,66.61,66.53,66.58,1182,20220518
66.54,66.54,66.46,66.46,3011,20220518
66.43,66.43,66.405,66.43,300,20220518
66.46,66.48,66.395,66.48,3000,20220518
66.48,66.5,66.4396,66.455,4198,20220518
66.48,66.74,66.475,66.74,2406,20220518
66.75,66.76,66.705,66.71,1000,20220518
66.68,66.68,66.53,66.54,1500,20220518
66.53,66.53,66.44,66.44,518,20220518
66.425,66.5,66.355,66.45,2912,20220518
66.505,66.505,66.35,66.46,1162,20220518
66.44,66.475,66.42,66.42,1000,20220518
66.415,66.43,66.23,66.27,2579,20220518
66.29,66.48,66.24,66.48,2337,20220518
66.44,66.51,66.44,66.44,900,20220518
66.44,66.475,66.425,66.425,4980,20220518
66.425,66.55,66.3528,66.55,2925,20220518
66.55,66.62,66.49,66.49,4205,20220518
66.52,66.52,66.43,66.445,3019,20220518
66.42,66.42,66.32,66.36,700,20220518
66.365,66.43,66.365,66.405,1606,20220518
66.3701,66.44,66.3,66.3,4381,20220518
66.26,66.36,66.2,66.35,5155,20220518
66.3,66.32,66.23,66.23,2418,20220518
66.21,66.21,66.14,66.18,5507,20220518
66.18,66.35,66.18,66.34,5453,20220519
66.325,66.345,66.24,66.315,3312,20220519
66.25,66.34,66.24,66.24,2441,20220519
66.295,66.295,66.295,66.295,100,20220519
66.27,66.27,66.21,66.21,1500,20220519
66.24,66.35,66.2,66.34,7289,20220519
66.34,66.42,66.28,66.42,9065,20220519
66.42,66.49,66.42,66.49,3401,20220519
66.48,66.49,66.38,66.425,5137,20220519
66.43,66.47,66.365,66.37,2707,20220519
66.39,66.415,66.34,66.37,2702,20220519
66.37,66.37,66.265,66.3,2914,20220519
66.3,66.32,66.24,66.315,3800,20220519
66.23,66.23,66.1426,66.21,2377,20220519
66.2,66.29,66.2,66.26,6364,20220519
66.26,66.36,66.26,66.3,5764,20220519
66.33,66.4,66.33,66.4,5472,20220519
66.39,66.39,66.305,66.32,9165,20220519
66.29,66.32,66.28,66.31,7476,20220519
66.32,66.45,66.275,66.445,10105,20220519
66.435,66.61,66.435,66.57,15692,20220519
66.56,66.57,66.38,66.425,8151,20220519
66.425,66.425,66.33,66.33,7019,20220519
66.33,66.44,66.33,66.43,7971,20220519
66.41,66.44,66.28,66.28,9330,20220519
66.29,66.29,66.26,66.27,3454,20220519
66.26,66.26,66.16,66.22,6847,20220519
66.24,66.27,66.23,66.26,7285,20220519
66.25,66.25,66.2,66.24,7032,20220519
66.23,66.25,66.17,66.22,10060,20220519
66.25,66.27,66.16,66.21,8312,20220519
66.23,66.26,66.205,66.25,13384,20220519
66.255,66.39,66.25,66.39,11262,20220519
66.38,66.4,66.2901,66.319,7646,20220519
66.32,66.49,66.32,66.45,16019,20220519
66.475,66.55,66.43,66.54,14515,20220519
66.53,66.65,66.53,66.62,16941,20220519
66.64,66.8,66.63,66.75,13708,20220519
66.75,66.87,66.73,66.85,14144,20220519
66.86,67.13,66.86,67.075,19964,20220519
67.075,67.17,67.04,67.055,19468,20220519
67.055,67.27,67.04,67.27,26154,20220519
67.27,67.27,67.045,67.045,18399,20220519
67.045,67.11,66.95,67.09,16970,20220519
67.07,67.14,66.925,66.95,17310,20220519
66.91,66.96,66.89,66.905,18285,20220519
66.895,66.94,66.89,66.905,22537,20220519
66.905,66.98,66.9,66.93,20139,20220519
66.92,67.01,66.92,66.9584,22072,20220519
66.95,66.97,66.915,66.9683,18860,20220519
66.97,67.0799,66.765,66.7702,26323,20220519
66.78,66.86,66.625,66.69,34446,20220519
66.685,66.78,66.675,66.685,18731,20220519
66.68,66.72,66.6,66.605,22346,20220519
66.605,66.66,66.515,66.535,36036,20220519
66.54,66.675,66.535,66.67,27458,20220519
66.675,66.69,66.62,66.645,23813,20220519
66.645,66.69,66.63,66.655,21511,20220519
66.6599,66.86,66.63,66.77,33571,20220519
66.77,66.86,66.74,66.76,29207,20220519
65.67,66.34,65.67,66.34,13722,20220519
66.02,66.02,66.02,66.02,200,20220519
66.0131,66.0131,65.995,65.995,850,20220519
66.105,66.29,66.1001,66.26,3300,20220519
66.42,66.555,66.39,66.555,700,20220519
66.7,66.76,66.7,66.76,253,20220519
67.0,67.0,66.77,66.77,1593,20220519
66.74,66.74,66.63,66.655,1500,20220519
66.53,66.53,66.25,66.29,3450,20220519
66.165,66.165,65.79,65.84,1900,20220519
65.83,65.83,65.83,65.83,3521,20220519
65.68,65.84,65.68,65.79,5673,20220519
65.75,65.75,65.51,65.52,700,20220519
65.53,65.53,65.41,65.46,900,20220519
65.3,65.47,65.0806,65.11,2600,20220519
65.04,65.28,65.04,65.28,2120,20220519
65.17,65.17,64.8201,64.965,7062,20220519
64.815,64.9,64.36,64.37,20638,20220519
64.27,64.4637,64.26,64.4637,1900,20220519
64.38,64.38,64.3,64.3524,1844,20220519
64.29,64.3,64.07,64.1725,1082,20220519
64.21,64.23,63.87,63.87,19923,20220519
63.935,63.99,63.59,63.59,6826,20220519
63.72,63.72,63.55,63.55,3691,20220519
63.63,63.88,63.54,63.86,4090,20220519
63.79,64.1439,63.775,64.1439,11166,20220519
64.18,64.465,64.14,64.465,15127,20220519
64.475,64.625,64.475,64.595,4661,20220519
64.55,64.65,64.28,64.37,5367,20220519
64.41,64.41,64.15,64.3,1432,20220519
64.19,64.565,64.19,64.565,8886,20220519
64.51,64.92,64.495,64.8195,2304,20220519
64.845,65.21,64.845,65.2,5790,20220519
65.28,65.56,65.26,65.56,1895,20220519
65.56,65.67,65.42,65.42,2504,20220519
65.36,65.44,65.36,65.44,301,20220519
65.3666,65.455,65.315,65.41,2775,20220519
65.47,65.48,65.24,65.32,3100,20220519
65.3,65.3,65.3,65.3,400,20220519
65.4,65.4,65.18,65.18,1696,20220519
65.25,65.34,65.161,65.34,2404,20220519
65.48,65.54,65.47,65.485,400,20220519
65.54,65.56,65.44,65.56,2617,20220519
65.6199,65.72,65.56,65.68,2425,20220519
65.65,65.83,65.6,65.83,3041,20220519
65.84,65.84,65.69,65.72,4180,20220519
65.73,65.82,65.715,65.82,2320,20220519
65.655,65.695,65.52,65.52,9441,20220519
65.46,65.47,65.3,65.3,3200,20220519
65.27,65.27,65.18,65.18,400,20220519
65.17,65.28,65.13,65.28,3664,20220519
65.28,65.28,65.28,65.28,100,20220519
65.18,65.225,65.16,65.2,934,20220519
65.19,65.27,65.19,65.26,828,20220519
65.32,65.35,65.31,65.35,500,20220519
65.3,65.3,65.12,65.185,2720,20220519
65.2,65.2,65.09,65.09,401,20220519
64.96,64.96,64.68,64.81,20866,20220519
64.85,64.85,64.85,64.85,300,20220519
64.73,64.86,64.72,64.84,4439,20220519
64.71,64.71,64.56,64.605,1200,20220519
64.55,64.685,64.53,64.616,2557,20220519
64.53,64.67,64.445,64.63,2000,20220519
64.665,64.72,64.52,64.525,1400,20220519
64.5,64.5,64.37,64.37,2100,20220519
64.375,64.55,64.375,64.4,1860,20220519
