open,high,low,close,volume,datetime
25.08,25.14,24.8818,24.911,24405,20220518
25.0,25.18,25.0,25.18,4072,20220518
25.14,25.37,25.14,25.32,9886,20220518
25.265,25.42,25.25,25.4,8774,20220518
25.405,25.4744,25.36,25.41,7024,20220518
25.35,25.47,25.27,25.46,3600,20220518
25.5,25.5,25.39,25.44,3191,20220518
25.415,25.55,25.415,25.53,7280,20220518
25.54,25.64,25.54,25.64,3319,20220518
25.62,25.62,25.41,25.41,8928,20220518
25.46,25.46,25.4,25.445,3808,20220518
25.47,25.47,25.35,25.37,2613,20220518
25.39,25.41,25.33,25.41,2436,20220518
25.4,25.46,25.39,25.46,2149,20220518
25.47,25.5,25.47,25.49,790,20220518
25.48,25.55,25.48,25.55,817,20220518
25.53,25.55,25.51,25.54,1100,20220518
25.58,25.65,25.56,25.63,5314,20220518
25.68,25.68,25.57,25.57,5163,20220518
25.59,25.59,25.55,25.55,2600,20220518
25.53,25.53,25.43,25.43,700,20220518
25.45,25.5,25.45,25.49,4012,20220518
25.48,25.58,25.47,25.56,1374,20220518
25.57,25.58,25.53,25.53,8289,20220518
25.52,25.53,25.48,25.49,1100,20220518
25.47,25.47,25.39,25.39,2847,20220518
25.36,25.36,25.26,25.26,2490,20220518
25.24,25.24,25.2,25.2,9278,20220518
25.18,25.29,25.16,25.29,400,20220518
25.3,25.38,25.3,25.38,1500,20220518
25.4,25.57,25.39,25.57,13408,20220518
25.61,25.655,25.59,25.605,3311,20220518
25.62,25.65,25.61,25.63,1195,20220518
25.6729,25.6729,25.6,25.64,1909,20220518
25.6,25.6,25.55,25.55,600,20220518
25.615,25.73,25.615,25.73,5976,20220518
25.7,25.7088,25.67,25.67,4838,20220518
25.6646,25.675,25.65,25.675,9049,20220518
25.67,25.675,25.63,25.66,3460,20220518
25.66,25.69,25.62,25.635,7872,20220518
25.57,25.6,25.56,25.59,4171,20220518
25.59,25.59,25.54,25.56,1031,20220518
25.56,25.585,25.53,25.53,1100,20220518
25.54,25.59,25.54,25.59,500,20220518
25.605,25.65,25.605,25.64,1348,20220518
25.625,25.64,25.57,25.64,1149,20220518
25.65,25.67,25.64,25.67,800,20220518
25.65,25.67,25.645,25.67,1778,20220518
25.67,25.71,25.67,25.7,500,20220518
25.69,25.71,25.64,25.71,500,20220518
25.7,25.78,25.7,25.77,5000,20220518
25.76,25.7617,25.745,25.745,1200,20220518
25.765,25.795,25.7512,25.77,3400,20220518
25.73,25.77,25.73,25.75,751,20220518
25.72,25.73,25.68,25.72,1500,20220518
25.71,25.78,25.71,25.78,500,20220518
25.835,25.86,25.82,25.825,5107,20220518
25.81,25.81,25.75,25.78,4104,20220518
25.79,25.8087,25.74,25.765,6744,20220518
25.76,25.76,25.71,25.72,2037,20220518
25.62,25.66,25.6,25.66,1200,20220518
25.68,25.68,25.66,25.67,450,20220518
25.68,25.69,25.67,25.69,3244,20220518
