open,high,low,close,volume,datetime
176.82,176.83,176.32,176.83,15258,20220518
176.56,176.56,176.52,176.52,300,20220518
176.34,176.62,176.12,176.62,2100,20220518
176.705,177.01,176.695,176.73,4703,20220518
176.85,177.1,176.85,177.1,539,20220518
176.92,177.11,176.92,177.11,650,20220518
177.04,177.07,176.71,176.76,1429,20220518
176.76,176.76,176.73,176.76,751,20220518
176.77,176.77,176.62,176.62,624,20220518
176.54,176.56,176.32,176.41,1200,20220518
176.5,176.62,176.44,176.44,1693,20220518
176.39,176.52,176.38,176.42,2102,20220518
176.44,176.5,176.3,176.46,2616,20220518
176.49,176.49,176.49,176.49,164,20220518
176.44,176.44,176.3,176.44,635,20220518
176.61,176.61,176.59,176.59,200,20220518
176.67,176.67,176.56,176.63,800,20220518
176.729,176.77,176.729,176.73,601,20220518
176.68,176.68,176.67,176.67,400,20220518
176.65,176.71,176.42,176.47,801,20220518
176.36,176.43,176.28,176.28,1100,20220518
176.28,176.33,176.2,176.2,1592,20220518
176.11,176.11,175.83,175.83,400,20220518
176.08,176.15,176.04,176.04,900,20220518
176.13,176.33,176.11,176.26,1019,20220518
176.32,176.32,176.31,176.31,401,20220518
176.34,176.4,176.2,176.4,2568,20220518
176.49,176.49,176.39,176.39,1025,20220518
176.3,176.73,176.25,176.65,2773,20220518
176.59,176.59,176.27,176.345,1900,20220518
176.36,176.44,176.13,176.21,2952,20220518
176.23,176.24,176.16,176.16,400,20220518
176.28,176.29,176.21,176.29,300,20220518
176.23,176.4,176.23,176.32,1500,20220518
176.28,176.28,176.01,176.11,1325,20220518
176.16,176.16,176.1,176.1,300,20220518
175.95,175.95,175.83,175.93,1910,20220518
175.87,175.87,175.7961,175.7961,639,20220518
175.775,175.83,175.72,175.76,1000,20220518
175.78,175.87,175.65,175.82,1700,20220518
175.8,175.9,175.78,175.9,800,20220518
175.88,175.89,175.79,175.79,800,20220518
175.85,175.92,175.85,175.92,915,20220518
175.9,175.9,175.73,175.73,500,20220518
176.14,176.14,176.1,176.1,200,20220518
176.04,176.1,176.02,176.06,1259,20220518
176.01,176.01,175.95,176.0,800,20220518
176.11,176.11,175.96,175.96,1000,20220518
175.96,175.96,175.95,175.96,300,20220518
175.97,176.01,175.9,175.9,400,20220518
175.9,175.91,175.82,175.82,1207,20220518
175.92,175.95,175.87,175.87,500,20220518
175.79,175.8,175.79,175.8,200,20220518
175.81,175.9,175.79,175.8,1412,20220518
175.7999,175.7999,175.75,175.75,500,20220518
175.7,175.7,175.65,175.65,200,20220518
175.657,175.657,175.65,175.65,200,20220518
175.63,175.63,175.49,175.52,1565,20220518
175.52,175.52,175.38,175.45,789,20220518
175.49,175.55,175.466,175.55,300,20220518
175.54,175.54,175.47,175.47,400,20220518
175.466,175.466,175.33,175.33,782,20220518
175.33,175.38,175.3,175.38,1715,20220518
175.35,175.43,175.34,175.43,840,20220518
175.46,175.47,175.4,175.4,1344,20220518
175.4511,175.48,175.45,175.48,576,20220518
175.47,175.53,175.42,175.49,2100,20220518
175.465,175.67,175.46,175.61,2256,20220518
175.635,175.635,175.635,175.635,100,20220518
175.5999,175.65,175.55,175.65,603,20220518
175.76,175.76,175.76,175.76,100,20220518
175.74,175.85,175.735,175.85,1100,20220518
175.88,175.93,175.88,175.9,917,20220518
175.87,175.87,175.77,175.77,909,20220518
175.89,175.99,175.89,175.905,1775,20220518
175.87,175.89,175.85,175.89,400,20220518
175.96,175.96,175.9,175.9,300,20220518
175.74,175.75,175.625,175.625,858,20220518
175.59,175.64,175.59,175.62,820,20220518
175.682,175.682,175.56,175.63,1200,20220518
175.62,175.62,175.44,175.53,700,20220518
175.53,175.59,175.53,175.56,1400,20220518
175.72,175.72,175.7,175.7,400,20220518
175.785,175.83,175.785,175.83,200,20220518
175.865,175.865,175.865,175.865,100,20220518
175.83,175.83,175.7,175.7,1300,20220518
175.68,175.69,175.63,175.645,500,20220518
175.65,175.75,175.65,175.75,400,20220518
175.73,175.73,175.55,175.55,500,20220518
175.55,175.55,175.55,175.55,100,20220518
175.49,175.555,175.49,175.525,1159,20220518
175.515,175.595,175.43,175.43,2101,20220518
175.54,175.54,175.49,175.498,451,20220518
175.618,175.618,175.618,175.618,100,20220518
175.66,175.66,175.51,175.51,1549,20220518
175.54,175.685,175.49,175.6466,1922,20220518
175.6759,175.6759,175.6759,175.6759,1250,20220518
175.71,175.78,175.71,175.7167,1214,20220518
175.772,175.772,175.74,175.74,1130,20220518
175.69,175.69,175.69,175.69,100,20220518
175.71,175.71,175.65,175.65,1200,20220518
175.6471,175.7,175.6471,175.66,541,20220518
175.66,175.665,175.66,175.665,200,20220518
175.71,175.765,175.71,175.765,300,20220518
175.77,175.84,175.77,175.84,784,20220518
175.84,175.84,175.79,175.82,710,20220518
175.72,175.81,175.64,175.81,1081,20220518
175.678,175.715,175.678,175.715,200,20220518
175.72,175.88,175.68,175.88,1628,20220518
175.88,175.88,175.8,175.83,1052,20220518
175.815,175.815,175.815,175.815,100,20220518
175.75,175.89,175.71,175.89,796,20220518
175.84,175.84,175.84,175.84,200,20220518
175.91,176.04,175.91,176.04,306,20220518
176.19,176.2,176.19,176.2,200,20220518
176.28,176.28,176.28,176.28,237,20220518
176.3,176.31,176.27,176.27,1803,20220518
176.32,176.4,176.32,176.4,200,20220518
176.4,176.4,176.4,176.4,100,20220518
176.35,176.37,176.31,176.32,681,20220518
176.31,176.355,176.27,176.28,1449,20220518
176.23,176.245,176.23,176.245,503,20220518
176.215,176.215,176.215,176.215,100,20220518
176.27,176.27,176.26,176.26,460,20220518
176.26,176.29,176.15,176.26,2132,20220518
