open,high,low,close,volume,datetime
90.96,91.03,90.867,90.965,21254,20220518
90.88,90.88,90.795,90.795,700,20220518
90.65,90.725,90.65,90.725,247,20220518
90.63,90.63,90.5,90.5,515,20220518
90.555,90.62,90.45,90.6,2978,20220518
90.62,90.62,90.47,90.525,5323,20220518
90.525,90.66,90.48,90.66,2699,20220518
90.61,90.61,90.51,90.59,1360,20220518
90.48,90.51,90.45,90.45,2854,20220518
90.44,90.52,90.41,90.46,6780,20220518
90.31,90.31,90.11,90.18,1957,20220518
90.22,90.32,90.19,90.19,6130,20220518
90.16,90.16,90.1,90.15,718,20220518
90.07,90.07,89.99,90.06,3200,20220518
90.09,90.16,90.04,90.16,1666,20220518
90.195,90.195,89.94,89.94,2714,20220518
89.9301,89.9984,89.93,89.94,1017,20220518
89.92,89.97,89.91,89.97,3073,20220518
90.04,90.19,90.04,90.06,2603,20220518
90.09,90.09,89.98,89.99,1622,20220518
90.05,90.05,89.92,89.92,2618,20220518
89.875,89.875,89.83,89.83,310,20220518
89.78,89.82,89.7,89.76,2576,20220518
89.7854,89.7854,89.68,89.68,1654,20220518
89.62,89.73,89.55,89.73,2983,20220518
89.73,89.89,89.73,89.89,2288,20220518
89.89,89.89,89.78,89.78,1916,20220518
89.71,89.72,89.61,89.64,4038,20220518
89.63,89.63,89.55,89.55,1146,20220518
89.49,89.55,89.44,89.51,2639,20220518
89.555,89.7002,89.48,89.69,2212,20220518
89.62,89.62,89.41,89.4699,3319,20220518
89.4,89.42,89.39,89.415,1230,20220518
89.459,89.459,89.28,89.37,3358,20220518
89.39,89.419,89.25,89.25,1601,20220518
89.25,89.28,89.18,89.19,2416,20220518
89.22,89.24,89.13,89.13,1374,20220518
89.09,89.09,88.9286,88.955,4637,20220518
88.955,88.955,88.915,88.95,1742,20220518
88.91,88.91,88.82,88.85,3053,20220518
88.89,88.94,88.84,88.84,2361,20220518
88.78,88.82,88.7137,88.82,2867,20220518
88.83,88.83,88.76,88.7629,786,20220518
88.75,88.78,88.71,88.75,1721,20220518
88.78,88.87,88.74,88.87,1420,20220518
88.95,88.97,88.78,88.78,2800,20220518
88.75,88.8,88.72,88.8,2371,20220518
88.81,88.82,88.78,88.798,1737,20220518
88.73,88.77,88.715,88.77,1516,20220518
88.67,88.69,88.6201,88.69,1162,20220518
88.63,88.88,88.63,88.88,2954,20220518
88.88,88.88,88.79,88.835,3901,20220518
88.835,88.835,88.69,88.715,2427,20220518
88.755,88.84,88.71,88.79,8343,20220518
88.79,88.9,88.79,88.9,2425,20220518
88.93,88.93,88.87,88.92,4100,20220518
88.92,88.95,88.92,88.95,2598,20220518
88.95,88.96,88.87,88.93,5312,20220518
88.955,89.019,88.94,89.01,6158,20220518
89.02,89.02,88.77,88.77,3827,20220518
88.75,88.84,88.7199,88.7409,4381,20220518
88.707,88.707,88.63,88.645,931,20220518
88.665,88.665,88.44,88.44,8886,20220518
88.47,88.545,88.445,88.545,2543,20220518
88.58,88.61,88.52,88.5714,3356,20220518
88.58,88.68,88.57,88.57,3168,20220518
88.53,88.57,88.53,88.56,2206,20220518
88.64,88.64,88.64,88.64,209,20220518
88.6,88.62,88.51,88.54,2656,20220518
88.48,88.48,88.4577,88.47,454,20220518
88.4707,88.4707,88.42,88.46,1743,20220518
88.4,88.4,88.34,88.34,1622,20220518
88.34,88.34,88.22,88.22,3445,20220518
88.23,88.255,88.21,88.24,1501,20220518
88.22,88.24,88.1,88.1,2972,20220518
88.07,88.14,87.955,88.12,7855,20220518
88.15,88.15,88.06,88.065,2304,20220518
88.065,88.1,88.065,88.1,325,20220518
88.07,88.24,88.06,88.085,4658,20220518
88.065,88.1,87.89,87.89,1887,20220518
87.92,87.989,87.92,87.965,3086,20220518
87.965,88.0,87.93,88.0,4596,20220518
88.0,88.0,87.965,87.97,700,20220518
87.95,88.01,87.89,87.89,3088,20220518
87.905,87.92,87.88,87.89,2425,20220518
87.8905,87.8905,87.735,87.735,2341,20220518
87.75,87.78,87.75,87.78,467,20220518
87.82,87.86,87.785,87.785,1277,20220518
87.77,87.87,87.77,87.835,4819,20220518
87.83,87.92,87.83,87.92,5669,20220518
87.9,87.94,87.86,87.93,4722,20220518
87.96,88.06,87.935,88.06,5315,20220518
88.055,88.22,88.0,88.0,5910,20220518
87.95,87.985,87.9,87.9,1709,20220518
87.9085,87.909,87.81,87.9,3246,20220518
87.9,87.9,87.74,87.74,3204,20220518
87.735,87.78,87.6228,87.655,3741,20220518
87.65,87.69,87.65,87.67,1161,20220518
87.67,87.69,87.6,87.66,6110,20220518
87.66,87.66,87.6,87.625,6173,20220518
87.61,87.615,87.54,87.615,1609,20220518
87.63,87.64,87.59,87.6,4469,20220518
87.5901,87.61,87.59,87.59,1849,20220518
87.59,87.61,87.59,87.61,699,20220518
87.6,87.61,87.59,87.6,1512,20220518
87.59,87.6,87.58,87.6,1816,20220518
87.59,87.6,87.4,87.4,6458,20220518
87.425,87.425,87.39,87.39,709,20220518
87.395,87.395,87.25,87.29,7800,20220518
87.29,87.41,87.29,87.41,11935,20220518
87.44,87.465,87.41,87.465,3422,20220518
87.465,87.465,87.42,87.45,1068,20220518
87.45,87.47,87.4354,87.47,3395,20220518
87.44,87.44,87.3,87.34,7414,20220518
87.34,87.34,87.28,87.31,1222,20220518
87.33,87.46,87.32,87.455,2299,20220518
87.435,87.435,87.36,87.4,1504,20220518
87.42,87.433,87.325,87.433,6256,20220518
87.41,87.42,87.38,87.38,1300,20220518
87.36,87.36,87.17,87.265,6573,20220518
87.26,87.27,87.23,87.26,3180,20220518
87.26,87.445,87.26,87.42,3712,20220518
87.415,87.415,87.32,87.3494,3166,20220518
87.37,87.395,87.35,87.35,1200,20220518
87.32,87.345,87.275,87.345,1801,20220518
87.31,87.3467,87.24,87.315,2202,20220518
87.31,87.38,87.27,87.35,15600,20220518
87.35,87.39,87.3,87.355,4248,20220518
87.355,87.39,87.315,87.335,16214,20220518
87.33,87.37,87.28,87.36,21216,20220518
87.33,87.36,87.28,87.3,3980,20220518
87.335,87.4,87.335,87.4,2673,20220518
87.4,87.52,87.4,87.52,2555,20220518
87.55,87.65,87.545,87.64,3503,20220518
87.66,87.88,87.66,87.88,2714,20220518
87.885,87.99,87.885,87.97,7482,20220518
87.95,88.025,87.9,87.925,11231,20220518
87.925,87.94,87.61,87.67,35088,20220518
87.69,87.78,87.64,87.75,8500,20220518
87.725,87.745,87.725,87.745,1100,20220518
87.77,87.79,87.72,87.79,2612,20220518
87.84,87.84,87.76,87.8,1200,20220518
87.78,87.82,87.758,87.82,6607,20220518
87.815,87.83,87.77,87.77,2880,20220518
87.79,87.79,87.72,87.73,14499,20220518
87.75,87.81,87.75,87.795,5621,20220518
87.795,87.81,87.74,87.74,4982,20220518
87.736,87.8,87.736,87.785,2694,20220518
87.8,87.845,87.8,87.84,3154,20220518
87.82,87.84,87.77,87.78,5770,20220518
87.74,87.755,87.69,87.74,3471,20220518
87.72,87.77,87.7,87.77,2532,20220518
87.76,87.77,87.68,87.76,8996,20220518
87.77,87.89,87.77,87.89,3550,20220518
87.92,88.01,87.89,87.89,12995,20220518
87.86,87.86,87.7121,87.7121,2174,20220518
87.73,87.73,87.59,87.59,1342,20220518
87.52,87.61,87.44,87.45,4300,20220518
87.48,87.53,87.46,87.52,3492,20220518
87.53,87.64,87.51,87.61,4892,20220518
87.62,87.65,87.5,87.5,5836,20220518
87.5,87.5,87.3201,87.37,3818,20220518
87.4,87.45,87.38,87.438,2802,20220518
87.41,87.52,87.37,87.45,4226,20220518
87.405,87.419,87.34,87.34,3319,20220518
87.355,87.43,87.355,87.4036,1848,20220518
87.33,87.45,87.33,87.45,2468,20220518
87.45,87.52,87.39,87.39,2468,20220518
87.3,87.3399,87.29,87.33,1811,20220518
87.28,87.33,87.27,87.27,7857,20220518
87.27,87.3394,87.25,87.29,6289,20220518
87.26,87.3,87.21,87.28,14444,20220518
87.22,87.25,87.12,87.17,3446,20220518
87.07,87.07,86.88,86.92,7068,20220518
86.9,86.93,86.6,86.675,15188,20220518
86.69,86.77,86.66,86.7,11118,20220518
86.68,86.72,86.5907,86.69,5911,20220518
86.7099,86.74,86.68,86.72,5423,20220518
86.75,86.89,86.75,86.89,3138,20220518
86.9,86.96,86.85,86.92,2785,20220518
86.96,86.96,86.9,86.9,2149,20220518
86.86,86.91,86.86,86.905,3304,20220518
86.86,86.86,86.73,86.77,3074,20220518
86.7,86.7147,86.65,86.65,1701,20220518
86.7,86.749,86.65,86.69,5069,20220518
86.665,86.69,86.63,86.66,4043,20220518
86.7,86.72,86.66,86.67,3741,20220518
86.65,86.71,86.64,86.7,3035,20220518
86.7,86.79,86.68,86.75,4701,20220518
86.7285,86.83,86.71,86.83,7058,20220518
86.84,86.84,86.68,86.68,1791,20220518
86.69,86.799,86.69,86.799,1569,20220518
86.74,86.8,86.74,86.8,1800,20220518
86.86,86.88,86.67,86.7,20208,20220518
86.7,86.7,86.47,86.47,46315,20220518
86.5,86.59,86.48,86.56,20848,20220518
86.55,86.6915,86.53,86.6915,12240,20220518
86.66,86.7,86.6,86.66,24228,20220518
86.66,86.68,86.59,86.66,11605,20220518
86.67,86.745,86.67,86.745,2000,20220518
86.77,86.83,86.76,86.79,1200,20220518
86.82,86.85,86.8,86.83,2005,20220518
86.82,86.86,86.82,86.83,2416,20220518
86.83,86.84,86.83,86.84,687,20220518
86.8588,86.86,86.8,86.84,2585,20220518
86.851,86.851,86.82,86.83,1954,20220518
86.83,86.83,86.81,86.815,1610,20220518
86.83,86.89,86.83,86.86,2570,20220518
86.88,86.89,86.82,86.82,2101,20220518
86.76,86.76,86.645,86.7,1506,20220518
86.68,86.68,86.6,86.66,800,20220518
86.669,86.669,86.59,86.62,2017,20220518
86.59,86.59,86.57,86.57,900,20220518
86.52,86.56,86.52,86.535,6290,20220518
86.5,86.52,86.41,86.455,7541,20220518
86.469,86.48,86.4,86.44,2321,20220518
86.44,86.49,86.43,86.45,3100,20220518
86.47,86.48,86.45,86.45,1170,20220518
86.45,86.465,86.43,86.465,2062,20220518
86.44,86.44,86.4,86.4,2030,20220518
86.38,86.39,86.23,86.245,4824,20220518
86.22,86.26,86.18,86.26,4877,20220518
86.24,86.25,86.2,86.25,1651,20220518
86.25,86.265,86.23,86.265,500,20220518
86.23,86.24,86.22,86.22,704,20220518
86.26,86.385,86.26,86.31,2701,20220518
86.2,86.21,86.17,86.21,2305,20220518
86.21,86.27,86.21,86.25,1643,20220518
86.27,86.32,86.23,86.29,3023,20220518
86.3,86.37,86.3,86.345,2827,20220518
86.33,86.39,86.32,86.385,1100,20220518
86.35,86.4,86.35,86.38,1700,20220518
86.37,86.37,86.26,86.26,1477,20220518
86.24,86.24,86.18,86.18,2300,20220518
86.2,86.239,86.2,86.21,1258,20220518
86.2,86.2035,86.14,86.14,1464,20220518
86.13,86.13,86.02,86.12,9887,20220518
86.16,86.285,86.16,86.285,2223,20220518
86.3099,86.33,86.28,86.28,2599,20220518
86.295,86.295,86.24,86.24,1411,20220518
86.29,86.36,86.28,86.34,834,20220518
86.37,86.3898,86.325,86.325,2602,20220518
86.31,86.32,86.31,86.31,1426,20220518
86.33,86.41,86.32,86.41,1512,20220518
86.44,86.485,86.41,86.425,2815,20220518
86.4,86.4335,86.37,86.39,2496,20220518
86.395,86.42,86.36,86.41,3063,20220518
86.3721,86.38,86.34,86.38,1043,20220518
86.38,86.46,86.38,86.46,2650,20220518
86.44,86.44,86.38,86.38,6777,20220518
86.35,86.35,86.295,86.295,1448,20220518
86.27,86.27,86.15,86.15,1100,20220518
86.12,86.12,86.06,86.065,3663,20220518
86.05,86.1,85.95,86.099,10353,20220518
86.08,86.12,86.07,86.105,4309,20220518
86.13,86.135,86.09,86.09,4049,20220518
86.085,86.17,86.0832,86.165,4029,20220518
86.175,86.28,86.14,86.28,3603,20220518
86.27,86.27,86.225,86.24,2386,20220518
86.25,86.29,86.21,86.2399,5342,20220518
86.24,86.29,86.24,86.27,2424,20220518
86.285,86.285,86.17,86.21,11992,20220518
86.1722,86.1722,86.095,86.095,3089,20220518
86.07,86.175,86.07,86.175,3922,20220518
86.14,86.14,85.95,85.9884,29183,20220518
85.995,86.08,85.995,86.07,3209,20220518
86.07,86.105,86.02,86.105,1690,20220518
86.105,86.25,86.105,86.25,9073,20220518
86.22,86.26,86.092,86.11,12377,20220518
86.1,86.1,85.93,86.04,9064,20220518
86.04,86.055,85.92,85.92,1909,20220518
85.91,85.97,85.87,85.87,8962,20220518
85.85,85.8535,85.77,85.78,4159,20220518
85.76,85.94,85.73,85.94,7325,20220518
85.95,85.95,85.87,85.87,1637,20220518
85.9,85.9,85.8,85.81,2450,20220518
85.74,85.79,85.68,85.745,19142,20220518
85.72,85.73,85.65,85.7,2159,20220518
85.71,85.71,85.58,85.64,14951,20220518
85.68,85.73,85.578,85.578,4765,20220518
85.57,85.6,85.45,85.545,7497,20220518
85.54,85.59,85.42,85.48,5572,20220518
85.479,85.5,85.34,85.34,4006,20220518
85.33,85.33,85.26,85.26,4392,20220518
85.23,85.265,85.05,85.1,24224,20220518
85.06,85.36,85.06,85.31,7512,20220518
85.32,85.49,85.32,85.49,4515,20220518
85.455,85.49,85.34,85.34,9645,20220518
85.34,85.42,85.26,85.4,12964,20220518
85.36,85.445,85.36,85.445,6657,20220518
85.41,85.45,85.36,85.45,2226,20220518
85.46,85.52,85.46,85.52,3252,20220518
85.55,85.6294,85.535,85.6294,1766,20220518
85.58,85.62,85.54,85.6,4277,20220518
85.6,85.715,85.6,85.66,4178,20220518
85.67,85.77,85.66,85.77,1873,20220518
85.8,85.84,85.76,85.76,3711,20220518
85.78,85.81,85.77,85.77,1650,20220518
85.7941,85.81,85.67,85.7872,9925,20220518
85.74,85.785,85.675,85.785,5814,20220518
85.74,85.74,85.53,85.5801,16039,20220518
85.59,85.65,85.14,85.525,82826,20220518
85.56,85.615,85.53,85.595,5808,20220518
85.595,85.609,85.52,85.52,2221,20220518
85.53,85.54,85.44,85.49,5279,20220518
85.44,85.44,85.24,85.3,14969,20220518
85.3,85.3,85.19,85.26,6164,20220518
85.3,85.38,85.28,85.38,3849,20220518
85.37,85.37,85.14,85.31,12426,20220518
85.36,85.54,85.36,85.54,3322,20220518
85.54,85.59,85.51,85.52,1965,20220518
85.52,85.53,85.38,85.41,2790,20220518
85.39,85.44,85.36,85.36,4898,20220518
85.37,85.37,85.16,85.19,7017,20220518
85.195,85.25,85.155,85.25,2943,20220518
85.2,85.31,85.2,85.3,5152,20220518
85.32,85.4,85.27,85.28,10492,20220518
85.23,85.28,85.195,85.26,2943,20220518
85.41,85.43,85.29,85.29,2181,20220518
85.32,85.32,85.26,85.32,3749,20220518
85.29,85.34,85.22,85.22,8665,20220518
85.245,85.245,85.12,85.145,14273,20220518
85.145,85.165,85.08,85.165,17823,20220518
85.16,85.17,85.06,85.1,20729,20220518
85.08,85.14,85.06,85.11,5677,20220518
85.105,85.105,85.07,85.07,1293,20220518
85.06,85.11,85.05,85.11,4203,20220518
85.11,85.11,84.79,84.89,70916,20220518
84.88,84.88,84.68,84.74,7862,20220518
84.73,84.75,84.695,84.71,15642,20220519
84.73,84.73,84.66,84.675,18457,20220519
84.67,84.72,84.5604,84.575,4338,20220519
84.575,84.68,84.575,84.62,4379,20220519
84.62,84.63,84.53,84.53,4061,20220519
84.535,84.535,84.49,84.53,4078,20220519
84.49,84.55,84.45,84.55,4744,20220519
84.55,84.56,84.5,84.55,7729,20220519
84.52,84.52,84.33,84.395,7418,20220519
84.395,84.42,84.3,84.3,7777,20220519
84.29,84.38,84.29,84.38,2953,20220519
84.4,84.48,84.37,84.48,3816,20220519
84.48,84.54,84.45,84.495,5808,20220519
84.47,84.5,84.37,84.37,5954,20220519
84.39,84.405,84.31,84.31,4146,20220519
84.33,84.34,84.23,84.27,9925,20220519
84.2509,84.32,84.25,84.32,2231,20220519
84.32,84.39,84.32,84.39,2205,20220519
84.36,84.38,84.31,84.31,5212,20220519
84.305,84.325,84.295,84.31,1735,20220519
84.325,84.61,84.32,84.605,21034,20220519
84.59,84.6,84.45,84.465,18576,20220519
84.44,84.44,84.26,84.285,5042,20220519
84.3,84.36,84.27,84.27,5792,20220519
84.27,84.28,84.235,84.27,5461,20220519
84.285,84.285,84.12,84.12,6825,20220519
84.13,84.235,84.11,84.215,10366,20220519
84.24,84.27,84.19,84.24,4877,20220519
84.255,84.255,84.199,84.25,2965,20220519
84.28,84.28,84.195,84.25,5707,20220519
84.255,84.3,84.2,84.215,15984,20220519
84.21,84.31,84.2,84.31,7706,20220519
84.31,84.33,84.27,84.275,7095,20220519
84.26,84.3,84.25,84.26,8744,20220519
84.27,84.305,84.25,84.275,7872,20220519
84.27,84.37,84.25,84.36,6274,20220519
84.38,84.51,84.38,84.5,5655,20220519
84.52,84.74,84.52,84.73,9328,20220519
84.73,84.77,84.64,84.755,12941,20220519
84.77,84.99,84.765,84.93,17885,20220519
84.935,85.0,84.885,84.91,17938,20220519
84.895,85.06,84.89,85.0338,32119,20220519
85.02,85.05,84.93,84.94,12709,20220519
84.94,84.94,84.76,84.77,16958,20220519
84.77,84.82,84.71,84.8,10838,20220519
84.79,84.86,84.74,84.77,11945,20220519
84.775,84.775,84.67,84.69,7384,20220519
84.71,84.8,84.71,84.79,10731,20220519
84.78,84.7961,84.745,84.77,7818,20220519
84.805,84.85,84.73,84.85,9630,20220519
84.84,84.94,84.76,84.86,17365,20220519
84.85,84.855,84.72,84.72,11975,20220519
84.74,84.76,84.68,84.719,13160,20220519
84.7,84.71,84.64,84.68,12760,20220519
84.68,84.71,84.63,84.6743,17027,20220519
84.68,84.69,84.62,84.67,28355,20220519
84.6663,84.67,84.545,84.555,31595,20220519
84.55,84.645,84.55,84.62,27901,20220519
84.625,84.74,84.61,84.73,40278,20220519
84.72,84.79,84.61,84.78,67495,20220519
84.0,84.04,83.63,83.75,57581,20220519
83.81,84.26,83.805,84.24,6433,20220519
84.24,84.45,84.23,84.36,4351,20220519
84.41,84.51,84.23,84.51,5373,20220519
84.48,84.68,84.47,84.605,3092,20220519
84.65,84.72,84.52,84.64,17076,20220519
84.65,84.75,84.53,84.6776,3040,20220519
84.665,84.75,84.63,84.71,3598,20220519
84.745,84.81,84.45,84.45,5447,20220519
84.45,84.47,84.32,84.37,6914,20220519
84.42,84.58,84.42,84.5687,4477,20220519
84.56,84.63,84.535,84.535,5585,20220519
84.5,84.62,84.455,84.62,2204,20220519
84.58,84.58,84.285,84.285,4135,20220519
84.33,84.36,84.22,84.22,1737,20220519
84.23,84.27,84.17,84.22,2213,20220519
84.225,84.46,84.13,84.315,5745,20220519
84.335,84.45,84.225,84.26,6048,20220519
84.275,84.275,84.13,84.19,2000,20220519
84.19,84.24,84.12,84.14,3292,20220519
84.11,84.15,84.08,84.11,1873,20220519
84.125,84.13,84.05,84.095,1637,20220519
84.06,84.115,84.0,84.0,4046,20220519
83.99,84.01,83.85,83.85,1803,20220519
83.95,84.095,83.92,84.095,1855,20220519
84.06,84.2,84.05,84.2,3413,20220519
84.21,84.4,84.19,84.365,3452,20220519
84.45,84.45,84.3,84.3044,961,20220519
84.32,84.32,83.9218,84.04,2102,20220519
84.16,84.23,84.14,84.23,818,20220519
84.22,84.5399,84.055,84.5399,13341,20220519
84.6,84.86,84.6,84.81,4169,20220519
84.825,85.01,84.78,84.78,11227,20220519
84.8,84.955,84.76,84.925,2324,20220519
84.925,84.925,84.65,84.655,3520,20220519
84.59,84.66,84.4,84.45,1563,20220519
84.48,84.63,84.48,84.53,2474,20220519
84.5475,84.6409,84.434,84.4878,2715,20220519
84.57,84.59,84.46,84.54,1781,20220519
84.56,84.56,84.43,84.43,1555,20220519
84.42,84.615,84.42,84.57,3242,20220519
84.71,84.74,84.6319,84.6319,1434,20220519
84.57,84.6,84.57,84.595,1659,20220519
84.73,84.7701,84.67,84.675,3050,20220519
84.675,84.78,84.63,84.685,1300,20220519
84.75,84.78,84.72,84.765,1095,20220519
84.79,84.9,84.79,84.79,2182,20220519
84.77,84.83,84.77,84.8,900,20220519
84.8,84.82,84.75,84.75,2400,20220519
84.73,84.776,84.6986,84.6986,5695,20220519
84.7,84.83,84.69,84.8,5833,20220519
84.78,84.9599,84.76,84.78,7727,20220519
84.82,84.82,84.735,84.79,1786,20220519
84.8,84.83,84.71,84.805,1713,20220519
84.7716,84.7716,84.57,84.64,9015,20220519
84.63,84.68,84.61,84.62,2633,20220519
84.57,84.645,84.44,84.44,2302,20220519
84.31,84.39,84.31,84.39,781,20220519
84.39,84.42,84.34,84.34,1246,20220519
84.31,84.44,84.31,84.34,2746,20220519
84.35,84.35,84.285,84.285,796,20220519
84.285,84.38,84.28,84.28,1569,20220519
84.295,84.39,84.295,84.33,1836,20220519
84.305,84.38,84.305,84.34,1459,20220519
84.24,84.3239,84.22,84.295,1134,20220519
84.33,84.4,84.33,84.34,3198,20220519
84.34,84.34,84.18,84.18,3415,20220519
84.2,84.2579,84.2,84.24,600,20220519
84.2101,84.2101,84.08,84.1,2016,20220519
84.07,84.12,84.06,84.12,1159,20220519
84.09,84.16,84.09,84.12,1050,20220519
84.04,84.04,83.88,83.88,2494,20220519
83.86,83.98,83.81,83.88,2770,20220519
83.8,83.8184,83.69,83.69,2165,20220519
83.705,83.79,83.62,83.62,7819,20220519
83.64,83.87,83.6,83.85,14624,20220519
