open,high,low,close,volume,datetime
120.95,121.53,120.75,121.0,43837,20220518
121.01,121.39,120.68,121.095,12357,20220518
121.095,121.33,120.68,121.065,6151,20220518
120.94,122.3,120.94,122.05,13435,20220518
122.04,122.72,121.82,122.15,9766,20220518
122.09,122.72,121.94,122.57,11111,20220518
122.68,123.3,122.47,123.3,6800,20220518
123.28,123.69,123.225,123.69,8857,20220518
123.69,123.98,123.38,123.48,6873,20220518
123.68,123.76,123.05,123.285,11398,20220518
123.105,123.18,122.38,122.44,12182,20220518
122.415,122.67,122.02,122.12,7524,20220518
122.09,122.59,121.88,122.47,17600,20220518
122.46,123.17,122.35,123.09,13307,20220518
123.16,123.55,122.95,123.55,7825,20220518
123.49,123.86,123.37,123.425,12054,20220518
123.32,123.84,123.16,123.19,19205,20220518
123.37,123.8461,123.37,123.76,20212,20220518
123.94,123.94,123.24,123.365,11058,20220518
123.48,123.64,123.16,123.36,2117,20220518
123.28,123.7,123.28,123.35,3700,20220518
123.43,124.1,123.33,123.63,10160,20220518
123.55,123.7,123.015,123.015,10330,20220518
123.02,123.3,122.8,122.875,9327,20220518
122.89,122.95,122.53,122.6465,3059,20220518
122.67,122.97,122.55,122.885,6544,20220518
122.84,123.01,122.67,122.75,25314,20220518
122.75,122.94,122.51,122.74,5450,20220518
122.44,122.78,122.44,122.76,5138,20220518
122.63,123.05,122.63,122.78,12939,20220518
122.83,123.24,122.82,123.24,7770,20220518
123.25,123.42,123.02,123.19,9192,20220518
123.01,123.18,122.99,123.16,7169,20220518
123.09,123.19,122.92,123.1,4736,20220518
123.065,123.35,122.98,123.3,6026,20220518
123.35,123.65,123.35,123.575,6848,20220518
123.61,123.61,123.3,123.4,5273,20220518
123.4,123.42,122.9,122.97,11035,20220518
122.97,123.27,122.89,123.27,5266,20220518
123.34,123.46,123.22,123.42,4481,20220518
123.27,123.545,123.27,123.44,4692,20220518
123.48,123.51,123.11,123.28,7208,20220518
123.27,123.325,123.03,123.15,3670,20220518
123.18,123.37,123.1,123.36,2553,20220518
123.38,123.475,123.12,123.13,9403,20220518
123.21,123.76,123.2,123.76,6500,20220518
123.8,123.89,123.575,123.6171,8934,20220518
123.69,123.9999,123.69,123.81,3765,20220518
123.8,124.28,123.8,124.12,7698,20220518
124.065,124.19,123.86,124.04,6965,20220518
124.1,124.295,124.03,124.28,5271,20220518
124.3,124.45,124.164,124.2,4725,20220518
124.39,124.45,124.31,124.31,2971,20220518
124.305,124.61,124.275,124.46,3767,20220518
124.366,124.39,124.2,124.34,9189,20220518
124.19,124.25,123.9001,124.08,6500,20220518
124.1,124.36,124.1,124.355,6472,20220518
124.22,124.39,124.185,124.39,4584,20220518
124.39,124.58,124.285,124.33,17765,20220518
124.345,124.43,124.22,124.265,18699,20220518
124.27,124.36,124.1433,124.36,13284,20220518
124.47,124.47,124.35,124.455,3338,20220518
124.51,124.59,124.37,124.44,4311,20220518
124.51,124.72,124.47,124.56,2208,20220518
124.49,124.55,124.11,124.21,4561,20220518
124.155,124.155,123.925,123.995,6732,20220518
124.09,124.17,123.96,124.16,5911,20220518
124.17,124.61,124.17,124.48,4924,20220518
124.5,124.65,124.5,124.6,3063,20220518
124.57,124.83,124.56,124.83,5801,20220518
124.83,124.83,124.61,124.72,3739,20220518
124.77,125.12,124.51,125.12,18658,20220518
125.04,125.13,124.9428,124.95,5803,20220518
124.9,125.0,124.7,125.0,3506,20220518
124.93,125.02,124.86,125.0,7134,20220518
124.98,125.1126,124.87,124.97,6657,20220518
125.1,125.5,125.1,125.43,6258,20220518
125.425,125.5,125.18,125.47,5375,20220518
125.47,125.695,125.44,125.61,6117,20220518
125.54,125.685,125.44,125.56,9869,20220518
125.66,125.66,125.35,125.3906,9536,20220518
125.39,125.4,125.12,125.24,5833,20220518
125.25,125.26,124.9,124.975,4721,20220518
125.0,125.29,124.98,125.18,3366,20220518
125.215,125.26,124.86,124.97,4843,20220518
124.935,125.015,124.78,124.86,9706,20220518
124.88,124.88,124.34,124.78,16369,20220518
124.86,125.0464,124.74,124.85,3200,20220518
124.88,124.9472,124.66,124.67,4771,20220518
124.63,124.86,124.51,124.86,7855,20220518
124.76,124.815,124.28,124.28,8274,20220518
124.45,124.48,124.0,124.21,8387,20220518
124.03,124.19,123.91,123.98,5797,20220518
123.99,124.06,123.86,123.86,6988,20220518
123.85,123.94,123.81,123.9,3369,20220518
123.905,123.905,123.67,123.67,5341,20220518
123.665,123.71,123.49,123.49,11627,20220518
123.495,123.8488,123.43,123.81,12793,20220518
123.79,123.91,123.7181,123.7181,7632,20220518
123.85,124.08,123.7996,123.87,9042,20220518
123.84,123.9,123.555,123.705,6187,20220518
123.705,123.76,123.64,123.64,1200,20220518
123.7674,123.7674,123.65,123.65,717,20220518
123.64,123.68,123.55,123.615,2019,20220518
123.68,123.68,123.61,123.625,1901,20220518
123.625,123.7,123.625,123.655,1000,20220518
123.69,123.727,123.44,123.48,8783,20220518
123.52,123.53,123.41,123.48,5583,20220518
123.48,123.58,123.46,123.58,1200,20220518
123.52,123.72,123.45,123.675,3300,20220518
123.72,123.87,123.71,123.72,5453,20220518
123.75,123.75,123.6,123.635,2300,20220518
123.67,123.94,123.6526,123.94,5471,20220518
123.8537,124.02,123.83,124.01,3344,20220518
124.02,124.04,123.88,123.89,2842,20220518
123.98,123.98,123.78,123.78,4000,20220518
123.8,123.88,123.77,123.78,2938,20220518
123.78,123.9,123.78,123.9,1800,20220518
123.8758,123.92,123.75,123.795,6077,20220518
123.76,123.82,123.6,123.68,4355,20220518
123.73,123.75,123.51,123.51,4706,20220518
123.45,123.56,123.28,123.56,5260,20220518
123.565,123.565,123.385,123.385,3869,20220518
123.38,123.5,123.33,123.48,4505,20220518
123.46,123.47,123.15,123.43,9064,20220518
123.43,123.55,123.4,123.4,3460,20220518
123.4,123.445,123.2878,123.445,2324,20220518
123.41,123.47,123.34,123.38,2103,20220518
123.38,123.47,123.38,123.46,860,20220518
123.475,123.49,123.32,123.32,1700,20220518
123.22,123.36,123.22,123.36,2873,20220518
123.37,123.58,123.36,123.5477,3370,20220518
123.5899,123.9,123.53,123.9,4269,20220518
124.0,124.0,123.65,123.735,5114,20220518
123.8,123.95,123.65,123.87,4544,20220518
123.93,123.94,123.71,123.76,9889,20220518
123.76,123.92,123.755,123.915,3700,20220518
123.965,123.98,123.851,123.92,5911,20220518
123.8915,123.93,123.64,123.7,4000,20220518
123.68,123.68,123.52,123.6,1300,20220518
123.67,123.67,123.48,123.55,3800,20220518
123.6052,123.655,123.46,123.5,2213,20220518
123.455,123.455,123.24,123.285,2440,20220518
123.2,123.21,122.81,122.8917,8586,20220518
122.84,122.875,122.65,122.78,2494,20220518
122.81,122.855,122.73,122.795,1884,20220518
122.79,122.85,122.72,122.73,4400,20220518
122.6812,122.685,122.43,122.5,4710,20220518
122.5,122.5,122.38,122.47,1807,20220518
122.44,122.62,122.44,122.62,2989,20220518
122.59,122.91,122.52,122.9,6457,20220518
122.94,123.085,122.79,123.07,3207,20220518
123.02,123.02,122.96,122.995,1000,20220518
123.0,123.22,123.0,123.16,5987,20220518
123.15,123.33,123.15,123.29,4547,20220518
123.28,123.28,123.085,123.085,11110,20220518
123.12,123.12,122.87,122.9,3629,20220518
122.83,122.89,122.62,122.62,1900,20220518
122.58,122.715,122.58,122.675,1041,20220518
122.665,122.75,122.555,122.57,1775,20220518
122.555,122.6358,122.45,122.53,2951,20220518
122.58,122.58,122.47,122.57,1340,20220518
122.565,122.565,122.37,122.385,9699,20220518
122.38,122.385,122.17,122.235,9617,20220518
122.2799,122.2799,122.14,122.14,1621,20220518
122.15,122.1804,122.1,122.145,3031,20220518
122.13,122.43,122.13,122.41,3885,20220518
122.45,122.5,122.43,122.46,3709,20220518
122.46,122.57,122.45,122.545,2773,20220518
122.47,122.55,122.46,122.5475,4880,20220518
122.57,122.68,122.55,122.61,4858,20220518
122.55,122.55,122.24,122.32,3700,20220518
122.295,122.36,122.2,122.2,1500,20220518
122.12,122.12,121.96,121.96,2613,20220518
121.9526,122.1,121.9526,122.1,1186,20220518
122.12,122.22,122.09,122.22,2504,20220518
122.15,122.19,122.15,122.15,2000,20220518
122.21,122.31,122.21,122.31,2218,20220518
122.2819,122.325,122.28,122.3,9324,20220518
122.25,122.26,122.21,122.21,1700,20220518
122.21,122.21,121.925,121.97,2393,20220518
121.98,122.07,121.92,122.05,2649,20220518
122.02,122.09,122.0183,122.09,1600,20220518
122.02,122.06,122.015,122.06,700,20220518
122.05,122.17,122.05,122.141,1600,20220518
122.16,122.16,122.08,122.115,1420,20220518
122.16,122.17,122.16,122.17,772,20220518
122.2,122.22,122.16,122.22,1120,20220518
122.21,122.21,122.02,122.13,2600,20220518
122.14,122.31,122.14,122.31,2281,20220518
122.3,122.34,122.29,122.31,3369,20220518
122.27,122.29,122.22,122.22,5347,20220518
122.17,122.2,122.08,122.17,3479,20220518
122.25,122.27,122.18,122.205,1100,20220518
122.21,122.22,122.15,122.15,700,20220518
122.185,122.2,122.06,122.11,4238,20220518
122.18,122.25,122.18,122.22,3301,20220518
122.22,122.34,122.22,122.33,2252,20220518
122.3,122.41,122.3,122.41,1045,20220518
122.41,122.6249,122.41,122.6249,1320,20220518
122.59,122.625,122.53,122.6,1447,20220518
122.57,122.6591,122.56,122.6591,2330,20220518
122.61,122.63,122.45,122.47,2548,20220518
122.42,122.43,122.34,122.42,1539,20220518
122.355,122.4,122.35,122.37,900,20220518
122.34,122.36,122.31,122.36,900,20220518
122.39,122.39,122.34,122.34,600,20220518
122.32,122.46,122.29,122.46,9038,20220518
122.46,122.61,122.46,122.485,2700,20220518
122.5,122.56,122.465,122.56,1700,20220518
122.51,122.56,122.45,122.48,2715,20220518
122.35,122.35,122.23,122.23,2888,20220518
122.19,122.21,122.135,122.135,1420,20220518
122.14,122.24,122.12,122.12,1820,20220518
122.07,122.1199,122.02,122.03,4419,20220518
121.98,121.99,121.89,121.92,1352,20220518
121.93,121.97,121.88,121.9,2650,20220518
121.89,121.89,121.69,121.695,5042,20220518
121.74,121.74,121.63,121.63,540,20220518
121.655,121.665,121.535,121.57,3714,20220518
121.57,121.66,121.57,121.62,1185,20220518
121.66,121.79,121.615,121.79,1434,20220518
121.78,121.79,121.72,121.755,1642,20220518
121.78,121.83,121.755,121.83,1993,20220518
121.765,121.86,121.765,121.86,4584,20220518
121.86,121.92,121.8,121.92,3663,20220518
121.84,121.93,121.84,121.86,3543,20220518
121.86,121.87,121.62,121.63,3948,20220518
121.61,121.79,121.61,121.7227,1436,20220518
121.74,121.77,121.64,121.64,1617,20220518
121.675,121.82,121.675,121.74,1421,20220518
121.74,121.88,121.615,121.88,4751,20220518
121.845,121.86,121.79,121.815,769,20220518
121.845,121.87,121.73,121.835,1945,20220518
121.86,121.88,121.835,121.86,2410,20220518
121.865,121.98,121.83,121.98,4799,20220518
121.91,122.1,121.91,122.07,2302,20220518
122.1,122.25,122.0815,122.23,3913,20220518
122.25,122.42,122.25,122.42,10569,20220518
122.41,122.49,122.33,122.44,10374,20220518
122.41,122.49,122.3,122.465,10108,20220518
122.5,122.69,122.5,122.64,2600,20220518
122.64,122.78,122.64,122.73,9777,20220518
122.73,122.76,122.64,122.64,6846,20220518
122.59,122.69,122.59,122.69,2942,20220518
122.69,122.78,122.69,122.71,2313,20220518
122.71,122.78,122.695,122.7075,3303,20220518
122.73,122.78,122.7,122.73,3900,20220518
122.72,122.99,122.69,122.975,3752,20220518
122.95,122.98,122.86,122.98,3387,20220518
122.98,122.99,122.925,122.925,1653,20220518
122.96,122.98,122.89,122.89,8404,20220518
122.89,123.01,122.89,122.95,4318,20220518
122.975,122.99,122.86,122.915,3714,20220518
122.95,123.0,122.76,122.7755,6152,20220518
122.7825,122.81,122.66,122.705,12411,20220518
122.75,122.9525,122.72,122.74,11159,20220518
122.74,122.765,122.68,122.73,4429,20220518
122.725,122.96,122.7,122.93,7324,20220518
122.87,122.98,122.8,122.96,4387,20220518
122.9725,122.9725,122.84,122.87,4719,20220518
122.87,122.87,122.755,122.79,1278,20220518
122.75,122.8,122.71,122.75,3033,20220518
122.74,122.86,122.74,122.845,2267,20220518
122.85,122.89,122.8,122.87,2139,20220518
122.81,122.82,122.72,122.76,3668,20220518
122.77,122.85,122.74,122.85,1848,20220518
122.84,122.91,122.75,122.9,1950,20220518
122.93,123.12,122.93,123.02,2402,20220518
123.065,123.19,123.06,123.19,1000,20220518
123.22,123.23,122.99,123.035,5046,20220518
123.0,123.105,123.0,123.105,1978,20220518
123.105,123.205,123.105,123.2,2788,20220518
123.21,123.28,123.1328,123.235,6522,20220518
123.27,123.35,123.23,123.245,4235,20220518
123.245,123.32,123.21,123.31,6060,20220518
123.3,123.31,123.225,123.25,8397,20220518
123.26,123.29,123.17,123.21,7100,20220518
123.205,123.31,123.0368,123.09,13654,20220518
123.09,123.13,122.75,122.95,6692,20220518
122.99,123.03,122.8821,122.8821,3334,20220518
122.925,123.04,122.925,123.04,1506,20220518
123.0,123.01,122.7212,122.7212,2090,20220518
122.725,122.91,122.725,122.91,3807,20220518
122.85,122.885,122.795,122.88,800,20220518
122.845,122.845,122.74,122.82,5563,20220518
