open,high,low,close,volume,datetime
173.47,173.54,172.6256,172.88,53606,20220518
173.16,173.29,172.955,173.285,5339,20220518
173.3,173.51,173.19,173.32,6463,20220518
173.26,173.47,173.195,173.37,11351,20220518
173.33,173.41,172.96,173.205,9421,20220518
173.25,173.62,173.02,173.62,7314,20220518
173.66,173.77,173.59,173.68,4730,20220518
173.72,173.73,173.4675,173.58,4200,20220518
173.59,173.7,173.58,173.625,5651,20220518
173.62,173.8,173.53,173.8,5104,20220518
173.73,173.93,173.6,173.8,4233,20220518
173.99,174.0,173.69,173.79,3615,20220518
173.9,174.01,173.82,174.01,4300,20220518
174.06,174.39,174.04,174.34,5621,20220518
174.38,174.43,174.1428,174.29,6400,20220518
174.26,174.47,174.15,174.17,6642,20220518
174.1,174.1,173.86,173.895,6273,20220518
173.93,174.22,173.88,174.14,3963,20220518
174.09,174.18,173.89,174.03,8790,20220518
173.97,174.225,173.8,174.225,7450,20220518
174.315,174.315,174.04,174.045,13656,20220518
174.06,174.455,174.05,174.435,7961,20220518
174.39,174.43,174.24,174.39,7150,20220518
174.36,174.47,174.16,174.24,5600,20220518
174.25,174.31,174.16,174.19,6631,20220518
174.14,174.38,174.14,174.38,8406,20220518
174.34,174.42,174.15,174.19,9127,20220518
174.17,174.22,174.06,174.06,7706,20220518
174.08,174.18,174.01,174.07,11017,20220518
174.085,174.21,173.945,174.0,7864,20220518
174.085,174.15,173.98,174.1226,9714,20220518
174.17,174.455,174.1,174.405,4131,20220518
174.42,174.49,174.28,174.335,6952,20220518
174.34,174.47,174.315,174.32,7156,20220518
174.3,174.48,174.24,174.34,7072,20220518
174.3601,174.56,174.34,174.435,13264,20220518
174.44,174.56,174.4,174.44,7059,20220518
174.4,174.41,174.29,174.34,9412,20220518
174.32,174.34,174.2,174.32,8711,20220518
174.32,174.35,174.27,174.28,7705,20220518
174.28,174.47,174.28,174.47,11578,20220518
174.46,174.62,174.42,174.62,12462,20220518
174.62,174.68,174.38,174.38,7929,20220518
174.355,174.52,174.33,174.52,2300,20220518
174.53,174.68,174.53,174.67,5059,20220518
174.64,174.74,174.54,174.71,3557,20220518
174.73,174.76,174.68,174.75,3884,20220518
174.77,174.77,174.68,174.7,4246,20220518
174.73,174.86,174.72,174.73,7652,20220518
174.71,174.77,174.61,174.75,6872,20220518
174.74,174.89,174.6932,174.88,3314,20220518
174.89,174.91,174.65,174.68,3414,20220518
174.71,174.87,174.71,174.87,2102,20220518
174.82,174.82,174.64,174.64,3700,20220518
174.63,174.63,174.45,174.5,3500,20220518
174.49,174.54,174.4,174.42,2715,20220518
174.4,174.66,174.4,174.46,4500,20220518
174.45,174.51,174.38,174.46,4490,20220518
174.46,174.47,174.28,174.28,2600,20220518
174.3,174.3,174.03,174.03,5787,20220518
173.95,174.08,173.87,174.08,2301,20220518
174.18,174.2,174.005,174.01,3900,20220518
174.03,174.04,173.95,174.0,3300,20220518
173.99,174.02,173.89,173.955,5208,20220518
173.93,173.93,173.77,173.84,8718,20220518
173.83,173.84,173.6365,173.69,3500,20220518
173.71,173.78,173.66,173.685,7300,20220518
173.665,173.72,173.56,173.61,2503,20220518
173.52,173.54,173.41,173.41,6279,20220518
173.41,173.47,173.28,173.47,3208,20220518
173.47,173.53,173.43,173.48,3617,20220518
173.43,173.54,173.35,173.54,4874,20220518
173.47,173.57,173.45,173.57,1400,20220518
173.64,173.66,173.57,173.635,3900,20220518
173.61,173.76,173.57,173.76,3392,20220518
173.68,173.77,173.63,173.75,3700,20220518
173.74,173.8,173.68,173.68,6121,20220518
173.7,173.76,173.62,173.72,3686,20220518
173.72,173.87,173.68,173.81,6479,20220518
173.79,173.8022,173.73,173.76,3948,20220518
173.77,173.77,173.59,173.61,5107,20220518
173.59,173.61,173.51,173.58,5209,20220518
173.575,173.6,173.45,173.45,3341,20220518
173.42,173.52,173.38,173.52,3651,20220518
173.56,173.67,173.53,173.61,2300,20220518
173.58,173.73,173.54,173.68,5300,20220518
173.64,173.78,173.58,173.78,2800,20220518
173.83,173.88,173.78,173.87,3400,20220518
173.86,173.87,173.78,173.78,2800,20220518
173.75,173.98,173.75,173.945,6873,20220518
173.93,173.99,173.76,173.76,5360,20220518
173.75,173.75,173.45,173.59,7381,20220518
173.58,173.75,173.54,173.58,6600,20220518
173.54,173.75,173.54,173.67,5831,20220518
173.73,173.76,173.55,173.61,4124,20220518
173.57,173.6,173.53,173.56,2100,20220518
173.59,173.72,173.47,173.47,3397,20220518
173.48,173.5,173.385,173.465,4229,20220518
173.4,173.4,173.2,173.23,2962,20220518
173.17,173.22,173.145,173.21,5651,20220518
173.23,173.25,173.09,173.22,5264,20220518
173.25,173.33,173.25,173.32,2692,20220518
173.32,173.34,173.32,173.33,1270,20220518
173.34,173.34,173.315,173.315,2297,20220518
173.32,173.34,173.32,173.33,1934,20220518
173.3338,173.34,173.33,173.34,910,20220518
173.33,173.38,173.09,173.12,6500,20220518
173.08,173.1,173.03,173.06,1300,20220518
173.03,173.209,173.01,173.09,8825,20220518
173.0394,173.16,173.0394,173.09,2849,20220518
173.02,173.02,172.77,172.89,3867,20220518
172.85,172.865,172.72,172.72,1204,20220518
172.77,172.77,172.65,172.71,1721,20220518
172.71,172.71,172.36,172.36,3284,20220518
172.475,172.475,172.22,172.32,2801,20220518
172.34,172.54,172.34,172.48,4257,20220518
172.47,172.475,172.33,172.375,1700,20220518
172.35,172.41,172.18,172.24,5669,20220518
172.19,172.2,172.1,172.12,2118,20220518
172.175,172.21,172.11,172.15,6773,20220518
172.18,172.23,171.96,171.98,7442,20220518
171.98,172.28,171.98,172.26,6374,20220518
172.33,172.39,172.08,172.16,4968,20220518
172.16,172.24,172.11,172.21,2506,20220518
172.23,172.335,172.15,172.29,2430,20220518
172.38,172.43,172.25,172.26,3596,20220518
172.25,172.38,172.23,172.34,3154,20220518
172.355,172.39,172.26,172.39,2200,20220518
172.39,172.44,172.34,172.39,3389,20220518
172.39,172.41,172.388,172.388,799,20220518
172.42,172.57,172.36,172.57,3056,20220518
172.535,172.67,172.5,172.6,2100,20220518
172.57,172.74,172.57,172.73,1800,20220518
172.6831,172.86,172.66,172.83,8668,20220518
172.84,172.96,172.82,172.96,5696,20220518
172.93,173.01,172.81,172.81,13835,20220518
172.79,172.87,172.78,172.795,4399,20220518
