open,high,low,close,volume,datetime
64.93,64.93,64.75,64.79,10153,20220518
64.74,64.85,64.69,64.845,900,20220518
64.81,64.91,64.81,64.91,200,20220518
64.97,65.025,64.97,65.025,1015,20220518
65.2,65.21,65.1,65.165,7655,20220518
65.24,65.24,65.16,65.16,1000,20220518
65.2,65.2,65.13,65.19,3100,20220518
65.2,65.21,65.2,65.21,600,20220518
65.195,65.25,65.155,65.185,1093,20220518
65.2,65.2,65.11,65.17,2736,20220518
65.19,65.21,65.19,65.21,400,20220518
65.27,65.28,65.23,65.245,760,20220518
65.26,65.29,65.19,65.29,600,20220518
65.24,65.325,65.2,65.325,1917,20220518
65.3,65.4,65.3,65.4,600,20220518
65.395,65.41,65.25,65.41,2600,20220518
65.36,65.36,65.31,65.36,984,20220518
65.41,65.41,65.17,65.22,1600,20220518
65.16,65.32,65.15,65.32,2239,20220518
65.19,65.235,65.19,65.215,938,20220518
65.23,65.36,65.23,65.36,636,20220518
65.365,65.365,65.27,65.295,1900,20220518
65.15,65.15,65.06,65.06,600,20220518
65.09,65.16,65.05,65.16,767,20220518
65.1,65.21,65.1,65.21,752,20220518
65.225,65.225,65.15,65.15,700,20220518
65.13,65.15,65.09,65.14,3628,20220518
65.14,65.24,65.105,65.17,1700,20220518
65.215,65.215,65.15,65.15,490,20220518
65.12,65.12,65.07,65.105,316,20220518
65.1,65.12,65.09,65.09,602,20220518
65.08,65.23,65.08,65.22,3259,20220518
65.23,65.23,65.18,65.19,600,20220518
65.215,65.23,65.17,65.23,706,20220518
65.22,65.29,65.22,65.29,821,20220518
65.23,65.23,65.16,65.2,1534,20220518
65.19,65.25,65.14,65.24,1195,20220518
65.21,65.21,65.172,65.18,898,20220518
65.18,65.19,65.08,65.155,1491,20220518
65.13,65.13,65.1,65.1,200,20220518
65.15,65.23,65.15,65.23,400,20220518
65.245,65.33,65.23,65.33,726,20220518
65.33,65.33,65.25,65.28,3869,20220518
65.25,65.25,65.21,65.21,2213,20220518
65.21,65.31,65.21,65.21,2854,20220518
65.19,65.19,65.16,65.16,941,20220518
65.165,65.265,65.14,65.24,3098,20220518
65.25,65.25,65.18,65.18,1084,20220518
65.195,65.24,65.19,65.22,1108,20220518
65.19,65.19,65.14,65.16,1500,20220518
65.11,65.18,65.08,65.165,1037,20220518
65.09,65.09,65.06,65.089,1099,20220518
65.07,65.15,65.07,65.14,1307,20220518
65.04,65.04,65.025,65.025,300,20220518
65.06,65.07,65.02,65.02,1222,20220518
65.02,65.03,64.86,64.86,2321,20220518
64.81,64.95,64.81,64.95,1696,20220518
64.99,65.0,64.925,64.925,996,20220518
64.9,64.915,64.87,64.87,628,20220518
64.88,64.98,64.88,64.965,1805,20220518
64.94,64.94,64.9,64.9,1165,20220518
64.83,64.83,64.76,64.76,300,20220518
64.81,64.87,64.81,64.83,1871,20220518
64.8,64.85,64.8,64.81,1678,20220518
64.805,64.85,64.77,64.82,1300,20220518
64.8,64.815,64.77,64.815,2706,20220518
64.83,64.83,64.73,64.735,725,20220518
